date,close,volume
2018-04-25,27.79,402
2018-04-26,27.95,800
2018-04-27,28.1,1174
2018-04-30,28.14,595
2018-05-01,27.7,766
2018-05-02,27.74,823
2018-05-03,27.67,751
2018-05-04,27.77,6652
2018-05-07,27.61,1416
2018-05-08,27.58,10360
2018-05-09,27.78,1919
2018-05-10,27.78,70
2018-05-11,27.91,2986
2018-05-14,27.89,934
2018-05-15,27.83,1973
2018-05-16,28.02,224
2018-05-17,28.01,2611
2018-05-18,27.93,1254
2018-05-21,28.03,884
2018-05-22,28.05,8619
2018-05-23,27.95,1375
2018-05-24,27.93,3310
2018-05-25,27.83,353
2018-05-29,27.39,12483
2018-05-30,27.83,258
2018-05-31,27.56,2149
2018-06-01,27.74,7411
2018-06-04,27.88,5217
2018-06-05,27.93,4651
2018-06-06,28.07,1664
2018-06-07,28.07,100
2018-06-08,28.2,4581
2018-06-11,28.33,335
2018-06-12,28.42,2223
2018-06-13,28.42,167
2018-06-14,28.3,3283
2018-06-15,28.2,1571
2018-06-18,28.33,2233
2018-06-19,28.33,245
2018-06-20,28.35,2586
2018-06-21,28.34,2173
2018-06-22,28.48,989
2018-06-25,28.21,196
2018-06-26,28.28,515
2018-06-27,28.12,958
2018-06-28,28.08,25430
2018-06-29,28.26,1612
2018-07-02,28.05,10443
2018-07-03,28.27,1337
2018-07-05,28.26,1131
2018-07-06,28.49,355
2018-07-09,28.6,496
2018-07-10,28.6,16
2018-07-11,28.55,3670
2018-07-12,28.55,34
2018-07-13,28.66,163
2018-07-16,28.55,2311
2018-07-17,28.64,391
2018-07-18,28.72,35505
2018-07-19,28.78,41132
2018-07-20,28.56,5723
2018-07-23,28.61,1197
2018-07-24,28.37,3310
2018-07-25,28.31,2237
2018-07-26,28.51,3233
2018-07-27,28.42,801
2018-07-30,28.47,1246
2018-07-31,28.43,61
2018-08-01,28.41,4477
2018-08-02,28.41,13
2018-08-03,28.61,2782
2018-08-06,28.61,5201
2018-08-07,28.64,585
2018-08-08,28.54,6113
2018-08-09,28.63,1677
2018-08-10,28.31,2441
2018-08-13,28.24,3074
2018-08-14,28.51,1296
2018-08-15,28.25,1585
2018-08-16,28.6,6062
2018-08-17,28.77,15711
2018-08-20,28.88,491
2018-08-21,29.02,992
2018-08-22,28.81,1152
2018-08-23,28.7,751
2018-08-24,28.74,1498
2018-08-27,28.94,2117
2018-08-28,28.89,1242
2018-08-29,28.93,424
2018-08-30,28.81,254
2018-08-31,28.73,1826
2018-09-04,28.7,3821
2018-09-05,28.81,31561
2018-09-06,28.83,783
2018-09-07,28.69,10560
2018-09-10,28.78,7522
2018-09-11,28.81,3080
2018-09-12,28.83,2934
2018-09-13,28.93,1356
2018-09-14,29.0,2190
2018-09-17,28.93,1591
2018-09-18,29.04,19762
2018-09-19,29.03,1170
2018-09-20,29.22,546
2018-09-21,29.22,300
2018-09-24,28.96,674
2018-09-25,28.79,611
2018-09-26,28.85,2324
2018-09-27,28.6,1375
2018-09-28,28.73,2640
2018-10-01,28.72,4316
2018-10-02,28.65,15518
2018-10-03,28.66,5236
2018-10-04,28.48,8086
2018-10-05,28.43,2113
2018-10-08,28.55,2487
2018-10-09,28.55,104
2018-10-10,27.99,1149
2018-10-11,27.23,7855
2018-10-12,26.9,487
2018-10-15,27.43,6036
2018-10-16,27.69,1199
2018-10-17,27.71,719
2018-10-18,27.5,27269
2018-10-19,27.5,875
2018-10-22,27.34,17699
2018-10-23,27.31,682
2018-10-24,27.07,6640
2018-10-25,27.05,842
2018-10-26,26.38,4516
2018-10-29,26.28,1820
2018-10-30,26.98,2509
2018-10-31,27.09,795
2018-11-01,27.45,4498
2018-11-02,27.55,1289
2018-11-05,27.48,719
2018-11-06,27.76,2013
2018-11-07,27.94,1147
2018-11-08,28.18,2748
2018-11-09,28.0,1984
2018-11-12,27.71,2570
2018-11-13,27.61,1599
2018-11-14,27.42,3932
2018-11-15,27.42,140
2018-11-16,27.74,672
2018-11-19,27.51,494
2018-11-20,27.17,274
2018-11-21,27.2,3480
2018-11-23,27.25,367
2018-11-26,27.44,4731
2018-11-27,27.45,11836
2018-11-28,27.7,19165
2018-11-29,27.75,917
2018-11-30,27.68,518
2018-12-03,28.04,2840
2018-12-04,27.34,3601
2018-12-06,26.93,6719
2018-12-07,26.79,5020
2018-12-10,26.59,1799
2018-12-11,26.5,3869
2018-12-12,26.58,2140
2018-12-13,26.44,9910
2018-12-14,26.16,952
2018-12-17,25.52,1704
2018-12-18,25.54,788
2018-12-19,25.13,3762
2018-12-20,24.72,9704
2018-12-21,24.38,2312
