date,close,volume
2018-04-25,48.62,326253
2018-04-26,47.48,339180
2018-04-27,47.19,151836
2018-04-30,46.83,560872
2018-05-01,46.85,393307
2018-05-02,47.37,151306
2018-05-03,47.65,246125
2018-05-04,48.12,254216
2018-05-07,48.95,320887
2018-05-08,49.25,489202
2018-05-09,50.1,783441
2018-05-10,50.17,198171
2018-05-11,50.24,240367
2018-05-14,49.92,211940
2018-05-15,49.78,9490
2018-05-16,50.64,11487
2018-05-17,51.76,8086
2018-05-18,51.45,6915
2018-05-21,51.53,13983
2018-05-22,51.66,13906
2018-05-23,51.38,9312
2018-05-24,51.65,21122
2018-05-25,51.38,9620
2018-05-29,50.09,19380
2018-05-30,50.84,12112
2018-05-31,51.02,8500
2018-06-01,51.37,10128
2018-06-04,52.05,8958
2018-06-05,52.06,13656
2018-06-06,51.41,61164
2018-06-07,50.9,55398
2018-06-08,51.58,10456
2018-06-11,51.81,11250
2018-06-12,51.19,14054
2018-06-13,51.17,10994
2018-06-14,51.05,7404
2018-06-15,51.36,6586
2018-06-18,50.86,10170
2018-06-19,50.16,28276
2018-06-20,50.53,12333
2018-06-21,50.14,11603
2018-06-22,50.81,6576
2018-06-25,50.25,10841
2018-06-26,50.09,12563
2018-06-27,50.03,13517
2018-06-28,49.49,12246
2018-06-29,50.43,20603
2018-07-02,49.69,10094
2018-07-03,49.91,37892
2018-07-05,49.83,17070
2018-07-06,50.99,19511
2018-07-09,51.19,10258
2018-07-10,52.09,12059
2018-07-11,51.27,12459
2018-07-12,51.92,10989
2018-07-13,51.89,7258
2018-07-16,52.09,6586
2018-07-17,52.26,11807
2018-07-18,52.33,9327
2018-07-19,52.06,12314
2018-07-20,52.4,12203
2018-07-23,52.23,6439
2018-07-24,52.03,11051
2018-07-25,52.98,20627
2018-07-26,52.88,14809
2018-07-27,53.19,11524
2018-07-30,53.1,8206
2018-07-31,52.58,7506
2018-08-01,53.23,7426
2018-08-02,52.52,8296
2018-08-03,52.77,5016
2018-08-06,53.16,10417
2018-08-07,53.87,3472
2018-08-08,53.13,10679
2018-08-09,53.52,8203
2018-08-10,51.35,23685
2018-08-13,51.84,8156
2018-08-14,52.04,9304
2018-08-15,50.73,11089
2018-08-16,51.45,7306
2018-08-17,52.19,7848
2018-08-20,52.59,7968
2018-08-21,53.14,6141
2018-08-22,53.31,7148
2018-08-23,53.65,7867
2018-08-24,54.2,6828
2018-08-27,54.73,4045
2018-08-28,54.87,3809
2018-08-29,55.61,5043
2018-08-30,55.51,6980
2018-08-31,54.75,8829
2018-09-04,54.08,10765
2018-09-05,53.44,4401
2018-09-06,53.61,13630
2018-09-07,53.8,27801
2018-09-10,53.87,5555
2018-09-11,53.99,9436
2018-09-12,53.91,4602
2018-09-13,54.27,6572
2018-09-14,53.91,9160
2018-09-17,54.6,14805
2018-09-18,54.37,7039
2018-09-19,54.37,24752
2018-09-20,55.28,6504
2018-09-21,54.69,18765
2018-09-24,54.35,4614
2018-09-25,55.06,5823
2018-09-26,54.78,6802
2018-09-27,54.23,8486
2018-09-28,54.74,8567
2018-10-01,54.74,3819
2018-10-02,55.22,7150
2018-10-03,55.0,20158
2018-10-04,53.45,12437
2018-10-05,54.33,11949
2018-10-08,52.41,7449
2018-10-09,51.55,8914
2018-10-10,49.79,9276
2018-10-11,50.4,15199
2018-10-12,49.52,23384
2018-10-15,49.49,10859
2018-10-16,51.77,25210
2018-10-17,51.47,13493
2018-10-18,51.29,23527
2018-10-19,51.59,10984
2018-10-22,51.54,15197
2018-10-23,49.44,25996
2018-10-24,44.95,25032
2018-10-25,45.89,22690
2018-10-26,46.98,34013
2018-10-29,47.99,26469
2018-10-30,47.93,15836
2018-10-31,49.26,19907
2018-11-01,50.58,24569
2018-11-02,50.65,12785
2018-11-05,49.65,18482
2018-11-06,50.23,24999
2018-11-07,51.53,13847
2018-11-08,51.07,9189
2018-11-09,50.44,6398
2018-11-12,49.32,19844
2018-11-13,49.28,25911
2018-11-14,49.01,14423
2018-11-15,48.7,16665
2018-11-16,48.92,22753
2018-11-19,48.59,23646
2018-11-20,46.49,21786
2018-11-21,47.15,25397
2018-11-23,46.98,6544
2018-11-26,47.88,27460
2018-11-27,47.05,32253
2018-11-28,47.7,98662
2018-11-29,47.42,22651
2018-11-30,46.58,37596
2018-12-03,46.72,28726
2018-12-04,46.53,53609
2018-12-06,45.75,73855
2018-12-07,45.75,34079
2018-12-10,45.4,51677
2018-12-11,45.82,142881
2018-12-12,45.8,22920
2018-12-13,45.42,60259
2018-12-14,44.19,36155
2018-12-17,44.44,63281
2018-12-18,44.58,63884
2018-12-19,44.88,32349
2018-12-20,45.52,71681
2018-12-21,44.17,40357
2018-12-24,43.7,31903
2018-12-26,44.15,34468
2018-12-27,44.52,58615
2018-12-28,44.52,28588
2018-12-31,44.75,54439
2019-01-02,43.84,25163
2019-01-03,43.48,29311
2019-01-04,44.81,21638
2019-01-07,45.13,57384
2019-01-08,45.77,17506
2019-01-09,46.74,14535
2019-01-10,47.32,38121
