date,close,volume
2018-04-25,67.46,4732144
2018-04-26,66.79,2569592
2018-04-27,65.84,2774736
2018-04-30,65.49,2388919
2018-05-01,65.83,3535549
2018-05-02,65.37,2193797
2018-05-03,64.67,1549608
2018-05-04,64.96,1625176
2018-05-07,65.39,1288812
2018-05-08,66.21,2084378
2018-05-09,66.37,1822466
2018-05-10,67.21,1839508
2018-05-11,66.92,1518360
2018-05-14,66.15,2685761
2018-05-15,65.61,1365406
2018-05-16,64.79,1912688
2018-05-17,65.57,1650511
2018-05-18,66.0,1799723
2018-05-21,65.59,1574537
2018-05-22,64.13,1684840
2018-05-23,63.86,1191309
2018-05-24,64.36,1562794
2018-05-25,64.43,1024869
2018-05-29,65.17,1829170
2018-05-30,64.8,1406660
2018-05-31,63.22,2422232
2018-06-01,62.21,1849278
2018-06-04,61.76,3271123
2018-06-05,62.0,2100861
2018-06-06,62.23,1243240
2018-06-07,63.7,1621591
2018-06-08,65.55,3400115
2018-06-11,65.04,1435841
2018-06-12,66.03,2398140
2018-06-13,64.91,3514801
2018-06-14,65.2,2254712
2018-06-15,65.94,4196617
2018-06-18,65.66,2049499
2018-06-19,67.04,2991330
2018-06-20,67.18,3355683
2018-06-21,65.18,2852512
2018-06-22,65.63,2333885
2018-06-25,65.01,2043131
2018-06-26,65.14,1889539
2018-06-27,64.17,1370328
2018-06-28,62.94,1868223
2018-06-29,63.37,1100808
2018-07-02,63.74,1904753
2018-07-03,63.18,699370
2018-07-05,63.97,1234064
2018-07-06,63.9,1101712
2018-07-09,64.71,1364623
2018-07-10,64.22,1462925
2018-07-11,63.37,1243352
2018-07-12,62.88,1576530
2018-07-13,64.89,1966917
2018-07-16,64.45,3100940
2018-07-17,64.93,1829863
2018-07-18,65.18,2499631
2018-07-19,66.89,1541419
2018-07-20,66.1,1236480
2018-07-23,66.0,2011226
2018-07-24,65.38,2162978
2018-07-25,59.72,9299757
2018-07-26,60.71,3716368
2018-07-27,62.52,2415718
2018-07-30,62.87,1940312
2018-07-31,62.22,2393833
2018-08-01,61.25,2116952
2018-08-02,60.85,1491169
2018-08-03,61.29,803109
2018-08-06,61.56,750977
2018-08-07,61.79,1090801
2018-08-08,60.0,1540293
2018-08-09,60.36,1501750
2018-08-10,58.51,2442700
2018-08-13,57.94,1384083
2018-08-14,58.18,791647
2018-08-15,58.01,904293
2018-08-16,57.89,1287237
2018-08-17,58.28,841528
2018-08-20,58.13,593151
2018-08-21,59.69,1385471
2018-08-22,58.81,1163774
2018-08-23,58.05,1102790
2018-08-24,57.46,1278409
2018-08-27,58.19,1191107
2018-08-28,57.21,1515293
2018-08-29,56.99,874403
2018-08-30,56.63,790460
2018-08-31,56.62,1139875
2018-09-04,56.56,1164921
2018-09-05,56.97,1148983
2018-09-06,57.14,1682640
2018-09-07,58.43,2362501
2018-09-10,60.66,3833379
2018-09-11,60.34,2330900
2018-09-12,60.55,1081680
2018-09-13,59.25,1568478
2018-09-14,59.79,839952
2018-09-17,58.58,1068951
2018-09-18,58.79,846320
2018-09-19,58.77,1337442
2018-09-20,58.61,1447895
2018-09-21,58.24,952289
2018-09-24,56.25,1531510
2018-09-25,55.99,1073224
2018-09-26,55.12,1903849
2018-09-27,54.94,1046896
2018-09-28,54.27,958509
2018-10-01,53.61,2111294
2018-10-02,53.86,1211949
2018-10-03,54.6,1547061
2018-10-04,54.83,1208671
2018-10-05,53.4,1665870
2018-10-08,54.11,1673338
2018-10-09,52.25,1469339
2018-10-10,52.73,2206946
2018-10-11,51.46,1786522
2018-10-12,50.19,1980064
2018-10-15,50.23,1657043
2018-10-16,51.2,2680342
2018-10-17,50.23,2449588
2018-10-18,49.32,1135659
2018-10-19,48.54,1282217
2018-10-22,48.72,1959342
2018-10-23,47.53,4005800
2018-10-24,42.95,8347011
2018-10-25,45.37,2719748
2018-10-26,45.22,2833383
2018-10-29,44.6,1436488
2018-10-30,47.45,2112027
2018-10-31,47.27,2196928
2018-11-01,50.14,2454271
2018-11-02,49.35,1732930
2018-11-05,49.35,1185954
2018-11-06,48.87,1438471
2018-11-07,49.41,1232994
2018-11-08,48.15,1847373
2018-11-09,47.37,931168
2018-11-12,47.46,1062199
2018-11-13,49.01,1266668
2018-11-14,49.78,1600916
2018-11-15,49.0,1094346
2018-11-16,49.1,1402192
2018-11-19,48.95,865062
2018-11-20,49.43,1641163
2018-11-21,50.64,3072748
2018-11-23,51.35,767075
2018-11-26,50.78,1292306
2018-11-27,50.92,1181627
2018-11-28,52.36,1151812
2018-11-29,51.59,818478
2018-11-30,52.15,990002
2018-12-03,52.64,1084701
