date,close,volume
2018-04-25,541.0,196423
2018-04-26,547.6,244977
2018-04-27,544.4,226448
2018-04-30,542.8,281730
2018-05-01,538.2,258981
2018-05-02,543.0,177364
2018-05-03,537.4,316291
2018-05-04,544.0,223039
2018-05-07,546.6,383539
2018-05-08,551.8,361194
2018-05-09,562.6,530475
2018-05-10,563.4,431674
2018-05-11,560.8,359111
2018-05-14,564.0,185512
2018-05-15,568.8,222680
2018-05-16,578.0,253754
2018-05-17,589.2,540797
2018-05-18,585.6,217657
2018-05-21,590.2,187817
2018-05-22,579.4,401275
2018-05-23,573.6,344905
2018-05-24,563.4,289641
2018-05-25,542.0,449821
2018-05-29,539.4,374515
2018-05-30,552.8,442378
2018-05-31,543.0,305420
2018-06-01,541.2,281066
2018-06-04,533.2,324468
2018-06-05,536.6,255675
2018-06-06,540.0,412586
2018-06-07,551.0,388631
2018-06-08,541.4,293433
2018-06-11,540.0,518120
2018-06-12,535.2,353341
2018-06-13,532.6,213366
2018-06-14,529.8,178929
2018-06-15,515.8,412814
2018-06-18,518.2,258985
2018-06-19,516.0,250748
2018-06-20,517.2,309212
2018-06-21,506.0,286547
2018-06-22,523.6,418151
2018-06-25,510.0,448110
2018-06-26,515.8,512610
2018-06-27,528.8,558550
2018-06-28,527.0,452605
2018-06-29,525.4,265632
2018-07-02,511.0,493295
2018-07-03,515.2,306827
2018-07-05,515.6,208324
2018-07-06,523.2,195946
2018-07-09,536.8,368171
2018-07-10,542.0,327226
2018-07-11,527.2,382742
2018-07-12,524.0,305693
2018-07-13,526.2,262448
2018-07-16,520.0,248181
2018-07-17,517.6,236557
2018-07-18,515.8,343372
2018-07-19,512.6,188872
2018-07-20,509.6,230558
2018-07-23,498.0,518441
2018-07-24,497.0,496858
2018-07-25,497.6,240638
2018-07-26,506.2,372331
2018-07-27,513.0,341602
2018-07-30,521.8,409236
2018-07-31,519.8,339090
2018-08-01,515.8,305907
2018-08-02,511.8,248936
2018-08-03,510.0,310157
2018-08-06,509.8,209503
2018-08-07,514.4,388414
2018-08-08,513.4,231098
2018-08-09,503.8,254987
2018-08-10,509.6,178847
2018-08-13,496.4,255301
2018-08-14,496.0,241083
2018-08-15,474.0,716584
2018-08-16,476.2,260879
2018-08-17,480.4,231437
2018-08-20,486.6,163741
2018-08-21,494.8,206282
2018-08-22,502.2,266623
2018-08-23,498.6,197204
2018-08-24,502.2,220219
2018-08-27,505.4,193770
2018-08-28,501.0,224839
2018-08-29,505.0,193850
2018-08-30,499.0,210409
2018-08-31,494.2,145672
2018-09-04,487.0,288835
2018-09-05,475.0,335660
2018-09-06,467.6,348211
2018-09-07,464.0,489135
2018-09-10,465.2,263330
2018-09-11,474.8,385105
2018-09-12,484.2,317061
2018-09-13,481.4,297842
2018-09-14,484.2,255991
2018-09-17,479.8,197712
2018-09-18,488.0,242894
2018-09-19,494.4,369366
2018-09-20,497.0,263574
2018-09-21,500.8,274042
2018-09-24,506.0,303678
2018-09-25,513.2,388566
2018-09-26,504.0,438100
2018-09-27,504.4,253219
2018-09-28,503.8,301864
2018-10-01,509.2,332363
2018-10-02,510.0,270423
2018-10-03,515.6,307880
2018-10-04,511.8,320790
2018-10-05,512.6,402071
2018-10-08,514.4,297592
2018-10-09,520.4,383205
2018-10-10,495.0,768053
2018-10-11,482.6,666329
2018-10-12,484.6,417835
2018-10-15,487.8,328073
2018-10-16,490.6,275113
2018-10-17,483.6,232516
2018-10-18,468.2,524276
2018-10-19,465.0,476377
2018-10-22,456.6,385377
2018-10-23,439.6,540479
2018-10-24,417.6,645966
2018-10-25,423.4,495914
2018-10-26,422.8,596693
2018-10-29,409.4,585716
2018-10-30,416.8,489639
2018-10-31,411.2,370333
2018-11-01,414.4,320498
2018-11-02,413.8,329097
2018-11-05,422.2,367870
2018-11-06,423.0,257258
2018-11-07,427.0,321802
2018-11-08,413.4,372745
2018-11-09,407.0,547031
2018-11-12,391.6,430387
2018-11-13,375.0,1046818
2018-11-14,377.0,907186
2018-11-15,383.4,586906
2018-11-16,386.2,395731
2018-11-19,388.2,448865
2018-11-20,370.0,558338
2018-11-21,376.4,459233
2018-11-23,363.8,240025
2018-11-26,370.4,345278
2018-11-27,366.0,270193
2018-11-28,371.4,437649
2018-11-29,370.6,391415
2018-11-30,361.6,384828
2018-12-03,374.4,577743
2018-12-04,357.0,650925
2018-12-06,340.2,899887
2018-12-07,337.8,671633
2018-12-10,329.2,529151
2018-12-11,325.0,596253
2018-12-12,331.4,437125
2018-12-13,326.6,515624
2018-12-14,313.2,637201
2018-12-17,310.2,404965
2018-12-18,304.0,537742
2018-12-19,295.2,907731
2018-12-20,278.2,898433
2018-12-21,273.0,756107
2018-12-24,266.4,285811
2018-12-26,283.4,634666
2018-12-27,280.0,698213
2018-12-28,282.4,564266
2018-12-31,280.6,381826
2019-01-02,287.4,743148
2019-01-03,289.8,616750
2019-01-04,303.8,633276
2019-01-07,315.6,572602
2019-01-08,318.8,493605
2019-01-09,326.8,622968
2019-01-10,330.0,369189
2019-01-11,327.6,464757
2019-01-14,327.0,261596
2019-01-15,329.2,266256
2019-01-16,327.8,286267
2019-01-17,331.0,270126
2019-01-18,344.8,700696
2019-01-22,333.6,626860
2019-01-23,327.4,487394
2019-01-24,333.4,287812
2019-01-25,344.0,511111
2019-01-28,335.6,367367
2019-01-29,334.8,233454
2019-01-30,342.0,310102
2019-01-31,337.4,273849
2019-02-01,344.4,384595
2019-02-04,348.2,256837
2019-02-05,349.2,476232
2019-02-06,349.0,216379
2019-02-07,335.0,460629
2019-02-08,329.8,310936
2019-02-11,335.2,352390
2019-02-12,340.4,311301
2019-02-13,341.0,313239
2019-02-14,342.8,225156
2019-02-15,351.2,230493
2019-02-19,354.0,668613
2019-02-20,357.8,523490
2019-02-21,348.2,253514
2019-02-22,346.0,206193
2019-02-25,348.8,175304
2019-02-26,345.0,153720
2019-02-27,346.8,279968
2019-02-28,342.0,273045
2019-03-01,348.4,328937
2019-03-04,349.6,336886
2019-03-05,346.6,281482
2019-03-06,335.6,460579
2019-03-07,329.4,515642
2019-03-08,321.4,382579
2019-03-11,330.6,227229
2019-03-12,336.0,255699
2019-03-13,341.4,233610
2019-03-14,342.4,239881
2019-03-15,339.8,351259
2019-03-18,350.6,263318
2019-03-19,349.0,247741
2019-03-20,355.0,273221
2019-03-21,355.0,496628
2019-03-22,339.0,541308
2019-03-25,338.2,311561
2019-03-26,342.6,346442
2019-03-27,339.8,346319
2019-03-28,345.2,313513
2019-03-29,344.6,356474
2019-04-01,355.0,426345
2019-04-02,352.2,403318
2019-04-03,347.0,456831
2019-04-04,351.4,324946
2019-04-05,359.8,458769
2019-04-08,363.0,381472
2019-04-09,358.0,358688
2019-04-10,360.4,332379
2019-04-11,359.4,411885
2019-04-12,359.2,375027
2019-04-15,358.0,280368
2019-04-16,366.0,302127
2019-04-17,365.0,345310
2019-04-18,360.2,418019
2019-04-22,370.0,475024
2019-04-23,371.2,353135
2019-04-24,356.2,403659
2019-04-25,347.4,438888
