date,close,volume
2020-01-31,22.07,8294593
2020-02-03,22.8,3764727
2020-02-04,23.79,1892352
2020-02-05,24.14,1361728
2020-02-06,25.0,3084017
2020-02-07,26.69,1481365
2020-02-10,25.19,1882218
2020-02-11,24.71,1175914
2020-02-12,23.86,1658224
2020-02-13,20.69,3101111
2020-02-14,22.55,1029317
2020-02-18,23.04,545816
2020-02-19,25.0,1141952
2020-02-20,24.49,738375
2020-02-21,24.0,294453
2020-02-24,22.29,574517
2020-02-25,23.64,930722
2020-02-26,22.98,664996
2020-02-27,22.45,703815
2020-02-28,21.62,540551
2020-03-02,20.42,995221
2020-03-03,20.08,873912
2020-03-04,21.47,578248
2020-03-05,23.95,1075293
2020-03-06,23.6,867646
2020-03-09,22.3,449812
2020-03-10,25.64,1243166
2020-03-11,24.3,1114274
2020-03-12,19.1,992932
2020-03-13,21.3,1312262
2020-03-16,20.51,1126227
2020-03-17,21.35,1000237
2020-03-18,17.71,1346103
2020-03-19,16.51,1985192
2020-03-20,19.49,4063971
2020-03-23,20.12,1180144
2020-03-24,19.91,897602
2020-03-25,19.26,987024
2020-03-26,19.3,770966
2020-03-27,17.54,677050
2020-03-30,17.89,753756
2020-03-31,18.15,824198
2020-04-01,17.93,878394
2020-04-02,17.92,522266
2020-04-03,18.59,341107
2020-04-06,20.14,788682
2020-04-07,19.11,624698
2020-04-08,18.44,503037
2020-04-09,18.7,449576
2020-04-13,18.23,355114
2020-04-14,20.0,533782
2020-04-15,20.55,834757
2020-04-16,20.35,364065
2020-04-17,22.4,516744
2020-04-20,25.27,1667764
2020-04-21,23.57,576540
2020-04-22,23.75,331252
2020-04-23,25.74,941467
2020-04-24,25.21,504277
2020-04-27,24.59,378197
2020-04-28,25.43,668834
2020-04-29,25.99,718111
2020-04-30,24.67,464336
2020-05-01,23.33,350021
2020-05-04,24.18,216656
2020-05-05,25.06,282324
2020-05-06,23.41,574688
2020-05-07,25.5,342130
2020-05-08,24.4,295364
2020-05-11,26.34,854545
2020-05-12,27.25,2338311
2020-05-13,26.54,1270403
2020-05-14,29.0,2569881
2020-05-15,32.09,1028942
2020-05-18,33.01,1329974
2020-05-19,35.77,860132
2020-05-20,39.73,1598270
2020-05-21,37.88,1065995
2020-05-22,38.0,325757
2020-05-26,34.18,4170680
2020-05-27,31.23,2592402
2020-05-28,31.1,1406475
2020-05-29,32.3,2129773
2020-06-01,34.01,2060873
2020-06-02,34.09,1889910
2020-06-03,33.33,643064
2020-06-04,31.99,1218261
2020-06-05,32.87,1019128
2020-06-08,31.69,1072789
2020-06-09,32.01,638557
2020-06-10,33.42,949908
2020-06-11,29.87,1786723
2020-06-12,29.51,1070910
2020-06-15,31.66,936792
2020-06-16,32.55,820104
2020-06-17,30.75,915026
2020-06-18,32.46,1073897
2020-06-19,35.76,3617432
2020-06-22,34.47,1103575
2020-06-23,32.39,1710578
2020-06-24,31.8,1609507
2020-06-25,31.99,5160123
2020-06-26,31.9,2779306
2020-06-29,32.73,1077409
2020-06-30,36.32,1800547
2020-07-01,37.12,2371282
2020-07-02,38.31,1005193
2020-07-06,37.53,1136387
2020-07-07,37.67,1049951
2020-07-08,38.51,822443
2020-07-09,40.06,1055969
2020-07-10,41.6,1957286
2020-07-13,38.06,1983393
2020-07-14,37.75,1073981
2020-07-15,40.55,1036721
2020-07-16,38.38,1008291
2020-07-17,38.84,1345315
2020-07-20,38.87,919812
2020-07-21,38.5,1355985
2020-07-22,38.36,958106
2020-07-23,36.63,1058176
2020-07-24,35.58,1376763
2020-07-27,35.22,1441074
2020-07-28,33.54,1551809
2020-07-29,30.56,7134504
2020-07-30,31.03,3799522
2020-07-31,29.61,2710344
2020-08-03,30.01,1911376
2020-08-04,30.25,2172662
2020-08-05,30.27,2703354
2020-08-06,30.69,2115421
2020-08-07,30.0,2580767
2020-08-10,29.5,2353261
2020-08-11,28.55,2905074
2020-08-12,27.64,3346701
2020-08-13,30.14,5353143
2020-08-14,29.2,1996343
