date,close,volume
2018-10-17,7.0,0
2018-10-18,8.15,699745
2018-10-19,9.03,351930
2018-10-22,9.2,152036
2018-10-23,8.88,66360
2018-10-24,8.0,86048
2018-10-25,9.01,102794
2018-10-26,8.5,71683
2018-10-29,8.31,91819
2018-10-30,8.71,79087
2018-10-31,8.7,16007
2018-11-01,8.75,23056
2018-11-02,8.68,7190
2018-11-05,8.7,12367
2018-11-06,8.85,22515
2018-11-07,8.82,7496
2018-11-08,8.7,12954
2018-11-09,8.6,4182
2018-11-12,8.52,53336
2018-11-13,7.66,59606
2018-11-14,7.55,46730
2018-11-15,7.56,36073
2018-11-16,7.53,42362
2018-11-19,7.0,32490
2018-11-20,7.13,21036
2018-11-21,6.7,94010
2018-11-23,7.4,22576
2018-11-26,7.06,35969
2018-11-27,6.25,94218
2018-11-28,6.81,30674
2018-11-29,7.0,41425
2018-11-30,7.88,50900
2018-12-03,8.83,105511
2018-12-04,8.2,236184
2018-12-06,7.62,217535
2018-12-07,7.84,71315
2018-12-10,7.85,52240
2018-12-11,8.12,47177
2018-12-12,8.15,87229
2018-12-13,8.04,35864
2018-12-14,7.99,101567
2018-12-17,7.97,62854
2018-12-18,7.94,96436
2018-12-19,7.93,129460
2018-12-20,7.88,155668
2018-12-21,7.88,946657
2018-12-24,7.92,9237
2018-12-26,8.09,33042
2018-12-27,7.28,121248
2018-12-28,7.19,78661
2018-12-31,7.75,43427
2019-01-02,7.78,64951
2019-01-03,7.83,44073
2019-01-04,8.07,50652
2019-01-07,7.95,94570
2019-01-08,8.65,108949
2019-01-09,8.45,83411
2019-01-10,8.3,43471
2019-01-11,8.31,43428
2019-01-14,8.51,12193
2019-01-15,8.75,36836
2019-01-16,8.64,19344
2019-01-17,8.19,32900
2019-01-18,8.2,38908
2019-01-22,7.91,21398
2019-01-23,7.7,13182
2019-01-24,7.63,5007
2019-01-25,7.99,9539
2019-01-28,7.78,3184
2019-01-29,7.75,8604
2019-01-30,7.98,8866
2019-01-31,7.84,19880
