date,close,volume
2018-04-25,3.07,43319
2018-04-26,2.98,18109
2018-04-27,3.14,15610
2018-04-30,3.05,4658
2018-05-01,3.07,6541
2018-05-02,3.0,13253
2018-05-03,3.38,18044
2018-05-04,3.42,22214
2018-05-07,3.31,14686
2018-05-08,3.27,3539
2018-05-09,3.31,12008
2018-05-10,3.34,22500
2018-05-11,3.37,34984
2018-05-14,3.32,7907
2018-05-15,3.46,4515
2018-05-16,3.34,8641
2018-05-17,3.37,4478
2018-05-18,3.19,11883
2018-05-21,3.15,2504
2018-05-22,3.2,11546
2018-05-23,3.41,3645
2018-05-24,3.31,3183
2018-05-25,3.41,5638
2018-05-29,3.17,10779
2018-05-30,3.17,5013
2018-05-31,3.2,7034
2018-06-01,3.23,76643
2018-06-04,3.14,2422
2018-06-05,3.21,3277
2018-06-06,3.22,24477
2018-06-07,3.14,745
2018-06-08,3.23,3222
2018-06-11,3.17,1253
2018-06-12,3.27,1330
2018-06-13,3.19,1570
2018-06-14,3.2,498
2018-06-15,3.15,16662
2018-06-18,3.24,3605
2018-06-19,3.16,2380
2018-06-20,3.16,7323
2018-06-21,3.11,8746
2018-06-22,3.1,3681
2018-06-25,3.06,13519
2018-06-26,3.08,4726
2018-06-27,2.97,13828
2018-06-28,2.97,35647
2018-06-29,3.01,6506
2018-07-02,2.95,1411
2018-07-03,2.99,1190
2018-07-05,2.99,36
2018-07-06,3.04,2157
2018-07-09,2.95,2084
2018-07-10,2.95,4127
2018-07-11,2.96,1075
2018-07-12,2.96,0
2018-07-13,3.0,1026
2018-07-16,2.83,16974
2018-07-17,2.86,11309
2018-07-18,3.0,9118
2018-07-19,3.14,10456
2018-07-20,3.14,1
2018-07-23,3.16,11122
2018-07-24,3.24,26559
2018-07-25,3.24,23564
2018-07-26,3.18,17542
2018-07-27,3.21,5438
2018-07-30,3.2,1918
2018-07-31,3.18,364
2018-08-01,3.15,9530
2018-08-02,3.17,1200
2018-08-03,3.2,26913
2018-08-06,3.22,2373
2018-08-07,3.23,1974
2018-08-08,3.45,168372
2018-08-09,3.41,7117
2018-08-10,3.38,10234
2018-08-13,3.38,3407
2018-08-14,3.38,5
2018-08-15,3.15,65496
2018-08-16,3.2,8471
2018-08-17,3.15,6112
2018-08-20,3.19,4472
2018-08-21,3.15,34478
2018-08-22,3.21,25510
2018-08-23,3.38,86678
2018-08-24,3.43,35882
2018-08-27,3.49,12908
2018-08-28,3.53,43275
2018-08-29,3.4,16446
2018-08-30,3.44,26082
2018-08-31,3.35,22899
2018-09-04,3.3,16333
2018-09-05,3.3,29330
2018-09-06,3.35,26269
2018-09-07,3.4,23096
2018-09-10,3.43,38595
2018-09-11,3.46,30558
2018-09-12,3.45,12694
2018-09-13,3.43,109384
2018-09-14,3.47,25613
2018-09-17,3.54,65713
2018-09-18,3.53,13643
2018-09-19,3.62,17867
2018-09-20,3.74,67731
2018-09-21,3.7,33607
2018-09-24,3.52,48205
2018-09-25,3.51,163079
2018-09-26,3.6,21294
2018-09-27,3.52,34189
2018-09-28,3.5,5247
2018-10-01,3.56,45520
2018-10-02,3.58,23850
2018-10-03,3.6,9324
2018-10-04,3.56,17162
2018-10-05,3.52,8523
2018-10-08,3.48,37347
2018-10-09,3.43,2958
2018-10-10,3.4,6659
2018-10-11,3.35,19941
2018-10-12,3.44,1446
2018-10-15,3.35,14264
2018-10-16,3.35,4005
2018-10-17,3.37,2430
2018-10-18,3.33,12538
2018-10-19,3.28,26151
2018-10-22,3.3,34986
2018-10-23,3.31,14239
2018-10-24,3.33,22915
2018-10-25,3.35,1448
2018-10-26,3.3,12745
2018-10-29,3.35,23038
2018-10-30,3.5,48564
2018-10-31,3.39,7803
2018-11-01,3.57,12902
2018-11-02,3.47,11599
2018-11-05,3.5,14101
2018-11-06,3.41,7173
2018-11-07,3.39,19224
2018-11-08,3.43,9018
2018-11-09,3.42,37939
2018-11-12,3.35,14723
2018-11-13,3.35,15765
2018-11-14,3.34,2027
2018-11-15,3.31,14761
2018-11-16,3.22,13023
2018-11-19,3.19,34984
2018-11-20,3.18,10970
2018-11-21,3.13,24438
2018-11-23,3.11,10297
2018-11-26,3.07,3043
2018-11-27,3.07,7777
2018-11-28,3.06,8969
2018-11-29,3.15,4086
2018-11-30,3.02,9380
2018-12-03,3.05,12245
2018-12-04,3.06,6633
2018-12-06,3.0,14183
2018-12-07,3.02,6702
2018-12-10,3.0,6572
2018-12-11,3.01,3445
2018-12-12,3.01,40
2018-12-13,2.94,12161
2018-12-14,2.9,4467
2018-12-17,2.95,1359
2018-12-18,2.95,1556
2018-12-19,2.84,20259
2018-12-20,2.81,5486
2018-12-21,2.87,832
2018-12-24,3.05,1854
2018-12-26,2.82,3388
2018-12-27,2.82,4507
2018-12-28,3.01,8993
2018-12-31,3.03,3521
2019-01-02,2.81,1635
2019-01-03,3.08,9794
2019-01-04,2.99,5578
2019-01-07,2.95,2945
2019-01-08,2.9,6480
2019-01-09,2.91,47128
2019-01-10,3.1,12599
2019-01-11,3.01,24049
2019-01-14,3.06,1817
2019-01-15,2.92,539
2019-01-16,3.0,2015
2019-01-17,2.91,1726
2019-01-18,3.1,3281
2019-01-22,3.03,1529
2019-01-23,3.03,978
2019-01-24,2.97,19033
2019-01-25,3.02,3392
2019-01-28,3.09,5531
2019-01-29,2.95,666
2019-01-30,3.1,32492
2019-01-31,3.05,16263
2019-02-01,3.0,2321
2019-02-04,3.05,3106
2019-02-05,2.91,1324
2019-02-06,2.99,1167
2019-02-07,3.03,2528
2019-02-08,3.1,2108
2019-02-11,3.13,19072
2019-02-12,3.15,3961
2019-02-13,3.33,3567
2019-02-14,3.33,8883
2019-02-15,3.29,7056
2019-02-19,3.44,10528
2019-02-20,3.37,6332
2019-02-21,3.5,22230
2019-02-22,3.57,42240
2019-02-25,3.63,21124
2019-02-26,3.47,20708
2019-02-27,3.55,23104
2019-02-28,3.62,13795
2019-03-01,3.48,11982
2019-03-04,3.4,11166
2019-03-05,3.39,606
2019-03-06,3.33,15044
2019-03-07,3.39,4100
2019-03-08,3.4,3171
2019-03-11,3.4,9595
2019-03-12,3.3,22457
2019-03-13,3.39,323939
2019-03-14,3.54,46946
2019-03-15,3.51,46423
2019-03-18,3.5,25870
2019-03-19,3.37,14789
2019-03-20,3.42,26906
2019-03-21,3.26,27385
2019-03-22,3.22,27557
2019-03-25,3.16,11289
2019-03-26,3.2,14612
2019-03-27,3.13,16346
2019-03-28,3.22,13855
2019-03-29,3.07,31620
2019-04-01,3.27,45697
2019-04-02,3.41,19109
2019-04-03,3.24,48477
2019-04-04,3.25,5874
2019-04-05,3.25,10301
2019-04-08,3.23,10286
2019-04-09,3.33,6674
2019-04-10,3.15,6506
2019-04-11,3.27,26473
2019-04-12,3.28,22967
2019-04-15,3.43,21298
2019-04-16,3.4,19172
2019-04-17,3.39,19726
2019-04-18,3.45,22882
2019-04-22,3.3,15414
2019-04-23,3.45,16913
2019-04-24,3.37,35812
2019-04-25,3.48,29900
2019-04-26,3.48,24556
2019-04-29,3.45,40097
2019-04-30,3.48,23168
2019-05-01,3.47,42773
2019-05-02,3.3,47464
2019-05-03,3.44,25673
2019-05-06,3.36,52201
2019-05-07,3.28,32697
