date,close,volume
2018-04-25,53.65,308281
2018-04-26,60.1,837742
2018-04-27,58.35,395041
2018-04-30,56.9,211222
2018-05-01,57.85,284548
2018-05-02,57.5,239180
2018-05-03,56.0,189932
2018-05-04,56.85,222702
2018-05-07,59.0,265963
2018-05-08,56.5,346640
2018-05-09,57.15,195093
2018-05-10,59.15,261999
2018-05-11,58.8,293742
2018-05-14,58.15,220605
2018-05-15,58.2,237336
2018-05-16,59.9,262384
2018-05-17,60.6,135735
2018-05-18,62.75,249209
2018-05-21,63.6,258789
2018-05-22,62.35,148096
2018-05-23,59.8,368490
2018-05-24,60.15,206743
2018-05-25,59.55,205954
2018-05-29,61.55,220501
2018-05-30,63.3,214569
2018-05-31,60.6,238892
2018-06-01,58.6,242224
2018-06-04,60.25,255770
2018-06-05,62.15,237437
2018-06-06,62.6,205043
2018-06-07,60.7,409816
2018-06-08,62.0,202355
2018-06-11,63.8,274045
2018-06-12,62.5,189807
2018-06-13,60.25,204531
2018-06-14,60.45,225420
2018-06-15,60.7,249252
2018-06-18,60.9,121598
2018-06-19,60.55,255108
2018-06-20,61.05,356061
2018-06-21,61.9,190098
2018-06-22,59.75,174182
2018-06-25,58.05,220011
2018-06-26,58.35,126929
2018-06-27,57.75,149246
2018-06-28,57.8,156245
2018-06-29,56.85,288858
2018-07-02,58.95,169551
2018-07-03,58.55,68434
2018-07-05,59.75,84274
2018-07-06,60.45,110569
2018-07-09,59.35,242676
2018-07-10,58.1,193973
2018-07-11,57.65,132739
2018-07-12,58.85,185212
2018-07-13,59.3,144992
2018-07-16,59.05,144518
2018-07-17,60.9,171033
2018-07-18,60.9,161436
2018-07-19,61.25,166387
2018-07-20,60.2,88291
2018-07-23,60.35,202201
2018-07-24,57.6,261799
2018-07-25,56.35,440936
2018-07-26,62.0,528090
2018-07-27,59.6,191209
2018-07-30,60.55,213090
2018-07-31,61.25,179889
2018-08-01,56.85,362187
2018-08-02,58.65,209089
2018-08-03,59.6,182596
2018-08-06,59.95,109539
2018-08-07,60.35,129779
2018-08-08,60.5,129371
2018-08-09,61.55,133457
2018-08-10,62.1,204026
2018-08-13,62.25,126158
2018-08-14,64.4,185358
2018-08-15,61.4,223919
2018-08-16,63.15,169848
2018-08-17,61.35,184976
2018-08-20,61.75,197139
2018-08-21,63.45,155336
2018-08-22,63.35,87989
2018-08-23,63.5,119004
2018-08-24,63.4,77058
2018-08-27,65.1,202071
2018-08-28,64.75,126422
2018-08-29,63.85,113934
2018-08-30,64.1,175690
2018-08-31,64.0,135033
2018-09-04,65.35,187397
2018-09-05,65.1,139883
2018-09-06,65.3,140112
2018-09-07,65.95,181442
2018-09-10,66.85,176660
2018-09-11,66.15,175501
2018-09-12,64.25,224920
2018-09-13,63.1,105569
2018-09-14,65.9,239188
2018-09-17,66.55,279470
2018-09-18,66.15,232665
2018-09-19,65.7,194626
2018-09-20,64.0,272217
2018-09-21,61.5,414267
2018-09-24,59.9,269837
2018-09-25,58.95,278243
2018-09-26,59.5,218717
2018-09-27,59.6,168355
2018-09-28,59.2,196703
2018-10-01,56.92,303510
2018-10-02,56.26,246436
2018-10-03,58.12,212287
2018-10-04,57.63,209479
2018-10-05,56.74,247606
2018-10-08,55.26,171123
2018-10-09,53.74,216553
2018-10-10,53.98,178007
2018-10-11,54.94,370533
2018-10-12,53.59,206623
2018-10-15,54.01,193042
2018-10-16,54.85,241120
2018-10-17,53.41,158163
2018-10-18,52.08,280460
2018-10-19,50.53,251768
2018-10-22,49.0,273802
2018-10-23,48.18,417594
2018-10-24,46.0,405267
2018-10-25,44.08,711924
2018-10-26,42.82,399095
2018-10-29,40.49,453360
2018-10-30,43.93,436012
2018-10-31,43.51,427793
2018-11-01,45.21,484202
2018-11-02,46.97,249761
2018-11-05,46.68,272646
2018-11-06,47.67,309296
2018-11-07,46.83,304792
2018-11-08,44.99,244456
2018-11-09,43.75,307390
2018-11-12,42.93,239676
2018-11-13,43.39,179945
2018-11-14,43.11,196432
2018-11-15,42.28,320934
2018-11-16,41.2,259652
2018-11-19,41.16,224323
2018-11-20,39.18,416660
2018-11-21,39.69,420118
2018-11-23,40.92,87555
2018-11-26,39.73,241915
2018-11-27,39.5,146913
2018-11-28,40.88,307335
2018-11-29,40.13,190739
2018-11-30,39.72,177803
2018-12-03,41.07,196262
2018-12-04,37.3,372308
2018-12-06,36.11,445775
2018-12-07,35.17,398304
2018-12-10,34.17,341064
2018-12-11,32.63,474131
2018-12-12,32.18,554577
2018-12-13,30.94,397164
2018-12-14,30.28,490346
2018-12-17,29.08,790706
2018-12-18,29.86,563282
2018-12-19,29.88,394006
2018-12-20,29.09,394309
2018-12-21,28.37,1163416
2018-12-24,27.83,214843
2018-12-26,28.98,398071
2018-12-27,29.42,327666
2018-12-28,29.85,313616
2018-12-31,29.61,331254
2019-01-02,30.71,353511
2019-01-03,29.92,202430
2019-01-04,31.88,237330
2019-01-07,33.5,531253
2019-01-08,33.95,373730
2019-01-09,35.24,513744
2019-01-10,35.06,425221
2019-01-11,35.21,225534
2019-01-14,35.84,220237
2019-01-15,35.3,181818
2019-01-16,36.16,281987
2019-01-17,37.34,422236
2019-01-18,38.95,794748
2019-01-22,38.91,403820
2019-01-23,38.59,633392
2019-01-24,38.98,223212
2019-01-25,39.39,349858
2019-01-28,39.89,306701
2019-01-29,39.5,160400
2019-01-30,39.3,183685
2019-01-31,39.9,186690
2019-02-01,39.77,271549
2019-02-04,39.39,279412
2019-02-05,40.24,321928
2019-02-06,39.96,376004
2019-02-07,39.06,399061
2019-02-08,39.83,240865
2019-02-11,40.62,190231
2019-02-12,41.72,225061
2019-02-13,42.63,414281
2019-02-14,45.11,759654
2019-02-15,47.03,395403
2019-02-19,47.18,289115
2019-02-20,46.8,275374
2019-02-21,47.04,246916
2019-02-22,47.64,133565
2019-02-25,46.9,160712
2019-02-26,45.93,152645
2019-02-27,46.34,143805
2019-02-28,45.21,144041
2019-03-01,47.68,290402
2019-03-04,47.14,315826
2019-03-05,46.45,166820
2019-03-06,45.84,325491
2019-03-07,44.99,264323
2019-03-08,45.11,232061
2019-03-11,46.45,121505
2019-03-12,45.88,113774
2019-03-13,45.31,96810
2019-03-14,44.8,154509
2019-03-15,45.14,275665
2019-03-18,46.67,201189
2019-03-19,45.01,253284
2019-03-20,42.58,374903
2019-03-21,43.41,168748
2019-03-22,40.96,227511
2019-03-25,42.19,173025
2019-03-26,42.48,154334
2019-03-27,43.58,150445
2019-03-28,44.57,127710
2019-03-29,45.32,205706
2019-04-01,46.06,166111
2019-04-02,44.69,129401
2019-04-03,45.36,152302
2019-04-04,46.49,165172
2019-04-05,46.97,272462
2019-04-08,47.15,325453
2019-04-09,46.65,219388
2019-04-10,48.21,286036
2019-04-11,49.0,412823
2019-04-12,49.19,217817
2019-04-15,52.05,402866
2019-04-16,54.12,395253
2019-04-17,55.55,355626
2019-04-18,55.13,303217
2019-04-22,54.45,231497
2019-04-23,55.25,203614
2019-04-24,55.42,442279
2019-04-25,52.05,765366
2019-04-26,51.93,542900
2019-04-29,49.96,324432
2019-04-30,49.87,440632
2019-05-01,47.98,361446
2019-05-02,47.27,337112
2019-05-03,49.32,194282
2019-05-06,48.59,194478
2019-05-07,47.28,273732
2019-05-08,46.41,213609
2019-05-09,47.05,486400
2019-05-10,46.01,163663
2019-05-13,43.91,234024
2019-05-14,44.55,220149
2019-05-15,44.63,233236
2019-05-16,44.44,137298
2019-05-17,43.37,169715
2019-05-20,43.14,162575
2019-05-21,44.54,133951
2019-05-22,44.24,127546
2019-05-23,43.98,138382
2019-05-24,43.94,111550
2019-05-28,43.1,237073
2019-05-29,42.31,136234
2019-05-30,42.25,126881
2019-05-31,40.79,135826
2019-06-03,41.82,202660
2019-06-04,43.71,84154
2019-06-05,43.13,194034
2019-06-06,42.95,105879
2019-06-07,43.83,161946
2019-06-10,46.03,126684
2019-06-11,45.53,148335
2019-06-12,44.82,125514
2019-06-13,46.48,130384
2019-06-14,46.8,160467
2019-06-17,45.92,92233
2019-06-18,46.9,130419
2019-06-19,47.13,157682
2019-06-20,47.83,117774
2019-06-21,48.09,177792
2019-06-24,46.37,163117
2019-06-25,44.97,125066
2019-06-26,46.35,150643
2019-06-27,47.74,149426
2019-06-28,49.19,424458
2019-07-01,48.47,123987
2019-07-02,46.67,111159
2019-07-03,48.05,74782
2019-07-05,48.32,77092
2019-07-08,46.75,119012
2019-07-09,46.22,130610
2019-07-10,46.12,90691
2019-07-11,44.76,111730
2019-07-12,46.06,118138
2019-07-15,44.84,132169
2019-07-16,45.07,206147
2019-07-17,44.58,139917
2019-07-18,44.1,120157
2019-07-19,43.19,220038
2019-07-22,42.28,216962
2019-07-23,43.99,271107
2019-07-24,45.77,205262
2019-07-25,44.99,267269
2019-07-26,46.21,164451
2019-07-29,44.0,203687
2019-07-30,45.64,151603
2019-07-31,45.87,160888
2019-08-01,44.1,135777
2019-08-02,44.02,177022
2019-08-05,42.65,226501
2019-08-06,43.61,125954
2019-08-07,43.07,105048
2019-08-08,43.86,142264
2019-08-09,41.88,114329
