date,close,volume
2018-04-25,50.34,3422651
2018-04-26,51.17,3218794
2018-04-27,51.53,3027573
2018-04-30,52.15,3304913
2018-05-01,51.86,3188871
2018-05-02,51.46,3542738
2018-05-03,51.87,2240826
2018-05-04,52.1,1496910
2018-05-07,51.88,1619974
2018-05-08,51.08,3453823
2018-05-09,50.57,2183611
2018-05-10,51.13,1557253
2018-05-11,51.15,1736904
2018-05-14,50.89,1685029
2018-05-15,50.24,2605993
2018-05-16,49.87,1923385
2018-05-17,49.56,2547348
2018-05-18,49.73,2582694
2018-05-21,50.06,1838338
2018-05-22,50.54,2757300
2018-05-23,51.35,3430575
2018-05-24,51.93,2332567
2018-05-25,52.4,1910576
2018-05-29,52.63,2582386
2018-05-30,52.69,4021089
2018-05-31,52.98,5552598
2018-06-01,52.55,3769546
2018-06-04,52.27,3725385
2018-06-05,51.97,2558091
2018-06-06,51.02,2705366
2018-06-07,50.82,3308479
2018-06-08,50.89,2439643
2018-06-11,50.81,2865136
2018-06-12,51.93,2671693
2018-06-13,51.78,2830032
2018-06-14,52.22,2171784
2018-06-15,52.53,4402525
2018-06-18,52.85,2046096
2018-06-19,52.86,3776670
2018-06-20,53.06,3126544
2018-06-21,53.12,3840887
2018-06-22,53.34,4248185
2018-06-25,54.24,2987475
2018-06-26,53.72,2730357
2018-06-27,54.06,3004769
2018-06-28,54.19,3033726
2018-06-29,54.14,3401093
2018-07-02,53.92,3273592
2018-07-03,53.49,3419935
2018-07-05,53.42,4399659
2018-07-06,53.27,2735386
2018-07-09,51.39,4095706
2018-07-10,52.04,3481363
2018-07-11,52.62,2397876
2018-07-12,52.33,2561962
2018-07-13,52.04,3518946
2018-07-16,51.81,1970006
2018-07-17,51.74,2391628
2018-07-18,51.75,3387864
2018-07-19,52.17,2349838
2018-07-20,51.36,1916047
2018-07-23,51.03,3030569
2018-07-24,51.16,4768555
2018-07-25,51.44,3314251
2018-07-26,51.8,3854410
2018-07-27,51.43,2630457
2018-07-30,51.01,3389865
2018-07-31,51.56,3856277
2018-08-01,50.54,3612664
2018-08-02,51.2,3028343
2018-08-03,51.43,2280899
2018-08-06,51.4,2215811
2018-08-07,51.52,1896124
2018-08-08,51.28,2411855
2018-08-09,51.98,2393476
2018-08-10,51.32,2273161
2018-08-13,51.72,2149610
2018-08-14,52.03,1855199
2018-08-15,52.8,4113928
2018-08-16,53.8,3740655
2018-08-17,53.81,3010125
2018-08-20,53.56,2279939
2018-08-21,52.78,2605425
2018-08-22,52.32,2282104
2018-08-23,52.41,1522092
2018-08-24,52.75,2202193
2018-08-27,52.44,2351278
2018-08-28,51.78,2487034
2018-08-29,52.25,2105686
2018-08-30,52.31,2096534
2018-08-31,52.35,2380758
2018-09-04,52.73,2247331
2018-09-05,52.93,3518995
2018-09-06,53.08,3317846
2018-09-07,52.51,2604020
2018-09-10,52.55,2028278
2018-09-11,52.76,2257665
2018-09-12,53.32,2740140
2018-09-13,53.71,2308458
2018-09-14,53.27,2644098
2018-09-17,53.54,2028084
2018-09-18,53.09,2060252
2018-09-19,51.91,3329155
2018-09-20,52.19,2363043
2018-09-21,52.14,4304193
2018-09-24,52.05,2313044
2018-09-25,51.21,1746712
2018-09-26,50.68,2232706
2018-09-27,51.34,2547723
2018-09-28,52.79,4051713
2018-10-01,52.69,2443672
2018-10-02,53.13,2932778
2018-10-03,52.01,4101918
2018-10-04,52.3,4397371
2018-10-05,52.71,3495873
2018-10-08,53.52,3200289
2018-10-09,54.07,3339011
2018-10-10,54.53,5033272
2018-10-11,53.59,4057398
2018-10-12,53.68,4064337
2018-10-15,53.48,2119836
2018-10-16,53.83,2613356
2018-10-17,53.65,2586469
2018-10-18,53.83,1872040
2018-10-19,54.88,2038189
2018-10-22,54.68,2553379
2018-10-23,54.63,3847131
2018-10-24,56.37,3881010
2018-10-25,55.85,4867961
2018-10-26,54.38,4837350
2018-10-29,55.23,3499659
2018-10-30,54.37,4168493
2018-10-31,53.43,4088999
2018-11-01,53.39,3688050
2018-11-02,52.98,3044713
2018-11-05,53.21,2995204
2018-11-06,53.0,2693109
2018-11-07,52.99,4675745
2018-11-08,52.97,3350200
2018-11-09,53.79,4986216
2018-11-12,53.78,4036716
2018-11-13,53.5,3950603
2018-11-14,53.91,5039935
2018-11-15,54.42,3500254
2018-11-16,54.3,3377816
2018-11-19,54.56,2771287
2018-11-20,53.58,3108529
2018-11-21,53.5,3403546
2018-11-23,53.23,899384
2018-11-26,53.49,2511038
2018-11-27,54.29,3717054
2018-11-28,54.71,3531299
2018-11-29,54.52,2993005
2018-11-30,55.9,3922786
2018-12-03,55.68,3029608
2018-12-04,55.81,3943779
2018-12-06,55.25,3998416
2018-12-07,55.44,3488974
2018-12-10,55.39,4011352
2018-12-11,55.79,2615941
2018-12-12,55.72,4049212
2018-12-13,55.8,2755903
2018-12-14,55.69,3008482
2018-12-17,53.41,3515136
2018-12-18,53.2,3187704
2018-12-19,52.76,3125330
2018-12-20,52.7,3501820
2018-12-21,52.44,5593011
2018-12-24,49.89,1742981
2018-12-26,50.71,2572038
2018-12-27,51.43,3024469
2018-12-28,51.33,2167666
2018-12-31,52.05,2847111
2019-01-02,50.83,3355885
2019-01-03,50.82,3263960
2019-01-04,51.37,4473129
2019-01-07,51.48,3534185
2019-01-08,51.68,2977465
2019-01-09,51.29,2750150
2019-01-10,52.0,2884480
2019-01-11,51.88,3800509
2019-01-14,50.75,4364153
2019-01-15,51.47,3568973
2019-01-16,51.45,2908560
2019-01-17,52.21,4598260
2019-01-18,51.94,4101888
2019-01-22,52.72,3704375
2019-01-23,53.33,2906915
2019-01-24,53.24,2327055
2019-01-25,52.65,2559082
2019-01-28,52.4,2447673
2019-01-29,52.77,2496819
2019-01-30,53.25,2390093
2019-01-31,54.55,3429102
2019-02-01,54.51,2809766
2019-02-04,54.97,2583846
2019-02-05,54.9,3384602
2019-02-06,55.0,2733862
2019-02-07,55.69,3339772
2019-02-08,55.88,3049943
2019-02-11,55.98,2890030
2019-02-12,56.0,2685376
2019-02-13,55.99,3026360
2019-02-14,55.93,2847450
2019-02-15,56.32,3005564
2019-02-19,56.22,4177367
2019-02-20,56.61,3958715
2019-02-21,56.91,3939288
2019-02-22,57.3,3060874
2019-02-25,57.33,4385167
2019-02-26,57.32,5450271
2019-02-27,58.56,3402431
2019-02-28,58.81,4503572
2019-03-01,59.25,3221569
2019-03-04,59.58,3374689
2019-03-05,59.33,4108182
2019-03-06,59.16,4228220
2019-03-07,59.0,4472629
2019-03-08,58.88,2883648
2019-03-11,58.67,3506029
2019-03-12,59.13,2847452
2019-03-13,59.51,4637016
2019-03-14,59.64,2420781
2019-03-15,59.73,7124277
2019-03-18,59.61,2643854
2019-03-19,59.12,2539009
2019-03-20,58.89,2676859
2019-03-21,59.48,1808552
2019-03-22,59.63,1903664
2019-03-25,59.58,1611569
2019-03-26,59.92,2573371
2019-03-27,59.28,1991787
2019-03-28,58.79,2298140
2019-03-29,59.41,2613401
2019-04-01,58.54,2898843
2019-04-02,59.05,2768337
2019-04-03,58.83,2089675
2019-04-04,59.3,3443899
2019-04-05,59.7,2611802
2019-04-08,59.25,1737859
2019-04-09,59.6,2972381
2019-04-10,59.47,2297282
2019-04-11,59.53,1970498
2019-04-12,59.89,2436873
2019-04-15,59.99,1889581
2019-04-16,58.75,2022279
2019-04-17,58.71,2623999
2019-04-18,58.87,7421492
2019-04-22,58.44,3138172
2019-04-23,58.12,3724530
2019-04-24,58.7,1924200
2019-04-25,59.0,1971255
2019-04-26,58.94,1643597
2019-04-29,58.7,1597859
2019-04-30,59.65,2182578
2019-05-01,58.78,2183181
2019-05-02,59.24,2950718
2019-05-03,59.24,2137858
2019-05-06,58.92,2129083
