date,close,volume
2020-06-24,24.83,0
2020-06-25,24.75,101
2020-06-26,24.57,0
2020-06-29,24.56,0
2020-06-30,24.46,0
2020-07-01,24.59,1
2020-07-02,24.62,0
2020-07-06,24.61,201
2020-07-07,24.63,0
2020-07-08,24.64,7
2020-07-09,24.58,43
2020-07-10,24.71,41
2020-07-13,24.44,2
2020-07-14,24.42,2
2020-07-15,24.69,0
2020-07-16,24.94,0
2020-07-17,25.04,0
2020-07-20,25.11,1
2020-07-21,25.27,2
2020-07-22,25.27,1
2020-07-23,25.32,3
2020-07-24,25.39,1
2020-07-27,25.45,7
2020-07-28,25.52,3
2020-07-29,25.79,2
2020-07-30,25.81,0
2020-07-31,25.86,6
2020-08-03,25.89,5
2020-08-04,25.82,6
2020-08-05,25.76,1
2020-08-06,25.64,4
2020-08-07,25.66,6
2020-08-10,25.88,878
2020-08-11,25.9,400
2020-08-12,26.06,0
2020-08-13,26.08,4
2020-08-14,26.11,0
