date,close,volume
2018-04-25,20.55,89046
2018-04-26,20.75,232974
2018-04-27,20.75,139208
2018-04-30,20.6,133284
2018-05-01,20.85,133853
2018-05-02,21.0,200358
2018-05-03,20.85,153862
2018-05-04,19.6,737807
2018-05-07,20.15,400569
2018-05-08,20.45,318485
2018-05-09,20.55,201273
2018-05-10,20.55,166912
2018-05-11,20.75,350678
2018-05-14,20.6,179908
2018-05-15,20.4,175447
2018-05-16,20.4,148438
2018-05-17,20.2,203764
2018-05-18,20.45,166570
2018-05-21,20.8,160073
2018-05-22,20.65,157247
2018-05-23,20.65,153367
2018-05-24,20.7,147300
2018-05-25,20.25,118953
2018-05-29,20.1,180973
2018-05-30,20.65,138252
2018-05-31,20.1,107686
2018-06-01,19.9,139878
2018-06-04,20.0,137514
2018-06-05,20.15,129086
2018-06-06,20.45,201033
2018-06-07,20.25,60992
2018-06-08,20.35,108105
2018-06-11,20.2,67432
2018-06-12,20.2,149237
2018-06-13,20.45,202626
2018-06-14,20.4,118883
2018-06-15,20.4,106533
2018-06-18,20.6,120820
2018-06-19,20.6,124790
2018-06-20,20.55,124713
2018-06-21,20.3,120436
2018-06-22,20.45,430122
2018-06-25,20.25,159091
2018-06-26,20.55,903712
2018-06-27,20.3,105673
2018-06-28,20.2,143271
2018-06-29,19.65,116383
2018-07-02,19.85,105071
2018-07-03,19.65,56798
2018-07-05,19.7,61435
2018-07-06,19.7,107268
2018-07-09,19.95,113422
2018-07-10,19.95,149011
2018-07-11,19.85,54116
2018-07-12,19.45,87560
2018-07-13,19.3,85231
2018-07-16,19.4,53369
2018-07-17,19.4,105367
2018-07-18,19.75,88148
2018-07-19,19.85,143964
2018-07-20,19.75,101147
2018-07-23,19.7,96137
2018-07-24,19.65,71214
2018-07-25,19.6,89379
2018-07-26,19.6,96304
2018-07-27,19.45,121599
2018-07-30,19.25,77625
2018-07-31,19.15,727641
2018-08-01,19.15,103854
2018-08-02,19.2,659637
2018-08-03,21.95,376962
2018-08-06,21.5,125495
2018-08-07,21.3,129343
2018-08-08,21.5,89805
2018-08-09,21.75,87259
2018-08-10,21.3,51700
2018-08-13,21.3,84551
2018-08-14,21.05,76984
2018-08-15,20.8,65854
2018-08-16,21.55,150810
2018-08-17,21.5,98709
2018-08-20,21.45,58286
2018-08-21,21.45,84163
2018-08-22,21.4,78640
2018-08-23,21.35,60757
2018-08-24,21.35,76221
2018-08-27,21.05,49497
2018-08-28,21.0,56421
2018-08-29,21.1,41132
2018-08-30,21.15,36382
2018-08-31,21.15,63553
2018-09-04,21.5,156887
2018-09-05,21.5,130933
2018-09-06,21.7,178096
2018-09-07,21.85,133350
2018-09-10,22.25,109312
2018-09-11,21.9,81355
2018-09-12,21.9,58166
2018-09-13,21.45,60452
2018-09-14,21.5,50953
2018-09-17,21.25,48332
2018-09-18,21.35,44840
2018-09-19,21.4,56900
2018-09-20,21.6,69114
2018-09-21,21.45,217544
2018-09-24,21.05,85150
2018-09-25,20.6,90043
2018-09-26,20.7,104238
2018-09-27,20.8,46486
2018-09-28,20.9,76020
2018-10-01,20.83,77743
2018-10-02,21.09,84849
2018-10-03,21.39,91704
2018-10-04,21.19,96919
2018-10-05,20.66,44848
2018-10-08,20.7,95395
2018-10-09,20.3,122569
2018-10-10,19.96,96865
2018-10-11,19.31,119497
2018-10-12,19.6,145496
2018-10-15,19.73,95084
2018-10-16,20.31,91659
2018-10-17,20.05,100161
2018-10-18,19.78,88742
2018-10-19,19.55,229468
2018-10-22,19.38,71499
2018-10-23,19.59,135588
2018-10-24,19.2,635197
2018-10-25,19.57,111313
2018-10-26,19.48,96676
2018-10-29,19.65,79209
2018-10-30,20.27,81068
2018-10-31,19.99,726610
2018-11-01,20.68,93089
2018-11-02,19.92,379689
2018-11-05,20.81,110003
2018-11-06,20.8,188618
2018-11-07,20.66,119188
2018-11-08,20.75,267022
2018-11-09,20.68,486659
2018-11-12,20.69,161904
2018-11-13,20.61,197038
2018-11-14,20.36,249283
2018-11-15,20.55,80561
2018-11-16,20.44,326920
2018-11-19,20.16,112631
2018-11-20,19.39,105605
2018-11-21,19.47,103769
2018-11-23,19.63,29323
2018-11-26,19.95,214576
2018-11-27,19.74,69242
2018-11-28,19.99,139338
2018-11-29,20.11,238648
2018-11-30,20.51,158156
2018-12-03,22.22,430264
2018-12-04,20.52,509231
2018-12-06,21.65,1163183
2018-12-07,22.27,1779369
2018-12-10,21.51,834945
2018-12-11,21.73,346236
2018-12-12,22.2,668710
2018-12-13,22.37,405522
2018-12-14,21.64,521269
2018-12-17,21.44,1030608
2018-12-18,21.27,839178
2018-12-19,20.45,1068112
2018-12-20,19.95,930004
2018-12-21,19.78,960606
2018-12-24,19.75,100058
2018-12-26,20.46,202352
2018-12-27,20.62,266719
2018-12-28,20.82,115360
2018-12-31,21.26,186879
2019-01-02,21.44,320048
2019-01-03,21.24,194068
2019-01-04,21.24,532246
2019-01-07,20.72,411545
2019-01-08,20.91,274699
2019-01-09,20.91,269855
2019-01-10,20.82,218184
2019-01-11,21.03,283674
2019-01-14,21.07,191753
2019-01-15,20.76,158250
2019-01-16,20.86,410639
2019-01-17,20.77,263927
2019-01-18,20.71,183420
2019-01-22,20.56,198170
2019-01-23,20.5,361071
2019-01-24,20.34,204121
2019-01-25,20.75,338446
2019-01-28,21.06,86381
2019-01-29,20.93,94525
2019-01-30,20.69,139685
2019-01-31,20.68,104389
2019-02-01,20.64,54900
2019-02-04,20.75,123474
2019-02-05,20.87,114844
2019-02-06,20.99,95019
2019-02-07,21.18,419648
2019-02-08,22.0,325486
2019-02-11,21.85,395352
2019-02-12,21.93,243465
2019-02-13,22.13,263767
2019-02-14,22.52,222711
2019-02-15,22.86,195431
2019-02-19,24.01,982170
2019-02-20,24.35,421548
2019-02-21,23.98,481854
2019-02-22,24.4,435327
2019-02-25,24.1,709179
2019-02-26,23.5,293280
2019-02-27,23.24,263381
2019-02-28,23.32,292712
2019-03-01,23.46,217807
2019-03-04,22.9,322482
2019-03-05,23.1,208878
2019-03-06,23.04,367134
2019-03-07,22.2,246476
2019-03-08,22.33,233371
2019-03-11,22.4,345313
2019-03-12,22.54,132737
2019-03-13,22.81,365693
2019-03-14,22.91,239468
2019-03-15,22.92,463723
2019-03-18,22.93,394786
2019-03-19,22.57,228410
2019-03-20,21.99,127599
