date,close,volume
2018-04-25,12.34,348274
2018-04-26,12.23,314490
2018-04-27,11.87,523772
2018-04-30,12.29,247194
2018-05-01,12.61,386450
2018-05-02,12.4,256483
2018-05-03,12.57,225779
2018-05-04,13.01,446020
2018-05-07,13.58,600274
2018-05-08,17.4,3357697
2018-05-09,18.09,1793022
2018-05-10,18.44,700686
2018-05-11,17.08,794649
2018-05-14,17.78,571363
2018-05-15,17.07,538152
2018-05-16,17.33,364116
2018-05-17,17.63,247779
2018-05-18,17.51,251414
2018-05-21,17.49,255894
2018-05-22,16.96,330032
2018-05-23,16.7,305632
2018-05-24,16.9,339610
2018-05-25,16.74,283148
2018-05-29,19.08,1400875
2018-05-30,18.1,624837
2018-05-31,17.9,554181
2018-06-01,18.18,452217
2018-06-04,18.08,252469
2018-06-05,20.48,1251404
2018-06-06,20.51,764319
2018-06-07,20.55,788770
2018-06-08,21.21,532387
2018-06-11,21.39,683421
2018-06-12,21.23,616599
2018-06-13,21.25,305767
2018-06-14,22.5,651677
2018-06-15,22.4,459863
2018-06-18,22.26,235952
2018-06-19,21.44,701415
2018-06-20,22.89,509123
2018-06-21,22.66,335005
2018-06-22,23.0,419551
2018-06-25,21.54,631153
2018-06-26,21.73,251749
2018-06-27,21.02,491084
2018-06-28,21.76,354449
2018-06-29,22.11,307237
2018-07-02,22.47,262012
2018-07-03,22.1,154033
2018-07-05,23.34,425301
2018-07-06,23.82,337945
2018-07-09,24.1,469378
2018-07-10,23.56,350912
2018-07-11,24.0,331188
2018-07-12,24.05,253524
2018-07-13,23.79,176033
2018-07-16,24.13,194390
2018-07-17,24.14,250622
2018-07-18,24.46,360246
2018-07-19,25.05,327697
2018-07-20,24.98,328091
2018-07-23,25.35,195755
2018-07-24,23.98,365886
2018-07-25,24.87,120290
2018-07-26,24.0,298994
2018-07-27,22.96,303796
2018-07-30,20.5,995327
2018-07-31,21.31,282621
2018-08-01,21.91,261193
2018-08-02,21.99,369873
2018-08-03,18.97,914352
2018-08-06,18.88,392229
2018-08-07,19.39,516745
2018-08-08,19.4,223788
2018-08-09,19.14,246444
2018-08-10,19.56,262692
2018-08-13,19.5,153672
2018-08-14,19.37,174541
2018-08-15,18.83,245320
2018-08-16,18.86,229610
2018-08-17,19.19,255914
2018-08-20,19.25,137332
2018-08-21,19.96,191213
2018-08-22,20.36,117261
2018-08-23,20.31,128170
2018-08-24,20.41,138368
2018-08-27,20.68,176536
2018-08-28,21.29,164937
2018-08-29,21.27,179692
2018-08-30,20.92,184346
2018-08-31,21.48,227901
2018-09-04,20.11,333014
2018-09-05,19.67,179203
2018-09-06,18.95,180252
2018-09-07,19.1,272316
2018-09-10,19.19,150955
2018-09-11,18.57,189661
2018-09-12,18.78,266549
2018-09-13,25.01,4243170
2018-09-14,26.4,1653471
2018-09-17,24.84,818573
2018-09-18,24.62,523883
2018-09-19,24.15,1189099
2018-09-20,24.91,406477
2018-09-21,24.88,741306
2018-09-24,24.64,273846
2018-09-25,24.83,221037
2018-09-26,24.71,191763
2018-09-27,24.68,238980
2018-09-28,24.82,206977
2018-10-01,25.78,527441
2018-10-02,24.98,355392
2018-10-03,24.99,215648
2018-10-04,23.43,322111
2018-10-05,23.16,199621
2018-10-08,23.3,255992
2018-10-09,23.38,219972
2018-10-10,21.33,373666
2018-10-11,19.86,721495
2018-10-12,19.99,295906
2018-10-15,20.39,309474
2018-10-16,21.63,295287
2018-10-17,22.09,144215
2018-10-18,21.39,152450
2018-10-19,20.03,235311
2018-10-22,20.21,230493
2018-10-23,20.25,158386
2018-10-24,17.48,550098
2018-10-25,18.32,240160
2018-10-26,18.0,408598
2018-10-29,18.47,495301
2018-10-30,18.6,521892
2018-10-31,19.6,252365
2018-11-01,21.71,392530
2018-11-02,22.35,325811
2018-11-05,21.97,200523
2018-11-06,21.94,179719
2018-11-07,22.0,199771
2018-11-08,21.99,163922
2018-11-09,21.8,214035
2018-11-12,20.51,191542
2018-11-13,20.29,227289
2018-11-14,19.97,322753
2018-11-15,20.82,229286
2018-11-16,20.43,171510
2018-11-19,19.48,174316
2018-11-20,18.77,151327
2018-11-21,19.51,167644
2018-11-23,19.36,84039
2018-11-26,19.35,176685
2018-11-27,19.65,129909
2018-11-28,21.14,203817
2018-11-29,21.13,166953
2018-11-30,21.24,106003
2018-12-03,21.22,203856
2018-12-04,20.29,160482
2018-12-06,19.0,523451
2018-12-07,17.93,236506
2018-12-10,17.75,278938
2018-12-11,17.93,204313
2018-12-12,17.79,256944
2018-12-13,17.46,200515
2018-12-14,17.17,252105
2018-12-17,16.29,337189
2018-12-18,16.15,304391
2018-12-19,14.93,478691
2018-12-20,13.8,641004
2018-12-21,13.85,597063
2018-12-24,13.9,212889
2018-12-26,14.75,321540
2018-12-27,14.64,265392
2018-12-28,14.53,231549
2018-12-31,14.55,185316
2019-01-02,14.9,208098
2019-01-03,14.29,187118
2019-01-04,15.48,186796
2019-01-07,15.66,160191
2019-01-08,15.95,177816
2019-01-09,16.03,117143
2019-01-10,16.45,112522
2019-01-11,16.41,78999
2019-01-14,15.82,178870
2019-01-15,16.04,141511
2019-01-16,15.99,187610
2019-01-17,15.86,329912
2019-01-18,15.81,732181
2019-01-22,15.34,334219
2019-01-23,14.93,206052
2019-01-24,15.06,415520
2019-01-25,15.07,846065
2019-01-28,14.46,354677
2019-01-29,14.15,217821
2019-01-30,14.75,261955
2019-01-31,15.32,156570
2019-02-01,15.21,112263
2019-02-04,15.71,126254
2019-02-05,16.04,116897
2019-02-06,16.13,88773
2019-02-07,15.69,110224
2019-02-08,15.96,95605
2019-02-11,16.2,81227
2019-02-12,17.33,171134
2019-02-13,16.71,202350
2019-02-14,17.15,118689
2019-02-15,17.99,518852
2019-02-19,17.84,205508
2019-02-20,19.41,645677
2019-02-21,18.22,621800
2019-02-22,17.72,420100
2019-02-25,18.2,343260
2019-02-26,18.34,166485
2019-02-27,18.0,116708
2019-02-28,16.73,218163
2019-03-01,17.12,264404
2019-03-04,16.78,248588
2019-03-05,17.13,123763
2019-03-06,16.68,142352
2019-03-07,16.67,78126
2019-03-08,16.66,100503
2019-03-11,17.35,139319
2019-03-12,17.49,143193
2019-03-13,18.09,148986
2019-03-14,18.28,110934
2019-03-15,18.28,172310
2019-03-18,18.26,103930
2019-03-19,18.03,95687
2019-03-20,18.24,94210
2019-03-21,18.67,147251
2019-03-22,17.61,151479
2019-03-25,17.03,147166
2019-03-26,16.88,99662
2019-03-27,16.59,177149
2019-03-28,16.85,123363
2019-03-29,16.76,91779
2019-04-01,17.44,164585
2019-04-02,17.69,119141
2019-04-03,17.95,143312
2019-04-04,17.91,85026
2019-04-05,18.09,103572
2019-04-08,18.2,91732
2019-04-09,18.28,127497
2019-04-10,18.59,158649
2019-04-11,18.62,195061
2019-04-12,19.05,168550
2019-04-15,19.08,247714
2019-04-16,19.6,144181
2019-04-17,19.77,163356
2019-04-18,19.82,227783
2019-04-22,20.48,216273
2019-04-23,21.35,382027
2019-04-24,21.57,203912
2019-04-25,21.13,148506
2019-04-26,21.42,152175
2019-04-29,21.7,429494
2019-04-30,29.27,2638948
2019-05-01,27.94,1447571
2019-05-02,28.68,475437
2019-05-03,29.64,1817380
2019-05-06,29.21,1050993
2019-05-07,28.8,1054169
2019-05-08,28.68,388109
2019-05-09,28.4,755227
2019-05-10,29.19,741717
2019-05-13,27.34,852206
2019-05-14,28.21,262491
2019-05-15,28.71,297451
2019-05-16,28.51,740821
2019-05-17,24.65,710290
2019-05-20,25.03,402203
2019-05-21,25.85,212590
2019-05-22,25.52,181839
2019-05-23,25.07,236712
2019-05-24,24.31,207735
2019-05-28,24.39,224799
2019-05-29,24.59,281162
2019-05-30,24.87,165059
2019-05-31,24.79,167119
2019-06-03,24.37,216080
2019-06-04,25.15,302500
2019-06-05,25.48,211969
2019-06-06,25.91,265759
2019-06-07,26.31,224528
2019-06-10,26.14,160884
2019-06-11,25.79,130328
2019-06-12,25.34,175806
2019-06-13,26.01,96004
2019-06-14,25.28,142636
2019-06-17,25.64,131457
2019-06-18,26.85,406123
2019-06-19,27.05,175858
2019-06-20,26.86,260799
2019-06-21,26.53,180075
2019-06-24,26.88,188053
2019-06-25,26.96,253622
2019-06-26,28.05,238456
2019-06-27,28.83,230763
2019-06-28,28.62,520792
2019-07-01,30.35,650548
2019-07-02,31.2,506566
2019-07-03,32.38,763754
2019-07-05,33.51,506981
2019-07-08,33.35,283971
2019-07-09,33.53,452183
2019-07-10,34.55,307199
2019-07-11,33.79,283548
2019-07-12,34.92,222413
2019-07-15,34.64,332092
2019-07-16,34.26,206941
2019-07-17,34.25,123768
2019-07-18,34.61,139608
2019-07-19,34.86,313764
2019-07-22,33.35,530003
2019-07-23,33.75,278288
2019-07-24,35.6,280071
2019-07-25,36.21,286596
2019-07-26,36.15,334527
2019-07-29,35.33,522716
2019-07-30,39.94,1169592
2019-07-31,36.2,1414091
2019-08-01,36.97,745371
2019-08-02,36.33,333871
2019-08-05,36.47,428670
2019-08-06,36.23,308371
2019-08-07,37.49,297341
2019-08-08,37.65,356821
2019-08-09,36.81,249106
2019-08-12,36.14,186321
2019-08-13,38.01,305602
2019-08-14,36.08,204247
2019-08-15,35.66,211970
2019-08-16,37.0,350844
2019-08-19,37.65,189278
2019-08-20,37.88,235760
2019-08-21,38.15,214404
2019-08-22,37.75,190166
2019-08-23,37.43,569683
2019-08-26,37.88,196872
2019-08-27,36.77,280469
2019-08-28,36.47,424941
2019-08-29,36.88,490076
2019-08-30,36.38,207550
2019-09-03,35.0,228751
2019-09-04,36.15,357205
2019-09-05,36.42,198741
2019-09-06,35.16,198952
2019-09-09,33.1,553794
2019-09-10,32.26,349370
2019-09-11,32.54,255745
2019-09-12,32.84,410986
2019-09-13,33.09,178382
2019-09-16,33.27,197253
2019-09-17,34.72,212454
2019-09-18,33.7,197502
2019-09-19,33.46,141883
2019-09-20,32.61,709609
2019-09-23,32.87,133372
2019-09-24,31.18,322542
2019-09-25,31.92,164472
2019-09-26,31.94,140486
2019-09-27,30.41,230603
2019-09-30,30.83,370852
2019-10-01,30.15,497122
2019-10-02,29.84,260865
2019-10-03,30.03,162048
2019-10-04,30.62,110688
2019-10-07,30.84,140780
2019-10-08,30.81,238235
2019-10-09,31.04,178467
2019-10-10,31.62,218396
2019-10-11,30.97,196634
2019-10-14,30.95,163067
2019-10-15,31.76,178289
2019-10-16,31.84,162047
2019-10-17,32.48,185657
2019-10-18,31.57,122789
2019-10-21,30.97,269278
2019-10-22,30.17,158773
2019-10-23,30.0,142876
2019-10-24,32.08,190501
2019-10-25,31.98,207231
2019-10-28,32.05,238003
2019-10-29,32.38,189558
2019-10-30,33.08,128312
2019-10-31,32.9,119775
2019-11-01,34.55,354587
2019-11-04,33.44,871770
2019-11-05,35.36,562005
2019-11-06,34.8,330424
2019-11-07,34.45,204291
2019-11-08,34.45,179905
2019-11-11,33.94,127493
2019-11-12,36.25,665146
2019-11-13,36.88,495309
2019-11-14,36.75,140859
2019-11-15,34.23,587645
2019-11-18,33.27,328196
2019-11-19,33.57,159713
2019-11-20,33.56,155457
2019-11-21,32.83,218569
2019-11-22,32.53,185594
2019-11-25,33.53,124734
2019-11-26,32.67,399190
2019-11-27,31.85,368506
2019-11-29,31.56,100004
2019-12-02,30.51,225622
2019-12-03,30.46,196907
2019-12-04,30.91,145173
2019-12-05,30.57,172660
2019-12-06,30.78,214854
2019-12-09,30.59,179714
2019-12-10,30.82,104114
2019-12-11,27.1,1563389
2019-12-12,26.5,1077493
2019-12-13,26.03,506380
2019-12-16,26.17,478782
2019-12-17,27.55,693163
2019-12-18,27.37,337489
2019-12-19,27.19,364521
2019-12-20,26.77,583614
2019-12-23,27.29,219497
2019-12-24,27.1,104493
2019-12-26,27.08,147344
2019-12-27,26.65,237187
2019-12-30,25.93,336079
2019-12-31,25.86,427940
2020-01-02,26.5,571395
2020-01-03,26.83,308522
2020-01-06,26.05,314128
2020-01-07,26.53,391050
2020-01-08,27.13,396456
2020-01-09,28.28,537599
2020-01-10,28.46,316063
2020-01-13,28.81,333525
2020-01-14,29.16,355086
2020-01-15,30.31,546055
2020-01-16,31.2,671985
2020-01-17,31.7,459573
2020-01-21,31.35,573745
2020-01-22,34.96,1300196
2020-01-23,35.74,672903
2020-01-24,34.74,471191
2020-01-27,33.69,455802
2020-01-28,34.36,555457
2020-01-29,34.76,774525
2020-01-30,34.05,403601
2020-01-31,32.18,391743
2020-02-03,31.64,508008
2020-02-04,32.43,299218
2020-02-05,33.0,215363
2020-02-06,33.47,218349
2020-02-07,31.64,588306
2020-02-10,32.28,187649
2020-02-11,32.32,196255
2020-02-12,32.27,300118
2020-02-13,31.7,418580
2020-02-14,31.51,205910
2020-02-18,33.18,339929
2020-02-19,35.24,819902
2020-02-20,35.66,538817
2020-02-21,35.27,235967
2020-02-24,33.73,356871
2020-02-25,31.37,408447
2020-02-26,31.39,228904
2020-02-27,30.49,339866
2020-02-28,30.75,409201
2020-03-02,28.38,835796
2020-03-03,25.35,2370398
2020-03-04,25.43,634480
2020-03-05,22.04,891218
2020-03-06,23.03,703543
2020-03-09,21.43,604769
2020-03-10,22.2,786738
2020-03-11,20.84,685710
2020-03-12,17.95,707474
2020-03-13,18.1,798752
2020-03-16,14.21,697671
2020-03-17,13.36,816207
2020-03-18,12.68,854576
2020-03-19,14.32,707383
2020-03-20,14.1,594499
2020-03-23,14.84,304326
2020-03-24,16.34,392131
2020-03-25,16.24,416981
2020-03-26,16.71,423245
2020-03-27,15.41,279888
2020-03-30,16.63,317245
2020-03-31,16.71,377928
2020-04-01,14.89,349949
2020-04-02,14.25,310416
2020-04-03,13.81,209138
2020-04-06,15.74,259193
2020-04-07,15.96,356603
2020-04-08,16.34,338515
2020-04-09,17.79,477973
2020-04-13,18.55,296613
2020-04-14,18.75,366279
2020-04-15,17.38,295884
2020-04-16,17.1,352150
2020-04-17,18.22,434416
2020-04-20,17.78,180501
2020-04-21,18.77,549004
2020-04-22,19.37,256249
2020-04-23,19.9,245913
2020-04-24,20.59,218281
2020-04-27,20.39,481780
2020-04-28,23.1,1329014
2020-04-29,24.35,546738
2020-04-30,22.46,489664
2020-05-01,21.63,329793
2020-05-04,21.8,389682
2020-05-05,22.54,256093
2020-05-06,22.4,172466
2020-05-07,23.75,660841
2020-05-08,24.73,305908
2020-05-11,24.54,238356
2020-05-12,23.76,209472
2020-05-13,21.94,273553
2020-05-14,22.9,254305
2020-05-15,22.62,275179
2020-05-18,25.24,545156
2020-05-19,24.85,230264
2020-05-20,25.17,242547
2020-05-21,25.32,153558
2020-05-22,25.31,130447
2020-05-26,27.33,357222
2020-05-27,28.38,419846
2020-05-28,25.93,381452
2020-05-29,25.85,284866
2020-06-01,26.8,198972
2020-06-02,27.04,227057
2020-06-03,27.97,334803
2020-06-04,27.3,394749
2020-06-05,28.95,364978
2020-06-08,29.53,291453
2020-06-09,27.11,725834
2020-06-10,27.5,284313
2020-06-11,24.95,572446
2020-06-12,26.64,429729
2020-06-15,26.84,173716
2020-06-16,28.58,246608
2020-06-17,27.7,246401
2020-06-18,28.19,262889
2020-06-19,28.05,361060
2020-06-22,28.12,164691
2020-06-23,28.0,152058
2020-06-24,27.03,200887
2020-06-25,27.27,147861
2020-06-26,25.69,279632
2020-06-29,26.62,179930
2020-06-30,27.47,197636
2020-07-01,26.79,113580
2020-07-02,27.12,180520
2020-07-06,27.46,258739
2020-07-07,27.14,138203
2020-07-08,27.68,199556
2020-07-09,29.93,699965
2020-07-10,29.94,432748
2020-07-13,28.22,375355
2020-07-14,28.59,293441
2020-07-15,29.54,159927
2020-07-16,28.93,175032
2020-07-17,29.94,191853
2020-07-20,31.54,463960
2020-07-21,31.16,308042
2020-07-22,30.87,220781
2020-07-23,30.12,182494
2020-07-24,29.94,223101
2020-07-27,30.25,380182
2020-07-28,27.91,376837
2020-07-29,26.44,932564
2020-07-30,22.79,2128944
2020-07-31,23.6,703681
2020-08-03,23.55,1582232
2020-08-04,24.67,1124270
2020-08-05,25.28,353487
2020-08-06,25.78,262586
2020-08-07,25.93,212728
2020-08-10,26.21,222277
2020-08-11,26.13,205157
2020-08-12,25.75,230228
2020-08-13,24.24,938641
2020-08-14,24.62,251498
