date,close,volume
2018-04-25,37.35,17746
2018-04-26,37.55,12165
2018-04-27,37.7,19210
2018-04-30,37.9,19730
2018-05-01,38.0,14762
2018-05-02,37.35,14525
2018-05-03,36.9,14743
2018-05-04,36.4,20525
2018-05-07,36.05,32613
2018-05-08,35.2,50195
2018-05-09,37.35,156033
2018-05-10,40.1,43985
2018-05-11,40.55,21224
2018-05-14,40.35,26108
2018-05-15,40.3,19321
2018-05-16,40.6,24370
2018-05-17,40.8,29451
2018-05-18,41.45,25184
2018-05-21,41.55,24871
2018-05-22,42.4,31281
2018-05-23,42.0,19200
2018-05-24,41.25,15500
2018-05-25,40.85,12059
2018-05-29,40.25,22237
2018-05-30,40.45,20866
2018-05-31,39.45,17375
2018-06-01,39.7,17910
2018-06-04,39.85,14645
2018-06-05,40.75,21609
2018-06-06,40.3,28055
2018-06-07,40.25,21717
2018-06-08,40.0,20923
2018-06-11,40.35,16192
2018-06-12,39.3,15657
2018-06-13,39.45,18669
2018-06-14,39.3,14648
2018-06-15,39.45,25286
2018-06-18,39.85,26699
2018-06-19,39.65,11105
2018-06-20,40.1,27615
2018-06-21,39.35,26572
2018-06-22,39.65,52425
2018-06-25,39.55,24452
2018-06-26,39.65,21577
2018-06-27,37.55,38350
2018-06-28,37.7,46889
2018-06-29,37.3,24881
2018-07-02,38.5,28436
2018-07-03,38.05,12520
2018-07-05,38.45,16649
2018-07-06,38.5,10137
2018-07-09,38.55,26757
2018-07-10,38.55,15753
2018-07-11,37.8,12673
2018-07-12,37.2,23818
2018-07-13,37.4,9071
2018-07-16,37.2,16319
2018-07-17,37.8,15636
2018-07-18,37.5,19180
2018-07-19,37.75,22489
2018-07-20,37.9,13874
2018-07-23,37.85,22287
2018-07-24,37.7,13318
2018-07-25,36.8,13821
2018-07-26,36.9,6461
2018-07-27,35.5,12439
2018-07-30,35.95,41113
2018-07-31,37.45,22024
2018-08-01,36.8,17144
2018-08-02,36.15,8101
2018-08-03,36.5,19424
2018-08-06,36.5,12182
2018-08-07,36.8,22932
2018-08-08,36.75,14634
2018-08-09,40.25,68817
2018-08-10,39.95,23509
2018-08-13,39.15,18625
2018-08-14,40.6,20166
2018-08-15,39.6,27014
2018-08-16,39.95,30616
2018-08-17,39.65,40832
2018-08-20,40.75,43468
2018-08-21,42.2,24468
2018-08-22,42.0,25853
2018-08-23,41.35,24675
2018-08-24,41.9,17571
2018-08-27,42.1,21138
2018-08-28,41.6,17729
2018-08-29,41.6,19990
2018-08-30,41.1,25737
2018-08-31,41.45,28942
2018-09-04,41.5,19744
2018-09-05,41.55,17811
2018-09-06,41.05,13938
2018-09-07,39.7,19087
2018-09-10,38.85,23910
2018-09-11,38.25,14837
2018-09-12,37.5,21881
2018-09-13,38.45,25743
2018-09-14,39.0,17996
2018-09-17,38.85,19163
2018-09-18,38.45,24956
2018-09-19,38.55,48814
2018-09-20,39.35,14126
2018-09-21,38.9,44031
2018-09-24,38.0,37710
2018-09-25,38.1,26240
2018-09-26,37.8,15801
2018-09-27,38.05,29195
2018-09-28,38.35,34371
2018-10-01,38.31,30163
2018-10-02,38.28,20078
2018-10-03,38.87,12260
2018-10-04,38.77,23299
2018-10-05,38.51,5553
2018-10-08,37.6,15860
2018-10-09,36.94,28280
2018-10-10,35.18,39011
2018-10-11,36.36,43685
2018-10-12,35.67,28565
2018-10-15,36.0,25345
2018-10-16,36.69,36405
2018-10-17,36.65,12066
2018-10-18,36.27,34583
2018-10-19,36.0,30122
2018-10-22,35.94,37355
2018-10-23,34.54,80571
2018-10-24,33.55,52363
2018-10-25,33.98,25181
2018-10-26,33.74,15881
2018-10-29,33.05,26245
2018-10-30,33.14,30151
2018-10-31,33.08,18770
2018-11-01,34.36,18227
2018-11-02,34.2,17673
2018-11-05,33.16,17663
2018-11-06,37.93,111645
2018-11-07,36.14,22563
2018-11-08,38.31,32010
2018-11-09,36.79,28440
2018-11-12,36.51,35344
2018-11-13,36.6,18715
2018-11-14,36.78,27208
2018-11-15,38.1,35833
2018-11-16,37.27,36864
2018-11-19,36.99,25030
2018-11-20,35.91,56970
2018-11-21,37.96,23797
2018-11-23,37.07,9444
2018-11-26,36.79,21802
2018-11-27,36.05,4146
2018-11-28,36.93,36904
2018-11-29,36.17,25098
2018-11-30,36.06,30622
2018-12-03,37.24,26515
2018-12-04,35.73,56451
2018-12-06,34.1,53110
2018-12-07,33.02,26511
2018-12-10,33.13,26220
2018-12-11,32.54,17221
2018-12-12,33.25,17525
2018-12-13,32.52,24107
2018-12-14,31.37,22589
2018-12-17,31.03,28568
2018-12-18,31.42,18297
2018-12-19,31.04,22253
2018-12-20,30.6,34400
2018-12-21,30.24,65552
2018-12-24,28.23,17363
2018-12-26,29.44,21467
2018-12-27,30.1,23295
2018-12-28,29.98,14883
2018-12-31,30.69,14955
2019-01-02,30.71,43212
2019-01-03,29.91,19203
2019-01-04,31.67,24937
2019-01-07,31.77,16516
2019-01-08,32.47,17141
2019-01-09,32.39,14017
2019-01-10,32.18,10989
2019-01-11,32.34,12553
2019-01-14,31.65,17110
2019-01-15,31.58,19750
2019-01-16,31.46,23717
2019-01-17,31.12,59257
2019-01-18,31.2,49459
2019-01-22,31.01,67988
2019-01-23,31.41,13982
2019-01-24,31.27,11547
2019-01-25,31.6,4617
2019-01-28,31.08,16403
2019-01-29,31.0,7486
2019-01-30,31.56,36928
2019-01-31,32.48,30702
2019-02-01,32.55,18121
2019-02-04,32.88,32608
2019-02-05,33.23,21390
2019-02-06,33.55,12239
2019-02-07,32.74,11807
2019-02-08,32.45,7937
2019-02-11,32.37,28232
2019-02-12,33.44,13520
2019-02-13,33.22,20426
2019-02-14,33.19,12641
2019-02-15,33.92,27878
2019-02-19,34.35,37170
2019-02-20,34.24,14166
2019-02-21,33.45,13450
2019-02-22,33.5,26884
2019-02-25,32.24,24271
2019-02-26,32.06,25112
2019-02-27,32.26,13580
2019-02-28,31.79,11669
2019-03-01,31.7,23209
2019-03-04,31.74,43334
