date,close,volume
2019-07-24,25.0,199920
2019-07-25,25.07,801
2019-07-26,25.07,0
2019-07-29,25.07,42
2019-07-30,25.07,45
2019-07-31,25.0,801
2019-08-01,25.0,0
2019-08-02,24.36,1824
2019-08-05,24.36,5
2019-08-06,24.36,0
2019-08-07,24.36,0
2019-08-08,24.36,38
2019-08-09,24.36,5
2019-08-12,24.36,1
2019-08-13,24.36,0
2019-08-14,24.36,0
2019-08-15,23.84,419
2019-08-16,23.84,1
2019-08-19,23.84,0
2019-08-20,23.84,0
2019-08-21,24.48,400
2019-08-22,24.34,100
2019-08-23,24.34,0
2019-08-26,24.34,0
2019-08-27,24.34,30
2019-08-28,24.34,0
2019-08-29,24.49,300
2019-08-30,24.41,100
2019-09-03,24.29,100
2019-09-04,24.29,0
2019-09-05,24.29,0
2019-09-06,24.29,50
2019-09-09,24.9,400
2019-09-10,24.9,0
2019-09-11,24.9,29
2019-09-12,24.9,10
2019-09-13,24.9,100
2019-09-16,24.9,600
2019-09-17,24.9,30
2019-09-18,24.9,23
2019-09-19,25.03,404
2019-09-20,25.03,606
2019-09-23,25.03,0
2019-09-24,24.78,420
2019-09-25,24.78,0
2019-09-26,24.85,820
2019-09-27,24.85,0
2019-09-30,24.85,8
2019-10-01,24.76,0
2019-10-02,23.98,294
2019-10-03,23.98,1
2019-10-04,23.98,1
2019-10-07,24.54,300
2019-10-08,24.54,94
2019-10-09,24.54,0
2019-10-10,24.54,0
2019-10-11,24.54,0
2019-10-14,24.54,0
2019-10-15,24.54,0
2019-10-16,24.54,0
2019-10-17,24.9,400
2019-10-18,24.9,0
2019-10-21,24.9,10
2019-10-22,24.9,0
2019-10-23,24.9,0
2019-10-24,24.9,0
2019-10-25,24.9,0
2019-10-28,24.9,0
2019-10-29,24.9,0
2019-10-30,24.9,0
2019-10-31,24.9,0
2019-11-01,24.9,1
2019-11-04,24.9,23
2019-11-05,24.9,3
2019-11-06,25.3,400
2019-11-07,25.3,6
2019-11-08,25.3,80
2019-11-11,25.3,0
2019-11-12,25.3,0
2019-11-13,25.43,800
2019-11-14,25.43,3
2019-11-15,25.43,45
2019-11-18,25.43,15
2019-11-19,25.43,7
2019-11-20,25.43,0
2019-11-21,25.43,0
2019-11-22,25.43,0
2019-11-25,25.43,7
2019-11-26,25.43,2
2019-11-27,26.02,400
2019-11-29,26.02,145
2019-12-02,26.02,48
2019-12-03,26.02,10
2019-12-04,26.02,4
2019-12-05,26.02,10
2019-12-06,26.02,351
2019-12-09,26.02,0
2019-12-10,25.85,603
2019-12-11,25.85,3
2019-12-12,25.85,38
2019-12-13,25.85,0
2019-12-16,26.38,510
2019-12-17,26.48,274
2019-12-18,26.48,0
2019-12-19,26.48,0
2019-12-20,26.48,40
2019-12-23,26.48,0
2019-12-24,26.48,0
2019-12-26,26.69,386
2019-12-27,26.59,494
2019-12-30,26.44,420
2019-12-31,26.44,50
2020-01-02,26.44,5
2020-01-03,26.44,3
2020-01-06,26.44,2
2020-01-07,26.58,711
2020-01-08,26.5,274
2020-01-09,26.5,1
2020-01-10,26.5,3
2020-01-13,26.98,123
2020-01-14,26.98,1
2020-01-15,26.98,1
2020-01-16,27.3,222
2020-01-17,27.3,1
2020-01-21,27.3,0
2020-01-22,27.3,202
2020-01-23,27.3,12
2020-01-24,27.3,15
2020-01-27,27.3,23
2020-01-28,27.07,304
2020-01-29,27.01,314
2020-01-30,27.14,400
2020-01-31,26.64,101
2020-02-03,26.84,101
2020-02-04,26.84,0
2020-02-05,27.44,103
2020-02-06,27.44,0
2020-02-07,27.44,101
2020-02-10,27.44,6
2020-02-11,27.44,8
2020-02-12,27.44,2
2020-02-13,27.44,2
2020-02-14,27.44,2
2020-02-18,27.44,19
2020-02-19,27.44,14
2020-02-20,27.86,1036
2020-02-21,27.5,305
2020-02-24,27.5,2
2020-02-25,26.32,389
2020-02-26,26.32,11
2020-02-27,24.66,153
2020-02-28,24.02,175
2020-03-02,25.54,262
2020-03-03,24.85,726
2020-03-04,25.84,103
2020-03-05,25.84,0
2020-03-06,24.58,102
2020-03-09,22.81,271
2020-03-10,22.81,1
2020-03-11,22.81,44
2020-03-12,22.81,50
2020-03-13,22.81,16
2020-03-16,20.0,190
2020-03-17,20.0,3
2020-03-18,19.59,543
2020-03-19,19.9,2200
2020-03-20,18.95,126
2020-03-23,18.95,16
2020-03-24,18.95,2
