date,close,volume
2018-04-25,77.6,44493
2018-04-26,77.44,63988
2018-04-27,76.64,59605
2018-04-30,75.88,45101
2018-05-01,76.5,58244
2018-05-02,76.25,39464
2018-05-03,74.69,39503
2018-05-04,75.35,49923
2018-05-07,75.19,40970
2018-05-08,75.72,82556
2018-05-09,76.12,45347
2018-05-10,70.92,175284
2018-05-11,72.31,74282
2018-05-14,72.02,71668
2018-05-15,72.79,75385
2018-05-16,73.85,87425
2018-05-17,75.01,111599
2018-05-18,74.66,54639
2018-05-21,75.0,60731
2018-05-22,74.14,114750
2018-05-23,73.92,80225
2018-05-24,73.5,79871
2018-05-25,73.98,61330
2018-05-29,73.92,96694
2018-05-30,72.99,212767
2018-05-31,72.0,137064
2018-06-01,72.0,149666
2018-06-04,73.75,123275
2018-06-05,73.0,242227
2018-06-06,74.34,202658
2018-06-07,74.29,61642
2018-06-08,75.51,87419
2018-06-11,75.71,89867
2018-06-12,76.83,84042
2018-06-13,76.45,58878
2018-06-14,77.0,55462
2018-06-15,77.07,132984
2018-06-18,78.25,78417
2018-06-19,78.88,96977
2018-06-20,79.17,96697
2018-06-21,78.56,73800
2018-06-22,77.63,228493
2018-06-25,77.63,89630
2018-06-26,78.62,126891
2018-06-27,78.43,132848
2018-06-28,79.0,140789
2018-06-29,78.55,129586
2018-07-02,79.92,163787
2018-07-03,81.42,48055
2018-07-05,82.01,45745
2018-07-06,82.65,92021
2018-07-09,82.81,69955
2018-07-10,75.58,307000
2018-07-11,75.73,123026
2018-07-12,75.39,140102
2018-07-13,72.78,124135
2018-07-16,72.82,66499
2018-07-17,72.59,65940
2018-07-18,71.92,47710
2018-07-19,72.03,42158
2018-07-20,71.41,44996
2018-07-23,72.81,81750
2018-07-24,71.79,49503
2018-07-25,71.43,55097
2018-07-26,71.39,46323
2018-07-27,70.43,55873
2018-07-30,69.92,57532
2018-07-31,70.08,54301
2018-08-01,71.27,81894
2018-08-02,73.08,39824
2018-08-03,71.85,49202
2018-08-06,72.7,53760
2018-08-07,73.05,37079
2018-08-08,65.96,333920
2018-08-09,64.01,89088
2018-08-10,64.17,117916
2018-08-13,65.52,74552
2018-08-14,65.38,47862
2018-08-15,65.44,41464
2018-08-16,65.61,45361
2018-08-17,66.6,45507
2018-08-20,66.86,79939
2018-08-21,66.71,80448
2018-08-22,67.01,75028
2018-08-23,66.87,51297
2018-08-24,66.91,43838
2018-08-27,67.0,48682
2018-08-28,67.01,41800
2018-08-29,66.75,30553
2018-08-30,66.7,32661
2018-08-31,67.14,40917
2018-09-04,66.3,54600
2018-09-05,66.23,57992
2018-09-06,66.13,44192
2018-09-07,65.86,43374
2018-09-10,65.42,55800
2018-09-11,64.92,53564
2018-09-12,64.83,40270
2018-09-13,64.23,62128
2018-09-14,64.21,58426
2018-09-17,68.59,145722
2018-09-18,66.8,70009
2018-09-19,65.94,61362
2018-09-20,66.21,55015
2018-09-21,66.11,125611
2018-09-24,67.24,50101
2018-09-25,66.59,46495
2018-09-26,66.68,80422
2018-09-27,66.38,22450
2018-09-28,67.28,45923
2018-10-01,67.39,101691
2018-10-02,67.29,89173
2018-10-03,67.61,83132
2018-10-04,67.6,84347
2018-10-05,67.81,75460
2018-10-08,67.85,61227
2018-10-09,67.17,54704
2018-10-10,66.32,95268
2018-10-11,64.9,62473
2018-10-12,64.58,89232
2018-10-15,64.56,50669
2018-10-16,66.27,41528
2018-10-17,65.07,37441
2018-10-18,64.9,40726
2018-10-19,64.56,73195
2018-10-22,69.01,157229
2018-10-23,67.62,175499
2018-10-24,65.47,85480
2018-10-25,65.84,64268
2018-10-26,65.08,86284
2018-10-29,64.98,51035
2018-10-30,65.85,31240
2018-10-31,66.09,56980
2018-11-01,66.7,64067
2018-11-02,66.07,52198
2018-11-05,66.73,64323
2018-11-06,67.13,29581
2018-11-07,69.73,54201
2018-11-08,74.75,55181
2018-11-09,71.1,44280
2018-11-12,69.45,52911
2018-11-13,68.34,45624
2018-11-14,67.19,56995
2018-11-15,66.92,44181
2018-11-16,66.96,85552
2018-11-19,67.08,73597
2018-11-20,67.52,103503
2018-11-21,67.59,32928
2018-11-23,67.82,22791
2018-11-26,67.65,24433
2018-11-27,67.66,76344
2018-11-28,68.14,132745
2018-11-29,69.88,90411
2018-11-30,70.81,83867
2018-12-03,70.26,74461
2018-12-04,69.0,64879
2018-12-06,67.74,62441
2018-12-07,67.74,58623
2018-12-10,67.78,42463
2018-12-11,67.6,29697
2018-12-12,67.72,53957
2018-12-13,67.53,55986
2018-12-14,67.11,92286
2018-12-17,63.27,128300
2018-12-18,62.4,116558
2018-12-19,61.45,95176
2018-12-20,59.24,62796
2018-12-21,58.79,382113
2018-12-24,59.02,45291
2018-12-26,59.27,34423
2018-12-27,59.51,41254
2018-12-28,60.15,51104
2018-12-31,60.02,49534
2019-01-02,60.29,86164
2019-01-03,59.8,50566
2019-01-04,60.99,60360
2019-01-07,60.49,60841
2019-01-08,61.3,57190
2019-01-09,60.34,107012
2019-01-10,62.3,63930
2019-01-11,62.51,87883
2019-01-14,62.46,30663
2019-01-15,63.6,31079
2019-01-16,62.86,84284
2019-01-17,63.42,77397
2019-01-18,62.88,56465
2019-01-22,61.74,34055
2019-01-23,63.13,36329
2019-01-24,63.62,38705
2019-01-25,64.88,46378
2019-01-28,63.55,30330
2019-01-29,63.23,35193
2019-01-30,63.36,37720
