date,close,volume
2018-05-24,25.0,84400
2018-05-25,26.7,1148611
2018-05-29,25.85,657445
2018-05-30,25.7,1014873
2018-05-31,24.88,1086317
2018-06-01,24.55,38126343
2018-06-04,23.3,6791254
2018-06-05,22.45,9496267
2018-06-06,22.67,12258594
2018-06-07,23.11,8233214
2018-06-08,24.29,7551700
2018-06-11,24.03,3396908
2018-06-12,23.45,5180105
2018-06-13,22.97,3827588
2018-06-14,22.67,3210813
2018-06-15,22.56,3885787
2018-06-18,23.05,2459737
2018-06-19,22.63,3178372
2018-06-20,22.38,2950868
2018-06-21,21.63,4321115
2018-06-22,21.73,17389218
2018-06-25,21.27,3026837
2018-06-26,20.73,7732798
2018-06-27,20.01,6293431
2018-06-28,20.21,5133026
2018-06-29,20.55,3372841
2018-07-02,21.65,2238241
2018-07-03,21.97,1176655
2018-07-05,21.96,1218881
2018-07-06,21.97,947989
2018-07-09,21.96,1663909
2018-07-10,22.25,2504247
2018-07-11,22.56,1688457
2018-07-12,22.81,2116928
2018-07-13,22.87,1541890
2018-07-16,22.77,1627246
2018-07-17,23.13,1650900
2018-07-18,23.23,1450093
2018-07-19,23.11,1786661
2018-07-20,23.1,1367118
2018-07-23,23.01,1184245
2018-07-24,22.55,2133164
2018-07-25,22.36,749577
2018-07-26,22.11,1290639
2018-07-27,21.84,536308
2018-07-30,21.82,1095170
2018-07-31,21.7,991326
2018-08-01,22.09,1088158
2018-08-02,22.27,933329
2018-08-03,22.15,635340
2018-08-06,21.99,581585
2018-08-07,21.59,1138743
2018-08-08,21.38,977094
2018-08-09,21.62,849804
2018-08-10,21.96,808532
2018-08-13,21.96,1129115
2018-08-14,21.65,1220682
2018-08-15,23.7,5041185
2018-08-16,23.18,1068424
2018-08-17,23.3,1136345
2018-08-20,23.22,751960
2018-08-21,23.35,1588055
2018-08-22,23.17,2279770
2018-08-23,23.48,1227713
2018-08-24,23.82,731264
2018-08-27,23.53,796174
2018-08-28,23.32,494430
2018-08-29,22.97,1183166
2018-08-30,22.96,586882
2018-08-31,23.26,848041
2018-09-04,24.05,1136724
2018-09-05,23.93,1703988
2018-09-06,24.16,1280548
2018-09-07,24.01,831103
2018-09-10,25.01,2117328
2018-09-11,25.03,1078350
2018-09-12,24.99,796114
2018-09-13,25.21,676666
2018-09-14,25.6,2519939
2018-09-17,25.44,1101601
2018-09-18,25.69,1127115
2018-09-19,25.07,563351
2018-09-20,25.82,1128463
2018-09-21,25.68,1750597
2018-09-24,25.51,482412
2018-09-25,25.41,1210061
2018-09-26,25.26,1535405
2018-09-27,25.59,1185978
2018-09-28,25.72,1224351
2018-10-01,25.56,609310
2018-10-02,25.66,533398
2018-10-03,26.14,1214115
2018-10-04,25.63,751592
2018-10-05,25.44,811661
2018-10-08,25.76,512781
2018-10-09,25.55,695519
2018-10-10,25.06,887300
2018-10-11,24.67,768762
2018-10-12,24.75,829878
2018-10-15,24.7,480379
2018-10-16,25.8,977734
2018-10-17,25.74,804727
2018-10-18,25.4,556201
2018-10-19,25.03,592083
2018-10-22,25.57,504115
2018-10-23,25.02,662819
2018-10-24,23.95,1200176
2018-10-25,24.08,509833
2018-10-26,23.92,624445
2018-10-29,23.63,528166
2018-10-30,24.3,528532
2018-10-31,24.49,707065
2018-11-01,23.94,395607
2018-11-02,23.21,616869
2018-11-05,23.15,575013
2018-11-06,23.3,615149
2018-11-07,23.85,896899
2018-11-08,23.73,352910
2018-11-09,23.39,539580
2018-11-12,22.8,965734
2018-11-13,22.59,954545
2018-11-14,22.34,937248
2018-11-15,22.01,2585334
2018-11-16,21.33,1694559
2018-11-19,20.43,1440308
2018-11-20,20.53,1531248
2018-11-21,20.65,904952
2018-11-23,20.85,354408
2018-11-26,20.58,1281160
2018-11-27,20.39,966964
2018-11-28,20.35,1205836
2018-11-29,20.33,1173813
2018-11-30,21.11,1063329
2018-12-03,20.89,821388
2018-12-04,20.55,1328987
2018-12-06,20.11,819023
2018-12-07,20.26,669729
2018-12-10,20.23,860596
2018-12-11,20.17,539913
2018-12-12,20.35,997685
2018-12-13,20.45,498953
2018-12-14,20.2,908270
2018-12-17,18.85,1508503
2018-12-18,19.15,1235405
2018-12-19,18.7,1038082
2018-12-20,17.98,1101317
2018-12-21,17.42,4283004
2018-12-24,16.65,449253
2018-12-26,16.71,1542338
2018-12-27,16.16,1212586
2018-12-28,16.33,1150672
2018-12-31,17.22,1253815
2019-01-02,17.34,886757
2019-01-03,17.3,1047430
2019-01-04,18.15,1021676
2019-01-07,18.44,1327709
2019-01-08,18.66,828859
2019-01-09,18.63,1263936
2019-01-10,18.87,461635
2019-01-11,18.91,590207
2019-01-14,18.72,659330
2019-01-15,18.67,670464
2019-01-16,18.6,700742
2019-01-17,19.23,664150
2019-01-18,19.34,403907
2019-01-22,19.44,588847
2019-01-23,19.51,444499
2019-01-24,19.67,524665
2019-01-25,19.96,605795
2019-01-28,19.66,504007
2019-01-29,19.79,440889
2019-01-30,19.95,589009
2019-01-31,20.05,523850
2019-02-01,20.24,405669
2019-02-04,20.27,522983
2019-02-05,20.25,560873
2019-02-06,20.22,527589
2019-02-07,20.1,922768
2019-02-08,19.78,1891579
2019-02-11,19.65,1336148
2019-02-12,19.8,1146417
2019-02-13,20.22,2066449
2019-02-14,20.64,2484640
2019-02-15,21.09,1622501
2019-02-19,21.39,528459
2019-02-20,21.63,821523
2019-02-21,21.34,855615
2019-02-22,21.51,793193
2019-02-25,21.45,510695
2019-02-26,21.36,571959
2019-02-27,21.18,509565
2019-02-28,21.1,798202
2019-03-01,21.19,745097
2019-03-04,21.0,542884
2019-03-05,20.54,488056
2019-03-06,20.36,422181
2019-03-07,20.23,388591
2019-03-08,20.37,255706
2019-03-11,20.69,620358
2019-03-12,20.69,538488
2019-03-13,20.55,432558
2019-03-14,20.49,351317
2019-03-15,20.5,1437716
2019-03-18,20.72,520061
2019-03-19,20.67,346055
2019-03-20,20.84,650465
2019-03-21,21.21,519698
2019-03-22,20.88,841753
2019-03-25,20.81,1002058
2019-03-26,20.95,578668
2019-03-27,21.04,877887
2019-03-28,20.76,687233
2019-03-29,20.22,1709437
2019-04-01,20.81,1107686
2019-04-02,20.83,806414
2019-04-03,21.76,824597
2019-04-04,21.6,570931
2019-04-05,21.75,447039
2019-04-08,21.6,396822
2019-04-09,21.77,474007
2019-04-10,22.02,366864
2019-04-11,21.76,1384047
2019-04-12,22.18,485100
2019-04-15,22.21,295430
2019-04-16,21.83,645560
2019-04-17,21.88,743137
2019-04-18,21.74,631716
2019-04-22,21.92,203261
2019-04-23,22.5,568813
2019-04-24,22.42,358566
2019-04-25,22.16,268104
2019-04-26,22.65,297872
2019-04-29,22.64,357995
2019-04-30,23.08,835077
2019-05-01,22.94,578161
2019-05-02,22.73,774492
2019-05-03,23.42,793653
2019-05-06,23.37,920620
2019-05-07,22.92,700601
2019-05-08,23.23,696534
2019-05-09,23.47,710797
2019-05-10,23.16,568367
2019-05-13,22.38,590064
2019-05-14,22.33,752161
2019-05-15,22.4,2509515
2019-05-16,22.47,2120785
2019-05-17,22.17,1574554
2019-05-20,21.97,495118
2019-05-21,22.34,974443
2019-05-22,22.6,844530
2019-05-23,22.05,804681
2019-05-24,22.29,773286
2019-05-28,22.22,854267
2019-05-29,21.86,523081
2019-05-30,21.67,570816
2019-05-31,21.71,1033237
2019-06-03,21.31,843595
2019-06-04,21.65,772284
2019-06-05,21.28,1187530
2019-06-06,21.54,1157544
2019-06-07,23.58,2576921
2019-06-10,23.11,1352556
2019-06-11,23.01,1499702
2019-06-12,23.2,828819
2019-06-13,23.02,770339
2019-06-14,22.83,392244
2019-06-17,22.96,760589
2019-06-18,23.49,1498113
2019-06-19,23.5,1253898
2019-06-20,23.95,1092325
2019-06-21,23.7,1277337
2019-06-24,23.47,1019831
2019-06-25,23.62,880038
2019-06-26,23.13,883515
2019-06-27,23.06,899068
2019-06-28,23.41,2873170
2019-07-01,23.26,566925
2019-07-02,22.9,866419
2019-07-03,23.61,441433
2019-07-05,23.73,661805
2019-07-08,23.86,668081
2019-07-09,24.01,794320
2019-07-10,24.03,541913
2019-07-11,24.02,486766
2019-07-12,23.97,486904
2019-07-15,23.84,474722
2019-07-16,23.81,400197
2019-07-17,23.9,816029
2019-07-18,23.94,640464
2019-07-19,23.4,634303
2019-07-22,23.2,416367
2019-07-23,23.18,746790
2019-07-24,23.72,601504
2019-07-25,23.76,506297
2019-07-26,23.98,464984
2019-07-29,23.79,344984
2019-07-30,23.62,500687
2019-07-31,23.33,818717
2019-08-01,23.49,491577
2019-08-02,22.84,520379
2019-08-05,21.81,771876
2019-08-06,21.82,556639
2019-08-07,22.07,528286
2019-08-08,22.72,686832
2019-08-09,22.34,694423
2019-08-12,21.81,227017
2019-08-13,22.0,766858
2019-08-14,21.49,823610
2019-08-15,23.75,2184522
2019-08-16,24.32,1219771
2019-08-19,24.55,1006663
2019-08-20,24.93,786220
2019-08-21,25.58,1211916
2019-08-22,25.47,871245
2019-08-23,25.11,755014
2019-08-26,25.6,771083
2019-08-27,25.19,652439
2019-08-28,25.57,752359
2019-08-29,25.66,1110422
2019-08-30,25.95,847794
2019-09-03,25.61,526519
2019-09-04,25.96,751407
2019-09-05,26.12,836770
2019-09-06,25.92,736951
2019-09-09,25.65,887044
2019-09-10,25.73,709768
2019-09-11,26.02,638632
2019-09-12,26.11,743453
2019-09-13,26.35,705558
2019-09-16,26.18,532128
2019-09-17,26.01,530484
2019-09-18,25.98,647834
2019-09-19,26.23,1120717
2019-09-20,26.3,2281967
2019-09-23,26.33,2819340
2019-09-24,25.85,741824
2019-09-25,26.17,1427536
2019-09-26,26.41,621554
2019-09-27,25.9,652125
2019-09-30,26.12,1065759
2019-10-01,25.75,1218497
2019-10-02,25.32,647979
2019-10-03,25.41,364103
2019-10-04,25.61,428753
2019-10-07,25.75,794679
2019-10-08,25.44,542430
2019-10-09,25.55,494095
2019-10-10,25.62,561010
2019-10-11,26.04,605826
2019-10-14,25.77,434374
2019-10-15,26.07,637977
2019-10-16,25.68,602186
2019-10-17,25.75,427672
2019-10-18,25.67,434858
2019-10-21,25.76,469370
2019-10-22,25.56,571307
2019-10-23,25.38,498772
2019-10-24,25.59,352832
2019-10-25,25.75,371735
2019-10-28,26.21,517773
2019-10-29,26.53,468507
2019-10-30,26.63,356384
2019-10-31,26.54,489526
2019-11-01,27.21,866433
2019-11-04,27.06,770501
2019-11-05,26.92,424581
2019-11-06,27.02,734092
2019-11-07,27.16,350865
2019-11-08,27.48,586327
2019-11-11,27.59,500143
2019-11-12,27.98,618300
2019-11-13,27.8,1210583
2019-11-14,27.91,2016284
2019-11-15,27.75,1178356
2019-11-18,27.7,657660
2019-11-19,27.54,1233917
2019-11-20,26.9,1220065
2019-11-21,26.8,917196
2019-11-22,26.61,582196
2019-11-25,26.7,1206794
2019-11-26,26.74,795728
2019-11-27,27.45,999602
2019-11-29,27.58,413778
2019-12-02,27.44,1042652
2019-12-03,27.45,528075
2019-12-04,27.38,560555
2019-12-05,27.09,634353
2019-12-06,26.84,775148
2019-12-09,26.85,1756492
2019-12-10,26.75,861925
2019-12-11,26.33,712933
2019-12-12,26.15,879845
2019-12-13,26.17,1055841
2019-12-16,26.48,1255922
2019-12-17,26.38,555203
2019-12-18,26.47,872239
2019-12-19,26.75,878745
2019-12-20,27.68,3390561
2019-12-23,27.93,634394
2019-12-24,27.78,227679
2019-12-26,27.37,314656
2019-12-27,27.06,428272
2019-12-30,26.77,536929
2019-12-31,26.44,824410
2020-01-02,26.34,1238019
2020-01-03,26.49,2175766
2020-01-06,26.35,1169819
2020-01-07,26.02,1120624
2020-01-08,26.0,878180
