date,close,volume
2018-04-25,11.1,1030281
2018-04-26,10.6,422290
2018-04-27,10.6,350055
2018-04-30,10.7,686473
2018-05-01,10.95,906185
2018-05-02,11.05,704524
2018-05-03,10.8,524216
2018-05-04,11.2,819725
2018-05-07,11.15,406267
2018-05-08,11.1,529533
2018-05-09,11.2,659697
2018-05-10,10.95,448852
2018-05-11,11.4,617782
2018-05-14,11.5,595342
2018-05-15,11.9,1004766
2018-05-16,11.65,915149
2018-05-17,11.35,794659
2018-05-18,11.5,292601
2018-05-21,11.1,322625
2018-05-22,10.9,422005
2018-05-23,10.5,873221
2018-05-24,10.4,582704
2018-05-25,10.3,583130
2018-05-29,10.2,701473
2018-05-30,10.2,748979
2018-05-31,10.45,464434
2018-06-01,10.5,475303
2018-06-04,10.5,1155732
2018-06-05,10.35,455642
2018-06-06,10.55,345517
2018-06-07,10.65,291500
2018-06-08,10.9,458350
2018-06-11,10.9,346077
2018-06-12,10.7,281668
2018-06-13,10.55,286758
2018-06-14,10.85,399943
2018-06-15,11.05,624796
2018-06-18,10.7,531640
2018-06-19,10.65,440237
2018-06-20,11.0,661351
2018-06-21,10.8,657688
2018-06-22,10.65,1317256
2018-06-25,10.5,619323
2018-06-26,10.8,610611
2018-06-27,10.4,679960
2018-06-28,10.2,716679
2018-06-29,10.2,579183
2018-07-02,10.05,687920
2018-07-03,10.25,208731
2018-07-05,10.55,450732
2018-07-06,10.55,549385
2018-07-09,10.35,633586
2018-07-10,10.2,753413
2018-07-11,10.3,532563
2018-07-12,10.6,456215
2018-07-13,10.65,409569
2018-07-16,10.5,598487
2018-07-17,10.45,368580
2018-07-18,10.7,299496
2018-07-19,10.4,466143
2018-07-20,10.6,263725
2018-07-23,10.45,242332
2018-07-24,10.35,378181
2018-07-25,10.65,598327
2018-07-26,10.45,406040
2018-07-27,10.25,554216
2018-07-30,9.95,574327
2018-07-31,10.1,478918
2018-08-01,9.8,717128
2018-08-02,9.85,682432
2018-08-03,9.8,1242749
2018-08-06,10.95,1459967
2018-08-07,10.9,812505
2018-08-08,10.55,2383493
2018-08-09,10.45,1624708
2018-08-10,10.0,620472
2018-08-13,9.65,955597
2018-08-14,10.05,669013
2018-08-15,10.05,411628
2018-08-16,10.0,338717
2018-08-17,10.2,356389
2018-08-20,10.45,246536
2018-08-21,10.65,352730
2018-08-22,10.2,351872
2018-08-23,10.35,529937
2018-08-24,10.3,244262
2018-08-27,10.1,590004
2018-08-28,10.0,388043
2018-08-29,10.05,290134
2018-08-30,10.2,287935
2018-08-31,10.25,279367
2018-09-04,10.2,601765
2018-09-05,10.15,277470
2018-09-06,10.1,804556
2018-09-07,10.07,363404
2018-09-10,10.0,334061
2018-09-11,9.7,556878
2018-09-12,9.65,438227
2018-09-13,9.45,508416
2018-09-14,9.35,383856
2018-09-17,9.05,516700
2018-09-18,9.1,267026
2018-09-19,9.15,170142
2018-09-20,9.25,255641
2018-09-21,9.65,562490
2018-09-24,9.4,292459
2018-09-25,9.45,267336
2018-09-26,9.45,184123
2018-09-27,9.4,421016
2018-09-28,9.7,411255
2018-10-01,9.73,571991
2018-10-02,9.24,1660616
2018-10-03,10.04,4561420
2018-10-04,11.33,5266688
2018-10-05,11.6,2748450
2018-10-08,10.31,1391395
2018-10-09,9.75,1049149
2018-10-10,9.29,1383697
2018-10-11,8.91,1675995
2018-10-12,9.32,781472
2018-10-15,9.01,680369
2018-10-16,9.65,548217
2018-10-17,9.71,578346
2018-10-18,9.38,355528
2018-10-19,9.34,508589
2018-10-22,8.99,564112
2018-10-23,8.47,958742
2018-10-24,7.7,1170201
2018-10-25,8.05,863281
