date,close,volume
2018-04-25,2.0,238166
2018-04-26,1.91,283448
2018-04-27,1.92,395596
2018-04-30,1.8,479434
2018-05-01,1.81,208514
2018-05-02,1.82,191522
2018-05-03,1.79,180433
2018-05-04,1.91,89962
2018-05-07,1.85,165827
2018-05-08,2.0,328800
2018-05-09,1.69,905745
2018-05-10,1.62,500199
2018-05-11,1.51,502560
2018-05-14,1.54,342274
2018-05-15,1.72,239704
2018-05-16,1.65,126612
2018-05-17,1.58,235973
2018-05-18,1.64,128792
2018-05-21,1.62,148978
2018-05-22,1.77,224746
2018-05-23,1.73,86743
2018-05-24,1.73,162763
2018-05-25,1.69,124964
2018-05-29,1.68,73767
2018-05-30,1.69,143879
2018-05-31,1.71,118667
2018-06-01,1.69,93514
2018-06-04,1.65,103050
2018-06-05,1.68,188115
2018-06-06,1.68,202042
2018-06-07,1.6,186620
2018-06-08,1.61,247465
2018-06-11,1.6,75013
2018-06-12,1.65,285924
2018-06-13,1.62,151169
2018-06-14,1.6,45783
2018-06-15,1.61,286124
2018-06-18,1.6,104400
2018-06-19,1.55,122288
2018-06-20,1.61,111097
2018-06-21,1.54,65533
2018-06-22,1.52,2211096
2018-06-25,1.54,129891
2018-06-26,1.49,88017
2018-06-27,1.4,213778
2018-06-28,1.45,694398
2018-06-29,1.5,198052
2018-07-02,1.5,52581
2018-07-03,1.48,24687
2018-07-05,1.5,77907
2018-07-06,1.54,103550
2018-07-09,1.54,59044
2018-07-10,1.5,25469
2018-07-11,1.49,61290
2018-07-12,1.44,136182
2018-07-13,1.43,22877
2018-07-16,1.45,53128
2018-07-17,1.45,51864
2018-07-18,1.47,26472
2018-07-19,1.44,33048
2018-07-20,1.39,64955
2018-07-23,1.41,216478
2018-07-24,1.41,83001
2018-07-25,1.42,28326
2018-07-26,1.42,33666
2018-07-27,1.38,103873
2018-07-30,1.39,105091
2018-07-31,1.37,58712
2018-08-01,1.35,102012
2018-08-02,1.34,73770
2018-08-03,1.34,221625
2018-08-06,1.36,138537
2018-08-07,1.36,99928
2018-08-08,1.37,173509
2018-08-09,1.15,1841692
2018-08-10,1.16,135414
2018-08-13,1.23,106928
2018-08-14,1.24,33593
2018-08-15,1.25,191696
2018-08-16,1.25,76656
2018-08-17,1.26,131496
2018-08-20,1.41,365788
2018-08-21,1.5,448077
2018-08-22,1.5,366207
2018-08-23,1.52,130970
2018-08-24,1.5,108504
2018-08-27,1.5,214829
2018-08-28,1.5,169357
2018-08-29,1.49,68602
2018-08-30,1.46,118583
2018-08-31,1.46,101792
2018-09-04,1.5,123979
2018-09-05,1.52,64411
2018-09-06,1.51,73832
2018-09-07,1.49,123573
2018-09-10,1.53,43282
2018-09-11,1.52,47169
2018-09-12,1.53,55139
2018-09-13,1.68,1078269
2018-09-14,1.66,164998
2018-09-17,1.67,164841
2018-09-18,1.65,83513
2018-09-19,1.66,99523
2018-09-20,1.75,65952
2018-09-21,1.6,116615
2018-09-24,1.63,21536
2018-09-25,1.62,30022
2018-09-26,1.51,107189
2018-09-27,1.5,62387
2018-09-28,1.55,60829
2018-10-01,1.53,87361
2018-10-02,1.5,67059
2018-10-03,1.5,59703
2018-10-04,1.51,57965
2018-10-05,1.5,40990
2018-10-08,1.51,64853
2018-10-09,1.5,104861
2018-10-10,1.46,202004
2018-10-11,1.52,26694
2018-10-12,1.52,325811
2018-10-15,1.5,71252
2018-10-16,1.5,198127
2018-10-17,1.48,41929
2018-10-18,1.5,41587
2018-10-19,1.47,164051
2018-10-22,1.47,107073
2018-10-23,1.46,381359
2018-10-24,1.43,393628
2018-10-25,1.43,201010
2018-10-26,1.42,438243
2018-10-29,1.34,138964
2018-10-30,1.3,93124
2018-10-31,1.19,306120
2018-11-01,1.26,162369
2018-11-02,1.24,182710
2018-11-05,1.22,95123
2018-11-06,1.24,96763
2018-11-07,1.23,42523
2018-11-08,1.2,688529
2018-11-09,1.16,125890
2018-11-12,1.14,29655
2018-11-13,1.15,56882
2018-11-14,1.14,37295
2018-11-15,1.14,157448
2018-11-16,1.12,11472
2018-11-19,1.12,56761
2018-11-20,1.03,207255
2018-11-21,1.13,287406
2018-11-23,1.11,13192
2018-11-26,1.04,105809
2018-11-27,1.07,82307
2018-11-28,1.07,1083695
2018-11-29,1.18,557431
2018-11-30,1.23,1240483
2018-12-03,1.27,99915
2018-12-04,1.25,103895
2018-12-06,1.23,90054
2018-12-07,1.26,150075
2018-12-10,1.27,105137
2018-12-11,1.28,29189
2018-12-12,1.26,50427
2018-12-13,1.24,42290
2018-12-14,1.19,138217
2018-12-17,1.09,69705
2018-12-18,1.07,148060
2018-12-19,1.03,143530
2018-12-20,1.0,246726
2018-12-21,1.02,285088
2018-12-24,1.05,335062
2018-12-26,0.92,125179
2018-12-27,0.92,117951
2018-12-28,0.94,211067
2018-12-31,0.91,313204
2019-01-02,0.9749,86762
2019-01-03,1.05,112682
2019-01-04,1.04,22544
2019-01-07,1.08,74200
2019-01-08,1.05,449061
2019-01-09,1.07,49068
2019-01-10,1.01,66608
2019-01-11,1.04,28117
2019-01-14,1.03,41866
2019-01-15,1.07,38346
2019-01-16,1.11,56551
2019-01-17,1.12,62122
2019-01-18,1.1,34819
2019-01-22,1.08,60403
2019-01-23,1.05,14153
2019-01-24,1.09,69594
2019-01-25,1.06,63274
2019-01-28,1.11,60679
2019-01-29,1.12,138922
2019-01-30,1.04,181367
2019-01-31,1.09,103703
2019-02-01,1.06,62015
2019-02-04,1.08,8245
2019-02-05,1.06,26857
2019-02-06,1.08,29252
2019-02-07,1.09,27979
2019-02-08,1.1,36361
2019-02-11,1.08,62348
2019-02-12,1.06,41126
2019-02-13,1.09,26361
2019-02-14,1.07,37048
2019-02-15,1.07,39726
2019-02-19,1.09,30489
2019-02-20,1.07,42544
2019-02-21,1.07,51886
2019-02-22,1.09,126946
2019-02-25,1.08,71816
2019-02-26,1.07,26076
2019-02-27,1.06,80345
2019-02-28,1.07,30594
2019-03-01,1.06,111237
2019-03-04,1.07,15413
2019-03-05,1.05,64528
2019-03-06,1.05,29399
2019-03-07,1.05,102247
2019-03-08,1.01,193248
2019-03-11,1.04,31297
2019-03-12,1.03,82640
2019-03-13,1.0,129302
2019-03-14,1.0,118866
2019-03-15,1.0,30439
2019-03-18,0.9801,93683
2019-03-19,1.02,165741
2019-03-20,1.05,107596
2019-03-21,1.02,169061
2019-03-22,1.03,56696
2019-03-25,1.03,160707
2019-03-26,1.02,58399
2019-03-27,1.02,47873
2019-03-28,1.01,54375
2019-03-29,1.01,73702
2019-04-01,1.03,69265
2019-04-02,1.03,52257
2019-04-03,1.03,70829
2019-04-04,1.08,108311
2019-04-05,1.04,161969
2019-04-08,1.05,71968
