date,close,volume
2018-04-25,52.19,8762
2018-04-26,52.11,2991
2018-04-27,52.05,3504
2018-04-30,51.69,2542
2018-05-01,51.59,1793
2018-05-02,52.39,2435
2018-05-03,52.78,1561
2018-05-04,53.1,3197
2018-05-07,52.96,4654
2018-05-08,52.13,4349
2018-05-09,52.26,1318
2018-05-10,52.83,1757
2018-05-11,52.73,850
2018-05-14,52.28,1482
2018-05-15,52.24,2613
2018-05-16,52.4,4779
2018-05-17,52.31,1248
2018-05-18,52.27,3068
2018-05-21,52.65,8329
2018-05-22,52.99,1483
2018-05-23,52.49,3385
2018-05-24,52.57,636
2018-05-25,52.07,3199
2018-05-29,52.38,1983
2018-05-30,53.16,991
2018-05-31,52.88,2056
2018-06-01,52.84,22174
2018-06-04,52.95,737
2018-06-05,53.02,2685
2018-06-06,51.95,5438
2018-06-07,51.85,4363
2018-06-08,52.14,801
2018-06-11,52.0,1968
2018-06-12,52.57,4268
2018-06-13,52.48,3852
2018-06-14,53.07,9479
2018-06-15,53.51,1976
2018-06-18,53.68,11049
2018-06-19,54.24,3495
2018-06-20,54.56,2632
2018-06-21,54.0,27384
2018-06-22,54.16,4391
2018-06-25,54.35,2069
2018-06-26,54.45,2413
2018-06-27,54.1,5056
2018-06-28,54.17,879
2018-06-29,54.11,67281
2018-07-02,54.12,12965
2018-07-03,55.02,6490
2018-07-05,56.04,33087
2018-07-06,56.6,9236
2018-07-09,55.72,16774
2018-07-10,55.67,2754
2018-07-11,55.29,18172
2018-07-12,55.23,66199
2018-07-13,54.7,5979
2018-07-16,54.52,18732
2018-07-17,54.35,9235
2018-07-18,53.59,6819
2018-07-19,54.29,8702
2018-07-20,53.86,6602
2018-07-23,53.76,8847
2018-07-24,53.65,2861
2018-07-25,53.54,3988
2018-07-26,54.65,6436
2018-07-27,54.1,3425
2018-07-30,53.89,5663
2018-07-31,54.3,2093
2018-08-01,54.14,6153
2018-08-02,54.6,2055
2018-08-03,54.38,3879
2018-08-06,55.23,4249
2018-08-07,54.89,4812
