date,close,volume
2019-09-03,24.6,347297
2019-09-04,24.72,215642
2019-09-05,24.86,22114
2019-09-06,24.9,21891
2019-09-09,24.88,56166
2019-09-10,24.83,29658
2019-09-11,24.92,12527
2019-09-12,24.98,10183
2019-09-13,24.95,28357
2019-09-16,24.95,51860
2019-09-17,24.96,24795
2019-09-18,24.96,35448
2019-09-19,24.94,67186
2019-09-20,24.92,7650
2019-09-23,24.93,20579
2019-09-24,24.83,19964
2019-09-25,24.9,10514
2019-09-26,24.88,11645
2019-09-27,24.82,15349
2019-09-30,24.89,4575
2019-10-01,24.75,3310
2019-10-02,24.59,11216
2019-10-03,24.65,7838
2019-10-04,24.83,3013
2019-10-07,24.82,1653
2019-10-08,24.6,24311
2019-10-09,24.7,19281
2019-10-10,24.76,19319
2019-10-11,24.9,2350
2019-10-14,24.89,14142
2019-10-15,25.0,1392
2019-10-16,24.99,5846
2019-10-17,25.02,6742
2019-10-18,24.99,420
2019-10-21,25.05,1629
2019-10-22,25.06,2528
2019-10-23,25.05,3851
2019-10-24,25.08,1067
2019-10-25,25.11,176
2019-10-28,25.16,0
2019-10-29,25.15,648
2019-10-30,25.18,1782
2019-10-31,25.16,263
2019-11-01,25.26,30375
2019-11-04,25.32,4692
2019-11-05,25.28,1362
2019-11-06,25.3,2944
2019-11-07,25.3,1808
2019-11-08,25.33,1370
2019-11-11,25.32,644
2019-11-12,25.35,653
2019-11-13,25.35,1817
2019-11-14,25.36,753
2019-11-15,25.44,1329
2019-11-18,25.45,600
2019-11-19,25.45,2618
2019-11-20,25.4,400
2019-11-21,25.38,0
2019-11-22,25.41,414
2019-11-25,25.48,0
2019-11-26,25.51,4220
2019-11-27,25.54,339
2019-11-29,25.51,0
2019-12-02,25.44,2718
2019-12-03,25.36,1147
2019-12-04,25.43,1700
2019-12-05,25.44,3000
2019-12-06,25.52,0
2019-12-09,25.49,0
2019-12-10,25.48,0
2019-12-11,25.51,40064
2019-12-12,25.59,2906
2019-12-13,25.61,1122
2019-12-16,25.66,300
2019-12-17,25.68,6801
2019-12-18,25.66,494
2019-12-19,25.7,77684
2019-12-20,25.73,7132
2019-12-23,25.73,5422
2019-12-24,25.71,8497
2019-12-26,25.74,582
2019-12-27,25.73,1
2019-12-30,25.71,5610
2019-12-31,25.74,689
2020-01-02,25.82,2000
2020-01-03,25.77,1228
2020-01-06,25.79,5095
2020-01-07,25.81,425
2020-01-08,25.83,3301
2020-01-09,25.86,514
2020-01-10,25.86,4413
2020-01-13,25.9,207
2020-01-14,25.88,1794
2020-01-15,25.89,1795
2020-01-16,25.96,4070
2020-01-17,25.97,648
2020-01-21,25.96,0
2020-01-22,25.98,119
2020-01-23,25.97,0
2020-01-24,25.91,255
2020-01-27,25.79,89
2020-01-28,25.87,46
2020-01-29,25.87,628
2020-01-30,25.9,1005
2020-01-31,25.75,19
2020-02-03,25.83,8117
2020-02-04,25.98,0
2020-02-05,26.0,0
2020-02-06,26.03,179
2020-02-07,26.0,0
2020-02-10,26.04,0
2020-02-11,26.05,282
2020-02-12,26.09,0
2020-02-13,26.07,1209
2020-02-14,26.09,216
2020-02-18,26.07,504
2020-02-19,26.11,0
2020-02-20,26.07,1008
2020-02-21,26.0,325
2020-02-24,25.76,696
2020-02-25,25.5,0
2020-02-26,25.53,1002
2020-02-27,25.13,69186
2020-02-28,24.84,57683
2020-03-02,25.45,10311
2020-03-03,25.25,4800
2020-03-04,25.56,4
2020-03-05,25.09,2089
2020-03-06,24.9,1412
2020-03-09,23.94,5190
2020-03-10,24.48,20417
2020-03-11,23.94,11255
2020-03-12,22.66,10847
2020-03-13,23.43,4226
2020-03-16,22.02,11566
2020-03-17,22.45,667
2020-03-18,21.63,6212
2020-03-19,22.01,1450
2020-03-20,21.6,1171
2020-03-23,21.43,5356
2020-03-24,22.53,6219
2020-03-25,22.75,1932
2020-03-26,23.43,14365
2020-03-27,22.95,6360
2020-03-30,23.36,1239
2020-03-31,23.17,179482
2020-04-01,22.45,11687
2020-04-02,22.83,66571
2020-04-03,22.72,4570
2020-04-06,23.57,5618
2020-04-07,23.68,730
2020-04-08,23.99,3817
2020-04-09,24.18,4321
2020-04-13,24.05,7545
2020-04-14,24.45,300
2020-04-15,24.2,4331
2020-04-16,24.21,11181
2020-04-17,24.57,91246
2020-04-20,24.4,68892
2020-04-21,23.93,30680
2020-04-22,24.27,61826
2020-04-23,24.28,12661
2020-04-24,24.46,4458
2020-04-27,24.69,24728
2020-04-28,24.61,99269
2020-04-29,25.02,14843
2020-04-30,24.86,48002
2020-05-01,24.48,196548
2020-05-04,24.55,6080
2020-05-05,24.68,246985
2020-05-06,24.64,108792
2020-05-07,24.76,5510
2020-05-08,25.0,121
2020-05-11,25.07,14998
2020-05-12,24.75,10081
2020-05-13,24.52,9971
2020-05-14,24.64,6645
2020-05-15,24.7,2641
2020-05-18,25.18,1538
2020-05-19,25.04,5200
2020-05-20,25.21,307
2020-05-21,25.14,0
2020-05-22,25.17,335
2020-05-26,25.33,100
2020-05-27,25.49,464
2020-05-28,25.41,204
2020-05-29,25.53,24615
2020-06-01,25.57,51691
2020-06-02,25.65,2200
2020-06-03,25.74,35945
2020-06-04,25.7,0
2020-06-05,25.95,3758
2020-06-08,26.05,1361
2020-06-09,25.96,2215
2020-06-10,25.91,5756
2020-06-11,25.27,1376
2020-06-12,25.29,1208
2020-06-15,25.47,81
2020-06-16,25.61,0
2020-06-17,25.64,500
2020-06-18,25.64,90
2020-06-19,25.62,11095
2020-06-22,25.72,32403
2020-06-23,25.81,337
2020-06-24,25.53,18106
2020-06-25,25.66,1277
2020-06-26,25.39,0
2020-06-29,25.57,4829
2020-06-30,25.83,7798
2020-07-01,25.82,1047
2020-07-02,25.94,124115
2020-07-06,26.05,29218
2020-07-07,25.92,1389
2020-07-08,25.99,17562
