date,close,volume
2018-04-25,13.28,596
2018-04-26,13.33,104
2018-04-27,13.33,2
2018-04-30,13.43,2417
2018-05-01,13.35,6426
2018-05-02,13.35,1
2018-05-03,13.29,780
2018-05-04,13.41,947
2018-05-07,13.44,4
2018-05-08,13.36,8686
2018-05-09,13.36,38
2018-05-10,13.5,3821
2018-05-11,13.5,0
2018-05-14,13.52,1603
2018-05-15,13.39,7763
2018-05-16,13.39,0
2018-05-17,13.47,3007
2018-05-18,13.47,33
2018-05-21,13.47,0
2018-05-22,13.5,531
2018-05-23,13.5,73
2018-05-24,13.5,0
2018-05-25,13.5,903
2018-05-29,13.45,1014
2018-05-30,13.49,3744
2018-05-31,13.49,0
2018-06-01,13.49,94
2018-06-04,13.58,2461
2018-06-05,13.55,370
2018-06-06,13.58,621
2018-06-07,13.58,0
2018-06-08,13.63,893
2018-06-11,13.65,7165
2018-06-12,13.6,733
2018-06-13,13.6,1
2018-06-14,13.61,206
2018-06-15,13.62,8261
2018-06-18,13.53,684
2018-06-19,13.53,10
2018-06-20,13.51,882
2018-06-21,13.51,0
2018-06-22,13.52,7437
2018-06-25,13.41,1102
2018-06-26,13.4,356
2018-06-27,13.48,82
2018-06-28,13.39,3530
2018-06-29,13.46,717
2018-07-02,13.4,564
2018-07-03,13.42,728
2018-07-05,13.49,1092
2018-07-06,13.57,121
2018-07-09,13.61,14132
2018-07-10,13.61,37
2018-07-11,13.61,68
2018-07-12,13.61,18
2018-07-13,13.65,444
2018-07-16,13.61,389
2018-07-17,13.6,1569
2018-07-18,13.6,0
2018-07-19,13.6,0
2018-07-20,13.6,7
2018-07-23,13.61,2874
2018-07-24,13.59,13300
2018-07-25,13.63,202
2018-07-26,13.63,0
2018-07-27,13.63,4
2018-07-30,13.71,1
2018-07-31,13.66,1593
2018-08-01,13.66,0
2018-08-02,13.64,53
2018-08-03,13.62,1209
2018-08-06,13.64,440
2018-08-07,13.74,4249
2018-08-08,13.8,345
2018-08-09,13.74,8566
2018-08-10,13.71,276
2018-08-13,13.63,2956
2018-08-14,13.65,368
2018-08-15,13.65,21
2018-08-16,13.65,15
2018-08-17,13.65,4
2018-08-20,13.65,3
2018-08-21,13.77,1463
2018-08-22,13.75,294
2018-08-23,13.82,10
2018-08-24,13.82,1
2018-08-27,13.87,3401
2018-08-28,13.84,2401
2018-08-29,13.89,1340
2018-08-30,13.89,2
2018-08-31,13.79,1562
2018-09-04,13.76,1540
2018-09-05,13.7,1180
2018-09-06,13.66,2300
2018-09-07,13.65,1619
2018-09-10,13.65,61
2018-09-11,13.65,369
2018-09-12,13.69,2545
2018-09-13,13.76,2365
2018-09-14,13.75,806
2018-09-17,13.75,74
2018-09-18,13.85,215
2018-09-19,13.75,8029
2018-09-20,13.75,4
2018-09-21,13.84,3610
2018-09-24,13.75,325
2018-09-25,13.71,2481
2018-09-26,13.74,3053
2018-09-27,13.78,10946
2018-09-28,13.75,396
2018-10-01,13.76,390
2018-10-02,13.66,5
2018-10-03,13.74,202
2018-10-04,13.61,560
2018-10-05,13.61,6
2018-10-08,13.51,3315
2018-10-09,13.5,277
2018-10-10,13.43,324
2018-10-11,13.43,3
2018-10-12,13.17,328
2018-10-15,13.22,649
2018-10-16,13.22,0
2018-10-17,13.22,10
2018-10-18,13.3,255
2018-10-19,13.32,735
2018-10-22,13.26,134
2018-10-23,13.21,14
2018-10-24,13.21,3
2018-10-25,13.05,226
2018-10-26,13.05,1
2018-10-29,13.06,2319
2018-10-30,13.01,407
2018-10-31,13.14,787
2018-11-01,13.14,3
2018-11-02,13.21,1415
2018-11-05,13.26,1184
2018-11-06,13.27,259
2018-11-07,13.33,330
2018-11-08,13.4,23218
2018-11-09,13.35,5107
2018-11-12,13.19,381
2018-11-13,13.19,320
2018-11-14,13.18,400
2018-11-15,13.18,3
2018-11-16,13.26,1107
2018-11-19,13.14,1
2018-11-20,13.14,17
2018-11-21,12.95,153
2018-11-23,12.95,0
2018-11-26,12.95,10
2018-11-27,13.14,97
2018-11-28,13.14,104
2018-11-29,13.3,2
2018-11-30,13.3,5
2018-12-03,13.37,268
2018-12-04,13.3,1356
2018-12-06,13.3,4
2018-12-07,13.02,4
2018-12-10,13.01,384
2018-12-11,13.02,249
2018-12-12,13.06,115
2018-12-13,13.04,385
2018-12-14,12.94,154
2018-12-17,12.78,0
2018-12-18,12.83,21809
2018-12-19,12.73,703
2018-12-20,12.62,3
2018-12-21,12.49,2197
2018-12-24,12.21,455
2018-12-26,12.4,0
2018-12-27,12.42,432
2018-12-28,12.47,680
2018-12-31,12.52,1971
2019-01-02,12.52,900
2019-01-03,12.45,345
2019-01-04,12.67,1124
2019-01-07,12.74,701
2019-01-08,12.79,1953
2019-01-09,12.86,829
2019-01-10,12.9,6012
2019-01-11,12.89,518
2019-01-14,12.86,863
2019-01-15,12.91,100
2019-01-16,12.96,1730
2019-01-17,13.02,0
2019-01-18,13.09,1028
2019-01-22,13.02,746
2019-01-23,13.01,518
2019-01-24,13.05,1
2019-01-25,13.12,241
2019-01-28,13.04,1078
2019-01-29,13.07,8
2019-01-30,13.18,767
2019-01-31,13.25,56
2019-02-01,13.25,74
2019-02-04,13.28,0
2019-02-05,13.36,74
2019-02-06,13.33,20
2019-02-07,13.28,29
2019-02-08,13.26,441
2019-02-11,13.28,75
2019-02-12,13.37,15
2019-02-13,13.39,607
2019-02-14,13.4,1
2019-02-15,13.47,757
2019-02-19,13.52,10
2019-02-20,13.54,61
2019-02-21,13.5,481
2019-02-22,13.56,257
2019-02-25,13.59,4609
2019-02-26,13.6,4
2019-02-27,13.57,64
2019-02-28,13.56,1249
2019-03-01,13.58,384
2019-03-04,13.54,1665
2019-03-05,13.54,480
2019-03-06,13.51,1289
2019-03-07,13.44,101
2019-03-08,13.4,304
2019-03-11,13.5,298
2019-03-12,13.54,1160
2019-03-13,13.6,162
2019-03-14,13.58,3
2019-03-15,13.62,11
2019-03-18,13.61,269
2019-03-19,13.58,180
2019-03-20,13.62,711
2019-03-21,13.65,78
2019-03-22,13.51,271
2019-03-25,13.53,0
2019-03-26,13.58,5
2019-03-27,13.57,39
2019-03-28,13.58,2162
2019-03-29,13.62,33
2019-04-01,13.69,11272
2019-04-02,13.7,5441
2019-04-03,13.72,26
2019-04-04,13.73,1631
2019-04-05,13.78,291
2019-04-08,13.77,1449
2019-04-09,13.73,1828
2019-04-10,13.74,1880
2019-04-11,13.76,6433
2019-04-12,13.8,7
2019-04-15,13.79,2174
2019-04-16,13.81,1112
2019-04-17,13.79,2201
2019-04-18,13.79,1
2019-04-22,13.77,1725
2019-04-23,13.84,3586
2019-04-24,13.82,25
2019-04-25,13.8,1371
2019-04-26,13.84,2642
2019-04-29,13.86,2
2019-04-30,13.88,1
2019-05-01,13.82,289
2019-05-02,13.79,661
2019-05-03,13.88,268
2019-05-06,13.85,453
2019-05-07,13.77,1478
2019-05-08,13.74,12
2019-05-09,13.69,70
2019-05-10,13.73,30
2019-05-13,13.57,379
2019-05-14,13.66,11
2019-05-15,13.69,0
2019-05-16,13.74,941
2019-05-17,13.71,814
2019-05-20,13.66,5
2019-05-21,13.73,207
2019-05-22,13.71,723
2019-05-23,13.62,1234
2019-05-24,13.66,2239
2019-05-28,13.68,5
2019-05-29,13.54,335
2019-05-30,13.57,168
2019-05-31,13.51,15
2019-06-03,13.56,845
2019-06-04,13.66,1280
2019-06-05,13.74,638
2019-06-06,13.79,266
2019-06-07,13.85,359
2019-06-10,13.89,4072
2019-06-11,13.87,2225
2019-06-12,13.87,977
2019-06-13,13.89,450
2019-06-14,13.88,10
2019-06-17,13.88,660
2019-06-18,13.98,1943
2019-06-19,14.03,90
2019-06-20,14.1,100
2019-06-21,14.08,1
2019-06-24,13.98,7172
2019-06-25,13.91,0
2019-06-26,13.89,56
2019-06-27,13.93,0
2019-06-28,13.99,67
2019-07-01,14.04,616
2019-07-02,14.05,4918
2019-07-03,14.12,44
2019-07-05,14.1,247
2019-07-08,14.06,445
2019-07-09,14.05,512
2019-07-10,14.09,177
2019-07-11,14.07,130
2019-07-12,14.12,175
2019-07-15,14.12,4932
2019-07-16,14.11,1133
2019-07-17,14.08,0
2019-07-18,14.09,1403
2019-07-19,14.06,457
2019-07-22,14.06,2923
2019-07-23,14.09,12089
2019-07-24,14.13,371
2019-07-25,14.09,1201
2019-07-26,14.13,4618
2019-07-29,14.12,1801
2019-07-30,14.1,104
2019-07-31,14.05,1548
2019-08-01,13.99,514
2019-08-02,13.94,26130
2019-08-05,13.72,3
2019-08-06,13.81,1099
2019-08-07,13.85,15
2019-08-08,13.97,1
2019-08-09,13.94,1
2019-08-12,13.84,4102
2019-08-13,13.93,18
2019-08-14,13.73,629
2019-08-15,13.76,851159
2019-08-16,13.88,80789
2019-08-19,13.95,0
2019-08-20,13.91,363
2019-08-21,13.96,15980
2019-08-22,13.96,1256
2019-08-23,13.77,431
2019-08-26,13.84,9022
2019-08-27,13.84,5499
2019-08-28,13.91,59902
2019-08-29,13.99,123
2019-08-30,13.99,4560
2019-09-03,13.96,3248
2019-09-04,14.06,1850
2019-09-05,14.13,21
2019-09-06,14.15,800
2019-09-09,14.1,4989
2019-09-10,14.1,5727
2019-09-11,14.16,3273
2019-09-12,14.19,1783
2019-09-13,14.18,4390
2019-09-16,14.21,7113
2019-09-17,14.2,999291
2019-09-18,14.17,2213
2019-09-19,14.18,528
2019-09-20,14.18,10
2019-09-23,14.09,712
2019-09-24,14.04,674
2019-09-25,14.05,0
2019-09-26,14.06,55
2019-09-27,13.99,182
2019-09-30,14.03,3314
2019-10-01,13.96,323
2019-10-02,13.83,689
2019-10-03,13.88,1293
2019-10-04,13.97,1211
2019-10-07,13.97,112
2019-10-08,13.85,371
2019-10-09,13.9,870
2019-10-10,13.93,1120
2019-10-11,14.04,464
2019-10-14,14.0,45
2019-10-15,14.06,523
2019-10-16,14.05,687
2019-10-17,14.11,0
2019-10-18,14.09,1380
2019-10-21,14.13,3885
2019-10-22,14.12,2495
2019-10-23,14.12,44
2019-10-24,14.13,85
2019-10-25,14.16,177
2019-10-28,14.19,882
2019-10-29,14.21,89
2019-10-30,14.19,0
2019-10-31,14.17,942
2019-11-01,14.28,2121
2019-11-04,14.3,319
2019-11-05,14.29,3
2019-11-06,14.29,670
2019-11-07,14.3,9630
2019-11-08,14.28,1632
2019-11-11,14.28,569
2019-11-12,14.3,536
2019-11-13,14.29,1061
2019-11-14,14.31,7032
2019-11-15,14.36,2790
2019-11-18,14.37,580
2019-11-19,14.37,3730
2019-11-20,14.33,138
2019-11-21,14.3,1587
2019-11-22,14.31,12
2019-11-25,14.38,954
2019-11-26,14.42,526
2019-11-27,14.44,2483
2019-11-29,14.41,2657
2019-12-02,14.34,698
2019-12-03,14.29,102
2019-12-04,14.37,1363
2019-12-05,14.38,2000
2019-12-06,14.46,5825
2019-12-09,14.45,5756
2019-12-10,14.44,1344
2019-12-11,14.47,3094
2019-12-12,14.52,1567
2019-12-13,14.54,387
2019-12-16,14.59,3360
2019-12-17,14.59,1102
2019-12-18,14.6,1310
2019-12-19,14.61,2898
2019-12-20,14.7,15672
2019-12-23,14.07,1839
2019-12-24,14.06,3152
2019-12-26,14.08,4776
2019-12-27,14.12,6227
2019-12-30,14.09,6994
2019-12-31,14.04,3861
2020-01-02,14.13,10459
2020-01-03,14.13,1253
2020-01-06,14.13,5342
2020-01-07,14.12,1483
2020-01-08,14.12,6269
2020-01-09,14.17,333
2020-01-10,14.16,1627
2020-01-13,14.2,2073
2020-01-14,14.21,8579
2020-01-15,14.23,309
2020-01-16,14.3,1189
2020-01-17,14.29,1133
2020-01-21,14.29,25264
2020-01-22,14.31,4123
2020-01-23,14.3,1138
2020-01-24,14.29,5644
2020-01-27,14.14,628
2020-01-28,14.21,4876
2020-01-29,14.21,1380
2020-01-30,14.19,611
2020-01-31,14.07,809
2020-02-03,14.12,3387
2020-02-04,14.21,1350
2020-02-05,14.28,600
2020-02-06,14.3,1344
2020-02-07,14.24,1965
2020-02-10,14.28,1889
2020-02-11,14.33,3063
2020-02-12,14.38,53
2020-02-13,14.4,15410
2020-02-14,14.38,1745
2020-02-18,14.38,5296
2020-02-19,14.41,1582
2020-02-20,14.37,17
2020-02-21,14.32,503
2020-02-24,14.07,10249
2020-02-25,13.84,1319
2020-02-26,13.8,5369
2020-02-27,13.48,775
2020-02-28,13.33,1663
2020-03-02,13.63,2908
2020-03-03,13.53,5549
2020-03-04,13.81,647
2020-03-05,13.58,6413
2020-03-06,13.45,1187
2020-03-09,12.75,10246
2020-03-10,12.95,7010
2020-03-11,12.52,4349
2020-03-12,11.58,1131
2020-03-13,12.01,4503
2020-03-16,11.19,4702
2020-03-17,11.44,25209
2020-03-18,10.65,2603
2020-03-19,10.84,3757
2020-03-20,10.48,15371
2020-03-23,10.39,2282
2020-03-24,11.02,17388
2020-03-25,11.3,3244
2020-03-26,11.67,1398
2020-03-27,11.52,7694
2020-03-30,11.69,100
2020-03-31,11.62,4013
2020-04-01,11.26,2541
2020-04-02,11.41,1903
2020-04-03,11.27,570
2020-04-06,11.8,832
2020-04-07,11.87,1152
2020-04-08,12.09,883
2020-04-09,12.33,3561
2020-04-13,12.2,3354
2020-04-14,12.41,4662
2020-04-15,12.19,1808
2020-04-16,12.21,967
2020-04-17,12.44,1290
2020-04-20,12.29,1777
2020-04-21,12.06,2396
2020-04-22,12.21,439
2020-04-23,12.26,3781
2020-04-24,12.28,1819
2020-04-27,12.45,1069
2020-04-28,12.5,1624
2020-04-29,12.74,502
2020-04-30,12.59,2574
2020-05-01,12.34,281
2020-05-04,12.37,1283
2020-05-05,12.45,2823
2020-05-06,12.39,3962
2020-05-07,12.49,97
2020-05-08,12.65,1918
2020-05-11,12.67,2043
2020-05-12,12.49,4674
2020-05-13,12.32,6
2020-05-14,12.35,107
2020-05-15,12.42,411
2020-05-18,12.72,2093
2020-05-19,12.68,195
2020-05-20,12.78,10
2020-05-21,12.74,1432
2020-05-22,12.74,993
2020-05-26,12.9,9567
2020-05-27,13.02,661
2020-05-28,13.04,1546
2020-05-29,13.07,1460
2020-06-01,13.16,1876
2020-06-02,13.29,2187
2020-06-03,13.41,486
2020-06-04,13.39,8697
2020-06-05,13.63,5726
2020-06-08,13.7,373
2020-06-09,13.62,874
2020-06-10,13.61,1395
2020-06-11,13.05,3127
2020-06-12,13.16,810
2020-06-15,13.23,1395
