date,close,volume
2018-04-25,12.62,0
2018-04-26,12.72,4667
2018-04-27,12.72,752
2018-04-30,12.72,2
2018-05-01,12.72,0
2018-05-02,12.72,1
2018-05-03,12.67,712
2018-05-04,12.6,1651
2018-05-07,12.76,8
2018-05-08,12.76,0
2018-05-09,12.76,3
2018-05-10,12.68,4077
2018-05-11,12.68,0
2018-05-14,12.74,199
2018-05-15,12.74,3
2018-05-16,12.74,3
2018-05-17,12.74,1
2018-05-18,12.74,1
2018-05-21,12.69,2011
2018-05-22,12.69,3
2018-05-23,12.69,2
2018-05-24,12.69,2
2018-05-25,12.69,0
2018-05-29,12.77,2501
2018-05-30,12.77,0
2018-05-31,12.75,501
2018-06-01,12.75,3
2018-06-04,12.68,5
2018-06-05,12.72,501
2018-06-06,12.77,102
2018-06-07,12.77,13
2018-06-08,12.78,503
2018-06-11,12.72,24
2018-06-12,12.72,0
2018-06-13,12.72,0
2018-06-14,12.72,0
2018-06-15,12.72,10
2018-06-18,12.62,0
2018-06-19,12.62,20
2018-06-20,12.62,1
2018-06-21,12.65,999
2018-06-22,12.69,702
2018-06-25,12.7,9
2018-06-26,12.7,0
2018-06-27,12.66,1058
2018-06-28,12.65,517
2018-06-29,12.6,1
2018-07-02,12.6,8
2018-07-03,12.6,2
2018-07-05,12.7,2520
2018-07-06,12.7,0
2018-07-09,12.7,0
2018-07-10,12.75,951
2018-07-11,12.75,554
2018-07-12,12.75,1
2018-07-13,12.77,152
2018-07-16,12.77,8
2018-07-17,12.77,3
2018-07-18,12.77,0
2018-07-19,12.77,0
2018-07-20,12.77,31
2018-07-23,12.77,1
2018-07-24,12.77,26
2018-07-25,12.77,0
2018-07-26,12.77,20
2018-07-27,12.77,0
2018-07-30,12.77,0
2018-07-31,12.77,2
2018-08-01,12.77,0
2018-08-02,12.77,5
2018-08-03,12.8,109
2018-08-06,12.8,5
2018-08-07,12.82,867
2018-08-08,12.82,17
2018-08-09,12.82,8
2018-08-10,12.82,2
2018-08-13,12.8,100
2018-08-14,12.8,0
2018-08-15,12.8,1
2018-08-16,12.8,87
2018-08-17,12.85,1000
2018-08-20,12.87,111
2018-08-21,12.87,0
2018-08-22,12.86,191
2018-08-23,12.86,11
2018-08-24,12.84,1108
2018-08-27,12.87,994
2018-08-28,12.95,120
2018-08-29,12.92,28
2018-08-30,12.86,1854
2018-08-31,12.86,43
2018-09-04,12.85,3948
2018-09-05,12.86,4473
2018-09-06,12.85,2086
2018-09-07,12.84,238
2018-09-10,12.85,1102
2018-09-11,12.85,917
2018-09-12,12.88,201
2018-09-13,12.89,12802
2018-09-14,12.9,201
2018-09-17,12.87,472
2018-09-18,12.87,4
2018-09-19,12.87,1418
2018-09-20,12.92,103
2018-09-21,12.89,100
2018-09-24,12.81,911
2018-09-25,12.79,4
2018-09-26,12.68,63
2018-09-27,12.77,148
2018-09-28,12.68,1
2018-10-01,12.69,40
2018-10-02,12.69,53
2018-10-03,12.79,103
2018-10-04,12.79,5
2018-10-05,12.79,34
2018-10-08,12.67,1051
2018-10-09,12.65,200
2018-10-10,12.6,177
2018-10-11,12.6,12
2018-10-12,12.6,52
2018-10-15,12.56,4603
2018-10-16,12.57,175
2018-10-17,12.57,290
2018-10-18,12.57,0
2018-10-19,12.57,0
2018-10-22,12.57,1
2018-10-23,12.57,19
2018-10-24,12.57,401
2018-10-25,12.57,5
2018-10-26,12.57,7
2018-10-29,12.57,14
2018-10-30,12.46,117
2018-10-31,12.54,108
2018-11-01,12.55,13
2018-11-02,12.6,41
2018-11-05,12.45,9
2018-11-06,12.51,400
2018-11-07,12.51,2
2018-11-08,12.51,0
2018-11-09,12.57,9200
