date,close,volume
2019-05-08,30.07,14797342
2019-05-09,30.1,1719328
2019-05-10,31.01,739730
2019-05-13,31.06,1041432
2019-05-14,31.75,2409093
2019-05-15,32.45,648868
2019-05-16,31.0,1292133
2019-05-17,30.92,767710
2019-05-20,31.85,404976
2019-05-21,32.7,884399
2019-05-22,32.57,421685
2019-05-23,31.9,478359
2019-05-24,32.08,189169
2019-05-28,31.9,333686
2019-05-29,31.45,251403
2019-05-30,31.28,258557
2019-05-31,31.75,309297
2019-06-03,32.27,394918
2019-06-04,32.0,429569
2019-06-05,31.59,363031
2019-06-06,31.99,323305
2019-06-07,32.39,445798
2019-06-10,31.84,725794
2019-06-11,31.91,403164
2019-06-12,31.73,207100
2019-06-13,31.78,262726
2019-06-14,31.65,170217
2019-06-17,31.32,612266
2019-06-18,32.96,2128718
2019-06-19,34.9,1144658
2019-06-20,35.73,1210607
2019-06-21,37.95,3683134
2019-06-24,36.79,696102
2019-06-25,36.75,899325
2019-06-26,37.06,862845
2019-06-27,37.01,1105836
2019-06-28,36.86,2847075
2019-07-01,36.61,1103089
2019-07-02,36.15,378442
2019-07-03,36.44,130302
2019-07-05,36.94,334845
2019-07-08,36.62,214518
2019-07-09,36.55,203029
2019-07-10,36.7,349626
2019-07-11,37.42,246538
2019-07-12,37.67,300912
2019-07-15,38.02,286410
2019-07-16,37.33,180135
2019-07-17,37.16,176507
2019-07-18,36.24,331643
2019-07-19,36.84,269392
2019-07-22,37.77,332454
2019-07-23,37.16,262576
2019-07-24,37.36,152930
2019-07-25,36.87,151253
2019-07-26,37.19,147885
2019-07-29,37.52,157780
2019-07-30,37.14,125030
2019-07-31,36.71,735342
2019-08-01,37.57,176070
2019-08-02,37.19,174160
2019-08-05,36.25,284719
2019-08-06,36.01,244336
2019-08-07,35.89,161311
2019-08-08,37.28,223032
2019-08-09,37.14,141236
2019-08-12,36.24,248057
2019-08-13,35.93,838291
2019-08-14,34.09,345555
2019-08-15,34.4,148831
2019-08-16,34.16,192931
2019-08-19,34.11,217688
2019-08-20,33.74,133811
2019-08-21,34.28,224641
2019-08-22,34.69,158068
2019-08-23,33.5,171254
2019-08-26,34.09,152724
2019-08-27,33.61,205126
2019-08-28,33.76,156579
2019-08-29,34.25,154766
2019-08-30,34.02,193761
2019-09-03,33.47,103931
2019-09-04,33.39,170299
2019-09-05,35.26,898751
2019-09-06,34.67,142744
2019-09-09,34.29,240835
2019-09-10,32.94,239421
2019-09-11,34.99,379170
2019-09-12,35.25,255007
2019-09-13,36.8,516052
2019-09-16,37.29,523351
2019-09-17,37.31,420782
2019-09-18,37.56,395947
2019-09-19,37.35,424803
2019-09-20,34.93,2622912
2019-09-23,33.98,423400
2019-09-24,33.39,297170
2019-09-25,33.66,258514
2019-09-26,33.38,269901
2019-09-27,33.52,316453
2019-09-30,32.98,486654
2019-10-01,32.91,244285
2019-10-02,31.87,300939
2019-10-03,32.91,311747
2019-10-04,33.0,281681
2019-10-07,32.95,288706
2019-10-08,32.36,400121
2019-10-09,32.02,201574
2019-10-10,32.95,292601
2019-10-11,32.81,246256
2019-10-14,32.44,184185
2019-10-15,32.51,194542
2019-10-16,32.64,237694
2019-10-17,32.66,385022
2019-10-18,32.33,482785
2019-10-21,32.58,212133
2019-10-22,32.94,160566
2019-10-23,33.99,162437
2019-10-24,33.75,150556
2019-10-25,33.98,114279
2019-10-28,33.97,136286
2019-10-29,34.61,111074
2019-10-30,34.93,166403
2019-10-31,35.6,312439
2019-11-01,35.31,328730
2019-11-04,36.7,301185
2019-11-05,37.25,258715
2019-11-06,37.85,286912
2019-11-07,37.93,186787
2019-11-08,38.13,164200
2019-11-11,37.73,298786
2019-11-12,37.8,527948
2019-11-13,38.21,390027
2019-11-14,38.02,212981
2019-11-15,38.93,310667
2019-11-18,38.99,520128
2019-11-19,39.11,418735
2019-11-20,38.99,191430
2019-11-21,38.31,217320
2019-11-22,38.49,141153
2019-11-25,39.83,374391
2019-11-26,39.71,748914
2019-11-27,39.93,234715
2019-11-29,40.03,126141
2019-12-02,39.92,299937
2019-12-03,39.8,238415
2019-12-04,40.07,239307
2019-12-05,39.9,220860
2019-12-06,40.33,154054
2019-12-09,39.95,176948
2019-12-10,40.18,303857
2019-12-11,40.99,202927
2019-12-12,42.35,387350
2019-12-13,41.41,254684
2019-12-16,41.13,261898
2019-12-17,41.72,374465
2019-12-18,40.73,224681
2019-12-19,40.9,268631
2019-12-20,40.88,617916
2019-12-23,41.95,155897
2019-12-24,41.61,121330
2019-12-26,41.68,113503
2019-12-27,41.14,135951
2019-12-30,41.43,185624
2019-12-31,41.28,155425
2020-01-02,42.98,271618
2020-01-03,43.48,184819
2020-01-06,42.99,195548
2020-01-07,43.52,202318
2020-01-08,42.67,256122
2020-01-09,43.21,317179
2020-01-10,42.4,301245
2020-01-13,42.99,221093
2020-01-14,42.6,96801
2020-01-15,42.4,207033
2020-01-16,42.21,203774
2020-01-17,42.03,339556
2020-01-21,43.11,415387
2020-01-22,42.76,429949
2020-01-23,42.87,243843
2020-01-24,42.8,210703
2020-01-27,42.83,141211
2020-01-28,42.96,175797
2020-01-29,42.86,173316
2020-01-30,42.48,218351
2020-01-31,40.9,260353
2020-02-03,41.27,227632
2020-02-04,42.34,177010
2020-02-05,42.42,167842
2020-02-06,42.58,332076
2020-02-07,42.57,342292
2020-02-10,43.1,106239
2020-02-11,43.66,143557
2020-02-12,44.56,167351
2020-02-13,44.38,142967
2020-02-14,44.45,125127
2020-02-18,44.68,123714
2020-02-19,45.03,88802
2020-02-20,43.08,237313
2020-02-21,43.07,280563
2020-02-24,42.24,183919
2020-02-25,39.65,341845
2020-02-26,39.5,208021
2020-02-27,38.53,284309
2020-02-28,39.09,431503
2020-03-02,39.26,451206
2020-03-03,38.76,215594
2020-03-04,39.71,177657
2020-03-05,37.67,169732
2020-03-06,37.28,322342
2020-03-09,33.55,328869
2020-03-10,32.91,581029
2020-03-11,32.27,517520
2020-03-12,28.55,620238
2020-03-13,29.33,386513
2020-03-16,27.47,397668
2020-03-17,29.55,557658
2020-03-18,25.31,521678
2020-03-19,27.29,471919
2020-03-20,26.55,566082
2020-03-23,27.15,209741
