date,close,volume
2018-04-25,55.48,2138
2018-04-26,56.82,2035
2018-04-27,57.23,288
2018-04-30,56.17,41720
2018-05-01,56.28,2497
2018-05-02,57.04,2231
2018-05-03,57.11,1285
2018-05-04,58.35,2180
2018-05-07,59.09,18077
2018-05-08,59.46,8592
2018-05-09,60.11,15357
2018-05-10,60.94,21501
2018-05-11,60.48,5265
2018-05-14,59.81,9831
2018-05-15,59.33,20705
2018-05-16,60.03,4336
2018-05-17,60.0,8238
2018-05-18,59.99,1525
2018-05-21,60.22,4954
2018-05-22,59.57,3551
2018-05-23,59.96,2421
2018-05-24,60.28,3807
2018-05-25,60.35,3295
2018-05-29,60.61,6954
2018-05-30,61.37,3606
2018-05-31,61.04,37086
2018-06-01,61.99,4591
2018-06-04,62.72,3132
2018-06-05,63.24,10281
2018-06-06,63.55,64794
2018-06-07,62.15,9158
2018-06-08,62.47,4653
2018-06-11,62.88,6805
2018-06-12,63.85,9101
2018-06-13,63.87,8796
2018-06-14,64.36,10732
2018-06-15,64.17,8337
2018-06-18,64.67,5953
2018-06-19,63.94,6859
2018-06-20,64.27,7790
2018-06-21,63.43,4484
2018-06-22,62.38,5631
2018-06-25,60.11,5997
2018-06-26,60.56,10928
2018-06-27,59.28,31388
2018-06-28,59.75,1369
2018-06-29,59.92,3695
2018-07-02,60.7,28644
2018-07-03,60.33,5725
2018-07-05,61.24,71796
2018-07-06,62.24,10079
2018-07-09,62.42,3006
2018-07-10,62.35,2788
2018-07-11,62.22,3459
2018-07-12,63.53,3055
2018-07-13,63.31,2472
2018-07-16,62.92,2004
2018-07-17,63.9,4317
2018-07-18,63.89,13655
2018-07-19,63.83,5218
2018-07-20,63.51,5916
2018-07-23,63.71,5473
2018-07-24,62.61,1768
2018-07-25,64.23,10866
2018-07-26,64.36,4886
2018-07-27,62.09,7063
2018-07-30,59.96,5950
2018-07-31,59.88,15341
2018-08-01,61.4,4520
2018-08-02,62.62,6030
2018-08-03,61.97,3305
2018-08-06,62.9,8892
2018-08-07,63.83,8416
2018-08-08,63.53,11821
2018-08-09,63.58,9324
2018-08-10,63.64,4430
2018-08-13,63.26,4536
2018-08-14,63.9,5467
2018-08-15,63.06,18286
2018-08-16,63.47,6527
2018-08-17,63.23,3473
2018-08-20,63.78,2718
2018-08-21,63.9,1860
2018-08-22,64.75,2220
2018-08-23,65.45,3623
2018-08-24,66.59,10163
2018-08-27,66.92,6763
2018-08-28,67.3,15740
2018-08-29,67.82,5492
2018-08-30,67.75,9315
2018-08-31,68.03,5566
2018-09-04,68.61,27275
2018-09-05,66.57,52165
2018-09-06,66.4,3508
2018-09-07,66.78,25475
2018-09-10,67.28,20723
2018-09-11,67.75,9646
2018-09-12,67.39,25226
2018-09-13,67.56,5399
2018-09-14,67.81,8980
2018-09-17,65.72,11628
2018-09-18,66.41,5591
2018-09-19,65.09,20418
2018-09-20,65.51,12096
2018-09-21,64.53,10557
2018-09-24,64.76,21812
2018-09-25,66.01,8544
2018-09-26,65.29,4936
2018-09-27,65.64,6472
2018-09-28,66.05,9643
2018-10-01,65.13,5112
2018-10-02,63.61,6795
2018-10-03,64.39,17227
2018-10-04,62.95,8308
2018-10-05,62.57,21837
2018-10-08,60.48,16433
2018-10-09,60.23,11947
2018-10-10,56.81,49693
2018-10-11,55.64,48847
2018-10-12,57.09,8356
2018-10-15,57.25,6307
2018-10-16,59.57,6920
