date,close,volume
2018-04-25,32.37,944776
2018-04-26,32.71,434689
2018-04-27,32.89,554598
2018-04-30,32.71,1078026
2018-05-01,32.95,530361
2018-05-02,32.4,784524
2018-05-03,34.26,1772302
2018-05-04,34.31,828952
2018-05-07,34.6,1214429
2018-05-08,34.71,805830
2018-05-09,34.88,896600
2018-05-10,34.93,804434
2018-05-11,35.4,508490
2018-05-14,35.48,590864
2018-05-15,34.98,429592
2018-05-16,35.13,826288
2018-05-17,35.09,424199
2018-05-18,35.46,1088432
2018-05-21,35.75,985013
2018-05-22,35.85,439891
2018-05-23,35.9,811557
2018-05-24,36.28,2010963
2018-05-25,36.26,2053781
2018-05-29,36.3,1077703
2018-05-30,36.88,1147297
2018-05-31,36.31,1308260
2018-06-01,36.65,795669
2018-06-04,36.68,789472
2018-06-05,36.48,2023124
2018-06-06,36.77,1213365
2018-06-07,36.49,1875908
2018-06-08,36.54,412285
2018-06-11,37.15,1416344
2018-06-12,37.22,1104518
2018-06-13,37.47,2405058
2018-06-14,37.39,938246
2018-06-15,37.15,854256
2018-06-18,36.76,464543
2018-06-19,36.52,470791
2018-06-20,36.43,365132
2018-06-21,36.21,809367
2018-06-22,36.66,1512576
2018-06-25,35.95,565607
2018-06-26,35.77,359175
2018-06-27,35.28,702346
2018-06-28,35.73,571207
2018-06-29,36.16,1366469
2018-07-02,35.99,467523
2018-07-03,36.13,416429
2018-07-05,36.47,1090926
2018-07-06,36.93,574018
2018-07-09,37.14,787832
2018-07-10,37.3,606863
2018-07-11,36.95,1367897
2018-07-12,37.35,1926434
2018-07-13,37.1,535068
2018-07-16,36.8,521157
2018-07-17,36.91,645827
2018-07-18,36.7,454313
2018-07-19,36.94,555242
2018-07-20,36.92,624522
2018-07-23,36.78,1168050
2018-07-24,36.68,648408
2018-07-25,37.09,807362
2018-07-26,37.15,539868
2018-07-27,36.45,1145045
2018-07-30,36.14,1019310
2018-07-31,36.12,1723834
2018-08-01,37.62,2461038
2018-08-02,37.96,1340530
2018-08-03,38.08,715773
2018-08-06,38.58,1139840
2018-08-07,38.88,1728619
2018-08-08,38.44,1102341
2018-08-09,38.34,752106
2018-08-10,38.28,546522
2018-08-13,37.83,753404
2018-08-14,37.9,426860
2018-08-15,37.07,1541586
2018-08-16,37.29,801508
2018-08-17,37.28,925131
2018-08-20,37.74,1169875
2018-08-21,38.24,1188758
2018-08-22,39.3,1427703
2018-08-23,38.91,560956
2018-08-24,38.83,615712
2018-08-27,39.09,374943
2018-08-28,39.11,755073
2018-08-29,39.39,325432
2018-08-30,39.06,1029328
2018-08-31,38.97,663237
2018-09-04,38.4,1035684
2018-09-05,38.25,672684
2018-09-06,37.94,837012
2018-09-07,38.11,639890
2018-09-10,38.14,428685
2018-09-11,37.6,598124
2018-09-12,38.09,778617
2018-09-13,38.23,808536
2018-09-14,37.51,898211
2018-09-17,37.42,592011
2018-09-18,38.12,858660
2018-09-19,38.14,549441
2018-09-20,38.3,626551
2018-09-21,37.47,1201650
2018-09-24,37.42,570567
2018-09-25,37.44,1297765
2018-09-26,37.34,883379
2018-09-27,37.77,726276
2018-09-28,37.88,1506835
2018-10-01,37.95,697369
2018-10-02,37.7,1227941
2018-10-03,37.07,1404917
2018-10-04,36.51,1576799
2018-10-05,36.23,756826
2018-10-08,35.66,1532987
2018-10-09,35.57,766572
2018-10-10,34.54,2106802
2018-10-11,34.0,1337402
2018-10-12,34.36,1112733
2018-10-15,34.29,797191
2018-10-16,35.13,866216
2018-10-17,35.33,1334552
2018-10-18,35.45,1004625
2018-10-19,35.91,1627654
2018-10-22,35.58,939455
2018-10-23,34.98,1254057
2018-10-24,33.52,1759921
2018-10-25,33.92,1469236
2018-10-26,33.97,1803015
2018-10-29,33.54,1200784
2018-10-30,35.56,2590280
2018-10-31,36.3,2013385
2018-11-01,36.35,1102114
2018-11-02,36.84,1541824
2018-11-05,36.98,670984
2018-11-06,35.87,2830721
2018-11-07,36.59,1446925
2018-11-08,36.45,838325
2018-11-09,35.97,701510
2018-11-12,35.08,721339
2018-11-13,34.87,926842
2018-11-14,34.26,985367
2018-11-15,34.51,882990
2018-11-16,34.6,501803
2018-11-19,34.23,1191793
2018-11-20,33.91,1325087
2018-11-21,34.11,849984
2018-11-23,34.51,407310
2018-11-26,34.44,907642
2018-11-27,34.31,684068
2018-11-28,35.0,921539
2018-11-29,35.25,1039424
2018-11-30,35.44,560978
2018-12-03,36.3,1491672
2018-12-04,35.43,1121907
2018-12-06,35.44,792948
2018-12-07,35.17,913668
2018-12-10,35.36,763743
2018-12-11,35.04,749505
2018-12-12,35.06,732382
2018-12-13,35.02,1011211
2018-12-14,34.6,1255905
2018-12-17,34.07,1265975
2018-12-18,33.77,1471236
2018-12-19,33.46,1215452
2018-12-20,33.44,849088
2018-12-21,33.11,1294531
2018-12-24,32.65,503313
2018-12-26,33.63,610809
2018-12-27,33.92,1216157
2018-12-28,33.92,1203179
2018-12-31,34.45,1221792
2019-01-02,34.13,1065385
2019-01-03,33.78,1279362
2019-01-04,34.84,1526259
2019-01-07,35.2,1406037
2019-01-08,35.67,1542346
2019-01-09,36.18,1565401
2019-01-10,36.35,1398406
2019-01-11,36.48,2697663
2019-01-14,36.05,1168880
