date,close,volume
2018-04-25,3.91,338330
2018-04-26,3.85,101153
2018-04-27,3.92,127401
2018-04-30,3.92,156302
2018-05-01,3.93,120015
2018-05-02,3.94,270379
2018-05-03,3.76,230293
2018-05-04,3.76,208556
2018-05-07,3.79,123412
2018-05-08,3.72,176627
2018-05-09,3.9,219978
2018-05-10,3.9,149805
2018-05-11,3.73,139663
2018-05-14,3.76,86574
2018-05-15,3.72,153662
2018-05-16,3.74,183370
2018-05-17,3.66,156699
2018-05-18,3.68,230747
2018-05-21,3.64,143896
2018-05-22,3.64,185689
2018-05-23,3.32,301390
2018-05-24,3.31,247550
2018-05-25,3.37,153991
2018-05-29,3.45,69957
2018-05-30,3.43,125044
2018-05-31,3.02,1094488
2018-06-01,3.04,336678
2018-06-04,3.05,279261
2018-06-05,3.05,314666
2018-06-06,3.06,226173
2018-06-07,2.99,325939
2018-06-08,3.1,174475
2018-06-11,3.06,217232
2018-06-12,2.99,167186
2018-06-13,2.97,130584
2018-06-14,2.83,248704
2018-06-15,2.9,457180
2018-06-18,2.79,207923
2018-06-19,2.77,351128
2018-06-20,2.67,322986
2018-06-21,2.35,704530
2018-06-22,2.06,7269185
2018-06-25,2.07,2714584
2018-06-26,2.32,1177264
2018-06-27,2.14,555601
2018-06-28,2.07,354883
2018-06-29,2.2,462291
2018-07-02,2.08,412531
2018-07-03,2.02,433199
2018-07-05,2.11,288290
2018-07-06,2.12,355703
2018-07-09,2.15,125541
2018-07-10,2.12,155867
2018-07-11,2.03,173142
2018-07-12,1.97,291030
2018-07-13,1.94,439967
2018-07-16,1.88,186713
2018-07-17,1.81,185736
2018-07-18,1.9,199094
2018-07-19,1.91,227654
2018-07-20,1.91,120913
2018-07-23,1.95,234278
2018-07-24,1.95,165186
2018-07-25,1.79,341046
2018-07-26,1.81,284257
2018-07-27,1.68,442190
2018-07-30,1.74,283966
2018-07-31,1.7,319493
2018-08-01,1.74,246036
2018-08-02,1.79,161992
2018-08-03,1.75,151096
2018-08-06,1.63,111899
2018-08-07,1.76,133824
2018-08-08,1.86,213577
2018-08-09,1.83,160648
2018-08-10,1.74,113730
2018-08-13,1.77,100449
2018-08-14,1.81,89740
2018-08-15,1.76,39606
2018-08-16,1.86,112418
2018-08-17,1.89,88614
2018-08-20,2.0,264298
2018-08-21,2.03,199061
2018-08-22,2.16,367583
2018-08-23,2.35,443033
2018-08-24,2.29,472211
2018-08-27,2.3,170736
2018-08-28,2.3,405860
2018-08-29,2.47,502940
2018-08-30,1.96,1912212
2018-08-31,2.02,216723
2018-09-04,1.97,175598
2018-09-05,2.06,179667
2018-09-06,2.11,156741
2018-09-07,2.11,165321
2018-09-10,2.09,101145
2018-09-11,2.01,95689
2018-09-12,2.04,61462
2018-09-13,2.0,79397
2018-09-14,2.01,83955
2018-09-17,2.31,1861776
2018-09-18,2.4,427053
2018-09-19,2.41,373558
2018-09-20,2.51,376393
2018-09-21,2.53,708317
2018-09-24,2.58,229947
2018-09-25,2.58,138097
2018-09-26,2.46,550696
2018-09-27,2.37,152699
2018-09-28,2.4,137910
2018-10-01,2.21,103035
2018-10-02,2.16,77189
2018-10-03,2.19,154748
2018-10-04,2.25,217294
