date,close,volume
2018-04-25,29.96,4074
2018-04-26,30.21,2415
2018-04-27,30.25,22651
2018-04-30,29.75,82398
2018-05-01,29.69,63494
2018-05-02,29.68,8350
2018-05-03,29.24,10237
2018-05-04,29.65,25522
2018-05-07,29.47,25116
2018-05-08,29.34,42384
2018-05-09,29.58,41089
2018-05-10,29.86,39214
2018-05-11,30.05,31981
2018-05-14,30.23,18628
2018-05-15,30.17,8732
2018-05-16,30.69,28268
2018-05-17,30.74,24108
2018-05-18,30.57,4713
2018-05-21,30.75,4248
2018-05-22,30.61,5017
2018-05-23,30.57,2318
2018-05-24,30.75,191363
2018-05-25,30.76,224543
2018-05-29,30.58,129727
2018-05-30,31.12,60469
2018-05-31,30.67,60497
2018-06-01,30.8,53369
2018-06-04,31.27,34583
2018-06-05,31.73,50084
2018-06-06,32.17,27513
2018-06-07,32.26,35340
2018-06-08,32.36,7747
2018-06-11,32.53,21377
2018-06-12,32.47,16355
2018-06-13,32.27,15151
2018-06-14,32.15,11002
2018-06-15,32.21,6859
2018-06-18,32.02,22029
2018-06-19,31.92,4887
2018-06-20,32.09,10517
2018-06-21,31.85,6357
2018-06-22,31.79,5433
2018-06-25,31.32,10754
2018-06-26,31.44,4401
2018-06-27,31.19,7757
2018-06-28,31.21,4692
2018-06-29,31.09,10815
2018-07-02,31.03,12296
2018-07-03,31.0,22034
2018-07-05,31.3,4996
2018-07-06,31.69,8468
2018-07-09,32.06,20158
2018-07-10,32.14,2112
2018-07-11,31.73,7115
2018-07-12,31.85,5538
2018-07-13,31.86,5105
2018-07-16,31.68,21377
2018-07-17,31.92,3450
2018-07-18,32.09,1839
2018-07-19,32.03,7535
2018-07-20,31.86,5874
2018-07-23,31.7,7165
2018-07-24,31.49,7837
2018-07-25,31.29,3974
2018-07-26,31.67,11038
2018-07-27,31.45,10377
2018-07-30,31.39,17974
2018-07-31,31.84,7980
2018-08-01,31.39,76512
2018-08-02,31.59,8870
2018-08-03,31.75,2094
2018-08-06,31.8,122588
2018-08-07,31.95,9183
2018-08-08,32.01,2688
2018-08-09,31.93,6569
2018-08-10,31.66,14955
2018-08-13,31.63,3052
2018-08-14,31.95,2090
2018-08-15,31.26,7042
2018-08-16,31.69,4487
2018-08-17,31.9,3909
2018-08-20,32.22,13879
2018-08-21,32.42,1912
2018-08-22,32.32,9237
2018-08-23,32.26,2370
2018-08-24,32.27,5083
2018-08-27,32.5,4981
2018-08-28,32.39,11397
2018-08-29,32.36,1726
2018-08-30,32.34,2002
2018-08-31,32.32,949
2018-09-04,32.26,5642
2018-09-05,32.15,1138
2018-09-06,31.82,18960
2018-09-07,31.62,3027
2018-09-10,31.71,7268
2018-09-11,31.61,2951
2018-09-12,31.57,3903
2018-09-13,31.49,1407
2018-09-14,31.54,9816
2018-09-17,31.4,3063
2018-09-18,31.52,1580
2018-09-19,31.65,352
2018-09-20,31.75,7406
2018-09-21,31.72,2704
2018-09-24,31.5,4265
2018-09-25,31.27,6398
2018-09-26,31.36,2600
2018-09-27,31.09,2580
2018-09-28,31.01,8532
2018-10-01,30.92,6937
2018-10-02,30.78,4454
2018-10-03,30.83,194554
2018-10-04,30.5,12447
2018-10-05,30.24,2352
2018-10-08,30.33,4401
2018-10-09,29.89,10221
2018-10-10,29.29,2256
2018-10-11,28.9,25510
2018-10-12,29.03,18464
2018-10-15,29.01,2617
2018-10-16,29.51,6551
2018-10-17,29.37,13606
2018-10-18,28.97,7918
2018-10-19,28.82,5130
2018-10-22,28.74,12433
2018-10-23,28.52,13826
2018-10-24,27.64,101582
2018-10-25,27.87,6109
2018-10-26,27.52,9612
2018-10-29,27.53,7641
2018-10-30,28.15,4210
2018-10-31,28.68,2756
2018-11-01,29.27,15959
2018-11-02,29.3,19138
2018-11-05,29.38,22621
2018-11-06,29.65,44702
2018-11-07,29.9,2962
2018-11-08,29.85,4009
2018-11-09,29.27,9171
2018-11-12,29.11,1120
2018-11-13,28.99,5006
2018-11-14,28.89,1564
2018-11-15,28.84,7313
2018-11-16,28.93,3283
2018-11-19,28.45,35302
2018-11-20,27.87,13281
2018-11-21,28.37,48280
2018-11-23,28.31,734
2018-11-26,28.52,3631
2018-11-27,28.36,7880
2018-11-28,28.95,5978
2018-11-29,28.73,4948
2018-11-30,28.91,16894
2018-12-03,29.31,26935
2018-12-04,28.34,14076
2018-12-06,27.8,6341
2018-12-07,27.17,87987
2018-12-10,26.91,11243
2018-12-11,26.74,7147
2018-12-12,26.95,4350
2018-12-13,26.46,16192
2018-12-14,26.13,6166
2018-12-17,25.6,7595
2018-12-18,25.83,60094
2018-12-19,25.14,13051
2018-12-20,24.75,15246
2018-12-21,24.32,22793
2018-12-24,23.89,39843
2018-12-26,25.04,24681
2018-12-27,24.97,23663
2018-12-28,25.01,17050
2018-12-31,25.04,85553
2019-01-02,25.42,31348
2019-01-03,24.8,10733
2019-01-04,25.71,30911
2019-01-07,26.24,29605
2019-01-08,26.47,2692
2019-01-09,26.97,9143
2019-01-10,26.94,1601
2019-01-11,26.99,919
2019-01-14,26.8,2216
2019-01-15,26.76,1903
2019-01-16,26.82,3952
2019-01-17,27.09,25231
2019-01-18,27.6,9901
2019-01-22,26.9,5477
2019-01-23,26.91,1285
2019-01-24,27.48,4983
2019-01-25,28.18,3928
2019-01-28,28.12,3435
2019-01-29,28.18,6177
2019-01-30,28.54,6896
2019-01-31,28.68,4896
2019-02-01,28.65,66392
2019-02-04,28.75,20444
2019-02-05,28.87,1602
2019-02-06,28.98,2947
2019-02-07,28.5,4510
2019-02-08,28.51,1063
2019-02-11,28.64,7404
2019-02-12,29.14,16639
2019-02-13,29.29,8047
2019-02-14,29.27,49924
2019-02-15,29.52,7614
2019-02-19,29.48,7274
2019-02-20,29.65,3817
2019-02-21,29.43,29669
2019-02-22,29.69,4962
2019-02-25,29.73,27378
2019-02-26,29.58,74107
2019-02-27,29.58,4525
2019-02-28,29.22,1149
2019-03-01,29.5,51883
2019-03-04,29.4,11086
2019-03-05,29.15,7964
2019-03-06,28.81,46650
2019-03-07,28.55,5065
2019-03-08,28.41,4009
2019-03-11,28.8,24176
2019-03-12,28.72,4761
2019-03-13,28.67,11776
2019-03-14,28.5,5237
2019-03-15,28.6,12250
2019-03-18,28.62,7465
2019-03-19,28.44,2860
2019-03-20,28.02,4474
2019-03-21,28.55,1904
2019-03-22,27.78,1943
2019-03-25,27.87,4316
2019-03-26,28.24,4405
2019-03-27,28.37,8643
2019-03-28,28.49,6734
2019-03-29,28.69,11936
2019-04-01,29.15,9749
2019-04-02,29.15,4681
2019-04-03,29.51,3363
2019-04-04,29.9,868
2019-04-05,30.09,2480
2019-04-08,30.1,23612
2019-04-09,29.71,9674
2019-04-10,30.04,993
2019-04-11,29.95,3334
2019-04-12,30.16,4245
2019-04-15,30.02,9790
2019-04-16,30.26,1306
2019-04-17,30.3,1988
2019-04-18,30.33,2143
2019-04-22,29.92,12704
2019-04-23,30.18,14150
2019-04-24,30.29,2960
2019-04-25,29.9,1580
2019-04-26,30.0,2068
2019-04-29,30.08,1532
2019-04-30,29.94,2632
2019-05-01,29.62,75102
2019-05-02,29.62,6001
2019-05-03,29.88,3930
2019-05-06,29.64,5802
2019-05-07,29.07,2612
2019-05-08,28.97,4252
2019-05-09,28.85,14004
2019-05-10,28.78,7001
2019-05-13,27.77,7787
2019-05-14,28.09,2499
2019-05-15,28.16,124085
2019-05-16,28.23,5408
2019-05-17,28.08,2074
2019-05-20,27.69,5460
2019-05-21,28.04,8436
2019-05-22,27.49,23430
2019-05-23,27.03,9296
2019-05-24,27.0,13643
2019-05-28,26.73,2921
2019-05-29,26.38,6582
2019-05-30,26.39,1526
2019-05-31,25.75,7438
2019-06-03,26.15,143758
2019-06-04,26.96,5645
2019-06-05,26.89,38832
2019-06-06,26.81,2557
2019-06-07,27.07,3191
2019-06-10,27.21,8008
2019-06-11,27.31,1891
2019-06-12,27.07,2475
2019-06-13,27.4,23034
2019-06-14,27.3,11228
2019-06-17,27.13,3129
2019-06-18,27.52,5559
2019-06-19,27.65,9722
2019-06-20,27.87,11089
2019-06-21,27.87,45709
2019-06-24,27.64,2625
2019-06-25,27.46,4691
2019-06-26,27.65,2833
2019-06-27,27.82,3007
2019-06-28,28.04,2983
2019-07-01,28.34,14176
2019-07-02,28.09,41956
2019-07-03,28.26,2816
2019-07-05,28.22,5346
2019-07-08,28.11,2484
2019-07-09,28.04,4282
2019-07-10,28.07,4573
2019-07-11,28.12,13262
2019-07-12,28.57,35790
2019-07-15,28.55,15028
2019-07-16,28.65,6764
2019-07-17,28.3,7013
2019-07-18,28.31,2722
2019-07-19,28.46,11531
2019-07-22,28.37,3591
2019-07-23,28.61,3093
2019-07-24,28.98,6029
2019-07-25,28.89,3722
2019-07-26,28.86,24858
2019-07-29,28.83,2299
2019-07-30,28.84,5428
2019-07-31,28.43,7286
2019-08-01,27.83,2732
2019-08-02,27.63,12649
2019-08-05,26.82,62078
2019-08-06,26.93,7379
2019-08-07,26.92,13794
2019-08-08,27.31,7779
2019-08-09,26.76,5631
2019-08-12,26.28,11148
2019-08-13,26.81,6596
2019-08-14,25.74,12317
2019-08-15,25.43,10182
2019-08-16,25.99,13772
2019-08-19,26.44,4280
2019-08-20,26.21,5446
2019-08-21,26.41,3081
2019-08-22,26.56,2028
2019-08-23,25.46,4075
2019-08-26,25.72,4980
2019-08-27,25.53,7702
2019-08-28,25.86,7096
2019-08-29,26.13,11821
2019-08-30,26.29,1942
2019-09-03,25.97,4037
2019-09-04,26.39,7949
2019-09-05,27.13,28420
2019-09-06,27.07,15237
2019-09-09,27.79,7859
2019-09-10,28.35,3348
2019-09-11,28.69,8074
2019-09-12,28.5,10082
2019-09-13,28.66,19135
2019-09-16,28.58,4167
2019-09-17,28.32,21354
2019-09-18,28.1,3868
2019-09-19,28.02,15534
2019-09-20,27.89,2006
2019-09-23,27.88,3735
2019-09-24,27.55,5462
2019-09-25,27.83,11447
2019-09-26,27.56,5146
2019-09-27,27.61,3396
2019-09-30,27.86,2045
2019-10-01,27.36,26051
2019-10-02,26.77,5499
2019-10-03,26.86,8347
2019-10-04,27.17,5179
2019-10-07,27.13,1074
2019-10-08,26.69,17577
2019-10-09,26.93,4334
2019-10-10,27.22,4788
2019-10-11,27.87,13884
2019-10-14,27.66,6694
2019-10-15,28.02,12250
2019-10-16,27.94,10044
2019-10-17,28.1,5944
2019-10-18,28.18,8142
2019-10-21,28.36,75215
2019-10-22,29.03,4418
2019-10-23,29.0,17018
2019-10-24,29.04,7122
2019-10-25,29.43,4365
2019-10-28,29.65,9068
2019-10-29,29.6,2531
2019-10-30,29.58,1798
2019-10-31,29.31,2617
2019-11-01,29.74,173443
2019-11-04,30.01,8432
2019-11-05,30.26,4656
2019-11-06,30.02,10368
2019-11-07,30.46,6724
2019-11-08,30.62,20688
2019-11-11,30.57,5347
2019-11-12,30.38,4604
2019-11-13,30.1,4877
2019-11-14,30.16,16776
2019-11-15,30.52,14512
2019-11-18,30.48,23254
2019-11-19,30.2,48456
2019-11-20,29.82,11687
2019-11-21,29.8,60886
2019-11-22,29.96,3524
2019-11-25,30.4,9397
2019-11-26,30.45,5628
2019-11-27,30.49,34979
2019-11-29,30.26,4755
2019-12-02,30.05,14031
2019-12-03,29.62,29111
2019-12-04,29.82,9131
2019-12-05,30.03,48135
2019-12-06,30.3,7808
2019-12-09,30.27,13300
2019-12-10,30.14,9302
2019-12-11,30.13,3304
2019-12-12,30.56,11678
2019-12-13,30.22,11087
2019-12-16,30.48,6479
2019-12-17,30.64,15580
2019-12-18,30.7,2874
2019-12-19,30.69,3449
2019-12-20,30.89,3856
2019-12-23,30.93,13933
2019-12-24,30.84,2392
2019-12-26,30.93,3229
2019-12-27,30.76,7007
2019-12-30,30.38,14448
2019-12-31,30.42,13292
2020-01-02,30.49,28990
2020-01-03,30.17,38536
2020-01-06,30.19,9672
2020-01-07,30.24,50265
2020-01-08,30.39,43963
2020-01-09,30.14,16015
2020-01-10,29.89,17204
2020-01-13,30.02,7293
2020-01-14,30.24,209653
2020-01-15,30.16,8311
2020-01-16,30.46,3751
2020-01-17,30.47,21486
2020-01-21,30.03,11491
2020-01-22,30.04,13142
2020-01-23,30.13,8421
2020-01-24,29.7,18306
2020-01-27,29.2,17281
2020-01-28,29.46,4444
2020-01-29,29.43,12852
2020-01-30,29.21,37248
2020-01-31,28.49,13243
2020-02-03,28.66,15951
2020-02-04,29.07,34234
2020-02-05,29.92,18268
2020-02-06,29.67,7874
2020-02-07,29.22,15505
2020-02-10,29.2,6228
2020-02-11,29.51,3923
2020-02-12,29.88,14918
2020-02-13,29.67,9360
2020-02-14,29.5,2939
2020-02-18,29.33,8806
2020-02-19,29.36,20935
2020-02-20,29.39,15112
2020-02-21,29.26,2233
2020-02-24,28.14,17188
2020-02-25,26.96,52376
2020-02-26,26.46,39735
2020-02-27,25.52,59727
2020-02-28,25.26,141219
2020-03-02,25.73,122903
2020-03-03,25.09,53174
2020-03-04,25.64,44475
2020-03-05,24.23,15194
2020-03-06,24.0,25596
2020-03-09,22.16,305534
2020-03-10,22.91,119049
2020-03-11,21.56,26867
2020-03-12,18.99,60368
2020-03-13,20.54,23969
2020-03-16,18.27,57886
2020-03-17,18.8,44297
2020-03-18,16.99,42658
2020-03-19,17.25,140710
2020-03-20,16.45,45489
2020-03-23,15.59,64121
2020-03-24,17.24,30688
2020-03-25,17.96,254794
2020-03-26,19.02,49203
2020-03-27,18.16,189762
2020-03-30,18.3,62459
2020-03-31,18.11,70816
2020-04-01,17.02,131847
2020-04-02,16.97,24589
2020-04-03,16.63,36906
2020-04-06,18.13,48848
2020-04-07,18.63,71275
2020-04-08,19.47,16686
2020-04-09,20.03,71253
2020-04-13,19.43,137356
2020-04-14,19.86,32009
2020-04-15,18.92,46170
2020-04-16,18.84,22887
2020-04-17,19.73,36858
2020-04-20,19.06,47019
2020-04-21,18.67,132020
2020-04-22,18.6,13334
2020-04-23,18.94,53718
2020-04-24,19.31,579358
2020-04-27,20.12,41884
2020-04-28,20.84,13845
2020-04-29,21.78,38501
2020-04-30,21.03,12451
2020-05-01,20.14,83112
2020-05-04,19.97,16085
2020-05-05,19.97,10483
2020-05-06,19.69,12977
2020-05-07,19.91,9996
2020-05-08,20.8,9585
2020-05-11,20.5,32373
2020-05-12,19.8,21322
2020-05-13,18.97,41287
2020-05-14,19.43,22698
2020-05-15,19.61,18993
2020-05-18,20.98,22654
2020-05-19,20.71,74974
2020-05-20,21.01,32465
2020-05-21,21.1,20614
2020-05-22,20.91,15880
2020-05-26,22.05,46463
2020-05-27,22.92,22732
2020-05-28,22.25,68918
2020-05-29,21.99,3764
2020-06-01,22.43,203479
2020-06-02,22.76,23683
2020-06-03,23.68,17659
2020-06-04,24.02,25059
2020-06-05,24.88,28323
2020-06-08,25.57,8167
2020-06-09,24.82,31092
2020-06-10,24.0,7269
2020-06-11,21.95,51175
2020-06-12,22.28,37319
2020-06-15,22.46,6857
2020-06-16,22.83,12644
2020-06-17,22.63,4506
