date,close,volume
2018-04-25,13.38,52750
2018-04-26,13.63,78190
2018-04-27,13.74,81788
2018-04-30,13.94,72004
2018-05-01,13.33,99720
2018-05-02,13.49,100228
2018-05-03,15.44,256445
2018-05-04,14.79,153276
2018-05-07,15.42,117106
2018-05-08,15.56,90714
2018-05-09,15.65,65122
2018-05-10,15.37,50572
2018-05-11,15.32,21865
2018-05-14,15.32,56105
2018-05-15,15.28,63745
2018-05-16,15.53,38589
2018-05-17,15.54,56890
2018-05-18,16.61,141271
2018-05-21,16.99,68104
2018-05-22,16.7,117828
2018-05-23,16.82,68672
2018-05-24,16.92,60275
2018-05-25,17.7,120658
2018-05-29,17.0,78359
2018-05-30,17.3,84175
2018-05-31,17.12,96553
2018-06-01,17.37,62597
2018-06-04,17.04,70391
2018-06-05,17.13,63789
2018-06-06,17.43,50473
2018-06-07,17.43,63551
2018-06-08,16.92,63107
2018-06-11,16.73,51122
2018-06-12,16.53,79725
2018-06-13,16.19,50367
2018-06-14,16.31,51443
2018-06-15,16.34,77733
2018-06-18,16.65,82438
2018-06-19,16.55,51383
2018-06-20,16.41,62249
2018-06-21,15.94,74934
2018-06-22,15.88,170699
2018-06-25,16.11,143714
2018-06-26,16.39,121979
2018-06-27,16.44,41898
2018-06-28,16.4,52502
2018-06-29,16.79,53798
2018-07-02,16.85,117584
2018-07-03,16.82,35536
2018-07-05,16.85,41484
2018-07-06,16.82,32508
2018-07-09,16.86,32167
2018-07-10,16.96,52381
2018-07-11,16.75,44873
2018-07-12,16.7,36841
2018-07-13,16.89,27416
2018-07-16,16.63,30195
2018-07-17,16.58,33343
2018-07-18,16.78,25973
2018-07-19,16.78,36163
2018-07-20,17.16,32843
2018-07-23,17.32,34020
2018-07-24,17.18,38350
2018-07-25,17.57,70801
2018-07-26,17.67,50394
2018-07-27,17.67,34736
2018-07-30,17.54,90775
2018-07-31,18.31,54394
2018-08-01,18.79,63678
2018-08-02,18.47,181232
2018-08-03,18.5,38464
2018-08-06,18.97,64763
2018-08-07,18.94,34137
2018-08-08,19.13,35468
2018-08-09,18.81,34699
2018-08-10,18.54,19574
2018-08-13,18.23,56179
2018-08-14,18.25,19317
2018-08-15,17.93,34318
2018-08-16,18.37,23889
2018-08-17,18.21,61779
2018-08-20,18.12,24483
2018-08-21,18.29,24227
2018-08-22,18.18,17446
2018-08-23,17.83,25336
2018-08-24,17.85,21499
2018-08-27,17.42,27868
2018-08-28,17.14,10381
2018-08-29,16.94,18825
2018-08-30,16.78,38753
2018-08-31,16.91,13664
2018-09-04,16.55,30837
2018-09-05,16.65,35647
2018-09-06,16.54,17149
2018-09-07,16.62,19608
2018-09-10,16.62,20272
2018-09-11,16.08,47128
2018-09-12,16.33,155171
2018-09-13,16.11,29349
2018-09-14,16.14,40326
2018-09-17,16.59,26556
2018-09-18,16.53,24800
2018-09-19,16.26,22034
2018-09-20,16.24,44400
2018-09-21,16.32,83038
2018-09-24,16.24,17118
2018-09-25,16.3,38519
2018-09-26,16.09,28411
2018-09-27,15.89,45954
2018-09-28,16.07,34990
2018-10-01,16.34,33766
2018-10-02,15.92,30113
2018-10-03,17.05,85782
2018-10-04,16.97,35825
2018-10-05,16.95,31187
2018-10-08,17.08,47513
2018-10-09,17.23,26775
