date,close,volume
2018-04-25,15.38,284088
2018-04-26,15.47,1243971
2018-04-27,15.76,1671808
2018-04-30,15.87,1570534
2018-05-01,15.45,993962
2018-05-02,15.28,197193
2018-05-03,15.15,372446
2018-05-04,15.49,592146
2018-05-07,15.59,258378
2018-05-08,15.6,1072660
2018-05-09,15.56,591219
2018-05-10,15.58,1081570
2018-05-11,15.63,4435999
2018-05-14,15.86,873135
2018-05-15,15.77,610397
2018-05-16,15.81,165267
2018-05-17,16.05,348067
2018-05-18,16.07,1191082
2018-05-21,15.97,132117
2018-05-22,15.91,243136
2018-05-23,15.97,166868
2018-05-24,16.12,678232
2018-05-25,16.12,180172
2018-05-29,15.88,291917
2018-05-30,15.74,354525
2018-05-31,15.43,441388
2018-06-01,15.44,164078
2018-06-04,15.61,580373
2018-06-05,15.73,724041
2018-06-06,15.71,546532
2018-06-07,15.56,273974
2018-06-08,15.86,94637
2018-06-11,15.85,217585
2018-06-12,16.0,170640
2018-06-13,16.12,264127
2018-06-14,16.41,673769
2018-06-15,16.46,357691
2018-06-18,16.2,645383
2018-06-19,16.37,292826
2018-06-20,16.42,109009
2018-06-21,16.32,1561331
2018-06-22,16.8,701004
2018-06-25,16.17,226372
2018-06-26,16.39,176906
2018-06-27,16.35,131394
2018-06-28,16.23,165518
2018-06-29,16.52,516723
2018-07-02,16.66,398557
2018-07-03,16.73,94082
2018-07-05,16.87,103503
2018-07-06,16.99,943220
2018-07-09,16.88,184118
2018-07-10,16.89,152017
2018-07-11,16.99,115111
2018-07-12,17.18,1367033
2018-07-13,17.12,81424
2018-07-16,17.2,221967
2018-07-17,16.93,2409383
2018-07-18,16.84,102873
2018-07-19,16.72,199951
2018-07-20,17.06,368334
2018-07-23,16.79,243141
2018-07-24,16.81,201694
2018-07-25,16.74,236670
2018-07-26,16.54,950016
2018-07-27,17.83,169605
2018-07-30,18.02,130898
2018-07-31,17.81,150379
2018-08-01,17.81,2733698
2018-08-02,17.83,148352
2018-08-03,17.95,426692
2018-08-06,17.85,104006
2018-08-07,17.93,275597
2018-08-08,17.84,536635
2018-08-09,17.66,607868
2018-08-10,17.4,102071
2018-08-13,17.3,162491
2018-08-14,17.45,103479
2018-08-15,17.25,158352
2018-08-16,17.22,93332
2018-08-17,17.32,98524
2018-08-20,17.44,103425
2018-08-21,17.56,2306814
2018-08-22,17.54,174078
2018-08-23,17.26,280025
2018-08-24,17.27,127234
2018-08-27,17.45,68786
2018-08-28,17.45,445689
2018-08-29,17.57,84587
2018-08-30,17.33,153891
2018-08-31,17.08,113610
2018-09-04,16.84,264696
2018-09-05,16.83,153582
2018-09-06,16.79,192324
2018-09-07,16.71,122962
2018-09-10,17.03,195736
2018-09-11,16.98,96829
2018-09-12,17.05,1905294
2018-09-13,17.16,129305
2018-09-14,17.52,220664
2018-09-17,17.84,137150
2018-09-18,17.86,136230
2018-09-19,17.88,1716511
2018-09-20,18.28,1181078
2018-09-21,18.31,167614
2018-09-24,18.03,140912
2018-09-25,17.94,190150
2018-09-26,18.02,161688
2018-09-27,18.23,151969
2018-09-28,18.34,320523
2018-10-01,18.4,174430
2018-10-02,18.38,188688
2018-10-03,18.62,346538
2018-10-04,17.93,122259
2018-10-05,17.85,66173
2018-10-08,17.48,294934
2018-10-09,17.59,172057
2018-10-10,17.29,167820
2018-10-11,17.0,140398
2018-10-12,17.12,384707
2018-10-15,17.25,118195
2018-10-16,17.52,355448
2018-10-17,17.19,119198
2018-10-18,16.89,173112
2018-10-19,17.57,139104
2018-10-22,17.53,112618
2018-10-23,17.38,322374
2018-10-24,17.25,139470
2018-10-25,17.31,129187
2018-10-26,17.16,168638
2018-10-29,16.88,172998
2018-10-30,16.12,211496
2018-10-31,16.2,211213
2018-11-01,16.63,147855
2018-11-02,16.46,132713
2018-11-05,16.51,171956
2018-11-06,16.68,119704
2018-11-07,16.75,185859
2018-11-08,16.35,108594
2018-11-09,16.27,182488
2018-11-12,16.06,144932
2018-11-13,16.17,209891
2018-11-14,16.79,278232
2018-11-15,16.73,173227
2018-11-16,16.79,358701
2018-11-19,16.58,246762
2018-11-20,16.89,1192792
2018-11-21,17.16,374208
2018-11-23,17.05,152463
2018-11-26,17.16,141034
2018-11-27,17.09,513566
2018-11-28,16.82,5020792
2018-11-29,16.92,368942
2018-11-30,16.66,161006
2018-12-03,16.75,218282
2018-12-04,16.64,225337
2018-12-06,15.98,348903
2018-12-07,15.96,530189
2018-12-10,15.8,389052
2018-12-11,15.9,730466
2018-12-12,16.05,601467
2018-12-13,15.85,913321
2018-12-14,15.64,274329
2018-12-17,15.42,464034
2018-12-18,15.38,524550
2018-12-19,15.49,917088
2018-12-20,15.67,1419446
2018-12-21,15.53,452128
2018-12-24,15.44,238132
2018-12-26,15.69,513605
2018-12-27,15.13,536356
2018-12-28,15.34,565933
2018-12-31,15.13,575867
2019-01-02,15.18,210215
2019-01-03,15.0,325690
2019-01-04,15.2,214221
2019-01-07,15.2,367717
2019-01-08,15.38,805775
2019-01-09,15.53,8748111
2019-01-10,15.56,382809
2019-01-11,15.93,525678
2019-01-14,15.96,726038
2019-01-15,16.24,1873030
2019-01-16,15.58,1961416
2019-01-17,15.35,2911653
2019-01-18,15.52,521047
2019-01-22,15.74,813065
2019-01-23,15.27,885453
2019-01-24,14.73,549468
2019-01-25,15.14,379855
2019-01-28,15.18,849462
2019-01-29,15.38,552396
2019-01-30,15.59,265393
2019-01-31,15.45,930498
2019-02-01,15.41,421965
2019-02-04,15.44,266376
2019-02-05,15.55,314468
2019-02-06,15.16,422305
2019-02-07,15.3,495272
2019-02-08,15.42,283399
2019-02-11,15.37,211291
2019-02-12,15.62,1450377
2019-02-13,15.69,536230
2019-02-14,15.35,1372026
2019-02-15,15.53,189846
2019-02-19,16.18,2070815
2019-02-20,15.84,143326
2019-02-21,15.6,150598
2019-02-22,15.47,195905
2019-02-25,15.38,260204
2019-02-26,15.58,126897
2019-02-27,15.44,344425
2019-02-28,15.41,410635
2019-03-01,15.59,637632
2019-03-04,15.64,102268
2019-03-05,15.82,580339
2019-03-06,16.3,5888929
2019-03-07,16.21,423498
2019-03-08,16.3,222642
2019-03-11,16.32,252238
2019-03-12,16.2,583946
2019-03-13,16.51,181315
2019-03-14,16.74,114065
2019-03-15,16.87,96739
2019-03-18,16.82,262028
2019-03-19,16.73,439442
2019-03-20,16.8,190846
2019-03-21,17.28,292748
2019-03-22,17.18,275256
2019-03-25,16.84,1393166
2019-03-26,17.14,545684
2019-03-27,17.14,219981
2019-03-28,17.0,314731
2019-03-29,16.93,318339
2019-04-01,17.2,646801
2019-04-02,17.11,432315
2019-04-03,17.05,928617
2019-04-04,17.14,174861
2019-04-05,16.91,220660
2019-04-08,16.84,105614
2019-04-09,16.89,1890433
2019-04-10,15.87,693956
2019-04-11,15.72,330589
2019-04-12,15.66,95974
2019-04-15,15.29,2222533
2019-04-16,15.3,1152946
2019-04-17,15.37,149629
2019-04-18,15.36,306791
2019-04-22,15.16,375734
2019-04-23,15.48,1596847
