date,close,volume
2018-04-25,21.71,1094603
2018-04-26,21.68,802053
2018-04-27,21.68,616783
2018-04-30,21.4,795702
2018-05-01,21.64,804092
2018-05-02,22.01,1128774
2018-05-03,21.84,1241036
2018-05-04,22.0,763095
2018-05-07,22.56,874020
2018-05-08,22.79,804716
2018-05-09,23.08,871128
2018-05-10,22.98,1303862
2018-05-11,22.94,1721862
2018-05-14,22.01,1569996
2018-05-15,21.46,1674917
2018-05-16,21.94,1103194
2018-05-17,22.02,637270
2018-05-18,22.02,672082
2018-05-21,22.0,655650
2018-05-22,22.15,696101
2018-05-23,22.21,826119
2018-05-24,22.03,582252
2018-05-25,21.73,841009
2018-05-29,21.97,772748
2018-05-30,22.69,1040239
2018-05-31,22.1,3438538
2018-06-01,21.62,1698568
2018-06-04,22.11,863914
2018-06-05,22.81,1056167
2018-06-06,22.97,769996
2018-06-07,22.87,558569
2018-06-08,23.03,742274
2018-06-11,23.4,821371
2018-06-12,23.72,1831495
2018-06-13,23.9,905392
2018-06-14,24.64,1975728
2018-06-15,24.03,1783230
2018-06-18,22.24,1591064
2018-06-19,22.18,1510553
2018-06-20,22.24,749650
2018-06-21,21.25,1392191
2018-06-22,21.6,3816231
2018-06-25,22.5,1303875
2018-06-26,22.62,909779
2018-06-27,22.51,1000615
2018-06-28,23.02,923202
2018-06-29,23.09,1158987
2018-07-02,23.14,571202
2018-07-03,23.68,512048
2018-07-05,22.96,600524
2018-07-06,22.98,490211
2018-07-09,22.81,700221
2018-07-10,23.79,1267511
2018-07-11,23.54,969381
2018-07-12,23.62,368752
2018-07-13,23.52,354775
2018-07-16,23.99,1151724
2018-07-17,23.4,2589639
2018-07-18,24.0,3178473
2018-07-19,24.78,6792437
2018-07-20,24.53,1673846
2018-07-23,24.64,1062300
2018-07-24,24.92,1542360
2018-07-25,25.68,1714476
2018-07-26,25.37,1488447
2018-07-27,24.75,1030689
2018-07-30,24.26,950273
2018-07-31,24.5,430851
2018-08-01,24.67,553636
2018-08-02,24.02,896535
2018-08-03,23.54,651648
2018-08-06,23.24,781276
2018-08-07,22.39,3101774
2018-08-08,22.67,1030991
2018-08-09,23.14,1869278
2018-08-10,17.96,11406988
2018-08-13,18.48,3919781
2018-08-14,18.17,2407855
2018-08-15,17.86,1423523
2018-08-16,17.32,2363121
2018-08-17,17.19,2169857
2018-08-20,18.07,3160653
2018-08-21,18.85,2187664
2018-08-22,19.21,1314173
2018-08-23,19.47,1816158
2018-08-24,19.72,3747884
2018-08-27,19.71,846539
2018-08-28,19.92,945340
2018-08-29,19.7,813862
2018-08-30,19.82,604467
2018-08-31,19.81,712623
2018-09-04,19.81,1258087
2018-09-05,19.93,727033
2018-09-06,19.72,736216
2018-09-07,19.73,974847
2018-09-10,19.81,781803
2018-09-11,19.93,664456
2018-09-12,19.78,609958
2018-09-13,18.77,926613
2018-09-14,19.3,1527398
2018-09-17,19.21,957362
2018-09-18,19.38,695058
2018-09-19,19.06,665490
2018-09-20,18.63,857118
2018-09-21,17.91,1815360
2018-09-24,18.25,1110993
2018-09-25,18.43,1474997
2018-09-26,18.43,568175
2018-09-27,18.08,700144
2018-09-28,18.7,704309
2018-10-01,18.11,815221
2018-10-02,17.53,652397
2018-10-03,17.36,944376
2018-10-04,17.08,840595
2018-10-05,16.62,933573
2018-10-08,16.46,663566
2018-10-09,16.21,534790
2018-10-10,15.44,1394506
2018-10-11,15.97,791799
2018-10-12,15.66,793869
2018-10-15,16.11,808340
2018-10-16,17.08,789804
2018-10-17,17.17,444616
2018-10-18,16.48,841837
2018-10-19,15.42,1220395
2018-10-22,15.97,596977
2018-10-23,16.44,1568211
2018-10-24,16.13,952780
2018-10-25,16.83,562328
2018-10-26,15.72,1414393
2018-10-29,14.79,1989731
2018-10-30,15.46,888638
2018-10-31,15.45,689945
2018-11-01,16.23,724486
2018-11-02,16.02,1556906
2018-11-05,16.07,1320638
2018-11-06,16.47,717879
2018-11-07,15.43,2750425
2018-11-08,14.85,1580950
2018-11-09,15.06,3650558
2018-11-12,15.34,1327357
2018-11-13,15.6,1347600
2018-11-14,15.16,1133549
2018-11-15,15.05,925322
2018-11-16,15.22,911138
2018-11-19,14.67,1296420
2018-11-20,14.41,856842
2018-11-21,14.38,1173453
2018-11-23,14.73,314088
2018-11-26,15.36,783683
2018-11-27,15.46,499890
2018-11-28,16.28,691099
2018-11-29,17.12,1303998
2018-11-30,16.96,848325
2018-12-03,17.15,577519
2018-12-04,16.8,896146
2018-12-06,17.58,1329342
2018-12-07,17.46,1324026
2018-12-10,16.99,927253
2018-12-11,16.8,553134
2018-12-12,17.07,533928
2018-12-13,16.78,820276
2018-12-14,15.91,743245
2018-12-17,15.38,798230
2018-12-18,15.14,570197
2018-12-19,14.53,1042761
2018-12-20,14.21,1000766
2018-12-21,14.09,1102613
2018-12-24,13.92,431105
2018-12-26,14.93,597357
2018-12-27,15.19,731256
2018-12-28,14.46,822587
2018-12-31,14.4,909831
2019-01-02,14.57,423841
2019-01-03,14.65,577375
2019-01-04,15.2,457777
2019-01-07,15.8,537362
2019-01-08,15.56,589821
2019-01-09,15.78,602831
2019-01-10,16.36,633732
2019-01-11,16.96,544546
2019-01-14,17.12,678570
2019-01-15,17.2,1345724
2019-01-16,17.37,769116
2019-01-17,18.01,791494
2019-01-18,18.48,1126162
2019-01-22,16.16,1383840
2019-01-23,15.86,665796
2019-01-24,16.13,485560
2019-01-25,16.71,391129
2019-01-28,16.94,392514
2019-01-29,17.6,746586
2019-01-30,17.18,1077262
2019-01-31,17.89,779754
2019-02-01,17.47,571641
2019-02-04,18.22,1115983
2019-02-05,18.68,702027
2019-02-06,18.31,754454
2019-02-07,17.73,1152466
2019-02-08,18.14,533963
2019-02-11,18.12,628741
2019-02-12,18.18,819594
2019-02-13,18.16,902528
2019-02-14,18.33,1381648
2019-02-15,19.99,4779269
2019-02-19,19.1,2143251
2019-02-20,18.65,1501032
2019-02-21,19.06,832406
2019-02-22,19.71,1134615
2019-02-25,19.52,1023394
2019-02-26,19.11,975660
2019-02-27,19.61,1084457
2019-02-28,19.97,4574881
2019-03-01,20.0,1846686
2019-03-04,20.43,1486823
2019-03-05,20.42,981966
2019-03-06,19.44,1705980
2019-03-07,19.16,944693
2019-03-08,19.07,2081498
2019-03-11,19.13,2065239
2019-03-12,19.09,1026986
2019-03-13,19.09,602646
2019-03-14,18.5,972024
2019-03-15,18.48,1261523
2019-03-18,18.45,690310
2019-03-19,19.05,1307217
2019-03-20,19.03,951774
2019-03-21,19.51,795916
2019-03-22,19.42,1025099
2019-03-25,19.55,883421
2019-03-26,20.08,1135983
