date,close,volume
2018-04-25,13.45,371373
2018-04-26,13.05,677241
2018-04-27,13.15,456097
2018-04-30,13.25,340875
2018-05-01,13.3,543759
2018-05-02,13.7,344621
2018-05-03,13.65,139284
2018-05-04,13.65,167128
2018-05-07,13.8,255376
2018-05-08,13.35,479913
2018-05-09,13.05,1018861
2018-05-10,13.0,459393
2018-05-11,13.1,387510
2018-05-14,13.0,498588
2018-05-15,13.0,380382
2018-05-16,13.0,457080
2018-05-17,13.0,266569
2018-05-18,13.0,340825
2018-05-21,13.15,181313
2018-05-22,12.95,206927
2018-05-23,12.8,219465
2018-05-24,12.75,186403
2018-05-25,12.95,186380
2018-05-29,12.85,210767
2018-05-30,12.85,177958
2018-05-31,12.7,292857
2018-06-01,12.75,122760
2018-06-04,12.8,190428
2018-06-05,12.8,190438
2018-06-06,12.85,132005
2018-06-07,12.85,214090
2018-06-08,12.95,137269
2018-06-11,13.05,179399
2018-06-12,13.3,377758
2018-06-13,13.7,960894
2018-06-14,13.8,188230
2018-06-15,13.8,310316
2018-06-18,14.05,154799
2018-06-19,14.2,242596
2018-06-20,14.35,158752
2018-06-21,14.35,257850
2018-06-22,14.3,586979
2018-06-25,14.25,181616
2018-06-26,14.3,147554
2018-06-27,14.6,211529
2018-06-28,15.15,379242
2018-06-29,15.0,320755
2018-07-02,14.95,234785
2018-07-03,15.05,97695
2018-07-05,15.4,225652
2018-07-06,15.35,153907
2018-07-09,14.9,128720
2018-07-10,14.95,104310
2018-07-11,14.85,108566
2018-07-12,14.8,117101
2018-07-13,14.75,91991
2018-07-16,14.65,103775
2018-07-17,14.35,164881
2018-07-18,14.3,153397
2018-07-19,14.3,87233
2018-07-20,14.15,99724
2018-07-23,14.2,89638
2018-07-24,13.95,130512
2018-07-25,13.85,113319
2018-07-26,13.95,134183
2018-07-27,13.55,113832
2018-07-30,13.4,191424
2018-07-31,13.4,124064
2018-08-01,13.4,84014
2018-08-02,13.7,191892
2018-08-03,14.0,298832
2018-08-06,13.95,100456
2018-08-07,13.95,97338
2018-08-08,13.9,165708
2018-08-09,13.8,352337
2018-08-10,14.05,150105
2018-08-13,13.9,134465
2018-08-14,14.05,173893
2018-08-15,13.8,124801
2018-08-16,14.1,185966
2018-08-17,14.1,229043
2018-08-20,13.6,152673
2018-08-21,14.15,231299
2018-08-22,14.05,187202
2018-08-23,13.9,86759
2018-08-24,14.1,128336
2018-08-27,13.9,110897
2018-08-28,13.7,112231
2018-08-29,13.9,116030
2018-08-30,13.9,118140
2018-08-31,13.85,138658
2018-09-04,13.68,286464
2018-09-05,13.5,160597
2018-09-06,13.75,225034
2018-09-07,13.65,102245
2018-09-10,13.7,257904
2018-09-11,13.7,151358
2018-09-12,13.65,141717
2018-09-13,13.9,132782
2018-09-14,14.3,200761
2018-09-17,15.05,722332
2018-09-18,15.5,662017
2018-09-19,15.75,318512
2018-09-20,15.45,328317
2018-09-21,15.55,1198691
2018-09-24,15.3,208757
2018-09-25,15.15,145847
2018-09-26,14.7,223858
2018-09-27,14.9,160123
2018-09-28,15.05,128236
2018-10-01,14.41,283606
2018-10-02,14.44,226460
2018-10-03,14.62,128267
2018-10-04,14.58,161206
2018-10-05,15.47,449282
2018-10-08,15.74,319399
2018-10-09,15.46,318375
2018-10-10,15.25,240975
2018-10-11,15.33,231020
2018-10-12,15.62,309685
2018-10-15,15.65,206480
2018-10-16,16.26,356008
2018-10-17,16.01,156290
2018-10-18,15.44,248133
2018-10-19,15.29,195731
2018-10-22,15.39,177126
2018-10-23,15.38,163385
2018-10-24,15.02,155640
2018-10-25,15.11,167202
2018-10-26,14.97,169361
2018-10-29,15.05,154945
2018-10-30,14.9,172782
2018-10-31,14.8,360926
2018-11-01,14.62,271456
2018-11-02,14.65,164747
2018-11-05,14.39,204655
2018-11-06,14.55,185175
2018-11-07,15.05,211571
2018-11-08,15.17,252046
2018-11-09,13.4,790758
2018-11-12,14.1,419895
2018-11-13,13.26,360362
2018-11-14,13.02,327039
2018-11-15,13.48,244659
2018-11-16,13.32,254781
2018-11-19,12.92,218961
2018-11-20,12.45,315903
2018-11-21,12.82,183428
2018-11-23,12.79,61657
2018-11-26,12.85,216021
2018-11-27,12.78,198492
2018-11-28,13.14,187802
2018-11-29,13.1,191561
2018-11-30,12.89,186627
2018-12-03,13.08,142480
2018-12-04,12.65,166511
2018-12-06,12.5,190391
2018-12-07,12.6,184658
2018-12-10,12.54,176560
2018-12-11,12.54,94242
2018-12-12,12.57,256486
2018-12-13,12.66,151719
2018-12-14,12.28,143229
2018-12-17,11.81,243513
2018-12-18,11.71,270790
2018-12-19,10.92,284369
2018-12-20,10.41,405828
2018-12-21,10.41,391800
2018-12-24,10.35,80601
2018-12-26,10.64,179428
2018-12-27,10.33,152149
2018-12-28,10.33,132513
2018-12-31,10.17,199987
2019-01-02,10.46,193303
2019-01-03,10.03,268395
2019-01-04,10.54,225848
2019-01-07,10.93,197932
2019-01-08,11.11,171304
2019-01-09,11.09,198393
2019-01-10,11.27,167141
2019-01-11,11.81,212319
2019-01-14,11.68,153889
2019-01-15,12.42,275334
2019-01-16,12.42,159716
2019-01-17,12.45,123002
2019-01-18,12.43,185805
2019-01-22,12.35,116470
2019-01-23,12.56,105218
2019-01-24,12.66,108334
2019-01-25,12.98,239379
2019-01-28,12.98,119669
2019-01-29,12.85,305069
2019-01-30,13.32,126441
2019-01-31,13.65,132712
2019-02-01,13.95,157764
2019-02-04,13.85,482988
2019-02-05,13.56,102865
2019-02-06,13.56,56683
2019-02-07,13.85,115625
2019-02-08,13.47,167118
2019-02-11,13.35,186403
2019-02-12,13.58,106370
2019-02-13,13.68,264703
2019-02-14,13.99,190895
2019-02-15,14.22,179814
2019-02-19,14.01,99834
2019-02-20,13.8,95510
2019-02-21,13.96,86781
2019-02-22,14.01,104124
2019-02-25,13.88,213321
2019-02-26,13.83,173570
2019-02-27,13.63,134298
2019-02-28,13.64,253957
2019-03-01,14.33,990196
2019-03-04,14.3,358872
2019-03-05,14.15,221799
2019-03-06,13.46,269450
2019-03-07,13.44,183394
2019-03-08,13.48,110714
