date,close,volume
2019-06-28,28.9,19670160
2019-07-01,26.55,3689237
2019-07-02,25.98,1442485
2019-07-03,25.5,439667
2019-07-05,26.51,2166930
2019-07-08,25.92,1453862
2019-07-09,25.36,776878
2019-07-10,26.4,493611
2019-07-11,25.57,449561
2019-07-12,25.79,535825
2019-07-15,24.91,853066
2019-07-16,24.52,840904
2019-07-17,23.86,766146
2019-07-18,25.06,1410860
2019-07-19,24.14,1108071
2019-07-22,24.79,380043
2019-07-23,24.61,839696
2019-07-24,24.51,380230
2019-07-25,24.61,628117
2019-07-26,25.85,417872
2019-07-29,25.12,389954
2019-07-30,24.61,582166
2019-07-31,24.55,419686
2019-08-01,25.0,575639
2019-08-02,24.05,356869
2019-08-05,23.84,420163
2019-08-06,23.63,259555
2019-08-07,23.0,362431
2019-08-08,23.13,564634
2019-08-09,17.74,3736380
2019-08-12,17.88,2216156
2019-08-13,17.0,2759749
2019-08-14,14.28,9146701
2019-08-15,15.48,4322898
2019-08-16,17.24,2916036
2019-08-19,17.25,2508669
2019-08-20,17.16,1048483
2019-08-21,17.23,797608
2019-08-22,16.69,2295291
2019-08-23,15.35,1367949
2019-08-26,14.23,2266123
2019-08-27,12.8,2280484
2019-08-28,13.61,2197064
2019-08-29,13.98,1507564
2019-08-30,13.07,1219392
2019-09-03,13.81,2213951
2019-09-04,14.26,1591524
2019-09-05,15.0,1623702
2019-09-06,15.37,1303558
2019-09-09,15.33,1023800
2019-09-10,16.18,2251024
2019-09-11,16.35,1387913
2019-09-12,16.92,970631
2019-09-13,17.01,1002594
2019-09-16,16.75,1126958
2019-09-17,17.37,1222047
2019-09-18,16.29,1671007
2019-09-19,16.81,918335
2019-09-20,16.93,4357645
2019-09-23,17.65,1397476
2019-09-24,17.08,1812267
2019-09-25,18.33,1223058
2019-09-26,18.69,1027568
2019-09-27,19.35,2204949
2019-09-30,22.36,2020336
2019-10-01,20.82,2266192
2019-10-02,18.85,1990226
2019-10-03,18.91,2479870
2019-10-04,20.14,1052825
2019-10-07,20.88,998187
2019-10-08,21.1,777752
2019-10-09,21.23,1076932
2019-10-10,22.53,3094524
2019-10-11,22.13,1762527
2019-10-14,21.43,1279288
2019-10-15,21.11,1004411
2019-10-16,21.75,801531
2019-10-17,22.66,1081458
2019-10-18,22.05,770274
2019-10-21,21.64,723465
2019-10-22,20.93,889594
2019-10-23,19.03,967112
2019-10-24,19.75,794850
2019-10-25,22.13,2778157
2019-10-28,23.25,2172725
2019-10-29,23.5,2239413
2019-10-30,23.75,1237160
2019-10-31,23.11,1147929
2019-11-01,22.93,1722743
2019-11-04,21.73,3587642
2019-11-05,19.37,5242988
2019-11-06,17.93,3197621
2019-11-07,17.57,1693056
2019-11-08,17.66,1168868
2019-11-11,18.2,1163926
2019-11-12,18.33,981390
2019-11-13,18.47,1829451
2019-11-14,17.91,1237293
2019-11-15,17.71,1719086
2019-11-18,17.24,943406
2019-11-19,17.55,645760
2019-11-20,16.93,976763
2019-11-21,16.15,1887120
2019-11-22,16.36,1000395
2019-11-25,16.84,900325
2019-11-26,16.64,1188030
2019-11-27,17.47,1098953
2019-11-29,17.2,493359
2019-12-02,16.0,1036843
2019-12-03,16.3,1150865
2019-12-04,17.34,1692393
2019-12-05,16.82,1738839
2019-12-06,17.65,1017754
2019-12-09,17.47,613568
2019-12-10,16.97,817847
2019-12-11,17.08,1058276
2019-12-12,18.57,1570802
2019-12-13,18.6,861239
2019-12-16,18.3,1312481
2019-12-17,17.43,1812716
2019-12-18,17.7,981282
2019-12-19,18.22,1990733
2019-12-20,18.58,1361038
2019-12-23,18.15,1272053
2019-12-24,17.81,1136394
2019-12-26,18.08,4078391
2019-12-27,18.32,2492090
2019-12-30,18.05,1083285
2019-12-31,18.85,2112160
2020-01-02,17.87,3860835
2020-01-03,18.44,1377492
2020-01-06,17.86,933400
2020-01-07,18.11,865349
2020-01-08,17.36,1727725
2020-01-09,18.17,1343754
2020-01-10,17.79,735426
2020-01-13,18.16,1057482
2020-01-14,18.11,957060
2020-01-15,17.74,1621485
2020-01-16,18.14,980840
2020-01-17,17.44,1439155
2020-01-21,17.8,1328048
2020-01-22,16.56,2449769
2020-01-23,16.0,1341628
2020-01-24,15.5,1379733
2020-01-27,15.26,1008336
2020-01-28,15.4,922899
2020-01-29,15.09,823355
2020-01-30,14.79,1128479
2020-01-31,14.47,735658
2020-02-03,14.03,1123748
2020-02-04,14.51,1744591
2020-02-05,14.42,1048653
2020-02-06,14.5,880517
2020-02-07,14.3,1483142
2020-02-10,14.5,1265150
2020-02-11,14.96,1323227
2020-02-12,15.66,709775
2020-02-13,15.43,570859
2020-02-14,15.18,616724
2020-02-18,15.24,895019
2020-02-19,15.53,1608970
2020-02-20,15.6,1118805
2020-02-21,15.9,4242346
2020-02-24,14.95,2515111
2020-02-25,14.97,3356768
2020-02-26,14.95,5707803
2020-02-27,13.86,2985242
2020-02-28,13.99,3542653
2020-03-02,14.21,2549327
2020-03-03,13.59,2273556
2020-03-04,13.43,1922185
2020-03-05,13.0,2305498
2020-03-06,13.01,1818413
2020-03-09,12.14,1482265
2020-03-10,12.55,1653268
2020-03-11,11.39,1970079
2020-03-12,8.81,4159769
2020-03-13,8.7,3508565
2020-03-16,6.47,2821474
2020-03-17,7.58,3568913
2020-03-18,8.02,2896872
2020-03-19,8.08,1582936
2020-03-20,7.56,6286393
2020-03-23,5.46,4804077
2020-03-24,5.75,4079200
2020-03-25,6.95,5838971
2020-03-26,7.66,2304647
2020-03-27,7.31,2144632
2020-03-30,7.36,1160360
2020-03-31,7.01,1611819
2020-04-01,6.56,1415428
2020-04-02,6.95,1023481
2020-04-03,6.4,1551086
2020-04-06,6.62,1911332
2020-04-07,7.48,2052512
2020-04-08,8.75,2491044
2020-04-09,8.16,2102717
2020-04-13,8.0,1284970
2020-04-14,7.99,3651484
2020-04-15,8.67,2684799
2020-04-16,9.22,3851279
2020-04-17,10.15,3474212
2020-04-20,9.88,2944567
2020-04-21,9.55,1939566
2020-04-22,9.54,1590793
