date,close,volume
2019-07-02,13.65,2654985
2019-07-03,13.59,311168
2019-07-05,13.65,444446
2019-07-08,13.45,299169
2019-07-09,13.5,268254
2019-07-10,13.41,367602
2019-07-11,13.4,292914
2019-07-12,13.39,225796
2019-07-15,13.21,252252
2019-07-16,13.18,308365
2019-07-17,13.13,218869
2019-07-18,13.11,160332
2019-07-19,13.1,103066
2019-07-22,13.01,204313
2019-07-23,13.06,79839
2019-07-24,13.02,35899
2019-07-25,13.0,47471
2019-07-26,13.0,62063
2019-07-29,13.02,55465
2019-07-30,13.1,89598
2019-07-31,13.2,55476
2019-08-01,13.23,39608
2019-08-02,13.29,47043
2019-08-05,13.31,76486
2019-08-06,13.34,62621
2019-08-07,13.29,49579
2019-08-08,13.25,32124
2019-08-09,13.41,58798
2019-08-12,13.35,60567
2019-08-13,13.4,27631
2019-08-14,13.25,56143
2019-08-15,12.99,77956
2019-08-16,13.08,43010
2019-08-19,13.23,75172
2019-08-20,13.33,96291
2019-08-21,13.27,33089
2019-08-22,13.35,60514
2019-08-23,13.24,14228
2019-08-26,13.05,76510
2019-08-27,12.95,91021
2019-08-28,13.19,48237
2019-08-29,13.2,55362
2019-08-30,13.18,67022
2019-09-03,12.81,96817
2019-09-04,13.0,29814
2019-09-05,13.1,50814
2019-09-06,13.15,66221
2019-09-09,13.42,252450
2019-09-10,13.35,155685
2019-09-11,13.47,89312
2019-09-12,13.51,93039
2019-09-13,13.46,110685
2019-09-16,13.74,204972
2019-09-17,14.02,241344
2019-09-18,13.93,311922
2019-09-19,13.93,283182
2019-09-20,14.05,1947830
2019-09-23,13.9,100774
2019-09-24,13.9,161968
2019-09-25,13.84,81637
2019-09-26,13.74,37985
2019-09-27,13.87,56750
2019-09-30,13.99,136829
2019-10-01,13.54,100078
2019-10-02,13.77,43041
2019-10-03,13.79,47715
2019-10-04,13.83,18766
2019-10-07,13.71,45749
2019-10-08,13.63,14069
2019-10-09,13.54,20472
2019-10-10,13.55,35308
2019-10-11,13.83,69163
2019-10-14,13.63,40175
2019-10-15,13.72,21322
2019-10-16,13.81,49217
2019-10-17,13.92,62517
2019-10-18,13.96,41633
2019-10-21,13.93,85339
2019-10-22,13.89,42449
2019-10-23,13.86,32311
2019-10-24,13.86,7932
2019-10-25,13.87,103826
2019-10-28,13.94,142538
2019-10-29,13.9,53951
2019-10-30,13.91,33240
2019-10-31,13.95,40486
2019-11-01,13.95,88582
2019-11-04,13.88,74679
2019-11-05,13.93,41490
2019-11-06,13.85,58456
2019-11-07,13.89,52162
2019-11-08,13.93,36983
2019-11-11,13.95,41509
2019-11-12,13.91,44019
2019-11-13,13.97,31402
2019-11-14,13.87,43659
2019-11-15,13.97,29641
2019-11-18,14.13,65439
2019-11-19,14.38,28999
2019-11-20,14.49,59088
2019-11-21,14.6,45120
2019-11-22,14.42,17799
2019-11-25,14.74,29936
2019-11-26,14.57,14394
2019-11-27,14.65,25611
2019-11-29,14.51,3615
2019-12-02,14.5,22135
2019-12-03,14.46,19683
2019-12-04,14.5,14326
2019-12-05,14.53,15072
2019-12-06,14.85,29665
2019-12-09,14.87,40922
2019-12-10,14.97,36673
2019-12-11,14.95,8700
2019-12-12,15.15,23383
2019-12-13,15.36,25072
2019-12-16,15.39,27067
2019-12-17,15.38,13426
2019-12-18,15.49,71460
2019-12-19,15.64,85519
2019-12-20,15.57,36048
2019-12-23,15.43,6290
2019-12-24,15.4,1713
2019-12-26,15.6,12037
2019-12-27,15.75,14183
2019-12-30,15.93,22520
2019-12-31,15.96,17983
2020-01-02,15.88,34323
2020-01-03,15.82,13708
2020-01-06,15.79,16978
2020-01-07,15.57,10252
2020-01-08,15.57,11780
2020-01-09,15.46,15933
2020-01-10,15.18,19490
2020-01-13,15.17,19310
2020-01-14,15.04,32491
2020-01-15,14.86,18023
2020-01-16,14.87,17343
2020-01-17,15.0,27758
2020-01-21,15.27,18563
2020-01-22,15.38,18237
2020-01-23,15.33,4661
2020-01-24,15.32,1965
2020-01-27,15.25,32870
2020-01-28,15.29,6239
2020-01-29,15.18,11620
2020-01-30,15.3,12409
2020-01-31,15.21,20447
2020-02-03,15.23,23807
2020-02-04,15.17,15964
2020-02-05,15.24,31212
2020-02-06,15.21,10880
2020-02-07,15.18,24767
2020-02-10,15.22,17189
2020-02-11,15.24,19445
2020-02-12,15.28,26885
2020-02-13,15.25,16829
2020-02-14,15.16,8895
2020-02-18,15.14,12423
2020-02-19,15.14,9064
2020-02-20,15.09,18177
2020-02-21,15.1,17201
2020-02-24,14.8,11883
2020-02-25,14.67,13009
2020-02-26,14.02,17500
2020-02-27,13.55,34310
2020-02-28,13.45,68220
2020-03-02,13.62,48696
2020-03-03,13.49,29829
2020-03-04,13.5,28654
2020-03-05,13.02,34807
2020-03-06,12.95,104284
2020-03-09,11.74,71194
2020-03-10,11.79,58798
2020-03-11,11.4,59331
2020-03-12,10.71,64971
2020-03-13,11.7,43059
2020-03-16,10.7,60763
2020-03-17,11.0,49799
2020-03-18,9.69,57442
2020-03-19,9.9,131003
2020-03-20,9.97,148633
2020-03-23,9.3,69837
2020-03-24,10.26,91665
2020-03-25,10.19,20074
2020-03-26,10.55,71048
2020-03-27,10.15,26485
2020-03-30,10.16,53811
2020-03-31,10.2,63901
2020-04-01,9.55,50177
2020-04-02,9.89,30414
2020-04-03,9.2,47446
2020-04-06,9.48,62799
2020-04-07,9.61,50410
2020-04-08,9.96,59770
2020-04-09,10.07,147321
2020-04-13,9.67,39788
2020-04-14,9.63,28442
2020-04-15,9.61,91121
2020-04-16,9.38,70854
2020-04-17,9.86,48752
2020-04-20,9.49,16999
2020-04-21,9.53,52326
2020-04-22,9.13,33340
2020-04-23,9.29,19304
2020-04-24,9.6,20770
2020-04-27,10.2,47760
2020-04-28,10.17,32672
2020-04-29,11.0,79507
2020-04-30,10.68,36166
2020-05-01,10.41,28129
2020-05-04,10.77,41493
2020-05-05,10.32,14054
2020-05-06,10.2,26659
2020-05-07,10.63,18292
2020-05-08,10.83,23476
2020-05-11,10.3,67464
2020-05-12,10.12,46995
2020-05-13,9.79,76207
2020-05-14,9.97,61491
