date,close,volume
2018-04-25,116.86,103735
2018-04-26,117.12,157162
2018-04-27,113.18,234516
2018-04-30,106.7,233850
2018-05-01,110.81,276446
2018-05-02,110.5,148411
2018-05-03,108.86,106595
2018-05-04,112.94,101430
2018-05-07,111.9,128727
2018-05-08,114.36,93070
2018-05-09,114.85,123705
2018-05-10,116.36,137179
2018-05-11,114.99,123904
2018-05-14,118.74,212073
2018-05-15,117.19,122154
2018-05-16,118.92,114308
2018-05-17,120.02,113079
2018-05-18,119.08,173298
2018-05-21,120.39,109886
2018-05-22,118.48,76971
2018-05-23,118.0,112196
2018-05-24,116.26,268253
2018-05-25,118.35,78941
2018-05-29,117.51,123214
2018-05-30,116.8,97507
2018-05-31,113.96,75354
2018-06-01,115.17,146912
2018-06-04,116.97,97559
2018-06-05,118.92,89821
2018-06-06,119.21,72006
2018-06-07,119.58,83302
2018-06-08,119.95,56399
2018-06-11,120.33,68733
2018-06-12,120.65,58750
2018-06-13,121.41,238100
2018-06-14,121.58,80008
2018-06-15,122.41,176080
2018-06-18,122.0,101956
2018-06-19,122.64,136746
2018-06-20,120.97,117919
2018-06-21,116.86,112960
2018-06-22,115.61,287497
2018-06-25,108.63,161548
2018-06-26,111.05,186889
2018-06-27,110.52,94249
2018-06-28,110.11,125983
2018-06-29,111.46,76551
2018-07-02,113.35,80462
2018-07-03,110.99,60151
2018-07-05,114.72,95023
2018-07-06,116.69,78494
2018-07-09,120.9,104126
2018-07-10,122.49,90805
2018-07-11,116.33,95037
2018-07-12,117.61,137520
2018-07-13,117.38,124221
2018-07-16,117.85,55005
2018-07-17,118.16,34125
2018-07-18,119.09,72429
2018-07-19,119.85,39655
2018-07-20,119.08,43109
2018-07-23,119.62,63618
2018-07-24,119.41,144047
2018-07-25,118.77,79247
2018-07-26,122.92,78451
2018-07-27,121.88,106582
2018-07-30,122.81,161588
2018-07-31,116.57,244555
2018-08-01,122.38,235142
2018-08-02,127.16,138202
2018-08-03,127.54,378949
2018-08-06,132.02,212292
2018-08-07,133.31,178905
2018-08-08,131.38,146809
2018-08-09,128.65,81085
2018-08-10,129.68,98373
2018-08-13,129.15,71374
2018-08-14,130.35,66248
2018-08-15,127.16,78353
2018-08-16,129.59,57859
2018-08-17,131.41,72720
2018-08-20,131.98,65209
2018-08-21,131.49,132600
2018-08-22,132.39,119492
2018-08-23,133.93,92137
2018-08-24,135.19,94745
2018-08-27,138.29,141562
2018-08-28,140.44,135093
2018-08-29,140.63,106476
2018-08-30,138.48,80153
2018-08-31,138.07,75578
2018-09-04,138.93,79760
2018-09-05,138.16,82515
2018-09-06,137.88,196556
2018-09-07,137.87,111288
2018-09-10,140.22,79905
2018-09-11,144.34,174401
2018-09-12,147.53,150412
2018-09-13,146.96,113397
2018-09-14,147.46,125020
2018-09-17,141.93,189966
2018-09-18,144.5,86614
2018-09-19,143.47,157249
2018-09-20,147.11,143605
2018-09-21,149.14,237983
2018-09-24,150.02,142360
2018-09-25,153.67,218015
2018-09-26,152.07,290414
2018-09-27,152.99,442060
2018-09-28,147.32,144447
2018-10-01,143.0,112389
2018-10-02,141.94,155222
2018-10-03,142.08,95148
2018-10-04,139.17,115389
2018-10-05,135.19,144470
2018-10-08,134.29,95087
2018-10-09,133.92,105836
2018-10-10,126.87,108426
2018-10-11,124.96,112904
2018-10-12,125.83,119939
2018-10-15,126.75,92601
2018-10-16,132.22,69979
2018-10-17,132.81,57152
2018-10-18,128.09,48721
2018-10-19,126.15,75128
2018-10-22,126.59,78587
2018-10-23,126.38,87458
2018-10-24,120.39,70816
2018-10-25,126.16,76956
2018-10-26,123.3,76424
2018-10-29,120.19,140205
2018-10-30,122.67,116095
2018-10-31,123.06,162847
2018-11-01,131.5,196001
2018-11-02,128.03,302595
2018-11-05,122.57,171594
2018-11-06,122.63,144350
2018-11-07,126.46,111775
2018-11-08,121.22,106960
