date,close,volume
2018-04-25,11.18,329887
2018-04-26,11.31,281199
2018-04-27,11.5,277154
2018-04-30,11.53,276114
2018-05-01,11.58,225000
2018-05-02,11.54,201404
2018-05-03,11.43,367479
2018-05-04,11.49,275995
2018-05-07,11.63,251414
2018-05-08,11.6,231373
2018-05-09,11.65,242188
2018-05-10,11.73,231046
2018-05-11,11.75,214139
2018-05-14,11.69,256972
2018-05-15,11.28,608505
2018-05-16,11.29,324976
2018-05-17,11.2,218606
2018-05-18,11.15,367341
2018-05-21,11.29,307104
2018-05-22,11.33,175544
2018-05-23,11.41,258692
2018-05-24,11.37,181287
2018-05-25,11.48,163967
2018-05-29,11.57,218581
2018-05-30,11.66,246797
2018-05-31,11.62,331162
2018-06-01,11.76,257215
2018-06-04,11.78,210235
2018-06-05,11.82,198101
2018-06-06,11.83,175479
2018-06-07,11.79,220395
2018-06-08,11.95,475780
2018-06-11,11.9,206293
2018-06-12,11.92,187662
2018-06-13,11.67,266682
2018-06-14,11.78,222986
2018-06-15,11.81,211311
2018-06-18,11.75,178303
2018-06-19,11.65,191890
2018-06-20,11.77,281041
2018-06-21,11.81,213759
2018-06-22,11.89,139428
2018-06-25,11.84,208764
2018-06-26,11.88,284169
2018-06-27,11.88,278859
2018-06-28,11.97,226264
2018-06-29,12.02,400302
2018-07-02,12.02,205377
2018-07-03,12.07,153550
2018-07-05,12.19,348134
2018-07-06,12.24,250235
2018-07-09,12.15,251810
2018-07-10,12.21,182323
2018-07-11,12.11,241363
2018-07-12,12.21,180669
2018-07-13,12.18,238472
2018-07-16,12.14,209341
2018-07-17,11.88,260593
2018-07-18,11.93,231819
2018-07-19,11.98,181063
2018-07-20,11.94,133549
2018-07-23,11.96,224121
2018-07-24,11.95,281615
2018-07-25,12.0,188916
2018-07-26,12.04,151332
2018-07-27,11.94,156699
2018-07-30,11.91,241589
2018-07-31,12.12,302261
2018-08-01,12.15,211447
2018-08-02,12.15,224057
2018-08-03,12.24,174877
2018-08-06,12.28,249351
2018-08-07,12.24,157560
2018-08-08,12.21,117320
2018-08-09,12.19,124012
2018-08-10,12.19,166998
2018-08-13,12.1,153313
2018-08-14,12.18,140753
2018-08-15,12.35,292448
2018-08-16,12.44,216135
2018-08-17,12.54,282496
2018-08-20,12.61,237044
2018-08-21,12.55,304491
2018-08-22,12.45,291421
2018-08-23,12.38,209972
2018-08-24,12.46,190493
2018-08-27,12.48,183742
2018-08-28,12.54,178298
2018-08-29,12.6,266919
2018-08-30,12.54,200429
2018-08-31,12.57,209709
2018-09-04,12.53,244253
2018-09-05,12.57,176828
2018-09-06,12.53,210267
2018-09-07,12.26,309306
2018-09-10,12.5,460126
2018-09-11,12.39,649388
2018-09-12,12.49,275644
2018-09-13,12.59,290298
2018-09-14,12.53,332714
2018-09-17,12.53,285131
2018-09-18,12.48,371642
2018-09-19,12.33,254037
2018-09-20,12.33,142797
2018-09-21,12.38,182903
2018-09-24,12.14,282420
2018-09-25,12.08,208767
2018-09-26,12.1,567956
2018-09-27,12.16,176257
2018-09-28,12.25,272585
2018-10-01,12.33,305881
2018-10-02,12.37,635958
2018-10-03,12.13,345257
2018-10-04,11.78,559325
2018-10-05,11.68,341481
2018-10-08,11.69,357111
2018-10-09,11.88,279754
2018-10-10,11.63,267823
2018-10-11,11.08,832205
2018-10-12,11.23,465206
2018-10-15,11.44,329984
2018-10-16,11.65,300527
2018-10-17,11.59,290683
2018-10-18,11.56,342164
2018-10-19,11.67,172136
2018-10-22,11.34,360953
2018-10-23,11.34,334396
2018-10-24,11.37,382104
2018-10-25,11.6,213247
2018-10-26,11.3,230280
2018-10-29,11.32,230735
2018-10-30,11.43,348265
2018-10-31,11.27,498974
2018-11-01,11.4,365018
2018-11-02,11.37,231011
2018-11-05,11.43,168766
2018-11-06,11.5,184949
2018-11-07,11.77,204565
2018-11-08,11.69,155206
2018-11-09,11.8,143428
2018-11-12,11.88,171696
2018-11-13,11.73,177238
2018-11-14,11.72,135772
2018-11-15,11.47,239689
2018-11-16,11.53,184083
2018-11-19,11.53,164813
2018-11-20,11.41,245949
2018-11-21,11.48,205539
2018-11-23,11.4,91322
2018-11-26,11.51,313389
2018-11-27,11.47,199929
2018-11-28,11.7,401323
2018-11-29,11.76,181016
2018-11-30,11.85,249104
2018-12-03,11.95,253240
2018-12-04,11.7,308709
2018-12-06,11.84,756981
2018-12-07,11.73,347558
2018-12-10,11.7,250210
2018-12-11,11.67,238944
2018-12-12,11.5,329351
2018-12-13,11.69,397240
2018-12-14,11.5,288111
2018-12-17,10.93,570090
2018-12-18,10.85,679849
2018-12-19,10.75,611355
2018-12-20,10.22,1221631
2018-12-21,10.06,895672
2018-12-24,9.93,474153
2018-12-26,10.25,840174
2018-12-27,10.15,1005464
2018-12-28,10.22,1418581
2018-12-31,10.36,1580313
2019-01-02,10.26,1851527
2019-01-03,10.26,1645654
2019-01-04,10.46,1520194
2019-01-07,10.79,791755
2019-01-08,10.99,742440
2019-01-09,10.99,404368
2019-01-10,11.06,385326
2019-01-11,11.12,457790
2019-01-14,11.15,238585
2019-01-15,11.2,358314
2019-01-16,11.25,286062
2019-01-17,11.34,285934
2019-01-18,11.37,328861
2019-01-22,11.36,402363
2019-01-23,11.38,351980
2019-01-24,11.4,246591
2019-01-25,11.4,416238
2019-01-28,11.56,317406
2019-01-29,11.71,357929
2019-01-30,11.95,485562
2019-01-31,12.12,478117
2019-02-01,12.2,688434
2019-02-04,12.15,407722
2019-02-05,12.08,566062
2019-02-06,12.14,280526
2019-02-07,12.17,293056
2019-02-08,12.11,291146
2019-02-11,12.42,531173
2019-02-12,12.26,376800
2019-02-13,12.32,301614
2019-02-14,12.36,323295
2019-02-15,12.35,358661
2019-02-19,12.47,344148
2019-02-20,12.34,268678
2019-02-21,12.28,258700
2019-02-22,12.41,195436
2019-02-25,12.3,259768
2019-02-26,12.23,349087
2019-02-27,12.2,291527
2019-02-28,12.22,269928
2019-03-01,12.18,211330
2019-03-04,12.3,344409
2019-03-05,12.31,181325
2019-03-06,12.3,177582
2019-03-07,12.33,256761
2019-03-08,12.27,201196
2019-03-11,12.42,169160
2019-03-12,12.44,224085
2019-03-13,12.49,188071
2019-03-14,12.52,168299
2019-03-15,12.49,234358
2019-03-18,12.41,214357
2019-03-19,12.31,328498
2019-03-20,12.37,259827
2019-03-21,12.54,295890
2019-03-22,12.65,399885
2019-03-25,12.51,298796
2019-03-26,12.55,242738
2019-03-27,12.59,273598
2019-03-28,12.72,238316
2019-03-29,12.8,316560
2019-04-01,12.8,339794
2019-04-02,12.89,332999
2019-04-03,12.86,257202
2019-04-04,12.81,205855
2019-04-05,12.87,223381
2019-04-08,12.91,316056
2019-04-09,12.83,316185
2019-04-10,12.93,207387
2019-04-11,12.95,222276
2019-04-12,12.96,202402
2019-04-15,12.99,344430
2019-04-16,12.68,415154
2019-04-17,12.57,440405
2019-04-18,12.65,253116
2019-04-22,12.57,365154
2019-04-23,12.93,472751
2019-04-24,12.99,393316
2019-04-25,12.99,234538
2019-04-26,12.98,352823
2019-04-29,12.96,278498
2019-04-30,13.16,380878
2019-05-01,13.24,430098
2019-05-02,13.19,323188
2019-05-03,13.26,301919
2019-05-06,13.18,312227
2019-05-07,12.97,476487
2019-05-08,12.99,235228
2019-05-09,12.94,294811
2019-05-10,13.08,187968
2019-05-13,13.02,299786
2019-05-14,13.1,209511
2019-05-15,13.22,380881
2019-05-16,13.22,451358
2019-05-17,13.19,255283
2019-05-20,13.21,338753
2019-05-21,13.29,290388
2019-05-22,13.32,216911
2019-05-23,13.34,274944
2019-05-24,13.45,261685
2019-05-28,13.45,585610
2019-05-29,13.16,433821
2019-05-30,13.24,325830
2019-05-31,13.38,427266
2019-06-03,13.47,415630
2019-06-04,13.65,648721
2019-06-05,13.73,459731
2019-06-06,13.74,402394
2019-06-07,13.9,333644
2019-06-10,13.89,382224
2019-06-11,13.93,330505
2019-06-12,14.0,279483
2019-06-13,14.05,300758
2019-06-14,14.19,265146
2019-06-17,14.31,462749
2019-06-18,14.12,421299
2019-06-19,14.2,476809
2019-06-20,14.25,307629
2019-06-21,14.04,305470
2019-06-24,13.99,342427
2019-06-25,13.75,410685
2019-06-26,13.25,983799
2019-06-27,13.51,292083
2019-06-28,13.68,286763
2019-07-01,13.77,281742
2019-07-02,13.87,269539
2019-07-03,13.98,102576
2019-07-05,13.93,266668
2019-07-08,13.94,237271
2019-07-09,14.05,221255
2019-07-10,14.15,258976
2019-07-11,14.1,266488
2019-07-12,14.07,243502
2019-07-15,14.1,294093
2019-07-16,13.94,253427
2019-07-17,13.88,224253
2019-07-18,13.83,191469
2019-07-19,13.6,199586
2019-07-22,13.65,418354
2019-07-23,13.93,392721
2019-07-24,13.88,361525
2019-07-25,13.88,310019
2019-07-26,14.03,212610
2019-07-29,14.13,317795
2019-07-30,14.13,321982
2019-07-31,14.12,279556
2019-08-01,14.21,307983
2019-08-02,14.21,213118
2019-08-05,13.94,409174
2019-08-06,14.12,308271
2019-08-07,14.27,349922
2019-08-08,14.49,376051
2019-08-09,14.56,286535
2019-08-12,14.63,463199
2019-08-13,14.67,257480
2019-08-14,14.45,397112
2019-08-15,14.56,213498
2019-08-16,14.7,309712
2019-08-19,14.95,430914
2019-08-20,14.83,404372
2019-08-21,14.86,203851
2019-08-22,14.92,243162
2019-08-23,14.76,242925
2019-08-26,14.9,293008
2019-08-27,14.78,327328
2019-08-28,14.91,259700
2019-08-29,15.03,269856
2019-08-30,15.14,318867
2019-09-03,15.4,509248
2019-09-04,15.64,408362
2019-09-05,15.47,500704
2019-09-06,15.37,420497
2019-09-09,15.29,314440
2019-09-10,15.07,396486
2019-09-11,15.23,426132
2019-09-12,15.6,550147
2019-09-13,15.4,616113
2019-09-16,15.56,386992
2019-09-17,15.59,299310
2019-09-18,15.58,255047
2019-09-19,15.55,351090
2019-09-20,15.73,328640
2019-09-23,15.74,268830
2019-09-24,15.76,289878
2019-09-25,15.78,312677
2019-09-26,15.86,323782
2019-09-27,15.92,257414
2019-09-30,15.85,456053
2019-10-01,15.5,428070
2019-10-02,15.1,892086
2019-10-03,15.62,447300
2019-10-04,15.69,288497
2019-10-07,15.68,255679
2019-10-08,15.52,241856
2019-10-09,15.42,293381
2019-10-10,15.62,241001
2019-10-11,15.7,275445
2019-10-14,15.68,253538
2019-10-15,15.52,277406
2019-10-16,15.52,298521
2019-10-17,15.7,214176
2019-10-18,15.71,185234
2019-10-21,15.95,348351
2019-10-22,15.82,270055
2019-10-23,15.81,246279
2019-10-24,15.61,1044482
2019-10-25,15.37,392232
2019-10-28,15.04,835347
2019-10-29,15.03,506201
2019-10-30,15.33,317862
2019-10-31,15.32,369031
2019-11-01,15.14,351238
2019-11-04,15.11,283464
2019-11-05,14.83,711247
2019-11-06,14.83,489038
2019-11-07,14.48,740544
2019-11-08,14.55,252968
2019-11-11,14.55,257162
2019-11-12,14.26,316608
2019-11-13,14.21,555785
2019-11-14,14.49,439636
2019-11-15,14.53,246512
2019-11-18,14.51,345685
2019-11-19,14.61,263024
2019-11-20,14.71,174276
2019-11-21,14.54,266571
2019-11-22,14.38,302798
2019-11-25,14.21,392312
2019-11-26,14.45,239705
2019-11-27,14.51,227293
2019-11-29,14.67,176755
2019-12-02,14.58,478026
2019-12-03,14.83,529074
2019-12-04,14.72,306433
2019-12-05,15.0,506460
2019-12-06,15.0,228825
2019-12-09,15.04,247356
2019-12-10,15.07,240067
2019-12-11,15.09,201414
2019-12-12,14.75,343541
2019-12-13,14.88,243295
2019-12-16,14.79,358896
2019-12-17,14.55,431928
2019-12-18,14.58,486787
2019-12-19,14.58,448841
2019-12-20,14.65,333708
2019-12-23,14.74,339177
2019-12-24,14.77,222299
2019-12-26,14.87,300880
2019-12-27,14.83,236591
2019-12-30,14.72,265539
2019-12-31,14.88,215441
2020-01-02,14.73,318342
2020-01-03,14.75,244390
2020-01-06,14.72,410030
2020-01-07,14.35,764017
2020-01-08,13.98,1059704
2020-01-09,14.02,811459
2020-01-10,14.18,384364
2020-01-13,14.26,627641
2020-01-14,14.36,1008991
2020-01-15,14.09,732152
2020-01-16,14.1,1142224
2020-01-17,14.18,406833
2020-01-21,14.32,466060
2020-01-22,14.39,978528
2020-01-23,14.25,360355
2020-01-24,14.2,424738
2020-01-27,14.11,429288
2020-01-28,13.94,823716
2020-01-29,13.9,922150
2020-01-30,13.98,617843
2020-01-31,13.9,415506
2020-02-03,13.9,620843
2020-02-04,13.98,581620
2020-02-05,13.99,670090
2020-02-06,13.98,518086
2020-02-07,13.96,471853
2020-02-10,13.99,758322
2020-02-11,14.25,1853272
2020-02-12,14.27,980417
2020-02-13,14.3,766215
2020-02-14,14.39,951263
2020-02-18,14.74,1569969
2020-02-19,14.5,954980
2020-02-20,14.42,1313493
2020-02-21,14.3,986139
2020-02-24,14.04,877953
2020-02-25,13.57,1309438
2020-02-26,13.59,1080667
2020-02-27,12.89,1939431
2020-02-28,12.73,2356638
2020-03-02,13.46,1753563
2020-03-03,13.15,1514801
2020-03-04,13.71,1042275
2020-03-05,13.39,691926
2020-03-06,13.33,2228970
2020-03-09,12.12,1368165
2020-03-10,12.71,1150597
2020-03-11,11.71,1396002
2020-03-12,10.09,2215090
2020-03-13,10.96,1643159
2020-03-16,9.14,1576394
2020-03-17,8.58,2291619
2020-03-18,6.3,3024894
2020-03-19,7.15,1957919
2020-03-20,7.43,1750185
2020-03-23,6.57,1503913
2020-03-24,7.16,1241584
2020-03-25,8.04,1513337
2020-03-26,9.04,1430003
2020-03-27,8.91,938182
2020-03-30,9.15,1012974
2020-03-31,9.04,979244
2020-04-01,8.12,1060516
2020-04-02,8.11,815700
2020-04-03,7.99,683392
2020-04-06,8.57,1234110
2020-04-07,9.07,1140990
2020-04-08,9.65,911571
2020-04-09,10.41,1197239
2020-04-13,10.1,1046475
2020-04-14,10.16,885282
2020-04-15,9.74,736197
2020-04-16,9.52,613547
2020-04-17,9.88,781763
2020-04-20,9.57,584607
2020-04-21,9.31,731027
2020-04-22,9.63,889556
2020-04-23,9.71,977878
2020-04-24,9.46,936578
2020-04-27,9.69,669105
2020-04-28,9.71,943026
2020-04-29,10.13,676079
2020-04-30,10.0,557493
2020-05-01,9.74,567757
2020-05-04,9.42,753450
2020-05-05,9.63,416105
2020-05-06,9.44,440031
2020-05-07,9.57,423874
2020-05-08,9.87,438746
2020-05-11,9.89,720263
2020-05-12,9.4,938169
2020-05-13,8.89,959347
2020-05-14,8.8,1317010
2020-05-15,8.66,523821
2020-05-18,9.12,883264
2020-05-19,9.38,823302
2020-05-20,9.61,675645
2020-05-21,9.23,918966
2020-05-22,9.44,523036
2020-05-26,9.93,816675
2020-05-27,10.5,2301916
2020-05-28,10.76,1729645
2020-05-29,10.74,989611
2020-06-01,11.14,1116023
2020-06-02,11.25,1148159
2020-06-03,11.81,1033966
2020-06-04,11.49,1161376
2020-06-05,11.98,894160
2020-06-08,12.43,813702
2020-06-09,11.9,800257
2020-06-10,11.35,1361017
2020-06-11,10.59,1147134
2020-06-12,11.12,579476
2020-06-15,11.21,512567
2020-06-16,11.35,447430
2020-06-17,11.14,479250
2020-06-18,11.0,364031
2020-06-19,10.88,493708
2020-06-22,10.93,560222
2020-06-23,11.01,377750
2020-06-24,10.52,662841
2020-06-25,10.58,456057
2020-06-26,10.35,389743
2020-06-29,10.69,750272
2020-06-30,10.93,646890
2020-07-01,11.1,626553
2020-07-02,11.23,492763
2020-07-06,11.13,484862
2020-07-07,10.81,501329
2020-07-08,10.89,367869
2020-07-09,10.69,375909
