date,close,volume
2018-04-25,12.0,46414
2018-04-26,11.98,39554
2018-04-27,11.85,110622
2018-04-30,11.78,30914
2018-05-01,11.64,45825
2018-05-02,11.54,24919
2018-05-03,11.56,37710
2018-05-04,11.57,25494
2018-05-07,11.59,30625
2018-05-08,11.66,126386
2018-05-09,11.41,43162
2018-05-10,11.31,50702
2018-05-11,11.46,31547
2018-05-14,11.36,57443
2018-05-15,11.51,45114
2018-05-16,11.55,22815
2018-05-17,11.52,45284
2018-05-18,11.72,28217
2018-05-21,11.77,24677
2018-05-22,11.75,54125
2018-05-23,11.57,50735
2018-05-24,11.56,32637
2018-05-25,11.41,65862
2018-05-29,11.1,52405
2018-05-30,11.1,76768
2018-05-31,11.15,61732
2018-06-01,11.32,30282
2018-06-04,11.31,53742
2018-06-05,11.32,81683
2018-06-06,11.32,27704
2018-06-07,11.36,40550
2018-06-08,11.37,33153
2018-06-11,11.31,50745
2018-06-12,11.49,60402
2018-06-13,11.26,87156
2018-06-14,11.94,89481
2018-06-15,12.87,102048
2018-06-18,12.48,72275
2018-06-19,12.32,119863
2018-06-20,12.55,2020469
2018-06-21,12.46,216221
2018-06-22,12.68,42830
2018-06-25,12.4,126225
2018-06-26,12.55,37095
2018-06-27,12.81,74644
2018-06-28,12.78,44428
2018-06-29,13.27,123842
2018-07-02,13.02,77208
2018-07-03,13.14,26771
2018-07-05,13.31,47812
2018-07-06,13.35,49064
2018-07-09,13.35,72253
2018-07-10,13.44,62411
2018-07-11,13.2,40908
2018-07-12,13.33,33615
2018-07-13,13.33,11508
2018-07-16,13.27,12607
2018-07-17,13.16,78219
2018-07-18,13.13,34641
2018-07-19,13.19,21300
2018-07-20,13.21,44472
2018-07-23,13.13,18775
2018-07-24,13.22,21293
2018-07-25,13.35,28306
2018-07-26,13.32,18531
2018-07-27,13.22,22618
2018-07-30,13.2,39114
2018-07-31,13.22,33792
2018-08-01,13.21,17332
2018-08-02,14.07,235992
2018-08-03,14.54,52976
2018-08-06,14.26,31791
2018-08-07,14.26,17700
2018-08-08,14.3,24173
2018-08-09,14.22,30924
2018-08-10,13.53,45270
2018-08-13,13.41,281452
2018-08-14,13.38,54430
2018-08-15,12.94,33342
2018-08-16,13.05,24140
2018-08-17,13.24,29408
2018-08-20,13.31,15520
2018-08-21,13.36,20930
2018-08-22,13.31,25576
2018-08-23,13.08,25391
2018-08-24,13.17,25233
2018-08-27,13.28,20897
2018-08-28,13.19,25073
2018-08-29,13.42,22323
2018-08-30,13.38,17404
2018-08-31,13.21,20776
2018-09-04,13.04,40559
2018-09-05,12.5,1648961
2018-09-06,12.63,378190
2018-09-07,12.56,36655
2018-09-10,12.68,47232
2018-09-11,12.76,35167
2018-09-12,12.53,37208
2018-09-13,12.64,750549
2018-09-14,12.92,39344
2018-09-17,12.95,141841
2018-09-18,12.99,82453
2018-09-19,13.08,120722
2018-09-20,13.33,76103
2018-09-21,13.06,47255
2018-09-24,13.16,26543
2018-09-25,13.11,29539
2018-09-26,13.09,66485
2018-09-27,12.76,60549
2018-09-28,12.96,28181
2018-10-01,12.94,20066
2018-10-02,12.9,12561
2018-10-03,12.87,14325
2018-10-04,12.73,30622
2018-10-05,12.7,28060
2018-10-08,12.15,96050
2018-10-09,12.26,46747
2018-10-10,11.69,89596
2018-10-11,11.52,81258
2018-10-12,11.64,86684
2018-10-15,11.46,50685
2018-10-16,11.93,87796
2018-10-17,11.77,32435
2018-10-18,11.39,65087
2018-10-19,11.41,40129
2018-10-22,11.21,82964
2018-10-23,11.1,110923
2018-10-24,10.77,139057
2018-10-25,11.21,109712
2018-10-26,10.87,137977
2018-10-29,10.67,1080977
2018-10-30,10.57,97294
2018-10-31,10.81,87433
2018-11-01,10.98,117755
2018-11-02,10.94,40568
2018-11-05,10.84,40744
2018-11-06,10.97,62608
2018-11-07,11.19,64810
2018-11-08,11.01,62237
2018-11-09,10.69,61455
2018-11-12,10.51,2766369
2018-11-13,10.62,83199
2018-11-14,10.54,68481
2018-11-15,10.46,204809
2018-11-16,10.37,45960
2018-11-19,10.22,72286
2018-11-20,10.03,193085
2018-11-21,10.43,198405
2018-11-23,10.36,32362
2018-11-26,10.88,93298
2018-11-27,10.68,121654
2018-11-28,10.75,65463
2018-11-29,10.87,85078
2018-11-30,10.85,70892
2018-12-03,11.09,154025
2018-12-04,10.8,236320
2018-12-06,10.34,195318
2018-12-07,10.04,148192
2018-12-10,9.64,228387
2018-12-11,9.82,607806
2018-12-12,10.31,49525
2018-12-13,10.32,82632
2018-12-14,10.07,172948
2018-12-17,10.1,100911
2018-12-18,10.35,125603
2018-12-19,10.28,100275
2018-12-20,10.15,191366
2018-12-21,10.07,166081
2018-12-24,10.11,59409
2018-12-26,10.22,110679
2018-12-27,10.25,216311
2018-12-28,10.26,122832
2018-12-31,10.46,202102
2019-01-02,10.2,79613
2019-01-03,9.96,61900
2019-01-04,10.48,95629
2019-01-07,10.36,116183
2019-01-08,10.87,128687
2019-01-09,11.07,63400
2019-01-10,11.02,78674
2019-01-11,11.27,1093523
2019-01-14,11.21,128317
2019-01-15,11.49,391460
2019-01-16,11.42,49955
