date,close,volume
2018-04-25,149.29,53318
2018-04-26,152.0,64983
2018-04-27,151.54,263145
2018-04-30,150.98,135697
2018-05-01,152.6,89437
2018-05-02,151.56,39367
2018-05-03,152.16,49981
2018-05-04,154.66,39984
2018-05-07,155.67,33748
2018-05-08,156.4,51223
2018-05-09,158.59,42793
2018-05-10,160.47,51238
2018-05-11,159.54,42110
2018-05-14,159.49,44021
2018-05-15,158.6,47844
2018-05-16,159.38,27729
2018-05-17,158.94,96973
2018-05-18,158.41,29511
2018-05-21,159.33,133256
2018-05-22,158.99,35097
2018-05-23,159.55,78248
2018-05-24,159.68,58008
2018-05-25,159.45,39065
2018-05-29,158.15,83045
2018-05-30,159.48,30558
2018-05-31,158.67,45295
2018-06-01,161.54,85513
2018-06-04,162.93,161326
2018-06-05,164.24,52267
2018-06-06,165.56,167150
2018-06-07,163.86,51034
2018-06-08,164.31,27704
2018-06-11,164.47,25228
2018-06-12,165.52,33706
2018-06-13,165.47,81265
2018-06-14,166.57,51827
2018-06-15,166.07,38396
2018-06-18,166.1,34966
2018-06-19,164.95,60672
2018-06-20,165.07,29246
2018-06-21,163.7,40643
2018-06-22,162.42,32669
2018-06-25,158.92,90373
2018-06-26,159.39,48390
2018-06-27,156.42,68801
2018-06-28,158.14,44942
2018-06-29,158.45,374182
2018-07-02,159.88,450542
2018-07-03,158.33,65446
2018-07-05,160.59,89766
2018-07-06,162.16,35313
2018-07-09,163.34,31896
2018-07-10,163.88,40378
2018-07-11,162.63,40891
2018-07-12,165.83,88359
2018-07-13,165.39,27373
2018-07-16,164.63,33168
2018-07-17,166.0,64505
2018-07-18,166.47,87701
2018-07-19,165.32,23630
2018-07-20,164.86,20560
2018-07-23,165.14,17609
2018-07-24,164.28,37059
2018-07-25,166.82,50033
2018-07-26,167.28,42002
2018-07-27,164.27,51897
2018-07-30,160.94,65706
2018-07-31,160.99,414280
2018-08-01,160.65,320428
2018-08-02,162.46,47686
2018-08-03,162.73,46207
2018-08-06,163.8,39108
2018-08-07,164.76,38776
2018-08-08,164.92,42010
2018-08-09,164.42,29777
2018-08-10,163.28,23159
2018-08-13,162.83,47461
2018-08-14,163.84,37020
2018-08-15,162.18,57764
2018-08-16,162.68,48123
2018-08-17,163.03,58086
2018-08-20,163.34,45598
2018-08-21,164.2,31693
2018-08-22,165.02,47010
2018-08-23,165.42,36059
2018-08-24,167.57,41825
2018-08-27,168.95,33584
