date,close,volume
2018-04-25,46.5,13400
2018-04-26,46.55,12985
2018-04-27,46.25,17561
2018-04-30,46.25,9943
2018-05-01,46.35,9979
2018-05-02,46.3,8286
2018-05-03,46.0,15177
2018-05-04,45.6,14514
2018-05-07,46.5,20362
2018-05-08,46.6,15332
2018-05-09,46.7,23983
2018-05-10,47.25,18261
2018-05-11,47.45,8275
2018-05-14,47.35,15011
2018-05-15,47.35,12662
2018-05-16,48.0,24971
2018-05-17,48.7,16822
2018-05-18,49.1,11199
2018-05-21,49.45,7213
2018-05-22,47.5,13440
2018-05-23,47.9,12934
2018-05-24,48.4,14131
2018-05-25,48.5,8540
2018-05-29,49.2,21451
2018-05-30,49.15,20650
2018-05-31,49.0,17967
2018-06-01,48.25,8360
2018-06-04,48.55,22387
2018-06-05,48.15,11136
2018-06-06,47.2,13471
2018-06-07,47.95,11918
2018-06-08,47.55,11044
2018-06-11,47.75,8409
2018-06-12,47.55,6974
2018-06-13,47.13,9228
2018-06-14,46.5,12373
2018-06-15,45.2,18869
2018-06-18,45.55,16918
2018-06-19,45.85,20411
2018-06-20,45.5,5898
2018-06-21,45.4,11978
2018-06-22,45.6,18983
2018-06-25,45.4,10525
2018-06-26,45.7,12076
2018-06-27,47.2,18791
2018-06-28,47.45,13678
2018-06-29,47.1,9193
2018-07-02,46.5,8411
2018-07-03,46.2,5283
2018-07-05,46.37,7412
2018-07-06,46.9,17806
2018-07-09,46.92,11886
2018-07-10,46.65,7973
2018-07-11,46.0,10633
2018-07-12,46.0,9642
2018-07-13,45.9,6287
2018-07-16,44.6,13683
2018-07-17,44.75,8028
2018-07-18,45.6,10123
2018-07-19,45.35,11810
2018-07-20,45.8,12729
2018-07-23,46.65,14968
2018-07-24,45.25,15729
2018-07-25,45.15,9870
2018-07-26,45.75,5473
2018-07-27,45.45,11602
2018-07-30,45.55,10636
2018-07-31,45.3,15933
2018-08-01,45.35,7384
2018-08-02,46.0,17272
2018-08-03,45.65,3287
2018-08-06,46.4,9994
2018-08-07,47.0,18545
2018-08-08,46.95,15009
2018-08-09,46.65,9895
