date,close,volume
2018-04-25,21.35,11238
2018-04-26,21.45,660090
2018-04-27,21.3,4568
2018-04-30,21.2,8039
2018-05-01,21.24,159860
2018-05-02,20.95,22901
2018-05-03,20.01,13851
2018-05-04,20.21,39018
2018-05-07,20.41,91938
2018-05-08,20.09,46088
2018-05-09,19.65,16820
2018-05-10,20.65,437809
2018-05-11,20.5,22497
2018-05-14,20.4,236748
2018-05-15,20.5,20531
2018-05-16,21.49,10892
2018-05-17,21.75,21401
2018-05-18,22.74,217425
2018-05-21,22.75,3748
2018-05-22,23.15,69069
2018-05-23,23.38,42892
2018-05-24,23.88,37480
2018-05-25,23.73,14039
2018-05-29,24.6,18565
2018-05-30,25.1,113941
2018-05-31,25.0,170654
2018-06-01,24.05,103525
2018-06-04,24.48,38669
2018-06-05,24.23,158176
2018-06-06,23.82,71518
2018-06-07,23.3,17766
2018-06-08,23.48,58843
2018-06-11,23.48,24573
2018-06-12,24.75,173089
2018-06-13,24.63,33399
2018-06-14,24.04,52601
2018-06-15,25.38,152998
2018-06-18,24.5,108212
2018-06-19,25.0,25584
2018-06-20,24.8,155928
2018-06-21,24.21,20014
2018-06-22,22.5,172424
2018-06-25,21.78,65953
2018-06-26,21.7,50416
2018-06-27,21.12,119509
2018-06-28,21.03,54319
2018-06-29,21.8,161057
2018-07-02,21.95,112553
2018-07-03,22.48,22678
2018-07-05,22.37,64155
2018-07-06,22.65,98888
2018-07-09,22.24,55306
2018-07-10,22.25,29543
2018-07-11,22.29,129358
2018-07-12,22.2,31728
2018-07-13,22.14,78715
2018-07-16,21.45,35986
2018-07-17,21.46,79548
2018-07-18,21.25,82018
2018-07-19,20.97,110172
2018-07-20,20.61,208362
2018-07-23,20.37,172759
2018-07-24,20.66,81015
2018-07-25,20.47,56321
2018-07-26,19.98,54973
2018-07-27,19.67,37522
2018-07-30,19.62,170630
2018-07-31,20.0,153099
2018-08-01,19.3,233454
2018-08-02,19.68,167790
2018-08-03,19.49,45282
2018-08-06,19.51,65592
2018-08-07,19.45,77337
2018-08-08,19.74,148075
2018-08-09,19.55,99788
2018-08-10,19.58,171290
2018-08-13,19.26,153595
2018-08-14,18.61,116598
2018-08-15,19.42,239787
2018-08-16,18.89,128285
2018-08-17,18.74,98849
2018-08-20,18.97,148126
2018-08-21,19.0,164826
2018-08-22,19.1,158136
2018-08-23,18.92,234752
2018-08-24,18.96,134159
2018-08-27,19.08,147874
2018-08-28,19.07,211928
2018-08-29,18.95,133417
2018-08-30,19.11,246400
2018-08-31,18.89,142371
2018-09-04,18.74,259437
2018-09-05,18.08,254421
2018-09-06,18.06,223617
2018-09-07,18.18,313549
2018-09-10,18.75,488524
2018-09-11,19.24,363741
2018-09-12,19.74,561321
2018-09-13,19.77,387427
2018-09-14,19.75,490125
2018-09-17,19.5,358873
2018-09-18,19.46,424165
2018-09-19,20.01,554261
2018-09-20,20.57,654203
2018-09-21,20.52,2295665
2018-09-24,18.79,500518
2018-09-25,18.4,328947
2018-09-26,18.12,264144
2018-09-27,18.04,193864
2018-09-28,18.23,320724
2018-10-01,18.07,224349
2018-10-02,18.08,170322
2018-10-03,18.67,173812
2018-10-04,18.51,124369
2018-10-05,18.24,101911
2018-10-08,17.89,156729
2018-10-09,17.91,155406
2018-10-10,17.16,214627
2018-10-11,17.23,366483
2018-10-12,17.25,116118
2018-10-15,16.9,229637
2018-10-16,16.97,767383
2018-10-17,16.9,210774
2018-10-18,16.17,311644
2018-10-19,15.9,138651
2018-10-22,15.99,120947
2018-10-23,16.15,107100
2018-10-24,15.92,137564
2018-10-25,15.76,90395
2018-10-26,15.35,129014
2018-10-29,15.14,180122
2018-10-30,15.53,470068
2018-10-31,15.95,228419
2018-11-01,16.62,91031
2018-11-02,16.68,98027
2018-11-05,17.02,87964
2018-11-06,17.2,224408
2018-11-07,16.51,109811
2018-11-08,17.02,126301
2018-11-09,17.82,386093
2018-11-12,17.08,221609
2018-11-13,17.42,234278
2018-11-14,16.82,167681
2018-11-15,17.0,174925
2018-11-16,16.95,206222
2018-11-19,16.61,140797
2018-11-20,16.09,181231
2018-11-21,16.4,86734
2018-11-23,16.65,50733
2018-11-26,16.71,116416
2018-11-27,16.6,119731
2018-11-28,16.34,109609
2018-11-29,16.1,206512
2018-11-30,15.78,467618
2018-12-03,15.55,211226
2018-12-04,14.86,234338
2018-12-06,14.93,301857
2018-12-07,14.96,117837
2018-12-10,15.4,108500
2018-12-11,15.64,95474
2018-12-12,16.03,92248
2018-12-13,15.7,107817
2018-12-14,15.57,113132
2018-12-17,14.79,259299
2018-12-18,14.63,194553
2018-12-19,14.1,275605
2018-12-20,13.79,1312712
2018-12-21,13.27,274783
2018-12-24,13.19,112032
2018-12-26,13.4,339741
2018-12-27,13.52,261882
2018-12-28,13.68,224964
2018-12-31,14.43,172384
2019-01-02,14.86,252620
2019-01-03,14.65,114377
