date,close,volume
2018-04-25,20.71,1800
2018-04-26,20.76,282
2018-04-27,20.61,2025
2018-04-30,20.58,1025
2018-05-01,20.15,704
2018-05-02,20.15,56
2018-05-03,20.15,1027
2018-05-04,20.46,1550
2018-05-07,20.46,150
2018-05-08,20.65,46263
2018-05-09,20.71,148
2018-05-10,20.79,21714
2018-05-11,20.86,1641
2018-05-14,20.81,1055
2018-05-15,20.76,6713
2018-05-16,21.0,1075
2018-05-17,21.04,1289
2018-05-18,21.06,773
2018-05-21,21.29,499
2018-05-22,21.31,1350
2018-05-23,21.31,0
2018-05-24,21.31,0
2018-05-25,21.17,3661
2018-05-29,21.1,1303
2018-05-30,21.23,2486
2018-05-31,21.03,5400
2018-06-01,21.03,0
2018-06-04,21.26,575
2018-06-05,21.26,0
2018-06-06,21.26,0
2018-06-07,21.65,1556
2018-06-08,21.7,3656
2018-06-11,21.72,2000
2018-06-12,21.72,0
2018-06-13,21.6,1198
2018-06-14,21.54,1426
2018-06-15,21.48,3324
2018-06-18,21.48,0
2018-06-19,21.56,675
2018-06-20,21.61,1500
2018-06-21,21.41,1394
2018-06-22,21.43,800
2018-06-25,21.43,0
2018-06-26,21.05,1460
2018-06-27,21.05,4
2018-06-28,21.05,0
2018-06-29,21.05,55
2018-07-02,21.05,2
2018-07-03,21.05,0
2018-07-05,20.83,2407
2018-07-06,21.09,8008
2018-07-09,21.09,1
2018-07-10,21.09,5
2018-07-11,21.1,200
2018-07-12,21.02,3841
2018-07-13,21.02,0
2018-07-16,21.0,1060
2018-07-17,21.11,431
2018-07-18,21.11,0
2018-07-19,21.35,1635
2018-07-20,21.35,2
2018-07-23,21.33,14952
2018-07-24,21.33,0
2018-07-25,21.04,376
2018-07-26,21.04,0
2018-07-27,21.04,0
2018-07-30,21.04,73
2018-07-31,21.27,6460
2018-08-01,21.27,0
2018-08-02,21.3,715
2018-08-03,21.24,9757
2018-08-06,21.46,1810
2018-08-07,21.59,1424
2018-08-08,21.55,286
2018-08-09,21.55,65
2018-08-10,21.39,2256
2018-08-13,21.39,16
2018-08-14,21.39,0
2018-08-15,21.31,2928
2018-08-16,21.31,31
2018-08-17,21.31,0
2018-08-20,21.31,0
2018-08-21,21.96,2200
2018-08-22,21.89,760
2018-08-23,21.89,0
2018-08-24,21.81,225
2018-08-27,21.96,1006
2018-08-28,21.96,0
2018-08-29,21.91,750
2018-08-30,21.76,1729
2018-08-31,21.77,313
