date,close,volume
2018-04-25,3.1,494076
2018-04-26,3.17,329462
2018-04-27,3.15,473606
2018-04-30,3.09,414473
2018-05-01,3.07,407688
2018-05-02,3.14,414960
2018-05-03,3.18,310200
2018-05-04,3.2,325425
2018-05-07,3.18,461105
2018-05-08,3.16,440085
2018-05-09,3.07,440859
2018-05-10,3.21,412018
2018-05-11,3.03,739164
2018-05-14,3.17,500578
2018-05-15,3.27,1222387
2018-05-16,3.19,828480
2018-05-17,3.18,459381
2018-05-18,3.26,662353
2018-05-21,3.34,724622
2018-05-22,3.3,661837
2018-05-23,3.29,442518
2018-05-24,3.26,959572
2018-05-25,3.25,555158
2018-05-29,3.23,507894
2018-05-30,3.27,453021
2018-05-31,3.32,678717
2018-06-01,3.44,674020
2018-06-04,3.5,986491
2018-06-05,3.5,1524827
2018-06-06,3.48,868004
2018-06-07,3.48,1754139
2018-06-08,3.64,1157570
2018-06-11,3.82,2693370
2018-06-12,3.99,2214653
2018-06-13,3.94,2140586
2018-06-14,4.06,1488567
2018-06-15,4.24,3043778
2018-06-18,4.49,3065972
2018-06-19,4.71,3914129
2018-06-20,4.87,4013793
2018-06-21,4.98,6744677
2018-06-22,4.91,14695637
2018-06-25,4.66,2885317
2018-06-26,4.31,9995180
2018-06-27,4.23,4473013
2018-06-28,4.21,2951334
2018-06-29,4.11,3491739
2018-07-02,4.43,3636979
2018-07-03,4.68,2994238
2018-07-05,4.48,1989972
2018-07-06,4.12,5968528
2018-07-09,4.34,3289668
2018-07-10,4.17,2378128
2018-07-11,4.26,2580439
2018-07-12,4.17,2102692
2018-07-13,4.12,1090434
2018-07-16,4.0,1775494
2018-07-17,4.02,1575037
2018-07-18,3.95,1594327
2018-07-19,3.87,1660240
2018-07-20,4.02,1339626
2018-07-23,4.02,1439965
2018-07-24,3.87,1770272
2018-07-25,3.8,1424451
2018-07-26,3.7,5162617
2018-07-27,3.53,1863987
2018-07-30,3.53,1414580
2018-07-31,3.68,1321954
2018-08-01,3.86,1344631
2018-08-02,3.99,1982195
2018-08-03,3.92,998863
2018-08-06,4.02,712758
2018-08-07,4.21,1838468
2018-08-08,4.15,1643100
2018-08-09,4.14,1973655
2018-08-10,4.08,1063475
2018-08-13,4.06,1754709
2018-08-14,3.86,2365092
2018-08-15,3.7,1363399
2018-08-16,3.72,905550
2018-08-17,3.76,1253162
2018-08-20,3.61,990778
2018-08-21,3.7,1489386
2018-08-22,3.72,695847
2018-08-23,3.44,2384672
2018-08-24,3.4,2621623
2018-08-27,3.58,2002306
2018-08-28,3.64,1265283
2018-08-29,3.85,1594443
2018-08-30,3.88,1071967
2018-08-31,4.08,1746091
2018-09-04,4.28,3164622
2018-09-05,4.35,4741073
2018-09-06,4.25,2069092
2018-09-07,4.41,3086756
2018-09-10,4.62,3204642
2018-09-11,4.51,2171472
2018-09-12,4.51,1522628
2018-09-13,4.5,1407052
2018-09-14,4.39,1192101
2018-09-17,4.14,2316164
2018-09-18,4.21,1801441
2018-09-19,4.18,1006952
2018-09-20,4.39,1970174
2018-09-21,4.34,2771122
2018-09-24,4.7,2657082
2018-09-25,4.59,2159869
2018-09-26,4.72,1846802
2018-09-27,4.84,1478963
2018-09-28,4.77,1764562
2018-10-01,4.54,1471652
2018-10-02,4.38,1502103
2018-10-03,4.23,1629612
2018-10-04,3.95,3287115
2018-10-05,3.86,1356488
2018-10-08,3.69,3121590
2018-10-09,3.65,2158552
2018-10-10,3.5,2709560
2018-10-11,3.44,1726968
2018-10-12,3.48,1697504
2018-10-15,3.5,1842864
2018-10-16,3.79,1662706
2018-10-17,3.83,1115795
2018-10-18,3.69,1165387
2018-10-19,3.61,1393697
2018-10-22,3.46,2473954
2018-10-23,4.06,6040853
2018-10-24,3.84,2339741
2018-10-25,3.78,1464523
2018-10-26,3.75,1333834
2018-10-29,3.67,1354584
2018-10-30,3.65,1203747
2018-10-31,3.71,1196410
2018-11-01,3.84,931281
2018-11-02,3.83,1135649
2018-11-05,3.63,1242114
2018-11-06,3.67,859067
2018-11-07,3.92,1815104
2018-11-08,3.97,2174049
2018-11-09,3.53,3324972
2018-11-12,3.16,2058127
2018-11-13,3.07,3539341
2018-11-14,2.91,3337402
2018-11-15,2.96,1523476
2018-11-16,3.1,3743656
2018-11-19,2.83,2541656
2018-11-20,2.79,1987126
2018-11-21,3.0,1750565
2018-11-23,2.95,615546
2018-11-26,3.41,2448559
2018-11-27,3.4,2478143
2018-11-28,3.23,3420575
2018-11-29,3.37,968098
2018-11-30,3.4,2297311
2018-12-03,3.3,2143016
2018-12-04,3.01,1888371
2018-12-06,2.99,831562
2018-12-07,2.98,1013683
2018-12-10,2.99,902855
2018-12-11,3.0,682872
2018-12-12,3.03,1034765
2018-12-13,2.92,890994
2018-12-14,2.84,1044898
2018-12-17,2.65,1695658
2018-12-18,2.73,1540938
2018-12-19,2.75,1490296
2018-12-20,2.49,2088332
2018-12-21,2.6,2443787
2018-12-24,2.64,1293177
2018-12-26,2.71,1043936
2018-12-27,2.58,1380075
2018-12-28,2.67,1211063
2018-12-31,2.59,954642
2019-01-02,2.69,1570238
2019-01-03,2.67,780569
2019-01-04,2.83,1684042
2019-01-07,2.84,1412746
2019-01-08,2.88,1209178
2019-01-09,2.67,2033234
2019-01-10,2.66,883778
2019-01-11,2.69,779774
2019-01-14,2.49,1301690
2019-01-15,2.59,737485
2019-01-16,2.58,539079
2019-01-17,2.72,1046611
2019-01-18,2.73,851576
2019-01-22,2.71,1059986
2019-01-23,2.63,1024073
2019-01-24,2.71,699752
2019-01-25,2.7,852373
2019-01-28,2.55,856677
2019-01-29,2.46,1354560
2019-01-30,2.44,1324155
2019-01-31,2.51,1042339
2019-02-01,2.41,1147116
2019-02-04,2.36,3749206
2019-02-05,2.3,3404153
2019-02-06,2.36,1313547
2019-02-07,2.31,1111364
2019-02-08,2.3,1087793
2019-02-11,2.3,1441595
2019-02-12,2.39,1505028
2019-02-13,2.3,1900078
2019-02-14,2.33,1112110
2019-02-15,2.4,845482
2019-02-19,2.35,656856
2019-02-20,2.38,1055111
2019-02-21,2.68,4999880
2019-02-22,2.72,5950374
2019-02-25,2.96,3861390
2019-02-26,3.02,2989689
2019-02-27,2.89,2018619
2019-02-28,2.99,1941979
2019-03-01,3.27,2989287
2019-03-04,3.07,3291548
2019-03-05,3.21,2210569
2019-03-06,3.01,2427499
2019-03-07,2.94,1729046
2019-03-08,2.91,1531411
2019-03-11,3.12,2729634
2019-03-12,3.07,1509449
2019-03-13,2.97,2517035
2019-03-14,2.65,3565296
2019-03-15,2.58,2780682
2019-03-18,2.58,2170238
2019-03-19,2.66,1649673
2019-03-20,2.72,1839186
2019-03-21,2.64,1803277
2019-03-22,2.52,2163724
2019-03-25,2.61,1804499
2019-03-26,2.61,2121220
2019-03-27,2.58,1976974
2019-03-28,2.45,1535872
2019-03-29,2.45,1660304
2019-04-01,2.31,2017188
2019-04-02,2.25,1966941
2019-04-03,2.25,1547919
2019-04-04,2.25,1924329
2019-04-05,2.22,1072238
2019-04-08,2.15,1408056
2019-04-09,2.05,1892202
2019-04-10,2.03,1428085
2019-04-11,2.19,2747267
2019-04-12,2.08,1201957
2019-04-15,2.08,937981
2019-04-16,2.15,1229188
2019-04-17,2.02,1869616
2019-04-18,1.95,1878765
2019-04-22,2.15,1899063
2019-04-23,2.18,1061411
2019-04-24,2.26,1219211
2019-04-25,2.31,1430965
2019-04-26,2.35,1430511
2019-04-29,2.45,1564891
2019-04-30,2.33,970501
2019-05-01,2.37,832712
2019-05-02,2.31,926523
2019-05-03,2.39,1340109
2019-05-06,2.35,790220
2019-05-07,2.35,1145310
2019-05-08,2.37,1300382
2019-05-09,2.36,1437650
2019-05-10,2.14,1631581
2019-05-13,2.03,1172108
2019-05-14,2.18,894413
2019-05-15,2.12,973744
2019-05-16,2.0,1566049
2019-05-17,2.07,883841
2019-05-20,2.1,1078606
2019-05-21,2.09,756323
2019-05-22,1.99,1052811
2019-05-23,2.03,878425
2019-05-24,2.02,631998
2019-05-28,2.04,1029940
2019-05-29,1.98,899783
2019-05-30,1.97,1202393
2019-05-31,1.98,2517933
2019-06-03,1.9,862172
2019-06-04,1.93,1854286
2019-06-05,1.88,943396
2019-06-06,1.81,4390623
2019-06-07,1.9,7650744
2019-06-10,2.06,1735201
2019-06-11,2.01,1045248
2019-06-12,2.19,2518515
2019-06-13,2.13,1616476
2019-06-14,2.0,1581349
2019-06-17,2.06,1034494
2019-06-18,2.07,471246
2019-06-19,2.06,623800
2019-06-20,2.04,567623
2019-06-21,2.01,1121299
2019-06-24,1.92,1798659
2019-06-25,1.93,751456
2019-06-26,1.86,1198802
2019-06-27,1.95,870085
2019-06-28,2.04,3690885
2019-07-01,1.94,1598579
2019-07-02,1.93,1245587
2019-07-03,1.89,589063
2019-07-05,1.83,2101827
2019-07-08,1.74,1175976
2019-07-09,1.71,1349231
2019-07-10,1.8,1208002
2019-07-11,1.73,667158
