date,close,volume
2018-04-25,15.7,1558588
2018-04-26,15.65,1188971
2018-04-27,15.79,1223319
2018-04-30,15.6,2187129
2018-05-01,15.65,2089422
2018-05-02,15.59,2158864
2018-05-03,15.85,1762822
2018-05-04,16.09,1623635
2018-05-07,16.25,1732929
2018-05-08,16.38,4844210
2018-05-09,16.61,2842843
2018-05-10,16.65,2232789
2018-05-11,16.62,995887
2018-05-14,16.45,1738684
2018-05-15,16.19,2336599
2018-05-16,16.27,1347438
2018-05-17,16.34,1358622
2018-05-18,16.65,2077238
2018-05-21,17.09,2751865
2018-05-22,17.1,2268262
2018-05-23,17.11,2565081
2018-05-24,17.3,1492858
2018-05-25,17.2,2414879
2018-05-29,17.12,2110715
2018-05-30,17.42,1913018
2018-05-31,17.39,3362664
2018-06-01,17.52,3695558
2018-06-04,17.5,1935937
2018-06-05,17.28,2502296
2018-06-06,17.19,3102760
2018-06-07,17.14,2182182
2018-06-08,16.97,3539508
2018-06-11,16.72,1697365
2018-06-12,16.64,1437200
2018-06-13,16.39,1226063
2018-06-14,16.56,1156183
2018-06-15,16.44,2372715
2018-06-18,16.41,1494548
2018-06-19,16.46,3328851
2018-06-20,16.85,3486002
2018-06-21,16.88,2758863
2018-06-22,16.85,2685287
2018-06-25,16.67,1513404
2018-06-26,16.8,3152219
2018-06-27,16.62,2613290
2018-06-28,16.57,2409012
2018-06-29,16.62,2213715
2018-07-02,16.42,2498103
2018-07-03,16.65,1053789
2018-07-05,16.84,1576074
2018-07-06,16.97,874996
2018-07-09,16.96,2057575
2018-07-10,16.88,1635280
2018-07-11,16.67,696434
2018-07-12,16.76,1117038
2018-07-13,16.86,773888
2018-07-16,16.76,820478
2018-07-17,16.73,1028771
2018-07-18,16.76,1147944
2018-07-19,16.89,2279086
2018-07-20,16.81,808377
2018-07-23,16.98,1248939
2018-07-24,16.6,1651172
2018-07-25,16.49,2022951
2018-07-26,16.45,1154994
2018-07-27,16.16,1412408
2018-07-30,16.01,1364326
2018-07-31,16.27,2914133
2018-08-01,16.51,1954173
2018-08-02,16.75,1814094
2018-08-03,16.36,1422239
2018-08-06,16.48,1120539
2018-08-07,16.23,1741604
2018-08-08,16.04,1196981
2018-08-09,16.04,1087487
2018-08-10,15.86,1471019
2018-08-13,15.79,1264577
2018-08-14,15.87,1167266
2018-08-15,16.1,1065043
2018-08-16,16.29,1344615
2018-08-17,16.39,1414524
2018-08-20,16.28,1021365
2018-08-21,16.5,1014739
2018-08-22,16.56,1370975
2018-08-23,16.44,1553593
2018-08-24,16.41,1141548
2018-08-27,16.41,2410359
2018-08-28,16.57,1729114
2018-08-29,16.69,738277
2018-08-30,16.76,1372832
2018-08-31,16.78,2040234
2018-09-04,16.44,1037584
2018-09-05,16.69,921461
2018-09-06,16.64,947487
2018-09-07,16.67,684915
2018-09-10,16.61,835202
2018-09-11,16.64,697680
2018-09-12,16.51,695391
2018-09-13,16.66,968862
2018-09-14,16.62,898528
2018-09-17,16.68,1351085
2018-09-18,16.59,903647
2018-09-19,16.43,1012870
2018-09-20,16.59,719978
2018-09-21,16.53,1508518
2018-09-24,16.29,1577916
2018-09-25,16.35,1131066
2018-09-26,16.1,1982774
2018-09-27,16.19,2312163
2018-09-28,16.36,2263625
2018-10-01,16.13,1192737
2018-10-02,15.99,880973
2018-10-03,16.13,1039203
2018-10-04,15.65,930816
2018-10-05,15.55,1067541
2018-10-08,15.78,995948
2018-10-09,15.56,1236635
2018-10-10,15.33,1161460
2018-10-11,14.84,1605481
2018-10-12,14.76,1935411
2018-10-15,14.67,1827817
2018-10-16,14.96,1062869
2018-10-17,14.8,991439
2018-10-18,14.57,1602596
2018-10-19,14.64,1622920
2018-10-22,14.48,1414503
2018-10-23,14.49,3335838
2018-10-24,13.94,2563413
2018-10-25,14.15,2644051
2018-10-26,14.09,2963969
2018-10-29,14.28,2947726
2018-10-30,14.37,1830017
2018-10-31,14.47,2357464
2018-11-01,14.57,2365743
2018-11-02,14.4,1963997
2018-11-05,14.87,2827969
2018-11-06,14.62,2077737
2018-11-07,15.24,1611148
2018-11-08,15.18,1125465
2018-11-09,15.04,1181063
2018-11-12,14.89,1605173
2018-11-13,15.0,1588721
2018-11-14,14.95,1423043
2018-11-15,15.05,2649126
2018-11-16,15.27,1962553
2018-11-19,15.22,2655196
2018-11-20,15.33,3196920
2018-11-21,15.28,1836820
2018-11-23,15.18,622368
2018-11-26,15.32,1473594
2018-11-27,15.33,2752046
2018-11-28,15.52,2730683
2018-11-29,15.48,1230237
2018-11-30,15.26,3673335
2018-12-03,15.26,2088364
2018-12-04,14.81,2049639
2018-12-06,14.99,2712865
2018-12-07,14.71,4337041
2018-12-10,14.43,2733970
2018-12-11,14.32,2208020
2018-12-12,14.42,2575795
2018-12-13,14.42,1761757
2018-12-14,14.39,1538597
2018-12-17,14.07,1930370
2018-12-18,14.1,2286459
2018-12-19,13.88,3264412
2018-12-20,13.24,4031905
2018-12-21,13.27,3424029
2018-12-24,12.91,1276755
2018-12-26,13.52,2867791
2018-12-27,13.41,2053171
2018-12-28,13.0,1986439
2018-12-31,13.01,1527778
2019-01-02,12.92,1877315
2019-01-03,12.86,1974347
2019-01-04,13.31,1762406
2019-01-07,13.5,2166024
2019-01-08,13.85,2838441
2019-01-09,13.82,3182276
2019-01-10,14.03,2152284
2019-01-11,14.05,2567074
2019-01-14,13.96,1712513
2019-01-15,14.07,1814458
2019-01-16,14.1,1886725
2019-01-17,14.14,1300825
2019-01-18,14.07,1514771
2019-01-22,13.87,1906859
2019-01-23,13.74,2509482
2019-01-24,13.73,3428509
2019-01-25,13.94,2708779
2019-01-28,14.04,1879333
2019-01-29,14.2,3302801
2019-01-30,14.36,3150232
