date,close,volume
2018-04-25,372.72,1222809
2018-04-26,371.27,1257978
2018-04-27,375.14,883945
2018-04-30,367.66,857459
2018-05-01,373.82,1073392
2018-05-02,371.13,974981
2018-05-03,370.25,688336
2018-05-04,377.53,612312
2018-05-07,378.65,528599
2018-05-08,377.94,492201
2018-05-09,380.81,512281
2018-05-10,380.45,584775
2018-05-11,381.09,552118
2018-05-14,384.58,611190
2018-05-15,379.65,690946
2018-05-16,381.12,758920
2018-05-17,380.23,389540
2018-05-18,387.57,767680
2018-05-21,390.79,655298
2018-05-22,375.97,1083034
2018-05-23,384.5,1231629
2018-05-24,386.48,1041949
2018-05-25,392.25,958023
2018-05-29,387.97,1027936
2018-05-30,385.25,725916
2018-05-31,379.25,1565275
2018-06-01,386.0,670582
2018-06-04,386.85,424982
2018-06-05,390.43,551045
2018-06-06,395.57,630140
2018-06-07,395.08,473556
2018-06-08,398.05,487010
2018-06-11,398.52,414648
2018-06-12,402.44,781720
2018-06-13,396.15,887608
2018-06-14,401.2,448740
2018-06-15,402.11,958116
2018-06-18,398.34,550884
2018-06-19,397.61,547574
2018-06-20,397.9,389598
2018-06-21,395.38,587255
2018-06-22,396.13,523224
2018-06-25,394.95,739347
2018-06-26,400.79,610729
2018-06-27,398.52,656316
2018-06-28,404.87,749884
2018-06-29,407.57,786468
2018-07-02,406.76,455598
2018-07-03,406.93,380092
2018-07-05,409.86,441394
2018-07-06,413.58,412269
2018-07-09,415.17,450166
2018-07-10,418.88,500925
2018-07-11,415.28,526541
2018-07-12,414.08,649455
2018-07-13,418.39,539634
2018-07-16,416.85,522646
2018-07-17,424.36,508446
2018-07-18,426.53,575067
2018-07-19,429.08,573901
2018-07-20,426.12,597699
2018-07-23,421.57,889626
2018-07-24,429.78,1518006
2018-07-25,437.29,886976
2018-07-26,449.03,1313073
2018-07-27,443.77,827557
2018-07-30,440.28,532409
2018-07-31,440.73,707535
2018-08-01,438.25,558481
2018-08-02,438.37,567076
2018-08-03,442.88,525722
2018-08-06,444.43,436996
2018-08-07,444.09,350542
2018-08-08,443.66,328256
2018-08-09,444.05,431169
2018-08-10,442.99,507322
2018-08-13,435.15,809975
2018-08-14,436.34,624045
2018-08-15,438.62,581640
2018-08-16,442.35,580935
2018-08-17,443.39,405940
2018-08-20,444.06,424119
2018-08-21,444.8,631155
2018-08-22,439.08,441128
2018-08-23,439.82,513481
2018-08-24,447.39,626497
2018-08-27,455.04,886987
2018-08-28,452.62,746160
2018-08-29,456.43,403349
2018-08-30,456.22,473965
2018-08-31,455.58,437667
2018-09-04,459.35,429296
2018-09-05,461.66,563041
2018-09-06,462.39,428244
2018-09-07,462.52,547257
2018-09-10,467.01,331771
2018-09-11,469.43,648331
2018-09-12,468.15,470780
2018-09-13,469.87,360036
2018-09-14,467.98,391564
2018-09-17,469.47,598823
2018-09-18,472.98,331489
2018-09-19,475.04,663133
2018-09-20,477.98,498264
2018-09-21,469.96,1882475
2018-09-24,466.6,889273
2018-09-25,461.6,719979
2018-09-26,458.11,539888
2018-09-27,455.52,645137
2018-09-28,455.21,802330
2018-10-01,457.0,658722
2018-10-02,454.0,606653
2018-10-03,442.21,1492217
2018-10-04,439.28,745575
2018-10-05,441.95,616282
2018-10-08,442.56,504138
2018-10-09,424.73,1266950
2018-10-10,414.79,1008815
2018-10-11,407.22,927186
2018-10-12,406.97,862136
2018-10-15,402.3,661686
2018-10-16,414.93,863427
2018-10-17,410.67,834470
2018-10-18,406.82,860225
2018-10-19,403.38,896691
2018-10-22,403.76,584811
2018-10-23,401.95,812937
2018-10-24,387.9,997733
2018-10-25,368.0,2447062
2018-10-26,370.44,2141705
2018-10-29,366.72,1073552
2018-10-30,384.8,1302625
2018-10-31,393.47,1586484
2018-11-01,397.86,1100018
2018-11-02,402.38,1233879
2018-11-05,404.12,701133
2018-11-06,405.07,584050
2018-11-07,414.78,696375
2018-11-08,415.34,810445
2018-11-09,414.84,671469
2018-11-12,409.05,646156
2018-11-13,416.76,888753
2018-11-14,414.9,1326294
2018-11-15,420.99,734766
2018-11-16,423.96,801029
2018-11-19,415.26,848742
2018-11-20,410.04,1493917
2018-11-21,410.46,721010
2018-11-23,415.1,293340
2018-11-26,411.54,598643
2018-11-27,403.44,853563
2018-11-28,416.48,889552
2018-11-29,419.76,571026
2018-11-30,424.07,603091
2018-12-03,418.34,987166
2018-12-04,406.6,1056621
2018-12-06,401.03,1288269
2018-12-07,389.5,736594
2018-12-10,393.46,710058
2018-12-11,390.85,536142
2018-12-12,391.55,453115
2018-12-13,385.89,804297
2018-12-14,386.0,1031267
2018-12-17,376.45,1066200
2018-12-18,383.91,932511
2018-12-19,380.24,772135
2018-12-20,379.39,1145804
2018-12-21,376.55,1284007
2018-12-24,365.24,355176
2018-12-26,386.72,652599
2018-12-27,391.17,601362
2018-12-28,389.58,555077
2018-12-31,393.46,514768
2019-01-02,392.23,507543
2019-01-03,380.39,862393
2019-01-04,390.47,1057466
2019-01-07,395.98,863282
2019-01-08,398.79,591293
2019-01-09,398.14,982608
2019-01-10,399.55,434982
2019-01-11,395.93,566535
2019-01-14,397.8,566402
2019-01-15,381.44,2572452
2019-01-16,386.94,1081253
2019-01-17,394.53,817352
2019-01-18,398.53,1429154
2019-01-22,393.97,932865
2019-01-23,393.39,741417
2019-01-24,390.26,619587
2019-01-25,392.83,907945
2019-01-28,397.0,716751
2019-01-29,403.0,672752
2019-01-30,405.23,1042821
2019-01-31,421.52,1668935
2019-02-01,417.02,798245
2019-02-04,418.96,740966
2019-02-05,421.83,616752
2019-02-06,421.05,498558
2019-02-07,418.11,467259
2019-02-08,421.01,510454
2019-02-11,423.71,422462
2019-02-12,437.24,742974
2019-02-13,433.99,410952
2019-02-14,431.78,476876
2019-02-15,439.18,415758
2019-02-19,437.55,593626
2019-02-20,439.27,496487
2019-02-21,439.7,557697
2019-02-22,439.88,350279
2019-02-25,437.68,538132
2019-02-26,434.32,586603
2019-02-27,440.32,750751
2019-02-28,433.2,521483
2019-03-01,436.62,387369
2019-03-04,437.75,548974
2019-03-05,431.43,547290
2019-03-06,422.26,1023452
2019-03-07,414.05,893115
2019-03-08,416.97,719320
2019-03-11,427.99,559093
2019-03-12,422.7,489137
2019-03-13,425.21,803680
2019-03-14,428.82,760067
2019-03-15,431.03,801278
2019-03-18,431.35,479231
2019-03-19,430.27,401683
2019-03-20,429.26,417670
2019-03-21,433.63,430982
2019-03-22,420.72,1071625
2019-03-25,422.39,435136
2019-03-26,420.4,545615
2019-03-27,426.69,622040
2019-03-28,431.22,317422
2019-03-29,430.71,845426
2019-04-01,433.33,595258
2019-04-02,437.17,421168
2019-04-03,440.68,578307
2019-04-04,444.38,398240
2019-04-05,449.23,422882
2019-04-08,446.43,402991
2019-04-09,443.74,388206
2019-04-10,443.71,457646
2019-04-11,443.26,359262
2019-04-12,441.53,609089
2019-04-15,443.77,410908
2019-04-16,450.47,448551
2019-04-17,442.91,555129
2019-04-18,452.43,761773
2019-04-22,451.89,789069
2019-04-23,460.44,1253504
2019-04-24,457.9,578295
2019-04-25,451.3,493200
2019-04-26,456.67,338364
2019-04-29,451.53,597576
2019-04-30,454.83,573671
2019-05-01,447.5,709957
2019-05-02,452.67,495934
2019-05-03,455.91,366438
2019-05-06,452.4,452484
2019-05-07,446.98,544127
2019-05-08,444.51,439003
2019-05-09,441.96,375299
2019-05-10,439.92,501009
