date,close,volume
2018-04-25,54.95,131215
2018-04-26,53.45,222267
2018-04-27,57.8,429773
2018-04-30,56.9,420173
2018-05-01,58.3,400170
2018-05-02,58.25,387026
2018-05-03,56.4,338539
2018-05-04,56.75,515166
2018-05-07,55.5,236997
2018-05-08,56.25,347090
2018-05-09,56.85,214542
2018-05-10,56.35,301594
2018-05-11,56.35,118044
2018-05-14,55.6,164285
2018-05-15,55.9,145741
2018-05-16,57.6,162049
2018-05-17,57.85,150314
2018-05-18,57.7,152070
2018-05-21,58.5,154639
2018-05-22,56.6,164890
2018-05-23,55.6,144765
2018-05-24,57.25,168069
2018-05-25,58.35,231439
2018-05-29,57.35,198178
2018-05-30,57.85,165803
2018-05-31,57.0,202397
2018-06-01,57.15,166094
2018-06-04,57.7,226620
2018-06-05,57.7,122540
2018-06-06,57.35,123816
2018-06-07,56.05,254889
2018-06-08,55.0,265133
2018-06-11,56.75,171830
2018-06-12,55.95,230395
2018-06-13,55.25,117977
2018-06-14,56.25,104667
2018-06-15,57.2,306464
2018-06-18,56.65,115271
2018-06-19,56.65,134857
2018-06-20,57.55,150866
2018-06-21,56.35,185914
2018-06-22,55.6,372127
2018-06-25,53.85,254693
2018-06-26,52.6,265161
2018-06-27,51.75,177092
2018-06-28,51.0,172631
2018-06-29,51.9,234649
2018-07-02,53.4,231109
2018-07-03,51.65,135985
2018-07-05,53.05,156327
2018-07-06,53.75,178125
2018-07-09,54.75,131677
2018-07-10,54.35,179267
2018-07-11,53.6,121387
2018-07-12,53.8,166174
2018-07-13,54.9,124003
2018-07-16,54.05,159145
2018-07-17,54.55,105450
2018-07-18,55.75,126055
2018-07-19,56.1,146298
2018-07-20,55.5,92611
2018-07-23,55.65,136269
2018-07-24,54.95,379424
2018-07-25,55.9,108124
2018-07-26,57.55,191532
2018-07-27,60.6,568501
2018-07-30,59.7,169219
2018-07-31,59.9,402267
2018-08-01,59.8,224645
2018-08-02,59.45,211879
2018-08-03,59.3,186314
2018-08-06,59.55,167147
2018-08-07,60.6,214625
2018-08-08,60.65,133250
2018-08-09,60.2,114345
2018-08-10,59.25,124049
2018-08-13,59.0,127085
2018-08-14,60.6,102572
2018-08-15,60.65,119425
2018-08-16,61.5,216105
2018-08-17,61.1,95534
2018-08-20,61.85,350989
2018-08-21,64.25,447807
2018-08-22,63.35,237630
2018-08-23,62.7,124458
2018-08-24,64.0,99183
2018-08-27,63.45,147598
2018-08-28,64.55,89547
2018-08-29,64.8,183819
2018-08-30,64.45,106019
2018-08-31,65.3,126886
2018-09-04,65.15,115198
2018-09-05,62.5,289610
2018-09-06,61.25,285043
2018-09-07,60.95,185317
2018-09-10,61.95,188475
2018-09-11,62.0,123644
2018-09-12,60.05,220235
2018-09-13,61.5,130442
2018-09-14,61.15,160954
2018-09-17,60.4,290288
2018-09-18,59.85,168398
2018-09-19,59.4,242008
2018-09-20,59.4,125926
2018-09-21,58.85,643456
2018-09-24,57.75,332190
2018-09-25,57.1,332759
2018-09-26,58.4,379651
2018-09-27,59.15,200380
2018-09-28,58.9,479684
2018-10-01,56.32,334433
2018-10-02,54.97,265999
2018-10-03,55.29,238910
2018-10-04,54.89,549531
2018-10-05,53.12,237388
2018-10-08,52.87,155860
2018-10-09,52.68,267538
2018-10-10,50.86,385069
2018-10-11,50.15,304533
2018-10-12,50.48,213556
2018-10-15,50.64,160756
2018-10-16,51.98,234531
2018-10-17,52.58,293986
2018-10-18,50.34,171820
2018-10-19,50.98,217048
2018-10-22,51.04,173633
2018-10-23,50.44,305745
2018-10-24,47.06,415242
2018-10-25,49.18,260170
2018-10-26,50.0,438138
2018-10-29,50.66,443651
2018-10-30,51.26,220066
2018-10-31,57.29,1143945
2018-11-01,56.37,427740
2018-11-02,55.86,324846
2018-11-05,56.23,349059
2018-11-06,57.93,359120
2018-11-07,57.72,417036
2018-11-08,57.97,343368
2018-11-09,56.6,182551
2018-11-12,54.95,160497
2018-11-13,54.92,157490
2018-11-14,54.19,240877
2018-11-15,54.63,191209
2018-11-16,54.74,278595
2018-11-19,53.9,193654
2018-11-20,52.44,226613
2018-11-21,53.31,104757
2018-11-23,54.74,51002
2018-11-26,54.49,209443
2018-11-27,54.5,145019
2018-11-28,56.01,222340
2018-11-29,55.51,245225
2018-11-30,57.68,334931
