date,close,volume
2018-04-25,34.74,3792
2018-04-26,34.29,3074
2018-04-27,34.29,4967
2018-04-30,34.11,2546
2018-05-01,33.84,4264
2018-05-02,34.11,3601
2018-05-03,33.84,4584
2018-05-04,34.29,7459
2018-05-07,33.93,2555
2018-05-08,33.94,2419
2018-05-09,33.48,5263
2018-05-10,33.75,3030
2018-05-11,34.2,604
2018-05-14,35.1,5296
2018-05-15,34.29,2331
2018-05-16,34.02,1332
2018-05-17,34.11,6287
2018-05-18,34.38,5375
2018-05-21,34.56,2927
2018-05-22,33.66,4555
2018-05-23,34.54,6566
2018-05-24,34.92,6073
2018-05-25,34.78,3321
2018-05-29,34.65,685
2018-05-30,34.74,2126
2018-05-31,34.29,6136
2018-06-01,34.11,4824
2018-06-04,34.29,11840
2018-06-05,34.83,17306
2018-06-06,34.74,10060
2018-06-07,34.7,7932
2018-06-08,34.29,6126
2018-06-11,34.02,13963
2018-06-12,35.46,7069
2018-06-13,36.09,45494
2018-06-14,28.44,73586
2018-06-15,26.19,24528
2018-06-18,23.58,23719
2018-06-19,23.67,19962
2018-06-20,23.67,7500
2018-06-21,24.21,7858
2018-06-22,24.48,3977
2018-06-25,23.67,12371
2018-06-26,22.95,4183
2018-06-27,22.23,5881
2018-06-28,21.87,2481
2018-06-29,22.32,6625
2018-07-02,23.22,2236
2018-07-03,22.5,447
2018-07-05,23.22,3428
2018-07-06,22.59,3101
2018-07-09,22.86,9920
2018-07-10,22.05,23507
2018-07-11,22.68,2130
2018-07-12,22.32,2329
2018-07-13,22.32,836
2018-07-16,22.32,5908
2018-07-17,22.05,3269
2018-07-18,21.33,4196
2018-07-19,21.42,3557
2018-07-20,21.69,2263
2018-07-23,21.42,3676
2018-07-24,21.06,2014
2018-07-25,21.87,11548
2018-07-26,21.69,3416
2018-07-27,20.79,5380
2018-07-30,20.97,1143
2018-07-31,19.62,5802
2018-08-01,20.34,8619
2018-08-02,20.88,5429
2018-08-03,20.07,704
2018-08-06,19.44,5438
2018-08-07,19.89,1052
2018-08-08,17.28,14478
2018-08-09,15.66,14501
2018-08-10,20.7,37737
2018-08-13,17.73,8774
2018-08-14,18.09,2571
