date,close,volume
2018-04-25,30.72,41598
2018-04-26,30.38,36232
2018-04-27,30.38,32799
2018-04-30,30.63,9983
2018-05-01,30.59,7700
2018-05-02,30.8,17507
2018-05-03,30.86,14360
2018-05-04,30.5,11090
2018-05-07,30.37,2779
2018-05-08,30.42,3313
2018-05-09,30.13,17461
2018-05-10,29.84,11535
2018-05-11,29.76,9343
2018-05-14,29.74,1602
2018-05-15,29.99,2445
2018-05-16,29.78,2050
2018-05-17,29.82,1634
2018-05-18,29.9,11425
2018-05-21,29.71,21923
2018-05-22,29.7,3515
2018-05-23,29.76,5962
2018-05-24,29.74,3409
2018-05-25,29.89,2152
2018-05-29,30.21,2634
2018-05-30,29.79,2540
2018-05-31,29.98,4990
2018-06-01,29.71,43437
2018-06-04,29.57,3836
2018-06-05,29.52,44728
2018-06-06,29.28,2596
2018-06-07,29.34,1951
2018-06-08,29.23,15103
2018-06-11,29.13,1925
2018-06-12,29.16,8053
2018-06-13,29.24,4246
2018-06-14,29.16,1116
2018-06-15,29.21,10008
2018-06-18,29.28,1957
2018-06-19,29.29,6976
2018-06-20,29.2,2812
2018-06-21,29.43,14306
2018-06-22,29.36,4354
2018-06-25,29.73,7088
2018-06-26,29.61,4040
2018-06-27,29.9,8101
2018-06-28,29.75,10119
2018-06-29,29.56,6918
2018-07-02,29.67,6078
2018-07-03,29.61,1148
2018-07-05,29.56,2407
2018-07-06,29.28,3473
2018-07-09,29.07,6883
2018-07-10,28.95,5612
2018-07-11,29.12,9215
2018-07-12,28.92,2038
2018-07-13,28.88,2464
2018-07-16,28.92,3061
2018-07-17,28.78,1811
2018-07-18,28.73,2911
2018-07-19,28.79,1009
2018-07-20,28.88,1026
2018-07-23,28.83,9943
2018-07-24,28.74,7891
2018-07-25,28.42,5666
2018-07-26,28.53,16211
2018-07-27,28.72,14422
2018-07-30,28.9,3250
2018-07-31,28.73,1890
2018-08-01,28.76,1297
2018-08-02,28.66,1581
2018-08-03,28.51,5858
2018-08-06,28.42,2268
2018-08-07,28.31,4940
2018-08-08,28.29,2083
2018-08-09,28.33,1269
2018-08-10,28.59,3931
2018-08-13,28.69,3366
2018-08-14,28.52,3733
2018-08-15,28.77,3936
2018-08-16,28.49,2983
2018-08-17,28.36,889
2018-08-20,28.33,2908
2018-08-21,28.24,5996
2018-08-22,28.31,3277
2018-08-23,28.36,5339
2018-08-24,28.18,6994
2018-08-27,27.98,11964
2018-08-28,27.96,2365
2018-08-29,27.82,12046
2018-08-30,27.94,2129
2018-08-31,28.01,2372
2018-09-04,27.99,4989
2018-09-05,28.07,11584
2018-09-06,28.13,16523
2018-09-07,28.2,6895
2018-09-10,28.16,9084
2018-09-11,28.05,8327
2018-09-12,28.08,4551
2018-09-13,27.92,2415
2018-09-14,27.96,746
2018-09-17,28.04,3472
2018-09-18,27.9,14683
2018-09-19,27.87,2803
2018-09-20,27.66,717
2018-09-21,27.67,3001
2018-09-24,27.78,7303
2018-09-25,27.71,9168
2018-09-26,27.82,4233
2018-09-27,27.68,8252
2018-09-28,27.75,1647
2018-10-01,27.62,4387
2018-10-02,27.65,4313
2018-10-03,27.53,1705
2018-10-04,27.91,6899
2018-10-05,27.99,488599
2018-10-08,28.02,9045
2018-10-09,28.03,1646
2018-10-10,28.99,5991
2018-10-11,29.51,80223
2018-10-12,29.11,46584
2018-10-15,29.36,21368
2018-10-16,28.73,12359
2018-10-17,28.73,476135
2018-10-18,29.13,4048
2018-10-19,29.11,4986
2018-10-22,29.28,15486
2018-10-23,29.49,15987
2018-10-24,30.4,18462
2018-10-25,29.81,30159
2018-10-26,30.33,23184
2018-10-29,30.53,20654
2018-10-30,30.05,13372
2018-10-31,29.71,8760
2018-11-01,29.43,4761
2018-11-02,29.66,49747
2018-11-05,29.52,2408
2018-11-06,29.27,32263
2018-11-07,28.65,52194
2018-11-08,28.72,16001
2018-11-09,28.97,32991
2018-11-12,29.54,69085
2018-11-13,29.6,28299
2018-11-14,29.75,34337
2018-11-15,29.56,25575
2018-11-16,29.46,15613
2018-11-19,29.88,6752
2018-11-20,30.45,37092
2018-11-21,30.41,14409
2018-11-23,30.6,9347
2018-11-26,30.16,22949
2018-11-27,30.03,8169
2018-11-28,29.36,36897
2018-11-29,29.36,12973
2018-11-30,29.21,15910
2018-12-03,28.86,18327
2018-12-04,29.77,14521
2018-12-06,29.87,17240
2018-12-07,30.51,11474
2018-12-10,30.47,55871
2018-12-11,30.49,33916
2018-12-12,30.31,14426
2018-12-13,30.33,29193
2018-12-14,30.92,34190
2018-12-17,31.57,52095
2018-12-18,31.54,48172
2018-12-19,32.02,94540
2018-12-20,32.59,106396
2018-12-21,33.23,295410
2018-12-24,34.17,46972
2018-12-26,32.46,138311
2018-12-27,32.07,113852
2018-12-28,32.14,39402
2018-12-31,31.84,18385
2019-01-02,31.86,42273
2019-01-03,32.63,57876
2019-01-04,31.51,45955
2019-01-07,31.29,151445
2019-01-08,30.98,126328
2019-01-09,30.82,46467
2019-01-10,30.7,12777
2019-01-11,30.75,9019
2019-01-14,30.87,113166
2019-01-15,30.55,14520
2019-01-16,30.49,26152
2019-01-17,30.27,30624
2019-01-18,29.89,32316
2019-01-22,30.34,35957
2019-01-23,30.23,35295
2019-01-24,30.2,6394
