date,close,volume
2018-04-25,37.8,234510
2018-04-26,38.16,204931
2018-04-27,38.37,162126
2018-04-30,38.08,337209
2018-05-01,37.98,356435
2018-05-02,37.79,155588
2018-05-03,37.55,342558
2018-05-04,37.74,253135
2018-05-07,37.53,319827
2018-05-08,37.69,190769
2018-05-09,37.69,1117925
2018-05-10,38.44,257650
2018-05-11,38.36,168529
2018-05-14,38.48,130448
2018-05-15,37.76,223260
2018-05-16,38.39,296349
2018-05-17,37.71,522894
2018-05-18,37.34,263032
2018-05-21,37.64,288316
2018-05-22,37.78,152131
2018-05-23,37.59,278238
2018-05-24,37.48,123414
2018-05-25,37.49,134482
2018-05-29,36.77,209516
2018-05-30,37.22,273774
2018-05-31,37.09,349973
2018-06-01,37.56,172311
2018-06-04,37.99,182723
2018-06-05,37.71,432965
2018-06-06,38.08,1146402
2018-06-07,37.67,473856
2018-06-08,37.7,159855
2018-06-11,37.57,175769
2018-06-12,37.55,1725647
2018-06-13,37.22,229521
2018-06-14,37.11,157869
2018-06-15,36.92,296461
2018-06-18,36.13,1009507
2018-06-19,35.85,292370
2018-06-20,35.95,431388
2018-06-21,35.44,491517
2018-06-22,35.73,386617
2018-06-25,35.34,564016
2018-06-26,35.14,526415
2018-06-27,34.42,630486
2018-06-28,34.65,442325
2018-06-29,35.34,414307
2018-07-02,34.9,491066
2018-07-03,35.02,338220
2018-07-05,35.11,224735
2018-07-06,35.37,367622
2018-07-09,35.99,1130201
2018-07-10,35.94,361304
2018-07-11,35.29,1499358
2018-07-12,35.84,1561142
2018-07-13,35.79,887441
2018-07-16,35.57,280179
2018-07-17,35.87,204736
2018-07-18,35.8,650222
2018-07-19,35.32,1033758
2018-07-20,35.84,419177
2018-07-23,35.7,158499
2018-07-24,36.23,356088
2018-07-25,36.78,326271
2018-07-26,36.41,184547
2018-07-27,36.55,999150
2018-07-30,36.52,229901
2018-07-31,36.63,207759
2018-08-01,36.44,207043
2018-08-02,36.09,226819
2018-08-03,36.14,1083059
2018-08-06,35.97,183968
2018-08-07,36.26,408652
2018-08-08,36.2,237555
2018-08-09,36.15,226142
2018-08-10,35.48,371777
2018-08-13,35.01,477637
2018-08-14,35.14,457848
2018-08-15,34.08,3093612
2018-08-16,34.26,935573
2018-08-17,34.65,504389
2018-08-20,34.77,742938
2018-08-21,35.11,757428
2018-08-22,35.39,385019
2018-08-23,34.89,507002
2018-08-24,35.43,209616
2018-08-27,35.9,266089
2018-08-28,35.74,309319
2018-08-29,35.91,323127
2018-08-30,35.05,270737
2018-08-31,35.22,744345
2018-09-04,34.39,362865
2018-09-05,34.04,478256
2018-09-06,34.0,372338
2018-09-07,33.92,398325
2018-09-10,33.54,629769
2018-09-11,33.47,1217265
2018-09-12,33.73,492276
2018-09-13,34.08,244906
2018-09-14,34.13,583066
2018-09-17,33.9,165288
2018-09-18,34.17,188784
2018-09-19,34.6,203020
2018-09-20,34.91,1164655
2018-09-21,35.03,211491
2018-09-24,34.64,423654
2018-09-25,34.8,293339
2018-09-26,34.77,367006
2018-09-27,35.0,322594
2018-09-28,34.83,1000067
2018-10-01,34.83,339854
2018-10-02,34.47,362990
2018-10-03,34.27,246254
2018-10-04,33.49,552984
2018-10-05,33.29,4501598
2018-10-08,33.47,512917
2018-10-09,33.26,414448
2018-10-10,32.34,509786
2018-10-11,32.06,1584544
2018-10-12,32.96,490349
2018-10-15,32.67,366943
2018-10-16,33.49,250052
2018-10-17,33.05,487643
2018-10-18,32.24,426441
2018-10-19,32.5,274635
2018-10-22,32.81,291381
2018-10-23,32.52,384880
2018-10-24,31.53,571400
2018-10-25,32.08,1323731
2018-10-26,31.81,770953
2018-10-29,31.29,550673
2018-10-30,31.85,614207
2018-10-31,32.25,258375
2018-11-01,33.38,4869853
2018-11-02,33.53,1744181
2018-11-05,33.63,2058472
2018-11-06,33.53,281524
2018-11-07,34.13,445288
2018-11-08,33.24,381472
2018-11-09,32.79,365004
2018-11-12,32.26,238204
2018-11-13,32.62,305864
2018-11-14,32.89,709955
2018-11-15,33.53,724113
2018-11-16,33.72,891189
2018-11-19,33.28,317284
2018-11-20,32.58,287938
2018-11-21,33.19,301869
2018-11-23,32.74,843151
2018-11-26,33.09,357899
2018-11-27,33.32,456722
2018-11-28,34.13,500447
2018-11-29,33.87,732282
2018-11-30,33.88,378601
2018-12-03,34.48,588455
2018-12-04,33.83,855022
2018-12-06,33.63,597852
2018-12-07,33.0,648289
2018-12-10,32.61,864541
2018-12-11,32.85,7572175
2018-12-12,33.33,897551
2018-12-13,33.44,899357
2018-12-14,33.04,478299
2018-12-17,32.62,1059657
2018-12-18,32.84,831405
2018-12-19,32.36,1075134
2018-12-20,32.63,1864372
2018-12-21,32.21,1522333
2018-12-24,31.56,1099931
2018-12-26,32.14,1994510
2018-12-27,32.18,921607
2018-12-28,32.46,2906162
2018-12-31,32.36,1095697
2019-01-02,32.48,640251
2019-01-03,32.0,593430
2019-01-04,33.04,885174
2019-01-07,33.08,407016
2019-01-08,33.24,433727
2019-01-09,33.76,861579
2019-01-10,33.93,2023657
2019-01-11,33.74,1367309
2019-01-14,33.55,445828
2019-01-15,33.72,675929
2019-01-16,34.07,763046
2019-01-17,34.25,532022
2019-01-18,34.4,1101615
2019-01-22,33.85,1187280
2019-01-23,34.17,458370
2019-01-24,34.4,321137
2019-01-25,34.68,390047
2019-01-28,34.36,460783
2019-01-29,34.39,559493
2019-01-30,35.06,542099
2019-01-31,35.45,2222023
2019-02-01,35.24,1629227
2019-02-04,35.3,1041177
2019-02-05,35.65,4034512
2019-02-06,35.18,1076384
2019-02-07,34.91,954303
2019-02-08,34.7,1891350
2019-02-11,34.6,447271
2019-02-12,34.95,3006181
2019-02-13,34.62,535629
2019-02-14,34.76,542967
2019-02-15,34.72,665464
2019-02-19,34.96,2436197
2019-02-20,35.11,870373
2019-02-21,35.06,598875
2019-02-22,35.49,676513
2019-02-25,35.76,939921
