date,close,volume
2018-04-25,11.13,17374
2018-04-26,11.33,11371
2018-04-27,11.46,10129
2018-04-30,11.51,17704
2018-05-01,11.38,9301
2018-05-02,10.27,22894
2018-05-03,10.83,80627
2018-05-04,10.75,35475
2018-05-07,10.66,11337
2018-05-08,11.48,23187
2018-05-09,11.91,36014
2018-05-10,11.99,31339
2018-05-11,12.54,42510
2018-05-14,12.27,57977
2018-05-15,12.12,41380
2018-05-16,11.84,36969
2018-05-17,12.03,25448
2018-05-18,11.87,33187
2018-05-21,11.4,268555
2018-05-22,11.51,39558
2018-05-23,11.78,30887
2018-05-24,11.65,38659
2018-05-25,11.68,19557
2018-05-29,11.52,36116
2018-05-30,11.29,46218
2018-05-31,11.94,51376
2018-06-01,12.01,68929
2018-06-04,12.44,33198
2018-06-05,12.42,50758
2018-06-06,12.89,78174
2018-06-07,13.22,33141
2018-06-08,13.4,51087
2018-06-11,13.51,82441
2018-06-12,13.62,52968
2018-06-13,13.76,48455
2018-06-14,14.03,48447
2018-06-15,14.05,60158
2018-06-18,13.3,46513
2018-06-19,13.98,54677
2018-06-20,13.17,59266
2018-06-21,13.03,65903
2018-06-22,12.99,1258886
2018-06-25,12.51,71448
2018-06-26,12.84,62814
2018-06-27,12.57,39188
2018-06-28,12.57,36871
2018-06-29,12.62,28801
2018-07-02,12.66,31277
2018-07-03,13.02,25086
2018-07-05,13.03,33418
2018-07-06,13.08,23108
2018-07-09,13.11,15700
2018-07-10,12.81,20981
2018-07-11,12.69,29465
2018-07-12,12.78,25992
2018-07-13,12.83,15796
2018-07-16,12.53,55281
2018-07-17,12.5,27471
2018-07-18,12.52,22479
2018-07-19,12.82,46244
2018-07-20,12.78,28316
2018-07-23,12.75,16347
2018-07-24,12.83,36567
2018-07-25,12.84,15847
2018-07-26,12.33,17852
2018-07-27,12.25,37471
2018-07-30,12.25,15494
2018-07-31,13.96,73856
2018-08-01,14.0,102722
2018-08-02,14.26,112220
2018-08-03,13.79,25772
2018-08-06,13.7,34120
2018-08-07,13.23,20887
2018-08-08,13.66,64605
2018-08-09,14.07,29104
2018-08-10,13.9,49769
2018-08-13,13.68,18025
2018-08-14,13.78,14820
2018-08-15,13.66,18342
2018-08-16,13.99,45578
2018-08-17,14.23,55693
2018-08-20,14.17,32807
2018-08-21,14.36,26962
2018-08-22,15.05,66552
2018-08-23,15.26,69938
2018-08-24,14.89,26124
2018-08-27,14.6,46381
2018-08-28,14.52,27892
2018-08-29,14.75,21990
2018-08-30,14.87,54454
2018-08-31,15.4,44656
2018-09-04,15.14,47421
2018-09-05,14.96,53889
2018-09-06,15.0,76547
2018-09-07,15.1,63533
2018-09-10,16.29,76411
2018-09-11,15.94,119188
2018-09-12,15.93,58777
2018-09-13,16.18,38938
2018-09-14,15.89,43550
2018-09-17,15.52,33614
2018-09-18,15.35,29619
2018-09-19,15.25,40533
2018-09-20,15.55,21433
2018-09-21,15.86,105253
2018-09-24,15.71,31450
2018-09-25,15.5,55343
2018-09-26,15.39,26329
2018-09-27,15.71,21687
2018-09-28,15.56,20407
2018-10-01,15.19,31573
2018-10-02,16.61,144636
2018-10-03,17.75,130101
2018-10-04,17.94,122698
2018-10-05,17.86,73480
2018-10-08,17.94,59872
2018-10-09,17.72,36300
2018-10-10,17.42,63131
2018-10-11,16.0,1441592
2018-10-12,16.1,156795
2018-10-15,15.96,184300
2018-10-16,16.55,179701
2018-10-17,16.41,149191
2018-10-18,17.12,136498
2018-10-19,16.5,201313
2018-10-22,16.61,122047
2018-10-23,16.7,73993
2018-10-24,16.69,77569
2018-10-25,17.18,74250
2018-10-26,17.07,73736
2018-10-29,17.04,64632
2018-10-30,17.74,87456
2018-10-31,17.17,81366
2018-11-01,17.37,102244
2018-11-02,17.28,116987
2018-11-05,17.39,87802
2018-11-06,17.45,72188
2018-11-07,17.39,149060
2018-11-08,17.76,100112
2018-11-09,17.35,111394
2018-11-12,17.16,127717
2018-11-13,16.13,231676
2018-11-14,15.88,57752
2018-11-15,15.75,47228
2018-11-16,15.37,81189
2018-11-19,16.3,80248
2018-11-20,15.8,88602
2018-11-21,16.16,65313
2018-11-23,16.91,46202
2018-11-26,17.05,90909
2018-11-27,16.9,61461
2018-11-28,17.58,61513
2018-11-29,17.78,37616
2018-11-30,19.66,139848
2018-12-03,19.63,221790
2018-12-04,18.41,80171
2018-12-06,17.8,101517
2018-12-07,17.19,149830
2018-12-10,17.21,91045
2018-12-11,17.16,62730
2018-12-12,17.04,108264
2018-12-13,16.79,84569
2018-12-14,16.57,78114
2018-12-17,16.02,106212
2018-12-18,15.95,119426
2018-12-19,15.41,67558
2018-12-20,15.68,145416
2018-12-21,14.25,501252
2018-12-24,15.36,50902
2018-12-26,15.53,128791
2018-12-27,15.87,107425
2018-12-28,17.92,187450
2018-12-31,18.24,235181
2019-01-02,17.55,96351
2019-01-03,17.07,94192
2019-01-04,17.15,70348
2019-01-07,16.88,151835
2019-01-08,16.18,92870
2019-01-09,16.48,77547
2019-01-10,15.54,121165
2019-01-11,15.22,93649
2019-01-14,14.54,110573
2019-01-15,15.38,107822
2019-01-16,14.99,95106
2019-01-17,15.56,98801
2019-01-18,15.58,139850
2019-01-22,14.68,73480
2019-01-23,14.72,60329
2019-01-24,14.41,25771
2019-01-25,14.8,61745
2019-01-28,14.36,48795
2019-01-29,14.41,38804
2019-01-30,14.83,46792
2019-01-31,15.29,90218
2019-02-01,15.33,50344
2019-02-04,15.46,64356
2019-02-05,15.43,58894
2019-02-06,15.46,31365
2019-02-07,15.6,34641
2019-02-08,15.72,26307
2019-02-11,16.0,53219
2019-02-12,16.2,78280
2019-02-13,16.01,60363
2019-02-14,15.89,67687
2019-02-15,16.42,80642
2019-02-19,16.89,60406
2019-02-20,17.5,83257
2019-02-21,17.91,47965
2019-02-22,17.9,88807
2019-02-25,17.27,50313
2019-02-26,16.51,37956
2019-02-27,16.37,107452
2019-02-28,15.34,158532
2019-03-01,15.32,28314
2019-03-04,14.47,103224
2019-03-05,14.09,217069
2019-03-06,14.44,225566
2019-03-07,14.02,95795
2019-03-08,13.93,119566
2019-03-11,14.12,58497
2019-03-12,14.16,76042
2019-03-13,14.15,175546
2019-03-14,14.5,160144
2019-03-15,14.77,297095
2019-03-18,14.45,98651
2019-03-19,14.61,223172
2019-03-20,14.51,117043
2019-03-21,15.51,172805
2019-03-22,14.92,87449
2019-03-25,14.95,85408
2019-03-26,15.41,117001
2019-03-27,15.24,67885
2019-03-28,15.07,67097
2019-03-29,15.08,131964
2019-04-01,14.71,138217
