date,close,volume
2018-04-25,40.87,4855985
2018-04-26,42.1,5523046
2018-04-27,42.2,4741136
2018-04-30,41.22,5237125
2018-05-01,41.44,5157491
2018-05-02,40.56,5284635
2018-05-03,40.3,9825213
2018-05-04,41.85,5889120
2018-05-07,42.25,4272227
2018-05-08,42.26,3465279
2018-05-09,43.47,4047652
2018-05-10,44.72,4701863
2018-05-11,44.97,2738547
2018-05-14,45.11,2527431
2018-05-15,44.21,6682434
2018-05-16,44.79,5268878
2018-05-17,44.65,4154808
2018-05-18,44.31,1706445
2018-05-21,45.28,3499209
2018-05-22,44.9,2422153
2018-05-23,45.28,3009562
2018-05-24,45.02,3219490
2018-05-25,44.65,1971621
2018-05-29,43.15,5521893
2018-05-30,44.82,3855089
2018-05-31,43.9,4016988
2018-06-01,45.27,4400189
2018-06-04,45.91,2689193
2018-06-05,46.01,2540046
2018-06-06,47.17,3249402
2018-06-07,47.09,2745684
2018-06-08,47.49,2116086
2018-06-11,47.7,2045571
2018-06-12,47.93,2306563
2018-06-13,47.38,2617064
2018-06-14,47.75,2214764
2018-06-15,47.56,2351949
2018-06-18,47.23,2556682
2018-06-19,46.69,3410864
2018-06-20,46.96,2782914
2018-06-21,46.05,3239094
2018-06-22,46.25,1848474
2018-06-25,44.4,7442922
2018-06-26,44.65,2967556
2018-06-27,43.52,4772500
2018-06-28,44.34,3977467
2018-06-29,44.54,3857851
2018-07-02,44.67,4088414
2018-07-03,44.17,1803409
2018-07-05,45.26,2870385
2018-07-06,46.37,4121715
2018-07-09,47.68,3152189
2018-07-10,48.14,2952411
2018-07-11,47.17,3519485
2018-07-12,48.36,3730327
2018-07-13,48.45,2325286
2018-07-16,48.35,1436151
2018-07-17,48.93,3225267
2018-07-18,49.22,2005376
2018-07-19,48.64,2648307
2018-07-20,48.51,2139152
2018-07-23,48.77,1643644
2018-07-24,49.41,3432161
2018-07-25,50.78,3663772
2018-07-26,50.33,2383919
2018-07-27,49.33,3060241
2018-07-30,48.48,2313889
2018-07-31,49.19,2551079
2018-08-01,49.03,2450805
2018-08-02,49.73,2931695
2018-08-03,50.41,1928304
2018-08-06,50.96,2344709
2018-08-07,51.44,2416908
2018-08-08,51.38,1859934
2018-08-09,51.16,1871363
2018-08-10,50.1,2915324
2018-08-13,49.52,3367613
2018-08-14,50.45,2305718
2018-08-15,49.36,4301772
2018-08-16,50.51,3018989
2018-08-17,51.0,3372106
2018-08-20,51.34,2516820
2018-08-21,51.66,2456264
2018-08-22,51.61,2035366
2018-08-23,51.37,2147217
2018-08-24,52.25,2470212
2018-08-27,53.48,3018998
2018-08-28,53.63,2224819
2018-08-29,54.45,2129965
2018-08-30,53.75,2677891
2018-08-31,53.75,2799298
2018-09-04,53.5,2390166
2018-09-05,53.09,2584490
2018-09-06,52.6,2514527
2018-09-07,52.19,2650631
2018-09-10,52.49,1730490
2018-09-11,53.05,1957009
2018-09-12,53.07,2661084
2018-09-13,53.94,1817672
2018-09-14,53.96,1873613
2018-09-17,53.09,1709485
2018-09-18,53.92,1700509
2018-09-19,54.12,1218826
2018-09-20,55.38,2039682
2018-09-21,55.25,2134903
2018-09-24,54.73,2156031
2018-09-25,54.41,1670048
2018-09-26,53.9,1894547
2018-09-27,54.34,1622174
2018-09-28,54.32,1492977
2018-10-01,54.89,1943400
2018-10-02,54.8,1228275
2018-10-03,54.92,1638469
2018-10-04,53.61,4263429
2018-10-05,52.79,4200936
2018-10-08,52.66,3714691
