date,close,volume
2018-04-25,4.0,14113
2018-04-26,4.0,92
2018-04-27,3.78,644
2018-04-30,3.88,3089
2018-05-01,3.87,2173
2018-05-02,3.85,8189
2018-05-03,3.85,125
2018-05-04,3.8,2830
2018-05-07,3.8,630
2018-05-08,3.8,13
2018-05-09,3.84,1275
2018-05-10,3.84,138
2018-05-11,3.84,5869
2018-05-14,3.86,20718
2018-05-15,3.88,1028
2018-05-16,3.88,977
2018-05-17,3.88,2
2018-05-18,3.88,29
2018-05-21,4.09,43804
2018-05-22,4.09,11849
2018-05-23,4.15,3764
2018-05-24,4.14,391
2018-05-25,4.05,4053
2018-05-29,4.05,135
2018-05-30,3.94,498
2018-05-31,4.04,754
2018-06-01,4.18,8709
2018-06-04,4.18,233
2018-06-05,4.23,188
2018-06-06,4.1,267
2018-06-07,4.15,2154
2018-06-08,4.11,1152
2018-06-11,4.02,751
2018-06-12,4.15,128
2018-06-13,4.0,2504
2018-06-14,4.0,566
2018-06-15,4.01,5011
2018-06-18,4.0,2389
2018-06-19,4.0,4580
2018-06-20,3.98,292
2018-06-21,3.98,30
2018-06-22,3.99,1672
2018-06-25,3.99,20
2018-06-26,4.07,115
2018-06-27,4.03,398
2018-06-28,3.98,186
2018-06-29,4.15,167
2018-07-02,4.15,61
2018-07-03,3.97,2406
2018-07-05,4.0,17016
2018-07-06,4.07,1404
2018-07-09,3.9,952
2018-07-10,3.93,11162
2018-07-11,3.92,4935
2018-07-12,3.88,31624
2018-07-13,3.92,8334
2018-07-16,3.92,2
2018-07-17,3.8,8513
2018-07-18,3.64,8027
2018-07-19,3.64,151
2018-07-20,3.64,5
2018-07-23,3.64,12
2018-07-24,3.76,2360
2018-07-25,3.68,6218
2018-07-26,3.75,21167
2018-07-27,3.75,865
2018-07-30,3.94,6538
2018-07-31,3.8,16794
2018-08-01,3.8,37
2018-08-02,3.86,9208
2018-08-03,3.86,9
2018-08-06,3.73,6816
2018-08-07,3.69,3018
2018-08-08,3.69,15
2018-08-09,3.88,2492
2018-08-10,3.89,109
2018-08-13,3.57,3763
2018-08-14,3.65,3173
2018-08-15,3.65,6127
2018-08-16,3.65,94
2018-08-17,3.65,7677
2018-08-20,3.65,32
2018-08-21,3.5,543
2018-08-22,3.5,12
2018-08-23,3.5,96147
2018-08-24,3.65,7415
2018-08-27,3.82,5737
2018-08-28,4.21,4340
2018-08-29,4.0,6625
2018-08-30,4.14,701
2018-08-31,4.14,173
2018-09-04,3.71,2195
2018-09-05,3.97,472
2018-09-06,3.97,9
2018-09-07,3.97,23
2018-09-10,4.25,8119
2018-09-11,3.6,4446
2018-09-12,3.96,5581
2018-09-13,4.25,568
2018-09-14,4.25,1538
2018-09-17,4.05,1129
2018-09-18,4.18,1659
2018-09-19,3.91,6280
2018-09-20,4.18,429
2018-09-21,3.65,7555
2018-09-24,3.65,154
2018-09-25,3.8,3913
2018-09-26,3.55,5417
2018-09-27,3.55,0
2018-09-28,3.92,765
2018-10-01,3.92,121
2018-10-02,3.77,1177
2018-10-03,3.66,369
2018-10-04,4.03,1106
2018-10-05,3.65,784
2018-10-08,3.64,559
2018-10-09,3.65,1170
2018-10-10,3.67,5014
2018-10-11,3.54,272
2018-10-12,3.63,3986
2018-10-15,3.65,688
2018-10-16,3.65,34
2018-10-17,3.65,39
2018-10-18,3.65,28
2018-10-19,3.65,41
2018-10-22,3.61,1177
2018-10-23,3.63,789
2018-10-24,3.66,1484
2018-10-25,3.55,100
2018-10-26,3.55,145
2018-10-29,3.53,506
2018-10-30,3.51,1157
2018-10-31,3.51,271
2018-11-01,3.5,3311
2018-11-02,3.5,46
2018-11-05,3.37,3996
2018-11-06,3.25,223
2018-11-07,3.15,3001
2018-11-08,3.15,38
2018-11-09,3.15,116
2018-11-12,3.67,17086
2018-11-13,3.18,8071
2018-11-14,3.33,135
2018-11-15,3.12,5173
2018-11-16,3.22,226
2018-11-19,3.0,284
2018-11-20,3.16,159
2018-11-21,2.88,2315
2018-11-23,2.88,62
2018-11-26,2.98,6334
2018-11-27,2.31,21825
2018-11-28,2.53,2049
2018-11-29,2.65,35939
2018-11-30,2.65,3530
2018-12-03,2.65,862
2018-12-04,2.65,2650
2018-12-06,2.8,3953
2018-12-07,2.8,62
2018-12-10,2.66,206
2018-12-11,2.66,23
2018-12-12,2.72,328
2018-12-13,2.65,839
2018-12-14,2.66,1469
2018-12-17,2.52,1907
2018-12-18,2.25,429
2018-12-19,2.25,766
2018-12-20,2.9,6963
2018-12-21,2.32,5206
2018-12-24,2.4,233
2018-12-26,2.74,3452
2018-12-27,2.51,683
2018-12-28,2.53,10256
2018-12-31,2.32,798
2019-01-02,2.32,331
2019-01-03,2.11,6262
2019-01-04,2.0,41679
2019-01-07,2.23,21763
2019-01-08,2.17,46280
2019-01-09,2.17,77
2019-01-10,2.2,810
2019-01-11,2.2,29
2019-01-14,2.2,4804
2019-01-15,2.3,2003
2019-01-16,2.16,250
2019-01-17,2.2,4153
2019-01-18,2.35,2705
2019-01-22,2.22,2088
2019-01-23,2.2,877
2019-01-24,2.34,458
2019-01-25,2.33,565
2019-01-28,2.33,12
2019-01-29,2.26,528
2019-01-30,2.26,11023
2019-01-31,2.32,12323
2019-02-01,2.38,6323
2019-02-04,2.46,484
2019-02-05,2.49,2259
2019-02-06,2.51,2536
2019-02-07,2.51,120
2019-02-08,2.51,51
2019-02-11,3.3,90093
2019-02-12,3.31,30399
2019-02-13,3.45,21021
2019-02-14,3.4,11292
2019-02-15,3.55,13054
2019-02-19,3.7,1792
2019-02-20,3.55,9614
2019-02-21,3.7,9576
2019-02-22,3.98,9331
2019-02-25,3.48,4303
2019-02-26,3.69,3006
2019-02-27,4.01,8614
2019-02-28,4.29,10495
2019-03-01,4.04,2564
2019-03-04,3.89,9025
2019-03-05,4.13,2696
2019-03-06,4.03,876
2019-03-07,3.9,1134
2019-03-08,4.13,1305
2019-03-11,4.12,3613
2019-03-12,3.76,5901
2019-03-13,3.69,1712
2019-03-14,3.37,3603
2019-03-15,3.05,21402
2019-03-18,3.15,1574
2019-03-19,3.3,1397
2019-03-20,3.1,2613
2019-03-21,3.09,8189
2019-03-22,3.08,3906
2019-03-25,3.05,1597
2019-03-26,2.91,8526
2019-03-27,2.99,406
2019-03-28,3.0,31001
2019-03-29,3.0,0
2019-04-01,2.86,12356
2019-04-02,2.75,2874
2019-04-03,2.76,4694
2019-04-04,2.82,348
2019-04-05,2.8,4092
2019-04-08,2.9,1865
2019-04-09,2.97,2477
2019-04-10,2.93,4908
2019-04-11,2.98,687
2019-04-12,2.98,1673
2019-04-15,2.98,1007
2019-04-16,3.0,1597
2019-04-17,2.95,337
2019-04-18,2.95,3
2019-04-22,2.9,1288
2019-04-23,2.9,3538
2019-04-24,2.7,3476
2019-04-25,2.79,3101
2019-04-26,2.6,1323
2019-04-29,2.74,3788
2019-04-30,2.74,75
2019-05-01,2.74,9
2019-05-02,2.74,32
2019-05-03,2.6,2862
2019-05-06,2.6,623
2019-05-07,2.6,2
2019-05-08,2.71,330
2019-05-09,2.71,1
2019-05-10,2.71,16
2019-05-13,2.52,16241
2019-05-14,2.5,9947
2019-05-15,2.39,1888
2019-05-16,2.57,9113
2019-05-17,2.43,63319
2019-05-20,2.51,25526
2019-05-21,2.73,167992
2019-05-22,2.65,3444
2019-05-23,2.51,58208
2019-05-24,2.51,20
2019-05-28,2.42,9611
2019-05-29,2.41,8412
2019-05-30,3.23,160001
2019-05-31,3.02,18832
2019-06-03,2.66,10795
2019-06-04,2.5,11168
2019-06-05,2.4,8896
2019-06-06,2.35,11284
2019-06-07,2.26,8173
2019-06-10,2.26,329
2019-06-11,2.3,10950
2019-06-12,2.43,3343
2019-06-13,2.46,1779
2019-06-14,2.33,16756
2019-06-17,2.26,3880
2019-06-18,2.3,6852
2019-06-19,2.33,538
2019-06-20,2.4,420
2019-06-21,2.39,2647
2019-06-24,2.46,43273
2019-06-25,2.79,146632
2019-06-26,3.12,27289
2019-06-27,3.14,1658
2019-06-28,2.95,1744
2019-07-01,3.02,1653
2019-07-02,2.79,4118
2019-07-03,3.23,6011
2019-07-05,3.03,1832
2019-07-08,2.99,3626
2019-07-09,2.99,26
2019-07-10,2.71,5507
2019-07-11,2.85,2995
2019-07-12,2.94,1595
2019-07-15,2.71,1830
2019-07-16,2.5,3935
2019-07-17,2.85,7191
2019-07-18,2.71,5155
2019-07-19,2.99,959
2019-07-22,3.0,819
2019-07-23,2.78,2652
2019-07-24,3.05,7366
2019-07-25,3.02,6322
2019-07-26,2.9,3322
2019-07-29,3.03,1924
2019-07-30,2.89,3804
2019-07-31,2.89,7065
2019-08-01,2.84,2573
2019-08-02,2.67,1054
2019-08-05,2.75,5634
2019-08-06,2.8,3453
2019-08-07,2.67,1547
2019-08-08,2.7,1139
2019-08-09,2.7,107
2019-08-12,2.61,322
2019-08-13,2.65,1380
2019-08-14,2.36,2210
