date,close,volume
2018-04-25,19.67,977549
2018-04-26,19.93,1635386
2018-04-27,19.51,2723628
2018-04-30,19.58,2244602
2018-05-01,19.28,2650179
2018-05-02,19.64,2158946
2018-05-03,19.53,1402388
2018-05-04,19.74,741966
2018-05-07,19.97,1189063
2018-05-08,19.74,2197071
2018-05-09,20.06,1179381
2018-05-10,19.89,696426
2018-05-11,19.84,1579065
2018-05-14,19.94,640232
2018-05-15,19.48,1498880
2018-05-16,19.61,1152298
2018-05-17,19.48,1352421
2018-05-18,19.83,1670024
2018-05-21,19.86,1054131
2018-05-22,19.72,802653
2018-05-23,19.73,824089
2018-05-24,19.79,794908
2018-05-25,20.01,645531
2018-05-29,19.6,984378
2018-05-30,19.82,1340212
2018-05-31,21.05,4131998
2018-06-01,21.2,1346982
2018-06-04,21.33,1889429
2018-06-05,21.9,2719775
2018-06-06,22.21,2607007
2018-06-07,21.76,1298475
2018-06-08,21.48,1212886
2018-06-11,21.35,842179
2018-06-12,21.38,1619425
2018-06-13,21.19,1921735
2018-06-14,21.56,1457479
2018-06-15,21.76,1182295
2018-06-18,21.92,1090938
2018-06-19,21.99,1660899
2018-06-20,22.52,2715923
2018-06-21,22.3,1765174
2018-06-22,22.52,2340458
2018-06-25,21.91,2505916
2018-06-26,21.96,1693666
2018-06-27,21.26,2123346
2018-06-28,21.49,2354731
2018-06-29,21.61,1183616
2018-07-02,21.48,1224146
2018-07-03,21.52,1010680
2018-07-05,21.65,809545
2018-07-06,21.83,843072
2018-07-09,21.56,1060332
2018-07-10,21.55,1543113
2018-07-11,21.28,1563899
2018-07-12,21.52,1758126
2018-07-13,21.44,1087424
2018-07-16,21.21,1710944
2018-07-17,21.31,1670759
2018-07-18,21.64,927787
2018-07-19,21.73,1506366
2018-07-20,21.85,1718367
2018-07-23,22.19,2501231
2018-07-24,21.58,2779525
2018-07-25,21.85,1698468
2018-07-26,21.64,5647407
2018-07-27,21.51,2181788
2018-07-30,21.17,1473987
2018-07-31,21.29,2183143
2018-08-01,21.47,997189
2018-08-02,21.62,741112
2018-08-03,21.44,1711516
2018-08-06,21.7,847960
2018-08-07,21.64,1004250
2018-08-08,21.35,1456779
2018-08-09,21.21,1341280
2018-08-10,21.08,1113114
2018-08-13,21.05,1951546
2018-08-14,21.18,1589220
2018-08-15,20.86,2198874
2018-08-16,21.0,2218378
2018-08-17,20.79,1009253
2018-08-20,20.63,1057661
2018-08-21,20.56,1201634
2018-08-22,20.56,1380071
2018-08-23,20.01,1925269
2018-08-24,20.03,1077494
2018-08-27,20.16,1561103
2018-08-28,20.6,2806729
2018-08-29,20.61,1447012
2018-08-30,20.49,797289
2018-08-31,20.18,1640661
2018-09-04,20.01,1185117
2018-09-05,19.94,814026
2018-09-06,19.71,1537265
2018-09-07,19.88,2293524
2018-09-10,19.91,1114648
2018-09-11,19.85,1267291
2018-09-12,19.87,1452825
2018-09-13,19.89,1454789
2018-09-14,19.85,1153698
2018-09-17,19.86,1334677
2018-09-18,19.67,989293
2018-09-19,19.44,1413435
2018-09-20,19.83,2259136
2018-09-21,19.78,1644276
2018-09-24,19.78,1993536
2018-09-25,20.17,2780226
2018-09-26,20.28,1351787
2018-09-27,20.3,1076056
2018-09-28,20.23,1223956
2018-10-01,19.93,1318063
2018-10-02,19.62,1002133
2018-10-03,19.17,1692719
2018-10-04,18.86,2382933
2018-10-05,19.05,1581948
2018-10-08,19.14,1007598
2018-10-09,19.02,962197
2018-10-10,18.68,1151131
2018-10-11,18.53,1237863
2018-10-12,18.36,1677811
2018-10-15,18.37,1264422
2018-10-16,18.5,1259028
2018-10-17,18.26,1505682
2018-10-18,17.94,1259366
2018-10-19,17.65,828334
2018-10-22,17.49,928106
2018-10-23,16.75,3610438
2018-10-24,15.76,3419501
2018-10-25,16.32,1782580
2018-10-26,16.3,1201033
2018-10-29,16.08,2901270
2018-10-30,16.2,1768944
2018-10-31,16.28,2443714
2018-11-01,18.38,2468924
2018-11-02,18.01,1703706
2018-11-05,18.16,1265030
2018-11-06,18.13,1290546
2018-11-07,18.45,816399
2018-11-08,18.6,1444801
2018-11-09,18.48,919640
2018-11-12,18.15,1354484
2018-11-13,18.06,1079963
2018-11-14,17.98,1296693
2018-11-15,18.23,1805425
2018-11-16,18.26,1247466
2018-11-19,18.06,801654
2018-11-20,18.0,1354908
2018-11-21,18.36,441760
2018-11-23,18.31,155120
2018-11-26,18.54,677404
2018-11-27,18.2,1154548
2018-11-28,18.35,2023930
2018-11-29,18.14,3016990
2018-11-30,18.2,1971051
2018-12-03,18.4,1221921
2018-12-04,17.88,1263805
2018-12-06,17.84,2769270
2018-12-07,17.77,1042052
2018-12-10,17.23,1590173
2018-12-11,17.15,1315405
2018-12-12,16.96,1191188
2018-12-13,17.08,1168922
2018-12-14,17.03,1584980
2018-12-17,16.66,1634102
2018-12-18,16.45,1332281
2018-12-19,16.0,1202007
2018-12-20,15.81,1091445
2018-12-21,15.15,2592294
2018-12-24,15.04,691238
2018-12-26,15.3,2107369
2018-12-27,15.38,1652428
2018-12-28,15.58,1701438
2018-12-31,15.5,1104406
2019-01-02,15.58,1149364
2019-01-03,15.18,1459382
2019-01-04,15.6,1399795
2019-01-07,15.96,1519636
2019-01-08,16.13,1254513
2019-01-09,16.29,1823334
2019-01-10,16.32,1428776
2019-01-11,16.42,1354679
2019-01-14,16.45,2111702
2019-01-15,16.59,932092
2019-01-16,16.87,1117721
2019-01-17,16.45,1112395
2019-01-18,16.5,1321265
2019-01-22,16.33,1449915
2019-01-23,16.34,1345862
2019-01-24,16.4,1134380
2019-01-25,16.52,2086089
2019-01-28,16.4,1352996
2019-01-29,16.37,1038543
