date,close,volume
2018-04-25,43.13,92136
2018-04-26,43.11,104336
2018-04-27,43.28,81769
2018-04-30,42.68,73476
2018-05-01,43.22,122133
2018-05-02,43.1,71133
2018-05-03,42.46,61902
2018-05-04,43.04,145032
2018-05-07,43.33,45255
2018-05-08,43.9,53760
2018-05-09,44.28,59180
2018-05-10,44.4,169485
2018-05-11,44.3,169033
2018-05-14,43.67,96132
2018-05-15,43.87,107325
2018-05-16,44.42,153554
2018-05-17,44.93,119049
2018-05-18,45.0,353993
2018-05-21,45.39,112090
2018-05-22,45.46,76670
2018-05-23,45.35,53966
2018-05-24,45.24,44178
2018-05-25,45.22,43270
2018-05-29,44.79,96448
2018-05-30,45.58,79990
2018-05-31,45.17,82767
2018-06-01,45.81,86850
2018-06-04,45.85,129357
2018-06-05,45.73,103059
2018-06-06,46.15,118798
2018-06-07,46.14,61562
2018-06-08,45.17,154006
2018-06-11,44.43,128865
2018-06-12,44.12,91723
2018-06-13,44.16,88760
2018-06-14,44.22,76526
2018-06-15,44.39,215517
2018-06-18,44.6,100615
2018-06-19,45.06,120771
2018-06-20,45.28,112740
2018-06-21,45.18,69981
2018-06-22,44.45,207623
2018-06-25,44.07,82353
2018-06-26,44.29,77982
2018-06-27,43.59,83043
2018-06-28,43.28,68669
2018-06-29,43.24,135011
2018-07-02,44.09,91627
2018-07-03,44.18,38353
2018-07-05,44.6,77039
2018-07-06,44.87,46545
2018-07-09,45.4,75507
2018-07-10,44.7,55730
2018-07-11,44.42,47074
2018-07-12,44.12,61619
2018-07-13,43.63,46247
2018-07-16,43.93,46499
2018-07-17,43.8,78636
2018-07-18,43.99,48124
2018-07-19,45.12,127505
2018-07-20,45.56,62556
2018-07-23,46.07,62589
2018-07-24,45.72,74459
2018-07-25,45.45,78940
2018-07-26,45.67,99464
2018-07-27,45.18,52713
2018-07-30,44.83,47255
2018-07-31,44.76,92166
2018-08-01,44.7,75041
2018-08-02,44.96,52164
2018-08-03,44.4,39365
2018-08-06,44.51,44800
2018-08-07,44.75,29827
2018-08-08,45.04,49177
2018-08-09,44.8,60892
2018-08-10,44.46,69220
2018-08-13,44.38,47403
2018-08-14,44.95,66839
2018-08-15,44.5,46227
2018-08-16,45.06,88282
2018-08-17,45.4,107898
2018-08-20,45.69,78562
2018-08-21,46.42,123310
2018-08-22,46.69,58783
2018-08-23,46.95,109153
2018-08-24,47.53,55584
2018-08-27,47.09,55787
2018-08-28,46.54,30522
2018-08-29,46.58,36690
2018-08-30,46.58,49632
2018-08-31,46.66,61502
2018-09-04,46.64,47784
2018-09-05,46.49,33873
2018-09-06,46.32,38197
2018-09-07,46.8,115626
2018-09-10,46.9,182938
2018-09-11,46.48,47131
2018-09-12,45.89,59129
2018-09-13,45.35,38812
2018-09-14,45.63,84155
2018-09-17,45.29,48239
2018-09-18,45.28,33637
2018-09-19,45.3,92276
2018-09-20,45.92,63924
2018-09-21,45.61,203203
2018-09-24,44.77,55013
2018-09-25,44.33,65102
2018-09-26,43.68,84022
2018-09-27,43.13,69613
2018-09-28,43.36,89314
2018-10-01,42.58,63781
2018-10-02,42.37,69069
2018-10-03,42.92,126881
2018-10-04,42.68,100612
2018-10-05,41.96,214090
2018-10-08,42.38,103957
2018-10-09,42.85,88980
2018-10-10,42.42,63993
2018-10-11,41.15,66245
2018-10-12,39.37,151357
2018-10-15,39.44,118100
2018-10-16,40.86,119796
2018-10-17,41.03,58127
2018-10-18,41.62,177757
2018-10-19,41.68,89641
2018-10-22,40.67,72939
2018-10-23,40.59,60919
2018-10-24,39.11,75811
2018-10-25,40.57,118823
2018-10-26,40.31,72528
2018-10-29,40.58,75028
2018-10-30,41.02,60344
2018-10-31,40.11,95237
2018-11-01,39.51,108698
2018-11-02,39.8,88147
2018-11-05,39.87,96307
2018-11-06,40.35,60553
2018-11-07,40.82,61966
2018-11-08,41.3,34940
2018-11-09,41.11,156808
2018-11-12,41.02,35858
2018-11-13,41.05,66449
2018-11-14,40.24,48980
2018-11-15,41.2,71565
2018-11-16,41.58,141704
2018-11-19,41.21,55498
2018-11-20,41.1,115866
2018-11-21,41.16,37982
2018-11-23,41.28,27444
2018-11-26,41.51,48934
2018-11-27,40.89,49793
2018-11-28,41.65,107477
2018-11-29,41.39,125507
2018-11-30,42.27,175548
2018-12-03,41.93,61625
2018-12-04,39.1,108702
2018-12-06,38.67,91896
2018-12-07,39.28,116314
2018-12-10,39.56,206563
2018-12-11,39.73,134819
2018-12-12,40.29,88159
2018-12-13,39.72,122288
2018-12-14,39.43,90099
2018-12-17,38.55,163676
2018-12-18,38.45,131165
2018-12-19,36.34,168540
2018-12-20,36.59,215364
2018-12-21,36.59,485740
2018-12-24,35.85,85589
2018-12-26,37.32,158048
2018-12-27,37.52,144953
2018-12-28,37.83,110685
2018-12-31,37.84,143414
2019-01-02,38.6,166729
2019-01-03,38.66,111447
2019-01-04,39.14,151593
2019-01-07,39.36,56053
2019-01-08,39.83,75472
2019-01-09,39.73,72614
2019-01-10,39.6,51478
2019-01-11,39.82,96609
2019-01-14,39.64,92151
2019-01-15,39.71,71675
2019-01-16,40.65,68622
2019-01-17,41.27,130108
2019-01-18,41.55,107626
2019-01-22,41.27,93136
2019-01-23,40.79,53915
2019-01-24,40.7,27406
2019-01-25,40.64,47535
2019-01-28,40.6,69739
2019-01-29,40.48,36442
2019-01-30,40.09,77508
2019-01-31,38.42,111373
2019-02-01,38.32,83871
2019-02-04,38.94,110077
2019-02-05,39.32,77303
2019-02-06,39.41,117126
2019-02-07,39.4,154463
2019-02-08,39.52,60737
2019-02-11,39.95,46674
2019-02-12,40.11,59005
2019-02-13,40.03,50904
2019-02-14,39.92,95256
2019-02-15,40.52,86404
2019-02-19,41.24,58004
2019-02-20,41.74,92065
2019-02-21,41.53,43459
2019-02-22,41.42,61622
2019-02-25,41.29,85498
2019-02-26,40.82,68372
2019-02-27,41.26,53080
2019-02-28,41.38,55086
2019-03-01,41.36,60737
2019-03-04,41.04,83421
2019-03-05,40.7,58108
2019-03-06,39.36,108275
2019-03-07,38.79,138244
2019-03-08,39.41,134624
2019-03-11,39.91,85210
2019-03-12,39.66,90935
2019-03-13,39.91,92924
2019-03-14,40.05,86263
2019-03-15,40.35,279335
2019-03-18,40.74,92994
2019-03-19,39.97,117357
2019-03-20,38.9,149045
2019-03-21,39.18,132579
2019-03-22,37.33,150068
2019-03-25,38.06,148147
2019-03-26,39.31,144801
2019-03-27,39.24,139498
2019-03-28,39.67,134760
2019-03-29,39.53,114274
2019-04-01,40.1,105787
2019-04-02,39.98,156396
2019-04-03,39.43,105099
2019-04-04,39.58,81715
2019-04-05,39.77,164457
2019-04-08,39.63,132995
2019-04-09,39.23,71080
2019-04-10,39.99,100676
2019-04-11,40.15,54686
2019-04-12,40.4,76230
2019-04-15,39.89,37626
2019-04-16,40.81,59647
2019-04-17,40.64,70752
2019-04-18,38.16,152984
2019-04-22,38.37,153111
2019-04-23,39.06,133730
2019-04-24,39.31,68273
2019-04-25,38.99,66177
2019-04-26,39.44,44143
2019-04-29,39.99,80166
2019-04-30,40.08,123244
2019-05-01,39.44,252502
2019-05-02,39.74,69353
2019-05-03,40.58,80522
2019-05-06,40.95,77320
2019-05-07,40.28,65063
2019-05-08,39.83,44933
2019-05-09,39.99,49189
2019-05-10,40.11,51779
2019-05-13,38.64,52894
2019-05-14,39.14,41994
2019-05-15,38.65,38120
2019-05-16,39.06,45474
2019-05-17,38.75,80171
2019-05-20,39.18,49667
2019-05-21,39.32,49868
2019-05-22,39.09,74529
2019-05-23,38.26,77390
2019-05-24,39.04,45793
2019-05-28,38.38,45376
2019-05-29,38.5,113035
2019-05-30,38.07,127767
2019-05-31,37.7,128208
2019-06-03,37.67,119474
2019-06-04,38.75,63731
2019-06-05,38.15,127946
2019-06-06,36.83,365897
2019-06-07,36.9,164943
2019-06-10,37.37,103660
2019-06-11,37.47,93559
2019-06-12,37.73,130656
2019-06-13,37.74,83517
2019-06-14,37.58,108401
2019-06-17,37.22,130908
2019-06-18,37.79,99880
2019-06-19,37.42,132027
2019-06-20,37.34,135362
2019-06-21,37.1,234399
2019-06-24,36.77,109942
2019-06-25,36.82,122227
2019-06-26,36.51,136852
2019-06-27,37.16,222735
2019-06-28,37.48,364662
2019-07-01,37.85,183905
2019-07-02,37.66,99146
2019-07-03,37.81,39309
2019-07-05,38.0,121249
2019-07-08,37.81,110175
2019-07-09,37.82,79520
2019-07-10,37.44,76014
2019-07-11,37.61,81305
2019-07-12,37.69,129372
2019-07-15,37.12,59709
2019-07-16,36.97,65903
2019-07-17,37.02,78054
2019-07-18,37.61,123964
2019-07-19,37.34,131491
