date,close,volume
2018-04-25,30.1,1600
2018-04-26,30.1,0
2018-04-27,30.1,0
2018-04-30,30.1,0
2018-05-01,30.12,316
2018-05-02,30.12,0
2018-05-03,30.13,1050
2018-05-04,30.15,2400
2018-05-07,30.15,200
2018-05-08,30.05,4500
2018-05-09,30.15,973
2018-05-10,30.15,8
2018-05-11,30.05,100
2018-05-14,30.15,2500
2018-05-15,30.15,196
2018-05-16,30.23,1621
2018-05-17,30.15,665
2018-05-18,30.15,5914
2018-05-21,30.2,420
2018-05-22,31.05,23067
2018-05-23,31.3,2337
2018-05-24,31.5,600
2018-05-25,31.75,2876
2018-05-29,31.05,282
2018-05-30,31.05,0
2018-05-31,31.6,102
2018-06-01,31.05,3877
2018-06-04,31.0,104
2018-06-05,30.55,950
2018-06-06,30.9,2951
2018-06-07,30.9,0
2018-06-08,30.23,4284
2018-06-11,30.23,0
2018-06-12,30.21,3284
2018-06-13,30.52,7469
2018-06-14,30.52,0
2018-06-15,30.65,300
2018-06-18,30.44,3232
2018-06-19,30.49,200
2018-06-20,30.25,220
2018-06-21,30.96,2589
2018-06-22,30.5,1971
2018-06-25,30.34,6101
2018-06-26,30.39,609
2018-06-27,30.39,17
2018-06-28,30.26,996
2018-06-29,30.26,0
2018-07-02,30.18,2684
2018-07-03,30.18,0
2018-07-05,30.18,2100
2018-07-06,30.61,100
2018-07-09,30.75,1208
2018-07-10,30.35,1947
2018-07-11,30.35,0
2018-07-12,30.35,0
2018-07-13,30.35,1
2018-07-16,30.56,165
2018-07-17,30.56,0
2018-07-18,30.56,3
2018-07-19,30.56,0
2018-07-20,30.56,51
2018-07-23,30.56,83
2018-07-24,30.74,7551
2018-07-25,30.28,9233
2018-07-26,30.28,0
2018-07-27,30.3,5694
2018-07-30,30.45,6000
2018-07-31,30.57,1168
2018-08-01,30.5,258
2018-08-02,30.5,1
2018-08-03,30.36,10442
2018-08-06,30.35,11400
2018-08-07,30.35,500
2018-08-08,30.15,12112
2018-08-09,30.08,6500
2018-08-10,30.08,1400
2018-08-13,30.08,0
2018-08-14,30.02,5884
2018-08-15,30.35,100
2018-08-16,30.35,436
2018-08-17,30.4,730
2018-08-20,30.4,165
2018-08-21,30.08,8557
2018-08-22,30.25,2940
2018-08-23,30.32,211
2018-08-24,30.35,1014
2018-08-27,31.15,3979
2018-08-28,31.15,2156
2018-08-29,31.15,100
2018-08-30,31.15,2760
2018-08-31,30.88,2520
2018-09-04,30.7,2459
2018-09-05,31.15,3138
2018-09-06,31.15,0
2018-09-07,31.0,100
2018-09-10,34.89,18924
2018-09-11,32.81,36584
2018-09-12,34.5,14025
2018-09-13,34.0,13648
2018-09-14,32.72,13219
2018-09-17,34.33,22820
