date,close,volume
2018-09-27,15.2,2703197
2018-09-28,15.0,213390
2018-10-01,14.65,133064
2018-10-02,14.8,71866
2018-10-03,14.77,151464
2018-10-04,14.66,102400
2018-10-05,14.85,47157
2018-10-08,14.66,39509
2018-10-09,14.85,36655
2018-10-10,14.69,29301
2018-10-11,14.43,118208
2018-10-12,14.39,85739
2018-10-15,14.42,8604
2018-10-16,14.41,10095
2018-10-17,14.4,23196
2018-10-18,14.55,43569
2018-10-19,14.53,33799
2018-10-22,14.48,80327
2018-10-23,14.12,85792
2018-10-24,14.0,83887
2018-10-25,13.85,127996
2018-10-26,13.54,57927
2018-10-29,12.97,29721
2018-10-30,12.35,15809
2018-10-31,11.88,24734
2018-11-01,11.99,35354
2018-11-02,12.1,36701
2018-11-05,11.75,24333
2018-11-06,12.11,80181
2018-11-07,13.0,23012
2018-11-08,14.23,32432
2018-11-09,13.41,48716
2018-11-12,13.57,11848
2018-11-13,13.3,24025
2018-11-14,11.62,74300
2018-11-15,12.63,33294
2018-11-16,12.49,42152
2018-11-19,11.56,112074
2018-11-20,9.93,104293
2018-11-21,9.92,25934
2018-11-23,10.81,28044
2018-11-26,10.85,63847
2018-11-27,10.08,32505
2018-11-28,10.29,21244
2018-11-29,10.58,28658
2018-11-30,10.49,160149
2018-12-03,11.1,128970
2018-12-04,10.22,34626
2018-12-06,10.04,26311
2018-12-07,10.27,34379
2018-12-10,11.96,32467
2018-12-11,10.13,56025
2018-12-12,10.1,50894
2018-12-13,10.2,57219
2018-12-14,10.22,75588
2018-12-17,10.1,66371
2018-12-18,9.75,63172
2018-12-19,9.75,42363
2018-12-20,9.11,61604
2018-12-21,8.99,607389
2018-12-24,9.0,32874
2018-12-26,9.52,25510
2018-12-27,9.19,62671
2018-12-28,8.69,19522
2018-12-31,9.02,32554
2019-01-02,10.09,36000
2019-01-03,9.2,57398
2019-01-04,11.21,85485
2019-01-07,11.54,63722
2019-01-08,11.71,24430
2019-01-09,11.87,46628
2019-01-10,11.59,9425
2019-01-11,10.82,11981
2019-01-14,9.61,57042
2019-01-15,10.68,19100
2019-01-16,10.52,41859
2019-01-17,9.77,17105
2019-01-18,10.0,13812
2019-01-22,9.76,6705
2019-01-23,10.5,13685
2019-01-24,10.17,3738
2019-01-25,10.55,5213
2019-01-28,10.37,7628
2019-01-29,10.45,5136
2019-01-30,10.68,5311
2019-01-31,10.58,7796
2019-02-01,10.63,7734
2019-02-04,10.73,55222
2019-02-05,10.66,22248
2019-02-06,10.54,18204
2019-02-07,10.46,6352
2019-02-08,10.42,14805
2019-02-11,11.27,19530
2019-02-12,10.9,16482
2019-02-13,10.4,27081
2019-02-14,9.69,34251
2019-02-15,9.86,16798
2019-02-19,10.32,6334
2019-02-20,10.03,8954
2019-02-21,10.1,9461
2019-02-22,10.64,7977
2019-02-25,10.03,7481
2019-02-26,9.62,18995
2019-02-27,9.01,24107
2019-02-28,8.8,14436
2019-03-01,8.86,106048
2019-03-04,9.05,12144
2019-03-05,8.98,23129
2019-03-06,8.86,34100
2019-03-07,8.9,9716
2019-03-08,9.4,174775
2019-03-11,10.44,62072
2019-03-12,10.45,46490
2019-03-13,11.18,40714
2019-03-14,11.09,17522
2019-03-15,11.45,45620
2019-03-18,11.24,45575
2019-03-19,11.39,17651
2019-03-20,11.29,14835
2019-03-21,11.07,13720
2019-03-22,10.74,17250
2019-03-25,10.82,8611
2019-03-26,10.84,11078
2019-03-27,10.58,6823
2019-03-28,10.71,6532
2019-03-29,11.39,52487
2019-04-01,11.59,15313
2019-04-02,12.0,41144
2019-04-03,11.69,15779
2019-04-04,11.46,19420
2019-04-05,11.25,11501
2019-04-08,11.26,8979
2019-04-09,11.0,4471
2019-04-10,10.99,15066
2019-04-11,11.44,62095
2019-04-12,11.77,10622
2019-04-15,11.79,4953
2019-04-16,11.36,4969
2019-04-17,10.69,10229
2019-04-18,10.37,24606
2019-04-22,9.9,31191
2019-04-23,10.06,39210
2019-04-24,10.03,19299
2019-04-25,10.2,4602
2019-04-26,9.69,23498
2019-04-29,10.1,21631
2019-04-30,9.98,14391
2019-05-01,9.95,2408
2019-05-02,10.03,7907
2019-05-03,10.2,8500
2019-05-06,10.31,4765
2019-05-07,10.34,12806
2019-05-08,10.4,3183
2019-05-09,10.72,9471
2019-05-10,11.5,5542
2019-05-13,10.92,22757
2019-05-14,11.0,8159
2019-05-15,10.15,17184
2019-05-16,10.16,7875
2019-05-17,9.75,16776
2019-05-20,10.13,26866
2019-05-21,10.49,16882
2019-05-22,10.55,5140
2019-05-23,10.21,8645
2019-05-24,10.37,6033
2019-05-28,10.71,4601
2019-05-29,10.9,16215
2019-05-30,11.34,38102
2019-05-31,11.45,36619
2019-06-03,12.23,38981
2019-06-04,11.65,29077
2019-06-05,11.63,44736
2019-06-06,11.81,35924
2019-06-07,11.92,42052
2019-06-10,11.99,111125
2019-06-11,12.08,297906
2019-06-12,12.09,41801
2019-06-13,11.49,53770
2019-06-14,11.2,99858
2019-06-17,11.12,45411
2019-06-18,11.89,53232
2019-06-19,11.87,40243
2019-06-20,11.57,27911
2019-06-21,11.87,54515
2019-06-24,11.68,61740
2019-06-25,11.67,39652
2019-06-26,11.52,23648
2019-06-27,11.34,32547
2019-06-28,11.38,682693
2019-07-01,11.75,32086
2019-07-02,11.62,11105
2019-07-03,11.21,12120
2019-07-05,11.76,11478
2019-07-08,11.42,11827
2019-07-09,11.47,13001
2019-07-10,11.48,10810
2019-07-11,11.54,17314
2019-07-12,11.64,13355
2019-07-15,11.42,9643
2019-07-16,11.37,6564
2019-07-17,11.03,46343
2019-07-18,11.17,58125
2019-07-19,11.16,36375
2019-07-22,11.14,11583
2019-07-23,11.03,4343
2019-07-24,11.06,58235
2019-07-25,11.12,9593
2019-07-26,11.04,40858
2019-07-29,11.37,41896
2019-07-30,11.41,30430
2019-07-31,11.27,42792
2019-08-01,11.3,6604
2019-08-02,11.0,7988
2019-08-05,10.08,10696
2019-08-06,10.0,12576
2019-08-07,10.02,6376
2019-08-08,10.25,8930
2019-08-09,10.06,9922
2019-08-12,9.67,7454
2019-08-13,9.2,14668
2019-08-14,8.56,36923
2019-08-15,8.56,64763
2019-08-16,8.7,26229
2019-08-19,8.85,24792
2019-08-20,8.49,338100
2019-08-21,8.43,42168
2019-08-22,8.3,16311
2019-08-23,8.12,30039
2019-08-26,8.13,11184
2019-08-27,8.65,32789
2019-08-28,8.16,12225
2019-08-29,7.91,74459
2019-08-30,8.07,160885
2019-09-03,7.91,41978
2019-09-04,8.01,12909
2019-09-05,8.63,20391
2019-09-06,9.5,154805
2019-09-09,9.45,96711
2019-09-10,8.78,139807
2019-09-11,9.77,85602
2019-09-12,10.63,50427
2019-09-13,11.0,54404
2019-09-16,10.66,121614
2019-09-17,11.01,127502
2019-09-18,10.88,77675
2019-09-19,10.7,105310
2019-09-20,10.6,145182
2019-09-23,10.73,78056
2019-09-24,9.96,168874
2019-09-25,9.84,53680
2019-09-26,9.74,115183
2019-09-27,9.33,98750
2019-09-30,9.09,61041
2019-10-01,8.69,28246
2019-10-02,8.15,39195
2019-10-03,8.23,36330
2019-10-04,8.43,13378
2019-10-07,8.93,128547
2019-10-08,9.27,25743
2019-10-09,9.12,26702
2019-10-10,9.27,34108
2019-10-11,9.48,68178
2019-10-14,9.34,31135
2019-10-15,9.42,19178
2019-10-16,9.46,14924
2019-10-17,9.95,68750
2019-10-18,9.98,75494
2019-10-21,10.96,89471
2019-10-22,10.37,64179
2019-10-23,10.08,13327
2019-10-24,9.66,35825
2019-10-25,9.51,14310
2019-10-28,9.94,32002
2019-10-29,10.1,31365
2019-10-30,9.88,16293
2019-10-31,10.03,36202
2019-11-01,10.43,14104
2019-11-04,10.36,30040
2019-11-05,10.45,5345
2019-11-06,10.38,2742
2019-11-07,10.93,44505
2019-11-08,10.98,20655
2019-11-11,10.81,10936
2019-11-12,10.77,13294
2019-11-13,10.8,25030
2019-11-14,10.83,15766
2019-11-15,10.78,15191
