date,close,volume
2018-04-25,100.89,1548729
2018-04-26,100.59,1230977
2018-04-27,100.26,1112216
2018-04-30,99.78,1768521
2018-05-01,98.4,1403551
2018-05-02,97.74,1517741
2018-05-03,96.4,1470703
2018-05-04,97.75,1121654
2018-05-07,98.5,1442873
2018-05-08,99.3,1184416
2018-05-09,101.11,1184074
2018-05-10,101.78,1015089
2018-05-11,102.01,1298208
2018-05-14,102.31,908292
2018-05-15,101.21,1328833
2018-05-16,101.1,1052832
2018-05-17,101.24,1085265
2018-05-18,99.32,1708075
2018-05-21,99.99,1238201
2018-05-22,100.33,1419307
2018-05-23,100.42,1499941
2018-05-24,100.71,1814953
2018-05-25,100.47,1027605
2018-05-29,95.08,2550983
2018-05-30,97.42,1869831
2018-05-31,96.11,1491574
2018-06-01,98.45,1474323
2018-06-04,98.41,939169
2018-06-05,97.81,1410678
2018-06-06,99.49,1961113
2018-06-07,100.85,1317277
2018-06-08,100.46,1964373
2018-06-11,100.24,1303480
2018-06-12,99.42,1405530
2018-06-13,98.36,1291887
2018-06-14,98.26,1758127
2018-06-15,98.34,2185172
2018-06-18,98.66,1523640
2018-06-19,97.74,1361876
2018-06-20,97.73,1187707
2018-06-21,98.19,1564673
2018-06-22,98.14,3008395
2018-06-25,95.92,2324702
2018-06-26,95.6,1890719
2018-06-27,93.99,2550113
2018-06-28,94.26,1666114
2018-06-29,93.09,2287054
2018-07-02,94.02,2317120
2018-07-03,92.92,665040
2018-07-05,92.43,1328331
2018-07-06,92.75,1522925
2018-07-09,94.47,1680696
2018-07-10,93.77,1198479
2018-07-11,92.7,2504008
2018-07-12,92.86,1407613
2018-07-13,92.44,1813793
2018-07-16,93.2,1718130
2018-07-17,93.45,2906996
2018-07-18,95.33,1925476
2018-07-19,92.74,2608717
2018-07-20,85.87,10826263
2018-07-23,87.02,5577098
2018-07-24,87.75,4075124
2018-07-25,87.21,2739152
2018-07-26,86.93,1988501
2018-07-27,87.0,7068979
2018-07-30,87.22,4029224
2018-07-31,88.31,3870624
2018-08-01,87.27,5193854
2018-08-02,86.83,3198624
2018-08-03,86.88,2463715
2018-08-06,86.94,1944698
2018-08-07,87.06,1976118
2018-08-08,86.73,1865871
2018-08-09,85.8,2076665
2018-08-10,83.99,2504218
2018-08-13,82.85,2354278
2018-08-14,83.88,2990603
2018-08-15,82.92,2598830
2018-08-16,84.21,2104643
2018-08-17,84.96,2174792
2018-08-20,85.37,1830717
2018-08-21,86.18,2639642
2018-08-22,85.93,1515410
2018-08-23,85.36,1790971
2018-08-24,86.12,1378848
2018-08-27,87.06,1864709
2018-08-28,87.99,3646724
2018-08-29,87.84,2133764
2018-08-30,86.72,2285202
2018-08-31,86.91,1507222
2018-09-04,87.6,2982114
2018-09-05,87.26,2233366
2018-09-06,86.41,1845766
2018-09-07,86.38,1387119
2018-09-10,87.1,1691391
2018-09-11,86.86,1801866
2018-09-12,86.55,2158734
2018-09-13,86.4,3194238
2018-09-14,87.29,2313105
2018-09-17,85.88,1942894
2018-09-18,85.62,2308361
2018-09-19,87.92,2864782
2018-09-20,89.57,2822449
2018-09-21,88.77,6206313
2018-09-24,87.05,1909155
2018-09-25,86.85,2468027
2018-09-26,86.21,2750841
2018-09-27,85.69,1746437
2018-09-28,83.78,2962041
2018-10-01,85.51,2773716
2018-10-02,85.45,2116654
2018-10-03,86.09,2478958
2018-10-04,86.91,3278405
2018-10-05,86.37,2260020
2018-10-08,87.14,2061122
2018-10-09,86.36,2949740
2018-10-10,82.87,3502433
2018-10-11,81.73,4643132
2018-10-12,81.46,3084614
2018-10-15,81.2,1428216
2018-10-16,82.27,1866351
2018-10-17,82.15,2318739
2018-10-18,79.7,2905337
2018-10-19,72.9,11313908
2018-10-22,70.81,5037217
2018-10-23,69.72,4794588
2018-10-24,67.29,3106103
2018-10-25,68.05,4590775
2018-10-26,66.39,5182225
2018-10-29,66.41,4033441
2018-10-30,67.74,4097006
2018-10-31,68.75,6235588
2018-11-01,69.96,4231985
2018-11-02,69.98,4359551
2018-11-05,71.91,2668491
2018-11-06,72.02,2151830
2018-11-07,73.98,3289836
2018-11-08,73.34,2280844
2018-11-09,72.25,1928588
2018-11-12,70.86,1611810
2018-11-13,71.02,1371283
2018-11-14,70.34,1630207
2018-11-15,71.86,1657164
2018-11-16,71.65,1983187
2018-11-19,71.77,1884983
2018-11-20,71.19,3287489
2018-11-21,72.09,2561072
2018-11-23,71.89,1071987
2018-11-26,73.92,1940319
2018-11-27,72.7,2424028
2018-11-28,74.38,1897756
2018-11-29,72.37,2950042
2018-11-30,73.02,3238053
2018-12-03,73.15,2312300
2018-12-04,67.81,3981951
2018-12-06,65.9,5425064
2018-12-07,65.04,4190104
2018-12-10,64.03,2277289
2018-12-11,63.09,2791208
2018-12-12,63.43,3815983
2018-12-13,63.19,3359760
2018-12-14,63.53,3964282
2018-12-17,63.89,3375872
2018-12-18,61.69,5225146
2018-12-19,59.88,6816935
2018-12-20,60.4,4067708
2018-12-21,60.17,5719475
2018-12-24,59.78,1832242
2018-12-26,62.85,3318779
2018-12-27,63.22,2470145
2018-12-28,63.48,2635586
2018-12-31,63.07,2534289
2019-01-02,63.93,2420466
2019-01-03,61.85,3935413
2019-01-04,64.19,4080579
2019-01-07,64.99,4119868
2019-01-08,65.27,2783996
2019-01-09,66.78,2882849
2019-01-10,66.51,2699901
2019-01-11,67.01,1840637
2019-01-14,68.46,3020170
2019-01-15,68.66,2201928
2019-01-16,70.47,2990515
2019-01-17,71.05,4718314
2019-01-18,71.3,10251695
2019-01-22,70.59,4663212
2019-01-23,70.82,2470195
2019-01-24,71.32,2977322
2019-01-25,72.64,2003091
2019-01-28,71.53,3198243
2019-01-29,70.63,2931888
2019-01-30,71.02,3053047
2019-01-31,70.9,3851334
2019-02-01,71.17,2856713
2019-02-04,71.1,3758357
2019-02-05,70.91,1874094
2019-02-06,70.24,3692141
2019-02-07,69.76,4183228
2019-02-08,68.96,2686204
2019-02-11,68.79,3035241
2019-02-12,69.51,4201828
2019-02-13,69.49,3827300
2019-02-14,68.66,2352815
2019-02-15,70.66,3620622
2019-02-19,71.37,2308582
2019-02-20,72.24,2366336
2019-02-21,72.18,2256154
2019-02-22,72.4,2482500
2019-02-25,72.47,3278771
2019-02-26,72.65,2633099
2019-02-27,72.44,1700683
2019-02-28,71.87,1806203
2019-03-01,72.8,2362699
2019-03-04,71.49,1840058
2019-03-05,71.53,1583687
2019-03-06,70.5,1166850
2019-03-07,68.38,3059683
2019-03-08,68.1,2059527
2019-03-11,68.69,1853080
2019-03-12,69.0,1926225
2019-03-13,69.85,1620698
2019-03-14,70.29,1918150
2019-03-15,70.1,4438338
2019-03-18,70.82,1946394
2019-03-19,70.16,1484588
2019-03-20,68.26,2863374
2019-03-21,68.08,1936850
2019-03-22,65.0,3144850
2019-03-25,64.88,1855198
2019-03-26,66.18,1397795
2019-03-27,65.52,1782216
2019-03-28,66.27,1549019
2019-03-29,65.81,2106213
2019-04-01,67.59,2491788
2019-04-02,67.21,1322859
2019-04-03,68.03,1179311
2019-04-04,68.64,1000280
2019-04-05,68.57,1125692
2019-04-08,69.15,970637
2019-04-09,68.43,1358835
2019-04-10,69.0,1477299
2019-04-11,69.52,1285015
2019-04-12,71.03,1626845
2019-04-15,70.12,1163471
2019-04-16,71.71,1103112
2019-04-17,69.63,2361442
2019-04-18,69.96,1799076
2019-04-22,69.9,2216956
2019-04-23,66.86,6216859
2019-04-24,66.13,2561061
