date,close,volume
2018-04-25,23.58,5018
2018-04-26,23.68,13072
2018-04-27,23.85,7270
2018-04-30,23.99,5948
2018-05-01,23.92,6213
2018-05-02,23.95,12629
2018-05-03,23.8,15257
2018-05-04,23.55,17287
2018-05-07,23.59,9891
2018-05-08,23.81,13052
2018-05-09,23.73,18093
2018-05-10,23.85,58612
2018-05-11,24.05,237667
2018-05-14,24.07,3419
2018-05-15,24.23,5269
2018-05-16,24.44,5370
2018-05-17,24.44,4672
2018-05-18,24.23,7403
2018-05-21,24.36,2959
2018-05-22,24.57,15621
2018-05-23,24.4,38846
2018-05-24,24.64,3826
2018-05-25,24.06,30034
2018-05-29,23.8,15194
2018-05-30,24.05,8848
2018-05-31,24.23,9431
2018-06-01,24.72,11418
2018-06-04,24.66,7075
2018-06-05,24.88,109512
2018-06-06,25.14,317010
2018-06-07,24.68,45581
2018-06-08,24.96,49184
2018-06-11,25.25,31041
2018-06-12,24.83,29211
2018-06-13,25.09,256129
2018-06-14,25.0,6008
2018-06-15,24.81,6348
2018-06-18,24.68,4712
2018-06-19,23.7,53760
2018-06-20,23.8,3822
2018-06-21,23.31,3672
2018-06-22,24.05,17386
2018-06-25,23.09,13722
2018-06-26,23.23,23536
2018-06-27,22.95,7503
2018-06-28,22.84,9335
2018-06-29,23.62,12322
2018-07-02,23.37,12394
2018-07-03,23.12,3767
2018-07-05,22.77,8749
2018-07-06,22.84,10369
2018-07-09,23.11,12210
2018-07-10,23.43,18386
2018-07-11,22.88,7404
2018-07-12,22.79,9738
2018-07-13,23.09,8338
2018-07-16,23.2,9809
2018-07-17,23.72,14526
2018-07-18,23.56,8788
2018-07-19,23.61,4390
2018-07-20,24.0,4709
2018-07-23,23.65,13897
2018-07-24,23.5,8327
2018-07-25,23.69,24875
2018-07-26,23.35,7876
2018-07-27,22.94,2481
2018-07-30,22.7,7351
2018-07-31,22.45,21723
2018-08-01,22.39,13220
2018-08-02,22.03,196736
2018-08-03,22.29,61364
2018-08-06,22.13,4393
2018-08-07,22.48,25025
2018-08-08,22.5,8550
2018-08-09,22.58,4454
2018-08-10,21.93,6188
2018-08-13,21.8,11004
2018-08-14,21.97,87349
2018-08-15,21.29,11071
2018-08-16,21.31,9550
2018-08-17,21.24,7205
2018-08-20,21.62,12102
2018-08-21,21.51,23105
2018-08-22,21.65,17108
2018-08-23,21.57,10151
2018-08-24,21.93,27626
2018-08-27,22.14,26488
2018-08-28,22.64,67487
2018-08-29,22.44,3087
2018-08-30,21.93,6733
2018-08-31,21.29,5603
2018-09-04,20.18,6714
2018-09-05,19.82,49941
2018-09-06,19.94,8653
2018-09-07,19.8,12090
2018-09-10,19.85,17027
2018-09-11,19.74,169836
2018-09-12,19.68,34686
2018-09-13,19.66,24097
2018-09-14,19.82,6507
2018-09-17,19.82,27227
2018-09-18,19.93,32251
2018-09-19,19.9,13379
2018-09-20,20.34,18386
2018-09-21,20.45,12519
2018-09-24,20.12,9995
2018-09-25,20.24,18233
2018-09-26,20.32,22251
2018-09-27,19.96,9318
2018-09-28,19.82,5107
2018-10-01,19.95,14304
2018-10-02,19.38,27166
2018-10-03,19.48,16576
2018-10-04,18.83,13974
2018-10-05,18.68,53958
2018-10-08,18.32,13990
2018-10-09,18.31,55894
2018-10-10,17.14,23382
2018-10-11,17.0,143825
2018-10-12,17.18,433611
2018-10-15,17.12,195129
2018-10-16,17.5,82415
2018-10-17,17.34,59123
2018-10-18,16.66,60316
2018-10-19,16.36,43336
2018-10-22,16.32,199740
2018-10-23,16.27,114782
2018-10-24,15.72,68424
2018-10-25,16.18,44418
2018-10-26,16.38,120991
2018-10-29,16.29,65091
2018-10-30,16.56,53679
2018-10-31,16.85,41752
2018-11-01,16.95,45743
2018-11-02,17.59,14039
2018-11-05,17.14,17199
2018-11-06,17.22,74740
2018-11-07,17.28,148132
2018-11-08,16.85,22598
2018-11-09,16.0,20212
2018-11-12,15.93,33246
2018-11-13,16.0,279764
2018-11-14,16.08,53106
2018-11-15,15.94,87163
2018-11-16,15.75,35952
2018-11-19,15.21,36652
2018-11-20,14.99,176328
2018-11-21,14.96,50002
2018-11-23,14.93,25207
2018-11-26,15.27,33293
2018-11-27,15.08,90839
2018-11-28,15.33,41000
2018-11-29,15.05,31956
2018-11-30,14.88,30079
2018-12-03,15.55,40908
2018-12-04,14.99,118211
2018-12-06,14.9,72106
2018-12-07,14.55,59195
2018-12-10,14.37,177603
2018-12-11,14.56,310509
2018-12-12,15.05,73697
2018-12-13,14.93,62092
2018-12-14,14.42,79626
2018-12-17,14.05,106974
2018-12-18,14.19,92789
2018-12-19,14.3,69275
2018-12-20,14.12,95360
2018-12-21,14.16,119653
2018-12-24,14.0,48134
2018-12-26,14.3,66891
2018-12-27,14.24,94725
2018-12-28,14.57,88150
2018-12-31,14.58,143949
2019-01-02,14.49,22719
