date,close,volume
2018-04-25,30.14,99303
2018-04-26,31.09,101306
2018-04-27,31.71,65814
2018-04-30,31.43,81511
2018-05-01,31.37,54252
2018-05-02,30.67,138843
2018-05-03,30.33,40804
2018-05-04,30.67,49461
2018-05-07,30.48,39322
2018-05-08,30.55,74989
2018-05-09,30.96,57969
2018-05-10,31.09,36409
2018-05-11,31.12,25272
2018-05-14,30.74,59662
2018-05-15,30.46,43765
2018-05-16,31.02,61810
2018-05-17,31.64,44649
2018-05-18,31.69,52550
2018-05-21,32.36,67113
2018-05-22,32.17,58036
2018-05-23,32.65,48490
2018-05-24,33.02,56739
2018-05-25,33.09,42341
2018-05-29,32.77,55339
2018-05-30,32.94,46512
2018-05-31,33.02,67736
2018-06-01,33.32,80365
2018-06-04,33.4,89502
2018-06-05,33.9,72657
2018-06-06,34.17,86467
2018-06-07,34.55,73163
2018-06-08,34.74,81736
2018-06-11,36.28,86614
2018-06-12,36.54,98877
2018-06-13,36.81,71863
2018-06-14,37.12,75299
2018-06-15,37.8,123871
2018-06-18,39.39,97172
2018-06-19,35.42,302153
2018-06-20,35.22,129901
2018-06-21,35.66,134092
2018-06-22,34.31,222330
2018-06-25,33.89,90612
2018-06-26,34.31,67935
2018-06-27,34.31,66844
2018-06-28,34.77,57542
2018-06-29,34.33,164360
2018-07-02,35.11,108351
2018-07-03,35.74,56675
2018-07-05,35.56,62925
2018-07-06,35.46,62146
2018-07-09,35.92,112883
2018-07-10,36.0,71451
2018-07-11,37.36,146419
2018-07-12,38.44,92680
2018-07-13,39.66,96586
2018-07-16,40.49,95848
2018-07-17,42.19,115705
2018-07-18,43.0,197096
2018-07-19,43.67,154982
2018-07-20,44.37,157319
2018-07-23,46.01,155095
2018-07-24,45.83,212372
2018-07-25,45.79,74853
2018-07-26,45.98,125653
2018-07-27,45.6,132791
2018-07-30,43.8,230733
2018-07-31,44.72,156279
2018-08-01,46.04,208146
2018-08-02,40.58,190697
2018-08-03,38.13,231473
2018-08-06,37.76,107829
2018-08-07,37.57,110478
2018-08-08,37.05,124711
2018-08-09,36.67,102783
2018-08-10,35.79,192580
2018-08-13,36.51,133242
2018-08-14,37.16,124862
2018-08-15,35.09,110499
2018-08-16,36.5,118979
2018-08-17,36.76,165157
2018-08-20,36.11,64455
2018-08-21,35.98,87931
2018-08-22,38.82,162726
2018-08-23,37.57,140118
2018-08-24,37.35,75451
2018-08-27,36.82,119679
2018-08-28,37.16,85168
2018-08-29,36.84,100342
2018-08-30,36.58,68283
2018-08-31,36.5,67088
2018-09-04,36.98,99478
2018-09-05,36.74,47283
2018-09-06,36.51,48828
2018-09-07,36.06,55918
2018-09-10,35.95,122579
2018-09-11,35.93,53907
2018-09-12,35.72,46880
2018-09-13,35.41,48018
2018-09-14,35.3,53964
2018-09-17,34.81,87560
2018-09-18,34.96,61515
2018-09-19,34.72,42972
2018-09-20,35.0,38205
2018-09-21,34.8,161799
2018-09-24,34.11,79074
2018-09-25,33.66,111970
2018-09-26,32.97,89276
2018-09-27,32.6,76820
2018-09-28,32.94,167992
2018-10-01,32.59,93938
2018-10-02,31.66,74305
2018-10-03,31.92,67335
2018-10-04,31.59,96624
2018-10-05,30.89,227831
2018-10-08,30.95,77779
2018-10-09,30.95,97169
2018-10-10,29.41,98516
2018-10-11,28.76,66139
2018-10-12,28.77,66819
2018-10-15,28.56,62028
2018-10-16,29.3,90797
2018-10-17,28.59,103711
2018-10-18,27.59,62299
2018-10-19,27.21,81223
2018-10-22,27.09,82078
2018-10-23,26.65,83380
2018-10-24,25.82,60588
2018-10-25,26.06,65863
2018-10-26,25.66,71579
2018-10-29,25.82,110176
2018-10-30,26.3,67838
2018-10-31,32.31,193888
2018-11-01,30.85,156933
2018-11-02,30.91,134974
2018-11-05,29.21,94042
2018-11-06,28.96,110351
2018-11-07,28.68,96419
2018-11-08,28.59,47112
2018-11-09,28.02,70636
2018-11-12,27.62,65609
2018-11-13,27.67,86833
2018-11-14,27.96,82371
2018-11-15,28.9,53246
2018-11-16,28.41,64945
2018-11-19,28.03,45946
2018-11-20,27.24,59377
2018-11-21,27.27,28175
2018-11-23,27.26,19118
2018-11-26,27.63,61710
2018-11-27,26.91,53046
2018-11-28,28.49,112318
2018-11-29,28.04,59028
2018-11-30,27.89,61841
2018-12-03,28.8,80844
2018-12-04,28.08,88721
2018-12-06,26.87,88176
2018-12-07,26.02,53759
2018-12-10,30.35,264362
2018-12-11,29.76,267811
2018-12-12,31.84,324332
2018-12-13,30.78,257613
2018-12-14,30.2,106205
2018-12-17,29.36,195200
2018-12-18,30.05,139758
2018-12-19,30.03,158842
2018-12-20,31.56,320264
2018-12-21,23.81,333265
2018-12-24,22.69,122697
2018-12-26,23.6,122794
2018-12-27,23.35,100109
2018-12-28,23.59,114429
2018-12-31,23.89,163222
2019-01-02,24.59,105133
2019-01-03,23.19,127185
2019-01-04,23.14,114860
2019-01-07,23.1,112223
2019-01-08,23.32,90690
2019-01-09,23.18,53789
2019-01-10,23.03,61471
2019-01-11,23.46,72222
2019-01-14,23.98,99573
2019-01-15,24.35,130431
2019-01-16,23.72,83847
2019-01-17,23.75,94978
2019-01-18,24.19,62012
2019-01-22,24.5,82655
2019-01-23,23.75,77730
2019-01-24,23.67,62117
2019-01-25,23.87,55983
2019-01-28,23.18,75871
2019-01-29,23.16,51640
2019-01-30,23.07,51112
2019-01-31,23.34,44231
2019-02-01,23.05,27805
2019-02-04,23.05,36489
2019-02-05,23.56,43511
2019-02-06,23.78,63503
2019-02-07,23.48,40161
2019-02-08,23.54,36137
2019-02-11,23.75,22290
2019-02-12,24.55,49849
2019-02-13,24.14,57403
2019-02-14,24.78,116114
2019-02-15,25.19,61737
2019-02-19,24.36,82671
2019-02-20,24.61,52522
2019-02-21,24.51,130638
2019-02-22,24.81,66188
2019-02-25,24.79,88465
2019-02-26,24.95,67521
2019-02-27,20.89,258363
2019-02-28,20.26,142316
2019-03-01,21.42,115940
2019-03-04,21.4,118716
2019-03-05,21.11,105239
2019-03-06,20.53,58958
2019-03-07,20.37,65131
2019-03-08,20.23,51428
2019-03-11,20.42,43628
2019-03-12,20.35,81427
2019-03-13,20.39,61373
2019-03-14,20.52,60501
2019-03-15,20.97,152085
2019-03-18,21.25,72676
2019-03-19,21.27,83818
2019-03-20,21.5,69280
2019-03-21,21.54,91414
2019-03-22,21.3,100725
2019-03-25,21.34,97421
2019-03-26,21.68,58478
2019-03-27,21.7,64709
2019-03-28,22.16,43883
2019-03-29,22.64,126965
2019-04-01,23.1,85456
2019-04-02,23.11,65509
2019-04-03,23.31,70024
2019-04-04,23.31,67140
2019-04-05,23.66,145614
2019-04-08,23.7,30842
2019-04-09,22.62,48919
2019-04-10,22.91,27782
2019-04-11,23.12,41352
2019-04-12,23.19,27161
2019-04-15,22.98,40512
2019-04-16,23.06,36787
2019-04-17,22.69,50999
2019-04-18,22.71,46045
2019-04-22,22.1,38611
2019-04-23,22.41,54921
2019-04-24,22.22,53235
2019-04-25,22.35,44542
2019-04-26,22.56,44632
2019-04-29,22.79,65664
2019-04-30,22.71,70093
2019-05-01,23.74,104384
2019-05-02,24.04,78606
2019-05-03,23.47,76559
2019-05-06,23.51,49354
2019-05-07,23.35,62974
2019-05-08,22.74,47929
2019-05-09,22.52,93628
2019-05-10,22.01,49267
2019-05-13,20.7,66069
2019-05-14,21.53,72232
2019-05-15,21.38,27838
2019-05-16,21.36,34611
2019-05-17,21.27,51296
2019-05-20,22.55,82256
2019-05-21,22.53,130396
2019-05-22,22.06,40170
2019-05-23,21.51,69287
2019-05-24,21.21,45548
2019-05-28,20.68,79301
2019-05-29,20.25,90186
2019-05-30,20.46,73662
2019-05-31,20.59,58631
2019-06-03,20.56,69517
2019-06-04,20.72,41825
2019-06-05,20.08,58853
2019-06-06,20.01,52592
2019-06-07,20.25,35248
2019-06-10,20.48,44190
2019-06-11,20.46,67349
2019-06-12,20.4,36545
2019-06-13,20.64,40244
2019-06-14,20.42,28673
2019-06-17,20.41,37880
