date,close,volume
2018-04-25,17.63,24224
2018-04-26,17.0,99070
2018-04-27,17.25,11105
2018-04-30,18.25,31859
2018-05-01,18.25,14404
2018-05-02,19.0,33332
2018-05-03,18.25,16712
2018-05-04,18.25,38539
2018-05-07,16.25,79099
2018-05-08,16.0,70390
2018-05-09,16.0,38023
2018-05-10,15.75,19988
2018-05-11,15.75,59392
2018-05-14,16.75,24752
2018-05-15,16.0,37386
2018-05-16,16.25,55194
2018-05-17,16.25,37336
2018-05-18,16.0,7503
2018-05-21,15.75,37609
2018-05-22,15.5,25654
2018-05-23,15.5,42053
2018-05-24,15.38,34537
2018-05-25,15.5,32693
2018-05-29,16.25,27225
2018-05-30,16.5,49249
2018-05-31,16.25,49379
2018-06-01,16.88,79148
2018-06-04,16.75,24227
2018-06-05,17.13,36346
2018-06-06,17.0,18585
2018-06-07,17.5,58984
2018-06-08,17.75,13759
2018-06-11,17.75,16944
2018-06-12,17.75,14967
2018-06-13,17.75,75712
2018-06-14,18.5,47730
2018-06-15,18.0,57048
2018-06-18,18.0,12873
2018-06-19,18.0,48095
2018-06-20,18.38,19663
2018-06-21,18.0,11142
2018-06-22,18.25,10329
2018-06-25,18.0,28318
2018-06-26,17.0,48372
2018-06-27,17.75,53865
2018-06-28,17.75,16486
2018-06-29,17.5,71647
2018-07-02,18.0,11573
2018-07-03,17.75,4166
2018-07-05,17.75,43965
2018-07-06,18.0,13344
2018-07-09,18.38,20652
2018-07-10,18.63,30186
2018-07-11,18.5,17238
2018-07-12,18.25,14716
2018-07-13,18.0,4921
2018-07-16,19.25,105843
2018-07-17,21.0,126318
2018-07-18,22.25,84814
2018-07-19,22.5,83307
2018-07-20,23.0,58131
2018-07-23,22.75,70162
2018-07-24,22.75,40462
2018-07-25,22.25,56399
2018-07-26,21.75,24714
2018-07-27,21.5,24129
2018-07-30,22.75,41922
2018-07-31,23.25,58040
2018-08-01,22.25,15075
2018-08-02,22.75,11566
2018-08-03,21.75,36887
2018-08-06,20.5,81766
2018-08-07,19.25,69156
2018-08-08,20.25,34107
2018-08-09,20.0,37209
2018-08-10,20.0,12871
2018-08-13,19.25,28657
2018-08-14,20.0,38748
2018-08-15,20.5,32437
2018-08-16,20.5,44267
2018-08-17,20.5,16232
2018-08-20,20.75,9907
2018-08-21,21.25,26489
2018-08-22,20.88,6826
2018-08-23,21.0,7482
2018-08-24,20.75,15734
2018-08-27,20.5,4697
2018-08-28,20.75,40006
2018-08-29,21.5,43752
2018-08-30,21.25,16355
2018-08-31,21.75,28330
2018-09-04,27.5,1141986
2018-09-05,29.5,254619
2018-09-06,28.0,119045
2018-09-07,28.0,36033
2018-09-10,28.25,48966
2018-09-11,26.25,83839
2018-09-12,28.0,67244
2018-09-13,28.5,24949
2018-09-14,28.75,35362
2018-09-17,28.0,28309
2018-09-18,28.13,39768
2018-09-19,27.75,14696
2018-09-20,28.25,40612
2018-09-21,28.0,26717
2018-09-24,27.25,20594
2018-09-25,28.25,38765
2018-09-26,28.0,40973
2018-09-27,28.0,17299
2018-09-28,28.5,31678
2018-10-01,28.0,41408
2018-10-02,27.25,21062
2018-10-03,27.4,22417
2018-10-04,25.85,30808
2018-10-05,25.45,26363
2018-10-08,24.45,27228
2018-10-09,24.1,47122
2018-10-10,22.9,40253
2018-10-11,22.1,52439
2018-10-12,25.0,76591
2018-10-15,23.9,23917
2018-10-16,25.15,33280
2018-10-17,24.75,18101
2018-10-18,24.9,15840
2018-10-19,23.9,10472
2018-10-22,22.95,24143
2018-10-23,22.95,32946
2018-10-24,21.75,23032
2018-10-25,21.8,16669
2018-10-26,21.35,27766
2018-10-29,22.6,20769
2018-10-30,22.55,17146
2018-10-31,23.3,9644
2018-11-01,22.9,17484
2018-11-02,23.9,22980
2018-11-05,21.6,63787
2018-11-06,21.4,32317
2018-11-07,22.3,21632
2018-11-08,22.25,15323
2018-11-09,21.4,33336
2018-11-12,20.9,15507
2018-11-13,21.8,32409
2018-11-14,21.2,19875
2018-11-15,21.0,17213
2018-11-16,21.55,11594
2018-11-19,21.5,22294
2018-11-20,20.9,12050
2018-11-21,21.35,12302
2018-11-23,21.75,10231
2018-11-26,21.75,33612
2018-11-27,21.9,13669
2018-11-28,22.55,14782
2018-11-29,22.7,14858
2018-11-30,23.05,17519
2018-12-03,23.35,17738
2018-12-04,22.1,18440
2018-12-06,22.45,28708
2018-12-07,22.6,35046
2018-12-10,21.2,52038
2018-12-11,21.25,28452
2018-12-12,21.1,20555
2018-12-13,20.45,31704
2018-12-14,19.85,32374
2018-12-17,18.85,37636
2018-12-18,19.65,31711
2018-12-19,19.95,33185
2018-12-20,18.9,39122
2018-12-21,18.65,32254
2018-12-24,18.25,24767
2018-12-26,19.05,36592
2018-12-27,19.0,25099
2018-12-28,18.6,21340
2018-12-31,18.8,26740
2019-01-02,19.65,28975
2019-01-03,19.65,37809
2019-01-04,20.0,26571
2019-01-07,19.75,37466
2019-01-08,20.5,19340
2019-01-09,20.0,12717
2019-01-10,20.0,14899
2019-01-11,20.3,6699
2019-01-14,20.0,7281
2019-01-15,20.15,18364
2019-01-16,20.4,7819
2019-01-17,23.05,233025
2019-01-18,23.85,83379
2019-01-22,24.35,68457
2019-01-23,25.5,155319
2019-01-24,25.7,52075
2019-01-25,26.2,42572
2019-01-28,26.3,40022
