date,close,volume
2018-04-25,40.13,454625
2018-04-26,40.76,599587
2018-04-27,40.93,827799
2018-04-30,40.92,936755
2018-05-01,41.0,872725
2018-05-02,40.81,829681
2018-05-03,40.0,2485362
2018-05-04,38.06,4829171
2018-05-07,38.46,1653316
2018-05-08,39.25,1212432
2018-05-09,39.48,695659
2018-05-10,39.59,707158
2018-05-11,39.48,1398932
2018-05-14,37.99,1603061
2018-05-15,38.0,1239893
2018-05-16,38.02,855152
2018-05-17,38.86,1623903
2018-05-18,38.69,969472
2018-05-21,38.49,841197
2018-05-22,38.3,550173
2018-05-23,38.39,452642
2018-05-24,38.8,712085
2018-05-25,38.77,370286
2018-05-29,38.67,446312
2018-05-30,39.65,1032728
2018-05-31,39.87,1253624
2018-06-01,39.7,801321
2018-06-04,40.76,699241
2018-06-05,41.65,784681
2018-06-06,42.63,986758
2018-06-07,41.08,1706084
2018-06-08,40.72,929971
2018-06-11,41.0,769707
2018-06-12,41.0,970654
2018-06-13,41.9,1198060
2018-06-14,42.25,1194505
2018-06-15,43.26,3428384
2018-06-18,44.0,1440856
2018-06-19,43.46,895350
2018-06-20,43.34,682871
2018-06-21,42.68,552337
2018-06-22,41.08,2855532
2018-06-25,39.91,1111951
2018-06-26,40.25,878606
2018-06-27,39.55,878616
2018-06-28,39.84,1109137
2018-06-29,40.15,1157171
2018-07-02,41.01,970083
2018-07-03,41.01,534503
2018-07-05,41.31,1138683
2018-07-06,41.84,683753
2018-07-09,42.38,742008
2018-07-10,42.28,974291
2018-07-11,42.11,1191843
2018-07-12,43.19,1429682
2018-07-13,43.01,880986
2018-07-16,43.0,1183674
2018-07-17,43.33,1145876
2018-07-18,43.02,889641
2018-07-19,42.97,817099
2018-07-20,41.36,1144492
2018-07-23,42.39,1315227
2018-07-24,40.86,1189938
2018-07-25,41.03,686619
2018-07-26,41.1,653949
2018-07-27,40.29,1029519
2018-07-30,37.98,1933775
2018-07-31,38.29,2470786
2018-08-01,38.01,1216165
2018-08-02,38.66,1277481
2018-08-03,38.13,2620959
2018-08-06,39.14,1267485
2018-08-07,39.71,1095579
2018-08-08,40.46,937558
2018-08-09,40.61,1451452
2018-08-10,40.63,760514
2018-08-13,40.6,927120
2018-08-14,40.93,712697
2018-08-15,40.51,1064386
2018-08-16,40.25,670147
2018-08-17,40.59,881740
2018-08-20,41.03,530045
2018-08-21,40.73,617529
2018-08-22,40.59,673341
2018-08-23,40.4,925551
2018-08-24,40.9,827965
2018-08-27,41.23,624302
2018-08-28,41.28,524752
2018-08-29,41.41,513633
2018-08-30,41.31,501956
2018-08-31,41.47,712556
2018-09-04,40.99,938020
2018-09-05,39.08,1519913
2018-09-06,38.93,1246661
2018-09-07,38.78,829256
2018-09-10,39.03,675534
2018-09-11,38.92,859110
2018-09-12,39.6,718407
2018-09-13,39.91,647735
2018-09-14,39.86,885731
2018-09-17,37.96,1151192
2018-09-18,38.07,872901
2018-09-19,38.9,990034
2018-09-20,39.31,1073507
2018-09-21,38.72,1390817
2018-09-24,38.43,671239
2018-09-25,38.52,1370747
2018-09-26,38.33,1138856
2018-09-27,37.88,821216
2018-09-28,37.71,813108
2018-10-01,37.44,1071859
2018-10-02,37.36,1206379
2018-10-03,37.5,511875
2018-10-04,37.19,877445
2018-10-05,36.77,685779
2018-10-08,36.04,1001541
2018-10-09,35.69,795171
2018-10-10,34.5,1146762
2018-10-11,34.13,1329137
2018-10-12,34.99,1210835
2018-10-15,34.72,531086
2018-10-16,35.49,1474030
2018-10-17,35.31,951727
2018-10-18,35.45,1048247
2018-10-19,35.2,950992
2018-10-22,35.99,1028545
2018-10-23,35.83,1095984
2018-10-24,34.64,1240051
2018-10-25,35.75,1067428
2018-10-26,35.07,1096063
2018-10-29,34.59,1026655
2018-10-30,35.41,1373599
2018-10-31,36.4,1800126
2018-11-01,36.62,2203325
2018-11-02,35.77,2942909
2018-11-05,36.22,1394885
2018-11-06,36.43,1089015
2018-11-07,38.5,1248454
2018-11-08,38.16,783449
2018-11-09,37.66,595899
2018-11-12,37.64,1118105
2018-11-13,37.75,1072929
2018-11-14,37.4,647968
2018-11-15,37.84,1413089
2018-11-16,37.73,1191248
2018-11-19,35.87,1607294
2018-11-20,35.75,1833598
2018-11-21,36.02,654034
2018-11-23,36.34,217586
2018-11-26,36.81,913611
2018-11-27,36.76,557648
2018-11-28,37.91,1216832
2018-11-29,37.8,726794
2018-11-30,37.63,1296979
2018-12-03,38.26,1185797
2018-12-04,37.58,960550
2018-12-06,37.7,928921
2018-12-07,36.78,943367
2018-12-10,36.69,1317733
2018-12-11,37.34,1522280
2018-12-12,38.0,1220481
2018-12-13,37.49,1718257
2018-12-14,37.42,1258223
2018-12-17,36.68,1329194
2018-12-18,36.44,1361787
2018-12-19,36.57,1013233
2018-12-20,36.59,1171203
2018-12-21,35.89,3032227
2018-12-24,35.44,594362
2018-12-26,36.76,1089644
2018-12-27,37.31,710843
2018-12-28,37.44,920491
2018-12-31,38.36,1316822
2019-01-02,37.75,1220668
2019-01-03,36.99,1101732
2019-01-04,38.41,1369195
2019-01-07,39.17,675635
2019-01-08,39.92,1267826
2019-01-09,39.99,796683
2019-01-10,40.04,762155
2019-01-11,40.11,1045000
2019-01-14,40.09,1248513
2019-01-15,41.72,1537849
2019-01-16,42.86,2289567
2019-01-17,43.32,1266761
2019-01-18,43.98,1573801
2019-01-22,43.36,1094701
2019-01-23,43.59,1032546
2019-01-24,44.02,889863
2019-01-25,44.33,1252270
2019-01-28,44.15,910097
2019-01-29,43.96,726737
2019-01-30,44.26,1053505
2019-01-31,44.38,1816527
2019-02-01,45.0,1180696
2019-02-04,45.86,1132788
2019-02-05,46.22,1474161
2019-02-06,46.74,1158184
2019-02-07,46.0,2219651
2019-02-08,45.86,2922971
2019-02-11,46.28,1830879
2019-02-12,46.35,1370836
2019-02-13,46.31,980947
2019-02-14,46.07,1689624
2019-02-15,46.45,955410
2019-02-19,46.26,888210
2019-02-20,46.43,884038
2019-02-21,46.51,1062370
2019-02-22,46.89,778799
2019-02-25,46.97,926871
2019-02-26,47.26,897346
2019-02-27,48.34,1430572
2019-02-28,48.37,1080691
2019-03-01,49.28,1200384
2019-03-04,48.23,1395130
2019-03-05,48.3,800276
2019-03-06,47.77,1231766
2019-03-07,47.55,1027143
2019-03-08,47.46,981762
2019-03-11,47.9,899164
2019-03-12,48.03,470964
2019-03-13,48.09,829158
2019-03-14,47.94,596083
2019-03-15,47.94,900630
2019-03-18,47.75,579998
2019-03-19,48.32,577257
2019-03-20,45.38,1865571
2019-03-21,45.87,1272253
2019-03-22,43.89,1001259
2019-03-25,43.76,1152361
2019-03-26,44.36,824262
2019-03-27,43.79,1394492
2019-03-28,43.71,842250
2019-03-29,43.65,1893788
2019-04-01,43.63,967925
2019-04-02,43.75,2572876
2019-04-03,44.0,3133606
2019-04-04,43.23,1408123
2019-04-05,43.8,954534
2019-04-08,43.86,575476
2019-04-09,43.49,696884
2019-04-10,43.98,575030
2019-04-11,43.81,965794
2019-04-12,44.02,435857
2019-04-15,43.99,576150
2019-04-16,44.31,675724
2019-04-17,44.42,883282
2019-04-18,44.99,910136
2019-04-22,45.11,615242
2019-04-23,45.61,549136
2019-04-24,45.47,387619
2019-04-25,45.12,647097
2019-04-26,45.75,498491
2019-04-29,46.02,683010
2019-04-30,45.47,745046
2019-05-01,44.29,1262838
2019-05-02,43.72,1732471
2019-05-03,39.33,6209398
2019-05-06,39.79,3052738
2019-05-07,37.89,1832384
2019-05-08,38.57,1585673
2019-05-09,37.71,1121716
2019-05-10,38.1,1533085
2019-05-13,36.33,1083857
2019-05-14,36.86,714688
2019-05-15,36.79,753035
2019-05-16,36.94,894420
2019-05-17,36.05,910241
2019-05-20,35.41,1182385
2019-05-21,35.74,1357631
2019-05-22,35.35,745363
2019-05-23,34.68,1263981
2019-05-24,34.41,850408
2019-05-28,34.41,1090345
2019-05-29,34.27,1027252
2019-05-30,35.05,1390868
2019-05-31,34.34,1223546
2019-06-03,34.62,1453200
2019-06-04,35.32,1057440
2019-06-05,35.91,952832
2019-06-06,36.21,1334596
2019-06-07,35.99,1256769
2019-06-10,35.97,993243
2019-06-11,35.56,1433037
2019-06-12,36.05,1322753
2019-06-13,36.34,819791
2019-06-14,35.32,937951
2019-06-17,34.3,2098820
2019-06-18,34.73,1456807
2019-06-19,34.99,1094284
2019-06-20,34.7,1306592
2019-06-21,34.54,5662934
2019-06-24,34.67,1019132
2019-06-25,34.46,1094286
2019-06-26,34.98,826023
2019-06-27,35.51,904256
2019-06-28,35.85,1501090
2019-07-01,36.73,1773911
2019-07-02,36.84,806537
2019-07-03,37.32,878470
2019-07-05,37.25,397317
2019-07-08,36.52,1230147
2019-07-09,36.65,681749
2019-07-10,36.56,587994
2019-07-11,36.24,741289
2019-07-12,36.64,506496
2019-07-15,36.25,773917
2019-07-16,36.0,565013
2019-07-17,35.73,423629
2019-07-18,35.52,663916
2019-07-19,35.15,772735
2019-07-22,34.51,1465518
2019-07-23,35.23,1906018
2019-07-24,36.66,1451514
2019-07-25,36.57,551998
2019-07-26,36.55,420809
2019-07-29,36.6,604115
2019-07-30,37.25,839996
2019-07-31,36.62,1286158
2019-08-01,35.69,1765699
2019-08-02,32.99,2221780
2019-08-05,33.1,2015382
2019-08-06,33.48,1499215
2019-08-07,34.02,1527039
2019-08-08,35.43,1766697
2019-08-09,35.56,1511777
2019-08-12,33.69,1311505
2019-08-13,33.85,1067545
2019-08-14,32.69,1363083
2019-08-15,32.78,496824
2019-08-16,33.28,604210
2019-08-19,33.22,824189
2019-08-20,31.84,740392
2019-08-21,31.81,1046018
2019-08-22,32.23,571810
2019-08-23,31.28,734576
2019-08-26,31.06,1202415
2019-08-27,30.16,1220604
2019-08-28,29.81,1020792
2019-08-29,30.57,859580
2019-08-30,30.87,624696
2019-09-03,29.92,657949
2019-09-04,30.35,765175
2019-09-05,31.55,1580909
2019-09-06,32.22,1404472
2019-09-09,33.32,1711816
2019-09-10,34.31,1526158
2019-09-11,34.09,963627
2019-09-12,33.27,844776
2019-09-13,32.76,887655
2019-09-16,33.15,550848
2019-09-17,32.2,925550
2019-09-18,32.05,687444
2019-09-19,31.82,859295
2019-09-20,31.63,1988434
2019-09-23,31.77,787323
2019-09-24,30.87,907736
2019-09-25,31.62,917976
2019-09-26,31.69,639905
2019-09-27,30.89,632104
2019-09-30,31.0,606125
2019-10-01,30.02,1098167
2019-10-02,29.7,1092949
2019-10-03,29.61,1440976
2019-10-04,29.87,796659
2019-10-07,29.62,669842
2019-10-08,28.69,949139
2019-10-09,28.8,557827
2019-10-10,28.9,854291
2019-10-11,29.64,555764
2019-10-14,29.64,517622
2019-10-15,29.92,636708
2019-10-16,29.69,452180
2019-10-17,29.09,788335
2019-10-18,28.57,693372
2019-10-21,28.78,713473
2019-10-22,28.24,1404268
2019-10-23,28.63,1681071
2019-10-24,28.8,817702
2019-10-25,29.44,1004338
2019-10-28,30.09,1370273
2019-10-29,30.59,1157177
2019-10-30,30.45,656503
2019-10-31,29.93,481511
2019-11-01,30.31,843769
2019-11-04,30.71,575728
