date,close,volume
2018-04-25,2.73,1319919
2018-04-26,2.74,1385307
2018-04-27,2.78,719917
2018-04-30,2.87,1726568
2018-05-01,2.88,1480371
2018-05-02,2.94,1896475
2018-05-03,2.92,1586998
2018-05-04,2.82,1472741
2018-05-07,2.78,2278189
2018-05-08,2.97,3534553
2018-05-09,2.49,6169294
2018-05-10,2.57,2172828
2018-05-11,2.54,1822346
2018-05-14,2.48,1818545
2018-05-15,2.37,1737158
2018-05-16,2.46,1140478
2018-05-17,2.45,1089876
2018-05-18,2.42,821963
2018-05-21,2.39,917626
2018-05-22,2.38,812847
2018-05-23,2.4,478906
2018-05-24,2.36,646626
2018-05-25,2.4,681432
2018-05-29,2.4,1064379
2018-05-30,2.36,678909
2018-05-31,2.4,798217
2018-06-01,2.42,591738
2018-06-04,2.39,1151455
2018-06-05,2.39,702805
2018-06-06,2.33,869870
2018-06-07,2.23,2306405
2018-06-08,2.33,2258285
2018-06-11,2.45,1762421
2018-06-12,2.62,2664187
2018-06-13,2.56,1925893
2018-06-14,2.54,1413476
2018-06-15,2.65,2310832
2018-06-18,2.62,1094688
2018-06-19,2.54,995189
2018-06-20,2.5,959019
2018-06-21,2.45,739768
2018-06-22,2.6,1310371
2018-06-25,2.57,773380
2018-06-26,2.53,521380
2018-06-27,2.46,892153
2018-06-28,2.47,1739228
2018-06-29,2.5,508492
2018-07-02,2.44,824369
2018-07-03,2.4,546651
2018-07-05,2.43,667375
2018-07-06,2.46,845276
2018-07-09,2.48,894591
2018-07-10,2.43,1431756
2018-07-11,2.4,1172783
2018-07-12,2.4,832733
2018-07-13,2.37,872717
2018-07-16,2.35,808140
2018-07-17,2.31,1363577
2018-07-18,2.39,1468099
2018-07-19,2.55,2106901
2018-07-20,2.59,3086768
2018-07-23,2.71,1700419
2018-07-24,2.89,2891713
2018-07-25,2.93,2751241
2018-07-26,2.97,1157764
2018-07-27,2.92,1123296
2018-07-30,2.85,861493
2018-07-31,2.85,642901
2018-08-01,2.89,840977
2018-08-02,2.93,1936954
2018-08-03,2.92,1447451
2018-08-06,3.07,6108769
2018-08-07,2.83,3609996
2018-08-08,2.66,1758998
2018-08-09,2.67,1976615
2018-08-10,2.66,1170572
2018-08-13,2.58,1057671
2018-08-14,2.53,1072166
2018-08-15,2.51,1656830
2018-08-16,2.55,1082915
2018-08-17,2.56,761247
2018-08-20,2.57,1098822
2018-08-21,2.54,763378
2018-08-22,2.52,628842
2018-08-23,2.52,688878
2018-08-24,2.56,950909
2018-08-27,2.56,789521
2018-08-28,2.76,3177600
2018-08-29,2.86,2258942
2018-08-30,2.78,1939267
2018-08-31,2.76,828795
2018-09-04,2.77,540152
2018-09-05,2.81,2076722
2018-09-06,2.77,871210
2018-09-07,2.7,912094
2018-09-10,2.68,889121
2018-09-11,2.71,784086
2018-09-12,2.72,590508
2018-09-13,2.8,1708726
2018-09-14,2.81,984769
2018-09-17,2.86,1466815
2018-09-18,2.96,1742746
2018-09-19,2.83,1271149
2018-09-20,2.8,928261
2018-09-21,2.83,634889
2018-09-24,2.97,3435949
2018-09-25,2.98,797128
2018-09-26,2.9,1168396
2018-09-27,2.94,458717
2018-09-28,3.0,1050269
2018-10-01,2.96,1063929
2018-10-02,2.88,1053926
2018-10-03,2.83,1519058
2018-10-04,2.73,1562894
2018-10-05,2.67,1107484
2018-10-08,2.66,1829407
2018-10-09,2.76,646198
2018-10-10,2.52,1655531
2018-10-11,2.53,1399604
2018-10-12,2.55,1321190
2018-10-15,2.54,878289
2018-10-16,2.54,822444
2018-10-17,2.62,770044
2018-10-18,2.54,808659
2018-10-19,2.47,1443683
2018-10-22,2.25,1824012
2018-10-23,2.2,1226719
2018-10-24,2.25,1377462
2018-10-25,2.27,624229
2018-10-26,2.23,692337
