date,close,volume
2018-04-25,38.68,602192
2018-04-26,38.58,752633
2018-04-27,38.77,826274
2018-04-30,38.5,668628
2018-05-01,38.41,1108327
2018-05-02,36.62,1732181
2018-05-03,39.83,2880547
2018-05-04,44.16,2220478
2018-05-07,44.76,1383728
2018-05-08,45.04,875304
2018-05-09,46.0,1001438
2018-05-10,46.8,837504
2018-05-11,47.01,550474
2018-05-14,46.54,702800
2018-05-15,46.67,424588
2018-05-16,47.12,729317
2018-05-17,46.75,616071
2018-05-18,46.28,593398
2018-05-21,46.83,2002855
2018-05-22,46.67,377986
2018-05-23,46.66,488790
2018-05-24,46.59,397864
2018-05-25,47.21,658438
2018-05-29,47.22,394378
2018-05-30,48.12,687682
2018-05-31,47.91,840700
2018-06-01,48.61,726670
2018-06-04,49.46,701066
2018-06-05,48.51,490743
2018-06-06,48.17,356623
2018-06-07,48.75,441886
2018-06-08,49.61,579489
2018-06-11,50.43,423367
2018-06-12,52.18,900368
2018-06-13,51.86,579383
2018-06-14,52.26,488859
2018-06-15,52.67,802899
2018-06-18,52.04,634338
2018-06-19,53.37,764966
2018-06-20,53.84,549098
2018-06-21,53.69,410020
2018-06-22,53.56,873587
2018-06-25,53.87,476610
2018-06-26,53.71,686903
2018-06-27,53.22,848004
2018-06-28,53.18,610106
2018-06-29,52.51,918729
2018-07-02,52.34,389798
2018-07-03,52.77,388214
2018-07-05,53.42,649648
2018-07-06,53.9,605195
2018-07-09,53.04,1051612
2018-07-10,52.82,425344
2018-07-11,52.5,407425
2018-07-12,52.84,412609
2018-07-13,52.94,413180
2018-07-16,52.01,621048
2018-07-17,52.25,326503
2018-07-18,51.84,547682
2018-07-19,52.16,498728
2018-07-20,51.75,606744
2018-07-23,50.82,606242
2018-07-24,49.85,639234
2018-07-25,48.69,785039
2018-07-26,48.85,795585
2018-07-27,48.02,581945
2018-07-30,47.69,835834
2018-07-31,47.49,590392
2018-08-01,46.98,1401783
2018-08-02,49.7,2076453
2018-08-03,51.0,1891041
2018-08-06,50.6,1268009
2018-08-07,49.43,534515
2018-08-08,48.85,587456
2018-08-09,49.2,1238945
2018-08-10,48.36,395312
2018-08-13,48.11,528795
2018-08-14,49.15,356782
2018-08-15,49.52,561427
2018-08-16,50.07,377019
2018-08-17,50.93,594287
2018-08-20,51.0,539893
2018-08-21,50.88,912574
2018-08-22,51.27,883968
2018-08-23,51.77,665334
2018-08-24,53.06,1069209
2018-08-27,52.4,974856
2018-08-28,51.3,740884
2018-08-29,51.99,363351
2018-08-30,51.24,301587
2018-08-31,52.1,494281
2018-09-04,52.13,324488
2018-09-05,53.18,595445
2018-09-06,53.23,297151
2018-09-07,54.1,444046
2018-09-10,54.27,395427
2018-09-11,53.99,687491
2018-09-12,55.01,383686
2018-09-13,55.43,406917
2018-09-14,54.9,356239
2018-09-17,54.41,375400
