date,close,volume
2019-05-01,24.85,1745680
2019-05-02,24.85,66778
2019-05-03,25.11,26007
2019-05-06,24.91,30879
2019-05-07,24.63,64255
2019-05-08,24.44,40694
2019-05-09,24.39,343362
2019-05-10,24.5,21076
2019-05-13,24.15,29886
2019-05-14,24.2,267391
2019-05-15,24.21,18270
2019-05-16,24.34,9508
2019-05-17,24.18,12244
2019-05-20,24.05,104984
2019-05-21,24.26,7940
2019-05-22,24.15,5671
2019-05-23,23.83,17033
2019-05-24,23.87,8443
2019-05-28,23.61,11510
2019-05-29,23.55,2945
2019-05-30,23.5,6037
2019-05-31,23.29,15130
2019-06-03,23.61,5739
2019-06-04,24.06,11920
2019-06-05,24.26,12767
2019-06-06,24.34,6199
2019-06-07,24.42,4987
2019-06-10,24.44,9983
2019-06-11,24.41,4401
2019-06-12,24.43,13239
2019-06-13,24.46,3314
2019-06-14,24.49,5021
2019-06-17,24.34,24618
2019-06-18,24.57,30466
2019-06-19,24.68,28931
2019-06-20,24.95,16053
2019-06-21,24.92,8997
2019-06-24,24.83,28684
2019-06-25,24.75,16290
2019-06-26,24.63,8885
2019-06-27,24.73,12171
2019-06-28,24.89,11625
2019-07-01,25.1,163887
2019-07-02,25.05,7596
2019-07-03,25.24,16620
2019-07-05,25.17,4204
2019-07-08,25.07,5626
2019-07-09,25.04,13156
2019-07-10,25.0,7511
2019-07-11,25.0,11214
2019-07-12,25.23,87279
2019-07-15,25.21,11922
2019-07-16,25.25,8597
2019-07-17,24.98,7798
2019-07-18,25.07,10694
2019-07-19,25.0,13862
2019-07-22,24.95,9492
2019-07-23,25.16,9543
2019-07-24,25.35,4294
2019-07-25,25.26,3177
2019-07-26,25.42,7794
2019-07-29,25.36,111632
2019-07-30,25.36,89565
2019-07-31,25.14,13132
2019-08-01,24.89,11422
2019-08-02,24.7,16681
2019-08-05,24.13,14079
2019-08-06,24.32,12964
2019-08-07,24.35,16414
2019-08-08,24.71,6507
2019-08-09,24.56,8818
2019-08-12,24.24,6589
2019-08-13,24.59,1322
2019-08-14,23.88,25325
2019-08-15,23.9,35294
2019-08-16,24.28,4839
2019-08-19,24.54,66995
2019-08-20,24.32,12439
2019-08-21,24.48,28889
2019-08-22,24.47,11503
2019-08-23,23.84,24797
2019-08-26,24.03,19013
