date,close,volume
2018-04-25,6.66,191208
2018-04-26,6.66,111208
2018-04-27,6.46,124694
2018-04-30,6.42,123403
2018-05-01,5.97,428455
2018-05-02,6.19,122969
2018-05-03,6.28,159226
2018-05-04,6.38,109163
2018-05-07,6.2,115724
2018-05-08,6.1,177038
2018-05-09,6.91,758086
2018-05-10,7.08,518135
2018-05-11,7.31,535822
2018-05-14,7.17,311704
2018-05-15,7.04,334375
2018-05-16,7.35,374116
2018-05-17,7.2,474770
2018-05-18,8.2,1275352
2018-05-21,8.53,777791
2018-05-22,8.77,488686
2018-05-23,8.76,321108
2018-05-24,8.69,355501
2018-05-25,8.87,319246
2018-05-29,8.06,1896930
2018-05-30,7.74,2262375
2018-05-31,7.41,4605838
2018-06-01,8.19,2843587
2018-06-04,8.85,2506988
2018-06-05,8.7,1330596
2018-06-06,8.53,865133
2018-06-07,8.46,1423517
2018-06-08,9.42,1637524
2018-06-11,9.32,1274667
2018-06-12,9.14,905023
2018-06-13,9.08,696833
2018-06-14,9.44,726271
2018-06-15,9.58,1062079
2018-06-18,9.25,598555
2018-06-19,8.91,793272
2018-06-20,8.16,1281967
2018-06-21,7.83,945294
2018-06-22,8.48,3968579
2018-06-25,8.08,1651798
2018-06-26,8.12,675025
2018-06-27,7.92,807602
2018-06-28,8.0,393276
2018-06-29,7.74,747046
2018-07-02,7.82,485155
2018-07-03,7.62,350315
2018-07-05,7.83,489652
2018-07-06,7.77,375039
2018-07-09,7.59,547082
2018-07-10,7.59,449146
2018-07-11,7.49,337155
2018-07-12,7.5,246436
2018-07-13,7.65,368975
2018-07-16,7.2,508007
2018-07-17,7.05,373891
2018-07-18,7.01,370215
2018-07-19,6.9,368837
2018-07-20,6.63,480705
2018-07-23,6.58,386381
2018-07-24,6.12,1508727
2018-07-25,5.96,1089134
2018-07-26,6.2,678402
2018-07-27,5.79,687533
2018-07-30,5.84,468236
2018-07-31,5.99,435266
2018-08-01,5.67,566994
2018-08-02,5.64,945166
2018-08-03,5.36,3048817
2018-08-06,6.1,1400103
2018-08-07,6.18,1017278
2018-08-08,5.98,572724
2018-08-09,6.56,524520
2018-08-10,6.47,594920
2018-08-13,6.72,616866
2018-08-14,6.63,525776
2018-08-15,6.56,481096
2018-08-16,6.49,317347
2018-08-17,6.45,351312
2018-08-20,6.26,520247
2018-08-21,6.08,589271
2018-08-22,6.13,325076
2018-08-23,5.98,371565
2018-08-24,5.99,343679
2018-08-27,6.33,608320
2018-08-28,6.2,521763
2018-08-29,6.43,365699
2018-08-30,6.36,157576
2018-08-31,6.53,285754
2018-09-04,6.63,767466
2018-09-05,6.57,256263
2018-09-06,6.56,298821
2018-09-07,6.93,480824
2018-09-10,6.8,377570
2018-09-11,6.98,332097
2018-09-12,6.36,573126
2018-09-13,6.35,309080
2018-09-14,6.32,246782
2018-09-17,6.27,263494
2018-09-18,6.3,457433
2018-09-19,6.13,212236
2018-09-20,6.23,465200
2018-09-21,6.32,661233
2018-09-24,6.32,226986
2018-09-25,6.5,321278
2018-09-26,7.13,1862764
2018-09-27,7.59,588780
2018-09-28,7.45,685279
2018-10-01,6.72,720405
2018-10-02,6.82,674816
2018-10-03,6.86,566702
2018-10-04,6.53,421163
2018-10-05,6.46,495178
2018-10-08,5.9,624757
2018-10-09,5.69,606028
2018-10-10,5.24,498044
2018-10-11,5.11,807527
2018-10-12,5.14,892902
2018-10-15,5.28,472895
2018-10-16,5.04,710036
2018-10-17,5.01,359984
2018-10-18,5.0,888531
2018-10-19,4.74,920958
2018-10-22,5.28,754849
2018-10-23,5.14,493237
2018-10-24,4.9,395664
2018-10-25,5.01,771120
2018-10-26,4.96,409530
2018-10-29,5.02,479826
2018-10-30,5.11,332060
2018-10-31,5.25,511856
2018-11-01,5.28,803125
2018-11-02,5.84,903140
2018-11-05,5.5,554019
2018-11-06,5.14,381005
2018-11-07,5.13,1175030
2018-11-08,5.05,282143
2018-11-09,5.08,638181
2018-11-12,4.86,602944
2018-11-13,4.72,264689
2018-11-14,4.38,595735
2018-11-15,4.7,294648
2018-11-16,4.63,271857
2018-11-19,4.15,462297
2018-11-20,4.37,480171
2018-11-21,4.38,183630
2018-11-23,4.43,88998
2018-11-26,4.39,175815
2018-11-27,4.36,163433
2018-11-28,4.78,457041
2018-11-29,4.59,211597
2018-11-30,4.44,423563
2018-12-03,4.45,258885
2018-12-04,4.45,283811
2018-12-06,4.36,308351
2018-12-07,4.17,188280
2018-12-10,4.08,287658
2018-12-11,4.01,279194
2018-12-12,4.04,173694
2018-12-13,3.89,336691
2018-12-14,3.92,321997
2018-12-17,3.6,588966
2018-12-18,3.54,238442
2018-12-19,3.32,362196
2018-12-20,3.31,279689
2018-12-21,3.05,506711
2018-12-24,3.25,414342
2018-12-26,3.12,568831
2018-12-27,3.03,412829
2018-12-28,2.98,718200
2018-12-31,3.01,869405
2019-01-02,3.53,791547
2019-01-03,3.33,283749
2019-01-04,3.61,328233
2019-01-07,3.59,517397
2019-01-08,3.6,177710
2019-01-09,3.82,276177
2019-01-10,3.86,195379
2019-01-11,3.8,351018
2019-01-14,3.7,177713
2019-01-15,3.72,201737
2019-01-16,3.72,102856
2019-01-17,3.71,98241
2019-01-18,3.61,336692
2019-01-22,3.6,158336
2019-01-23,3.49,232813
2019-01-24,3.5,187367
2019-01-25,3.53,118527
2019-01-28,3.42,120270
2019-01-29,3.5,187038
2019-01-30,3.39,182685
2019-01-31,3.5,262783
