date,close,volume
2018-04-25,12.9,17931
2018-04-26,14.0,40660
2018-04-27,14.25,384962
2018-04-30,13.91,23618
2018-05-01,14.0,39914
2018-05-02,14.02,76214
2018-05-03,14.14,31597
2018-05-04,13.98,19793
2018-05-07,14.14,20149
2018-05-08,14.15,62158
2018-05-09,14.21,14032
2018-05-10,14.31,14214
2018-05-11,14.29,23179
2018-05-14,14.29,13919
2018-05-15,14.19,601127
2018-05-16,14.3,19442
2018-05-17,14.42,20349
2018-05-18,14.41,17104
2018-05-21,14.49,14197
2018-05-22,14.48,42214
2018-05-23,14.25,24224
2018-05-24,14.13,23695
2018-05-25,14.0,17112
2018-05-29,13.7,24649
2018-05-30,14.44,88143
2018-05-31,14.21,32416
2018-06-01,14.49,34153
2018-06-04,14.53,30578
2018-06-05,14.71,39463
2018-06-06,14.74,42897
2018-06-07,14.87,27249
2018-06-08,14.65,11866
2018-06-11,14.7,27339
2018-06-12,14.63,20695
2018-06-13,15.09,34597
2018-06-14,14.84,20216
2018-06-15,14.79,19798
2018-06-18,14.54,58472
2018-06-19,14.48,26807
2018-06-20,14.36,40680
2018-06-21,14.42,14298
2018-06-22,14.5,25245
2018-06-25,14.16,34703
2018-06-26,14.31,23592
2018-06-27,14.24,15070
2018-06-28,14.11,25733
2018-06-29,14.33,70009
2018-07-02,14.35,29725
2018-07-03,14.29,8322
2018-07-05,14.34,16728
2018-07-06,14.35,17748
2018-07-09,14.43,14650
2018-07-10,14.65,16916
2018-07-11,14.52,26871
2018-07-12,14.82,23005
2018-07-13,14.82,23879
2018-07-16,14.93,22065
2018-07-17,15.21,22179
2018-07-18,15.28,21721
2018-07-19,15.06,23664
2018-07-20,15.04,17714
2018-07-23,15.08,18030
2018-07-24,15.11,19703
2018-07-25,15.18,27838
2018-07-26,15.07,12425
2018-07-27,15.35,26662
2018-07-30,15.49,17204
2018-07-31,14.61,37527
2018-08-01,14.82,38178
2018-08-02,14.83,32215
2018-08-03,14.86,27074
2018-08-06,14.54,24528
2018-08-07,14.62,21582
2018-08-08,14.39,35244
2018-08-09,14.28,32858
2018-08-10,13.81,42079
2018-08-13,13.79,31009
2018-08-14,13.85,54708
2018-08-15,13.19,35470
2018-08-16,12.99,34615
2018-08-17,13.27,41347
2018-08-20,13.32,41100
2018-08-21,13.34,71431
2018-08-22,13.56,33320
2018-08-23,13.7,18896
2018-08-24,13.8,20532
2018-08-27,14.07,20329
2018-08-28,14.19,31651
2018-08-29,14.3,19672
2018-08-30,14.12,27528
2018-08-31,13.9,28708
2018-09-04,13.63,65420
2018-09-05,13.44,32228
2018-09-06,13.29,23653
2018-09-07,13.28,51488
2018-09-10,13.35,30389
2018-09-11,13.36,74116
2018-09-12,13.38,30551
2018-09-13,13.66,28413
2018-09-14,13.91,35630
2018-09-17,13.85,49967
2018-09-18,14.08,67573
2018-09-19,14.36,19934
